,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,91,30,michael_schumacher,6,1,1,Finished,0,0,0,0,0,0,0,0,0,18044,16956,12314,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,91,22,barrichello,6,4,1,Finished,2056,6441,9190,9957,10970,11642,11419,11827,8888,9163,32018,27341,15255,15228,15196,15235,16107,16605,17441,17909,17953,18662,19064,19790.0,20394.0,17741.0,0.0,1360.0,21651.0,20430.0,20645.0,21083.0,21450.0,22056.0,22948.0,23523.0,23649.0,24854.0,25860.0,24562.0,4958.0,7159.0,7747.0,10508.0,29876.0,29639.0,29339.0,28515.0,27860.0,27439.0,26824.0,26403.0,25939.0,25173.0,21831.0,13616.0
2,91,31,montoya,3,2,1,Finished,2721,1122,1645,1892,3231,4296,4322,4532,2361,0,0,0,6454,4628,4216,3634,3493,3356,3985,3850,4661,5548,6345,7411.0,8224.0,9365.0,11823.0,7985.0,6608.0,5927.0,5112.0,5006.0,5486.0,4869.0,4474.0,4566.0,3759.0,4330.0,7621.0,26542.0,5732.0,8182.0,9115.0,9677.0,9241.0,9338.0,9458.0,9915.0,10247.0,10892.0,10601.0,10965.0,11766.0,12582.0,10638.0,5022.0
3,91,8,raikkonen,1,17,7,Transmission,3894,3670,5249,6561,8687,9951,10363,10541,7655,8369,28123,22473,9576,9305,8897,9372,10543,10669,11747,11394,11225,11966,13709,14775.0,18679.0,38442.0,21557.0,19242.0,18960.0,18409.0,18342.0,19020.0,19106.0,18997.0,19194.0,19272.0,18768.0,19610.0,20627.0,23996.0,,,,,,,,,,,,,,,,
4,91,15,trulli,4,5,1,Finished,4566,7048,11240,12097,13365,14242,14444,14783,11815,12394,31125,25358,12755,11920,10981,10205,11034,11391,12265,15350,37327,37716,38526,40372.0,42398.0,41102.0,24858.0,23674.0,24299.0,24320.0,24829.0,25854.0,26523.0,26937.0,27279.0,27904.0,28521.0,29843.0,30653.0,34120.0,35716.0,37307.0,38561.0,40261.0,40942.0,42214.0,43576.0,43358.0,43793.0,43906.0,44162.0,44917.0,44959.0,44869.0,42958.0,37360.0
5,91,18,button,16,3,1,Finished,5218,6596,10232,11251,12532,13494,13575,13897,10894,7911,6275,4179,13305,12835,12200,11937,12784,13047,13775,13797,13642,14099,15512,16512.0,17307.0,17353.0,20012.0,16918.0,16030.0,15328.0,15892.0,15640.0,15274.0,15402.0,15469.0,15819.0,15292.0,16261.0,16267.0,17292.0,17128.0,16989.0,18181.0,18382.0,18347.0,19258.0,20213.0,20398.0,20596.0,20554.0,20019.0,20222.0,20511.0,21460.0,19265.0,11568.0
6,91,14,coulthard,1,6,1,Finished,6184,7772,12431,14936,16622,18251,18605,19388,20476,38112,37306,33397,21258,21273,21234,21662,22058,22748,23812,24373,24958,26449,28069,34145.0,55573.0,53063.0,35997.0,34159.0,33946.0,33516.0,33646.0,34210.0,35064.0,35183.0,35525.0,35913.0,35575.0,39628.0,63216.0,61748.0,41857.0,43751.0,45153.0,47167.0,53374.0,54355.0,55527.0,56978.0,57448.0,58783.0,59142.0,60485.0,62183.0,62620.0,60198.0,53098.0
7,91,23,ralf_schumacher,3,19,5,Engine,6657,8207,13875,15999,18008,19845,20473,21310,19565,16642,18816,35452,22423,22695,22992,23549,24567,26339,27402,27919,28651,30861,33343,35695.0,37867.0,35404.0,18294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,91,17,webber,19,20,20,Spun off,7077,8451,12799,15731,66496,94363,96362,98567,96929,99170,110967,107698,99500,102440,104104,105366,111410,115019,116995,119984,124817,127276,129444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,91,4,alonso,4,7,1,Finished,8163,9316,12884,15321,17005,18686,19001,20060,20845,38935,38268,34043,21982,22086,22163,22370,23210,24364,24912,25041,25500,27034,28275,32189.0,62738.0,62610.0,47881.0,48668.0,51141.0,53114.0,55696.0,58142.0,60585.0,63022.0,65206.0,67705.0,69121.0,72336.0,74537.0,74397.0,55295.0,57592.0,59365.0,60943.0,62036.0,63036.0,64386.0,65423.0,66547.0,67316.0,67298.0,67991.0,68517.0,69374.0,73496.0,67877.0
10,91,11,sato,16,15,14,+4 Laps,8704,13544,18568,36788,39285,40877,41118,41758,39239,36647,36198,32380,19220,21955,45969,45267,45092,45346,46918,47842,49340,52005,54628,56368.0,58423.0,57181.0,41053.0,39787.0,40514.0,41715.0,43219.0,43994.0,44386.0,45098.0,49030.0,75775.0,76279.0,77773.0,78865.0,78590.0,60083.0,62285.0,63398.0,64654.0,65897.0,68456.0,70099.0,71560.0,73078.0,74603.0,76320.0,81934.0,,,,
