,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,71.0,21.0,fisichella,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.0,4711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,71.0,15.0,trulli,9.0,1.0,Finished,1429.0,1412.0,1611.0,1727.0,1835.0,1907.0,2352.0,2267.0,2086.0,2153.0,2090.0,2474.0,2747.0,2003.0,3344.0,4058.0,4866.0,25437.0,34191.0,36571.0,38071.0,40822.0,24602.0,27546.0,23549.0,25691.0,26026.0,26162.0,26243.0,28522.0,29070.0,30394.0,31656.0,32679.0,33965.0,54559.0,62672.0,65457.0,67506.0,71308.0,73537.0,58793.0,55915.0,58330.0,53664.0,54571.0,56308.0,56816.0,55591.0,57973.0,58649.0,58981.0,59936.0,60490.0,61804.0,62646.0,63108.0
2,71.0,14.0,coulthard,4.0,1.0,Finished,2189.0,2724.0,3461.0,4478.0,5517.0,6475.0,7370.0,7932.0,8101.0,8603.0,8707.0,9081.0,9132.0,8147.0,7370.0,9921.0,9641.0,9398.0,9230.0,8310.0,26792.0,33673.0,17091.0,17567.0,12799.0,12581.0,12045.0,11157.0,10475.0,11852.0,12808.0,12391.0,12191.0,12246.0,12330.0,12030.0,12042.0,12124.0,15649.0,15030.0,15316.0,18704.0,19037.0,21428.0,15766.0,16008.0,16304.0,16820.0,14651.0,13914.0,13617.0,12822.0,12571.0,14266.0,15611.0,17116.0,16131.0
3,71.0,17.0,webber,5.0,1.0,Finished,2809.0,3559.0,4088.0,5179.0,5904.0,7106.0,9018.0,8993.0,9128.0,9524.0,9514.0,9906.0,9865.0,9014.0,8131.0,10570.0,10525.0,10321.0,10474.0,29870.0,34985.0,36488.0,18905.0,18665.0,13636.0,13183.0,12777.0,11990.0,11167.0,12743.0,13580.0,13116.0,12875.0,12639.0,13065.0,13106.0,12848.0,12760.0,34694.0,41731.0,43223.0,28243.0,23596.0,24809.0,18712.0,18153.0,19596.0,19352.0,17208.0,16499.0,15935.0,15254.0,15627.0,15727.0,16641.0,17834.0,16908.0
4,71.0,2.0,heidfeld,19.0,3.0,Accident,3723.0,4344.0,4836.0,5873.0,6670.0,7980.0,9522.0,10226.0,10403.0,11175.0,11376.0,11831.0,11719.0,10933.0,10152.0,11844.0,11916.0,33829.0,41575.0,43155.0,44167.0,46022.0,29635.0,30338.0,25970.0,27676.0,28155.0,28503.0,28932.0,30062.0,31443.0,32022.0,32814.0,33895.0,35363.0,36208.0,36870.0,36788.0,36591.0,56619.0,64603.0,49380.0,,,,,,,,,,,,,,,
5,71.0,32.0,klien,7.0,1.0,Finished,4202.0,5159.0,5966.0,6643.0,7453.0,8665.0,10053.0,11012.0,11534.0,12219.0,12794.0,13982.0,14565.0,13761.0,13304.0,15817.0,16519.0,16772.0,16880.0,36599.0,42325.0,44220.0,28777.0,29417.0,25054.0,27068.0,27448.0,27916.0,28017.0,29433.0,30028.0,30864.0,32089.0,33294.0,34691.0,35684.0,35706.0,35657.0,35227.0,54961.0,60740.0,45329.0,41452.0,43543.0,38728.0,39133.0,39187.0,39274.0,37025.0,36873.0,36493.0,36080.0,37107.0,37441.0,38876.0,39352.0,38997.0
6,71.0,31.0,montoya,6.0,1.0,Finished,4733.0,5562.0,6458.0,7727.0,8185.0,9042.0,10479.0,11549.0,12010.0,13329.0,13693.0,15024.0,15681.0,15757.0,15447.0,17092.0,18941.0,19420.0,19640.0,19090.0,18064.0,18394.0,20548.0,26594.0,21891.0,21993.0,21281.0,20531.0,20063.0,20529.0,20180.0,21398.0,20819.0,21091.0,20998.0,20601.0,20245.0,19808.0,19630.0,19265.0,18602.0,25681.0,26350.0,28092.0,22330.0,22204.0,23131.0,22966.0,21887.0,22235.0,22602.0,22998.0,25766.0,27373.0,30468.0,34142.0,35033.0
7,71.0,22.0,barrichello,2.0,1.0,Finished,5502.0,6562.0,7507.0,8805.0,9670.0,10691.0,11836.0,12591.0,13498.0,15068.0,16401.0,17767.0,18595.0,18035.0,17735.0,18567.0,19805.0,20223.0,20779.0,20348.0,19280.0,19694.0,1431.0,0.0,12031.0,16786.0,16415.0,15943.0,15270.0,15774.0,16041.0,16692.0,16498.0,16611.0,16514.0,16000.0,15847.0,15462.0,16029.0,15719.0,15758.0,315.0,11509.0,17503.0,11958.0,11778.0,12419.0,11700.0,9112.0,8022.0,7294.0,6808.0,6193.0,5465.0,6104.0,6520.0,5553.0
8,71.0,35.0,villeneuve,13.0,11.0,+1 Lap,7935.0,9749.0,11213.0,13207.0,14462.0,15791.0,18693.0,19904.0,21387.0,22927.0,24257.0,26174.0,27720.0,28108.0,28518.0,29913.0,32455.0,34192.0,36178.0,37774.0,38668.0,61286.0,51347.0,52927.0,49119.0,50527.0,52031.0,52568.0,52844.0,54249.0,55377.0,56827.0,58267.0,59210.0,60629.0,61503.0,63168.0,66443.0,88786.0,97075.0,100458.0,86611.0,84488.0,88818.0,84352.0,85350.0,87178.0,91106.0,91798.0,92956.0,96954.0,98710.0,100161.0,100945.0,105382.0,107801.0,
9,71.0,4.0,alonso,3.0,1.0,Finished,8095.0,9981.0,11909.0,13633.0,15025.0,16267.0,18958.0,20335.0,21884.0,23514.0,24834.0,26745.0,28288.0,28708.0,29090.0,30496.0,31691.0,31948.0,32721.0,31633.0,29881.0,30474.0,11133.0,8825.0,20668.0,26374.0,26427.0,26852.0,26692.0,27630.0,26997.0,26989.0,26733.0,26961.0,26583.0,25696.0,25440.0,24673.0,23733.0,22856.0,21784.0,5168.0,0.0,0.0,9577.0,13888.0,14131.0,13114.0,10876.0,10016.0,9202.0,8483.0,7817.0,7056.0,7355.0,8025.0,6712.0
