,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,187191.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1,188603.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,8,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,11,11,11,11,12,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2,189915.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,190750.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,6,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,191535.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,192350.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,192753.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,3,2,2,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,193753.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,4,3,3,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
8,196940.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,9,9,8,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,16,15,15,15,13,13,13,13,13,14,14,14,14,14,14,14,14,13,0
9,197172.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,7,6,5,4,3,3,5,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,3,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3
10,197850.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,12,11,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
11,198479.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,14,14,14,14,14,13,13,13,13,13,13,12,12,12,0
12,199491.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,12,12,12,11,10,14,15,15,15,15,15,15,15,15,15,15,15,14,13,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
13,200271.0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,12,12,12,12,12,12,12,12,12,12,12,13,13,0,0
14,200977.0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,12,10,10,10,10,11,11,11,11,11,11,11,11,11,11,10,10,10,9,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,201313.0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,14,13,11,11,11,12,12,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
16,204975.0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
17,205706.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
18,207736.0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
19,210572.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
