,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
9,71,21,fisichella,4,1,1,Finished,97236,187191,276355,364970,453357,541494,629547,717712,805745,893437,981348,1068738,1156386,1244910,1333383,1420719,1507852.0,1595133.0,1682213.0,1769874.0,1858099.0,1944908.0,2050315.0,2142864.0,2231298.0,2319798.0,2408444.0,2497064.0,2585599.0,2673181.0,2761303.0,2849006.0,2936430.0,3023831.0,3110995.0,3198304.0,3285055.0,3371991.0,3459048.0,3546357.0,3633413.0,3736999.0,3830590.0,3920403.0,4008996.0,4096688.0,4183836.0,4271463.0,4360866.0,4448421.0,4535668.0,4623289.0,4710383.0,4797344.0,4883338.0,4969612.0,5057336.0
6,71,15,trulli,7,9,1,Finished,98665,188603,277966,366697,455192,543401,631899,719979,807831,895590,983438,1071212,1159133,1246913,1336727,1424777,1512718.0,1620570.0,1716404.0,1806445.0,1896170.0,1985730.0,2074917.0,2165852.0,2254847.0,2345489.0,2434470.0,2523226.0,2611842.0,2701703.0,2790373.0,2879400.0,2968086.0,3056510.0,3144960.0,3252863.0,3347727.0,3437448.0,3526554.0,3617665.0,3706950.0,3795792.0,3885037.0,3974022.0,4062660.0,4151259.0,4240144.0,4328279.0,4416457.0,4506394.0,4594317.0,4682270.0,4770319.0,4857834.0,4945142.0,5032258.0,5120444.0
5,71,14,coulthard,9,4,1,Finished,99425,189915,279816,369448,458874,547969,636917,725644,813846,902040,990055,1077819,1165518,1253057,1340753,1430640,1517493.0,1604531.0,1691443.0,1778184.0,1884891.0,1978581.0,2067406.0,2155873.0,2244097.0,2332379.0,2420489.0,2508221.0,2596074.0,2685033.0,2774111.0,2861397.0,2948621.0,3036077.0,3123325.0,3210334.0,3297097.0,3384115.0,3474697.0,3561387.0,3648729.0,3755703.0,3848159.0,3937120.0,4024762.0,4112696.0,4200140.0,4288283.0,4375517.0,4462335.0,4549285.0,4636111.0,4722954.0,4811610.0,4898949.0,4986728.0,5073467.0
7,71,17,webber,3,5,1,Finished,100045,190750,280443,370149,459261,548600,638565,726705,814873,902961,990862,1078644,1166251,1253924,1341514,1431289,1518377.0,1605454.0,1692687.0,1799744.0,1893084.0,1981396.0,2069220.0,2156971.0,2244934.0,2332981.0,2421221.0,2509054.0,2596766.0,2685924.0,2774883.0,2862122.0,2949305.0,3036470.0,3124060.0,3211410.0,3297903.0,3384751.0,3493742.0,3588088.0,3676636.0,3765242.0,3852718.0,3940501.0,4027708.0,4114841.0,4203432.0,4290815.0,4378074.0,4464920.0,4551603.0,4638543.0,4726010.0,4813071.0,4899979.0,4987446.0,5074244.0
0,71,2,heidfeld,3,19,3,Accident,100959,191535,281191,370843,460027,549474,639069,727938,816148,904612,992724,1080569,1168105,1255843,1343535,1432563,1519768.0,1628962.0,1723788.0,1813029.0,1902266.0,1990930.0,2079950.0,2168644.0,2257268.0,2347474.0,2436599.0,2525567.0,2614531.0,2703243.0,2792746.0,2881028.0,2969244.0,3057726.0,3146358.0,3234512.0,3321925.0,3408779.0,3495639.0,3602976.0,3698016.0,3786379.0,,,,,,,,,,,,,,,
15,71,32,klien,9,7,1,Finished,101438,192350,282321,371613,460810,550159,639600,728724,817279,905656,994142,1082720,1170951,1258671,1346687,1436536,1524371.0,1611905.0,1699093.0,1806473.0,1900424.0,1989128.0,2079092.0,2167723.0,2256352.0,2346866.0,2435892.0,2524980.0,2613616.0,2702614.0,2791331.0,2879870.0,2968519.0,3057125.0,3145686.0,3233988.0,3320761.0,3407648.0,3494275.0,3601318.0,3694153.0,3782328.0,3870574.0,3959235.0,4047724.0,4135821.0,4223023.0,4310737.0,4397891.0,4485294.0,4572161.0,4659369.0,4747490.0,4834785.0,4922214.0,5008964.0,5096333.0
14,71,31,montoya,1,6,1,Finished,101969,192753,282813,372697,461542,550536,640026,729261,817755,906766,995041,1083762,1172067,1260667,1348830,1437811,1526793.0,1614553.0,1701853.0,1788964.0,1876163.0,1963302.0,2070863.0,2164900.0,2253189.0,2341791.0,2429725.0,2517595.0,2605662.0,2693710.0,2781483.0,2870404.0,2957249.0,3044922.0,3131993.0,3218905.0,3305300.0,3391799.0,3478678.0,3565622.0,3652015.0,3762680.0,3855472.0,3943784.0,4031326.0,4118892.0,4206967.0,4294429.0,4382753.0,4470656.0,4558270.0,4646287.0,4736149.0,4824717.0,4913806.0,5003754.0,5092369.0
10,71,22,barrichello,6,2,1,Finished,102738,193753,283862,373775,463027,552185,641383,730303,819243,908505,997749,1086505,1174981,1262945,1351118,1439286,1527657.0,1615356.0,1702992.0,1790222.0,1877379.0,1964602.0,2051746.0,2138306.0,2243329.0,2336584.0,2424859.0,2513007.0,2600869.0,2688955.0,2777344.0,2865698.0,2952928.0,3040442.0,3127509.0,3214304.0,3300902.0,3387453.0,3475077.0,3562076.0,3649171.0,3737314.0,3840631.0,3933195.0,4020954.0,4108466.0,4196255.0,4283163.0,4369978.0,4456443.0,4542962.0,4630097.0,4716576.0,4802809.0,4889442.0,4976132.0,5062889.0
17,71,35,villeneuve,15,13,11,+1 Lap,105171,196940,287568,378177,467819,557285,648240,737616,827132,916364,1005605,1094912,1184106,1273018,1361901,1450632,1540307.0,1629325.0,1718391.0,1807648.0,1896767.0,2006194.0,2101662.0,2191233.0,2280417.0,2370325.0,2460475.0,2549632.0,2638443.0,2727430.0,2816680.0,2905833.0,2994697.0,3083041.0,3171624.0,3259807.0,3348223.0,3438434.0,3547834.0,3643432.0,3733871.0,3823610.0,3913610.0,4004510.0,4093348.0,4182038.0,4271014.0,4362569.0,4452664.0,4541377.0,4632622.0,4721999.0,4810544.0,4898289.0,4988720.0,5077413.0,
1,71,4,alonso,4,3,1,Finished,105331,197172,288264,378603,468382,557761,648505,738047,827629,916951,1006182,1095483,1184674,1273618,1362473,1451215,1539543.0,1627081.0,1714934.0,1801507.0,1887980.0,1975382.0,2061448.0,2147131.0,2251966.0,2346172.0,2434871.0,2523916.0,2612291.0,2700811.0,2788300.0,2875995.0,2963163.0,3050792.0,3137578.0,3224000.0,3310495.0,3396664.0,3482781.0,3569213.0,3655197.0,3742167.0,3829122.0,3915692.0,4018573.0,4110576.0,4197967.0,4284577.0,4371742.0,4458437.0,4544870.0,4631772.0,4718200.0,4804400.0,4890693.0,4977637.0,5064048.0
