,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2,77,8,raikkonen,1,11,3,Accident,96887,188960,280519,371902,463240,554584,645937,737296,828236,919535,1010629,1101802,1193023,1284314,1375671,1467117,1559127,1652984,1768597,1861465,1953970,2046487,2138508,2230834,2322950,2415283,2508678,2601280,2693212,2788890,2881168,2973181,3065497,3160062.0,3252097.0,3344740.0,3436516.0,3528387.0,3620331.0,3712234.0,3804768.0,3896902.0,3991651.0,4104337.0,4197088.0,4289712.0,4382519.0,4476036.0,4570228.0,4663533.0,4756991.0,4850172.0,4943501.0,5036552.0,5129231.0,5222028.0,5314964.0,5408373.0,
0,77,2,heidfeld,3,2,1,Finished,98883,191170,282493,373973,465260,556779,648331,739459,830583,921781,1013584,1107254,1220539,1312904,1405586,1497907,1590310,1682289,1774249,1866463,1958723,2050483,2142747,2234834,2326844,2418290,2510769,2603624,2695388,2787194,2881195,2996137,3089547,3182440.0,3275909.0,3368865.0,3461608.0,3555446.0,3648407.0,3741230.0,3834075.0,3927129.0,4020464.0,4112580.0,4204700.0,4296500.0,4388253.0,4480094.0,4572088.0,4667148.0,4779258.0,4872414.0,4964673.0,5056735.0,5150047.0,5242615.0,5335997.0,5428807.0,5523215.0
6,77,15,trulli,7,8,1,Finished,101238,195294,288368,381292,474060,566626,658895,754260,857501,949834,1042514,1135127,1228093,1320952,1413824,1506543,1599121,1694494,1812264,1906218,2000064,2094110,2188381,2282703,2376763,2470868,2564645,2658620,2752339,2845505,2939333,3032892,3126409,3219424.0,3313252.0,3406078.0,3499094.0,3592065.0,3684518.0,3776463.0,3868775.0,3961695.0,4053474.0,4145671.0,4240816.0,4354228.0,4447429.0,4541127.0,4634443.0,4728577.0,4822947.0,4918562.0,5011897.0,5105038.0,5198477.0,5292373.0,5386638.0,5481551.0,5577739.0
5,77,14,coulthard,9,4,1,Finished,101724,196008,289449,382604,475306,567917,660362,752588,844792,936986,1029054,1120994,1213015,1304960,1396761,1488535,1580241,1672025,1763331,1858350,1975085,2069296,2166644,2269781,2362760,2457645,2551236,2644670,2740879,2834661,2927270,3019837,3112771,3205251.0,3297899.0,3390284.0,3482533.0,3575048.0,3667017.0,3759858.0,3852208.0,3944087.0,4036892.0,4129168.0,4220800.0,4312392.0,4406929.0,4518445.0,4611520.0,4703863.0,4796487.0,4888670.0,4980816.0,5072674.0,5165430.0,5257930.0,5350671.0,5443604.0,5538236.0
1,77,4,alonso,4,1,1,Finished,102285,196428,289918,383168,476064,568724,661482,753797,846035,938043,1030349,1122396,1214149,1306006,1398086,1489729,1581446,1673734,1765481,1856959,1948273,2039089,2132669,2248931,2341552,2434054,2526571,2618854,2710984,2803186,2895621,2988887,3081293,3174371.0,3267223.0,3359995.0,3452022.0,3543826.0,3635702.0,3727158.0,3819066.0,3911047.0,4002650.0,4093361.0,4184138.0,4282063.0,4375786.0,4487861.0,4580328.0,4672185.0,4764437.0,4856342.0,4948423.0,5041004.0,5133267.0,5225576.0,5317693.0,5409962.0,5506648.0
4,77,13,massa,15,14,11,+1 Lap,103258,197930,291793,385519,478725,571674,664411,757378,850170,942687,1036205,1128585,1221451,1313803,1406482,1499651,1591983,1684312,1779092,1896971,1991103,2085448,2179244,2273963,2368169,2461888,2555394,2648477,2742223,2836820,2930128,3023232,3116284,3209305.0,3302495.0,3395332.0,3487912.0,3580566.0,3673056.0,3765771.0,3858406.0,3950782.0,4043591.0,4138691.0,4252398.0,4346350.0,4439927.0,4533667.0,4627646.0,4727518.0,4822534.0,4919588.0,5015963.0,5140073.0,5271560.0,5365872.0,5459495.0,5552755.0,
11,77,24,liuzzi,9,9,1,Finished,103958,198860,293140,387281,480771,574261,667574,761260,854440,947608,1040620,1133039,1226143,1319288,1412177,1504791,1597211,1689667,1785567,1904819,1999098,2093002,2187589,2281719,2375774,2470044,2563792,2657368,2750820,2844432,2938162,3031409,3124764,3217749.0,3310933.0,3404048.0,3496950.0,3589446.0,3681779.0,3774089.0,3866555.0,3958742.0,4050713.0,4147135.0,4261299.0,4355624.0,4450096.0,4544663.0,4638466.0,4732528.0,4826949.0,4921104.0,5016506.0,5111978.0,5205457.0,5298591.0,5391956.0,5485072.0,5578177.0
7,77,18,button,16,10,1,Finished,104519,199663,294655,388375,482504,578549,672209,765635,859554,953145,1047954,1141853,1235306,1328470,1421619,1514417,1606706,1698849,1791251,1883206,1975854,2070684,2167119,2283559,2377881,2472060,2565931,2659673,2753545,2847195,2941118,3034532,3127879,3221070.0,3314344.0,3407547.0,3500763.0,3593846.0,3686515.0,3779216.0,3871736.0,3964529.0,4057012.0,4149556.0,4242218.0,4337335.0,4451845.0,4546394.0,4640971.0,4735563.0,4830570.0,4925708.0,5021530.0,5118980.0,5215165.0,5310862.0,5407285.0,5503881.0,5602434.0
9,77,22,barrichello,6,3,1,Finished,105350,199946,294975,388718,482698,575661,667952,760865,851972,943497,1038868,1153668,1246666,1339003,1431609,1524092,1616025,1708016,1799924,1891499,1983392,2075905,2167731,2259782,2352210,2443749,2535098,2626231,2717401,2808876,2900342,2991723,3085664,3198543.0,3291446.0,3383617.0,3475654.0,3567782.0,3659705.0,3751432.0,3843449.0,3935359.0,4027092.0,4118120.0,4209892.0,4301289.0,4393413.0,4487604.0,4599298.0,4692048.0,4784507.0,4876717.0,4969513.0,5061905.0,5154875.0,5246709.0,5338950.0,5431904.0,5525197.0
15,77,33,monteiro,17,15,11,+1 Lap,107690,205541,302684,398430,494261,589839,684852,779531,875068,969674,1064537,1158881,1253276,1347503,1441372,1535508,1629564,1723377,1817200,1911788,2008774,2126933,2223444,2318882,2414520,2511799,2606974,2701979,2796545,2890700,2985011,3079303,3173903,3269726.0,3364010.0,3457712.0,3551723.0,3645393.0,3738818.0,3832637.0,3926080.0,4022590.0,4141424.0,4240069.0,4349573.0,4445063.0,4540542.0,4636905.0,4732018.0,4827527.0,4923173.0,5018917.0,5115721.0,5211368.0,5306288.0,5400749.0,5496460.0,5591372.0,
