,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2,60,4,alonso,4,1,1,Finished,88721,236905.0,385351.0,470507.0,553946.0,637269.0,720299.0,803345.0,886342.0,969326.0,1052001.0,1134449.0,1216800.0,1298914.0,1381072.0,1463560.0,1546209.0,1628579.0,1710452.0,1792345.0,1873944.0,1959789.0,2062592.0,2145078.0,2227612.0,2310325.0,2393124.0,2476428.0,2559796.0,2642862.0,2725994.0,2809831.0,2893163.0,2976459.0,3059406.0,3142822.0,3225857.0,3308515.0,3391256.0,3474335.0,3556787.0,3639130.0,3721491.0,3808047.0,3909832.0,3992368.0,4074923.0,4157950.0,4240295.0,4322703.0,4405358.0,4487981.0,4570553.0,4653145.0,4735665.0,4818599.0,4901400.0,4984179.0,5067129.0,5151927.0
3,60,8,raikkonen,1,3,1,Finished,89226,237914.0,385817.0,471040.0,554467.0,637993.0,721265.0,804536.0,887770.0,970889.0,1053913.0,1136642.0,1219362.0,1301895.0,1384356.0,1466963.0,1549490.0,1632336.0,1719024.0,1823224.0,1906452.0,1989690.0,2073327.0,2156422.0,2239733.0,2323018.0,2406257.0,2489509.0,2572739.0,2655615.0,2738606.0,2821542.0,2904396.0,2987663.0,3070663.0,3153860.0,3236936.0,3320304.0,3402816.0,3485474.0,3568087.0,3654842.0,3758107.0,3841419.0,3924961.0,4008441.0,4092054.0,4174900.0,4257996.0,4341289.0,4424659.0,4508056.0,4590965.0,4673666.0,4756507.0,4839759.0,4922476.0,5005078.0,5087877.0,5170599.0
14,60,30,michael_schumacher,6,2,1,Finished,90983,238916.0,386283.0,471648.0,555141.0,638726.0,722113.0,805336.0,888662.0,972088.0,1054924.0,1137687.0,1220669.0,1303302.0,1385789.0,1468439.0,1550978.0,1637921.0,1740599.0,1823947.0,1907526.0,1990930.0,2074973.0,2158303.0,2241395.0,2324519.0,2407749.0,2491139.0,2574018.0,2656965.0,2739893.0,2822844.0,2905618.0,2989649.0,3072136.0,3154921.0,3238166.0,3321775.0,3403913.0,3486485.0,3573041.0,3673127.0,3755423.0,3838813.0,3921722.0,4004712.0,4087219.0,4169675.0,4252100.0,4335034.0,4417543.0,4499841.0,4581775.0,4664401.0,4746518.0,4829446.0,4912464.0,4995993.0,5079691.0,5165878.0
5,60,13,massa,6,5,1,Finished,91822,240473.0,386861.0,472322.0,556137.0,639908.0,723464.0,806844.0,889968.0,973296.0,1056561.0,1139793.0,1222822.0,1305580.0,1388337.0,1470839.0,1553409.0,1636286.0,1723084.0,1828332.0,1911738.0,1995042.0,2078866.0,2162803.0,2246194.0,2329835.0,2413313.0,2497077.0,2580495.0,2664046.0,2747321.0,2830409.0,2913579.0,2996715.0,3080109.0,3164095.0,3247881.0,3330709.0,3413815.0,3497010.0,3580699.0,3663174.0,3745545.0,3828045.0,3915344.0,4017284.0,4100158.0,4183684.0,4267557.0,4351037.0,4434131.0,4517108.0,4601815.0,4684930.0,4767489.0,4850101.0,4932730.0,5015361.0,5098761.0,5183486.0
9,60,21,fisichella,4,4,1,Finished,92245,241321.0,387543.0,473425.0,557563.0,640899.0,724451.0,807853.0,890964.0,974855.0,1058382.0,1141260.0,1224091.0,1306844.0,1389419.0,1472209.0,1554854.0,1637529.0,1719899.0,1802872.0,1888645.0,1993033.0,2076328.0,2159947.0,2244354.0,2327971.0,2411624.0,2494858.0,2577927.0,2660988.0,2743998.0,2827262.0,2910907.0,2994084.0,3077409.0,3160665.0,3243616.0,3326382.0,3410125.0,3493569.0,3575964.0,3658202.0,3740476.0,3822755.0,3909255.0,4011768.0,4094904.0,4178175.0,4261236.0,4343955.0,4426629.0,4509502.0,4592383.0,4674698.0,4757636.0,4840679.0,4923400.0,5006090.0,5088843.0,5171903.0
0,60,2,heidfeld,2,7,1,Finished,93163,242985.0,388139.0,474658.0,560046.0,645027.0,729428.0,813679.0,898031.0,982910.0,1067320.0,1151060.0,1234800.0,1318277.0,1401661.0,1485126.0,1568676.0,1652243.0,1735677.0,1819094.0,1902298.0,1985338.0,2068148.0,2151037.0,2237360.0,2350135.0,2434933.0,2519523.0,2604472.0,2688687.0,2772521.0,2856251.0,2940192.0,3024484.0,3108593.0,3192137.0,3275701.0,3358902.0,3442250.0,3525246.0,3608495.0,3691607.0,3774313.0,3857212.0,3940499.0,4027828.0,4132592.0,4216585.0,4300421.0,4383927.0,4467169.0,4550663.0,4634079.0,4717912.0,4802076.0,4886254.0,4970534.0,5054982.0,5139658.0,5223521.0
15,60,31,montoya,1,6,1,Finished,95550,245226.0,388888.0,475508.0,560258.0,645270.0,729847.0,814076.0,898376.0,983351.0,1067985.0,1151737.0,1235423.0,1318947.0,1402367.0,1486080.0,1569443.0,1652779.0,1736207.0,1823712.0,1929479.0,2012992.0,2097058.0,2180710.0,2264376.0,2348840.0,2432577.0,2516018.0,2599492.0,2682976.0,2766359.0,2849688.0,2933036.0,3016412.0,3099708.0,3183350.0,3266492.0,3349272.0,3432628.0,3515817.0,3599079.0,3682366.0,3765708.0,3848986.0,3936405.0,4038432.0,4121506.0,4205253.0,4289033.0,4372745.0,4456544.0,4539829.0,4623452.0,4707293.0,4791392.0,4875654.0,4960312.0,5045547.0,5130324.0,5216696.0
10,60,22,barrichello,11,10,11,+1 Lap,95696,244697.0,388829.0,477293.0,563057.0,648478.0,733030.0,817382.0,901808.0,986644.0,1071076.0,1155257.0,1239243.0,1322995.0,1406773.0,1490604.0,1574586.0,1658412.0,1747343.0,1853485.0,1938214.0,2022881.0,2107544.0,2192210.0,2276305.0,2360875.0,2445230.0,2530131.0,2614732.0,2699600.0,2783874.0,2867724.0,2951842.0,3035974.0,3120003.0,3203789.0,3287466.0,3370690.0,3454378.0,3537852.0,3621415.0,3709315.0,3812728.0,3896859.0,3982118.0,4066275.0,4150263.0,4234240.0,4318188.0,4402563.0,4487181.0,4572564.0,4657036.0,4741283.0,4825322.0,4909865.0,4994601.0,5081032.0,5167481.0,
1,60,3,rosberg,3,9,1,Finished,96326,245835.0,389370.0,477706.0,563898.0,649518.0,734708.0,819610.0,904306.0,989284.0,1073884.0,1158389.0,1242536.0,1326629.0,1410803.0,1494834.0,1578970.0,1663041.0,1747021.0,1830917.0,1914420.0,1997741.0,2081115.0,2165566.0,2252840.0,2356538.0,2440950.0,2525351.0,2609978.0,2694092.0,2778294.0,2862450.0,2946863.0,3031097.0,3115366.0,3199130.0,3282751.0,3366170.0,3450025.0,3533649.0,3616969.0,3700953.0,3784370.0,3867399.0,3954733.0,4057949.0,4140865.0,4224274.0,4308483.0,4392689.0,4477213.0,4561357.0,4645142.0,4728872.0,4812626.0,4896135.0,4979817.0,5063410.0,5147456.0,5230935.0
18,60,35,villeneuve,2,8,1,Finished,97056,246994.0,390084.0,478119.0,564492.0,650011.0,735366.0,820727.0,905928.0,991412.0,1076823.0,1161256.0,1245490.0,1329391.0,1413206.0,1496683.0,1580350.0,1664149.0,1747708.0,1831746.0,1915129.0,1998618.0,2081862.0,2166244.0,2249775.0,2333572.0,2421307.0,2528256.0,2613056.0,2697094.0,2781335.0,2865343.0,2949574.0,3033666.0,3117470.0,3201214.0,3284728.0,3368007.0,3452195.0,3535608.0,3618841.0,3702850.0,3786205.0,3869455.0,3952556.0,4035477.0,4118836.0,4205712.0,4307324.0,4390997.0,4475111.0,4558772.0,4642622.0,4727026.0,4810872.0,4894285.0,4977805.0,5061640.0,5145794.0,5230226.0
