,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,61.0,4.0,alonso,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17938.0,19629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1899.0,1874.0,2324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61.0,8.0,raikkonen,3.0,1.0,Finished,354.0,1042.0,441.0,468.0,648.0,976.0,925.0,994.0,897.0,602.0,616.0,281.0,480.0,508.0,664.0,924.0,1151.0,1212.0,1071.0,1146.0,1243.0,1173.0,0.0,0.0,3637.0,5530.0,5868.0,6634.0,7242.0,7543.0,6466.0,6661.0,6751.0,6695.0,7298.0,8775.0,8739.0,7844.0,8095.0,8342.0,7959.0,8011.0,8060.0,8288.0,9185.0,12163.0,12210.0,12412.0,13066.0,0.0,0.0,0.0,22818.0,25408.0,25566.0,25216.0,24233.0,23421.0,22507.0,20988.0,6247.0,5615.0,3856.0,5432.0,4972.0,4326.0,4275.0,4143.0,6411.0,8813.0
2,61.0,21.0,fisichella,4.0,1.0,Finished,940.0,2381.0,1940.0,1837.0,2213.0,2517.0,9634.0,11572.0,12320.0,13244.0,13858.0,13791.0,13960.0,14593.0,16975.0,17922.0,19089.0,19977.0,21653.0,22675.0,24242.0,26198.0,27858.0,30599.0,32183.0,34300.0,35586.0,36642.0,37994.0,38577.0,38195.0,38773.0,39545.0,40684.0,40975.0,41860.0,42378.0,42178.0,42655.0,44936.0,45008.0,46234.0,49121.0,49109.0,52510.0,53009.0,52787.0,54287.0,54147.0,39077.0,37208.0,56436.0,56840.0,57193.0,56939.0,56738.0,56509.0,56615.0,55739.0,57456.0,16084.0,15166.0,8047.0,10707.0,11211.0,12816.0,14414.0,15381.0,14663.0,15679.0
3,61.0,15.0,trulli,6.0,11.0,+1 Lap,2414.0,4672.0,3053.0,4051.0,5241.0,6775.0,7607.0,9076.0,10593.0,11545.0,12340.0,12029.0,12354.0,12898.0,13663.0,14957.0,16381.0,17729.0,19050.0,20943.0,22835.0,25456.0,27052.0,30026.0,35654.0,39768.0,41566.0,43783.0,45423.0,46485.0,46838.0,47936.0,48896.0,49322.0,49985.0,50620.0,51210.0,52122.0,54552.0,56705.0,59946.0,61681.0,63297.0,64456.0,66063.0,67740.0,68858.0,87286.0,91876.0,80010.0,80580.0,81357.0,79783.0,79891.0,79787.0,79675.0,79864.0,79699.0,81752.0,134396.0,126174.0,124868.0,82609.0,85317.0,86700.0,87289.0,88477.0,89762.0,89634.0,
4,61.0,3.0,rosberg,21.0,3.0,Accident,2854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,61.0,31.0,montoya,18.0,3.0,Accident,2907.0,39460.0,15581.0,20050.0,21161.0,23194.0,26112.0,28720.0,31515.0,33992.0,36442.0,36967.0,42262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,61.0,30.0,michael_schumacher,2.0,1.0,Finished,3579.0,5430.0,3253.0,4580.0,5587.0,7192.0,8085.0,9497.0,10952.0,12097.0,12842.0,13006.0,13056.0,13704.0,14566.0,16984.0,18229.0,19347.0,20201.0,21558.0,23447.0,25699.0,27476.0,29107.0,9951.0,9285.0,8946.0,9697.0,9600.0,8897.0,8090.0,26046.0,28819.0,28818.0,28385.0,28235.0,28821.0,30484.0,30932.0,31272.0,30824.0,31414.0,32415.0,36885.0,38732.0,39782.0,39840.0,40922.0,41581.0,27834.0,25711.0,26992.0,24481.0,26214.0,25964.0,25989.0,41314.0,42000.0,40448.0,39207.0,10565.0,9196.0,5936.0,7708.0,7705.0,7390.0,7049.0,5994.0,3567.0,2111.0
7,61.0,18.0,button,9.0,11.0,+1 Lap,5116.0,6465.0,4451.0,7255.0,9211.0,11012.0,12724.0,14628.0,17268.0,18727.0,20488.0,20974.0,22405.0,23543.0,25118.0,27050.0,28696.0,30930.0,33312.0,35522.0,37380.0,39878.0,40916.0,43235.0,26012.0,29387.0,51031.0,54551.0,56391.0,58389.0,59233.0,60953.0,62493.0,63989.0,66024.0,68542.0,70553.0,71885.0,74874.0,78726.0,80569.0,82967.0,85415.0,88319.0,91003.0,93896.0,94905.0,96173.0,98536.0,85313.0,85335.0,104037.0,106502.0,107940.0,109859.0,110422.0,110639.0,110103.0,110881.0,139820.0,131199.0,127104.0,85323.0,87778.0,88988.0,92535.0,96522.0,98536.0,99085.0,
8,61.0,35.0,villeneuve,16.0,3.0,Accident,5590.0,7819.0,6065.0,8853.0,11146.0,13439.0,14812.0,16723.0,18689.0,21455.0,22989.0,23349.0,23971.0,26324.0,28096.0,29933.0,31691.0,35360.0,37472.0,39824.0,43127.0,45608.0,46517.0,48693.0,30936.0,31734.0,33623.0,34916.0,35539.0,35881.0,35516.0,36075.0,54461.0,57681.0,58446.0,60151.0,61683.0,62429.0,63640.0,65578.0,67777.0,70022.0,71567.0,72787.0,74513.0,76502.0,78999.0,80475.0,81730.0,68164.0,66927.0,67396.0,66431.0,67367.0,86433.0,88153.0,87865.0,87004.0,,,,,,,,,,,,
9,61.0,13.0,massa,5.0,1.0,Finished,6204.0,8696.0,7108.0,9540.0,11693.0,14034.0,15742.0,17515.0,19526.0,22329.0,23831.0,24049.0,24899.0,26850.0,29130.0,31322.0,32850.0,34379.0,35553.0,38510.0,40026.0,41578.0,42137.0,43985.0,26268.0,28986.0,29500.0,30057.0,30906.0,31004.0,30210.0,30954.0,31940.0,32827.0,33168.0,54768.0,59342.0,59569.0,60996.0,63376.0,67108.0,69033.0,70590.0,71692.0,73802.0,75771.0,78646.0,79921.0,80941.0,67091.0,65709.0,66300.0,65969.0,66556.0,67300.0,67681.0,66906.0,66020.0,64700.0,67216.0,18315.0,16137.0,9066.0,12889.0,14773.0,15599.0,17490.0,20750.0,22414.0,25172.0
10,61.0,2.0,heidfeld,7.0,11.0,+1 Lap,6648.0,10606.0,8705.0,10875.0,12664.0,15326.0,16789.0,19197.0,21058.0,23156.0,24806.0,26257.0,27704.0,28800.0,30302.0,33591.0,35139.0,36721.0,38370.0,40583.0,44934.0,46916.0,47842.0,49792.0,32574.0,33451.0,34731.0,36091.0,37243.0,40519.0,40583.0,41379.0,42405.0,62099.0,65005.0,66231.0,67365.0,68226.0,69570.0,70729.0,71037.0,73319.0,74122.0,74793.0,77433.0,79017.0,80171.0,81425.0,82850.0,69127.0,69416.0,69354.0,67630.0,84957.0,85928.0,85374.0,84896.0,84276.0,84893.0,136419.0,127759.0,125378.0,84735.0,87088.0,88312.0,89388.0,90519.0,91122.0,91059.0,
