,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,michael_schumacher,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,massa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,alonso,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,trulli,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,5,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ralf_schumacher,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,2,1,1,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,raikkonen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,7,7,7,7,7,7,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,fisichella,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,webber,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,12,12,11,10,9,9,9,9,9,9,8,8,11,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,rosa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,12,12,12,12,12,12,11,10,10,9,8,8,8,8,8,8,10,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,heidfeld,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,8,8,8,8,8,13,13,12,11,10,10,10,10,10,10,9,10,9,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
10,coulthard,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,9,9,9,9,9,8,8,8,8,11,11,11,11,11,11,11,11,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
11,barrichello,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,speed,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,9,9,9,14,14,14,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,13,13,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
13,villeneuve,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,11,11,11,11,11,11,10,11,15,15,15,15,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,0
