,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,54.0,21.0,fisichella,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20840.0,17499.0,5459.0,5563.0,5787.0,5961.0,5850.0,6168.0,3617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7807.0,7887.0,8290.0,8414.0,6180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,54.0,18.0,button,3.0,1.0,Finished,971.0,1176.0,1569.0,2064.0,2811.0,3433.0,3789.0,3891.0,4134.0,4202.0,4433.0,5005.0,5194.0,6229.0,6292.0,7116.0,4389.0,0.0,0.0,10441.0,11534.0,12536.0,13509.0,13672.0,14017.0,12190.0,8646.0,9168.0,9567.0,9574.0,9838.0,9905.0,10040.0,10013.0,9682.0,9090.0,10041.0,14158.0,23533.0,23410.0,23639.0,23899.0,21485.0,15814.0,15430.0,15038.0,15157.0,14608.0,14505.0,14294.0,13853.0,13392.0,12508.0,11776.0,11671.0,9631.0
2,54.0,4.0,alonso,2.0,1.0,Finished,2194.0,3483.0,4872.0,6389.0,7706.0,9263.0,10640.0,11310.0,12499.0,13562.0,14719.0,16060.0,16959.0,17855.0,19041.0,20161.0,18505.0,14692.0,11965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16437.0,15741.0,15042.0,14611.0,14331.0,14205.0,14411.0,14033.0,13584.0,12768.0,14088.0,12135.0,0.0,0.0,0.0,0.0,0.0,11784.0,9921.0,8593.0,8776.0,8334.0,8772.0,8371.0,8136.0,8059.0,7594.0,6805.0,6795.0,4585.0
3,54.0,17.0,webber,19.0,9.0,Hydraulics,2673.0,3734.0,5445.0,6904.0,8124.0,9762.0,11082.0,11732.0,13037.0,13977.0,15219.0,16502.0,17450.0,21239.0,46902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,54.0,31.0,montoya,4.0,1.0,Finished,3248.0,4674.0,6252.0,8079.0,9775.0,11741.0,13679.0,14925.0,16788.0,18683.0,20310.0,21971.0,23060.0,25070.0,26228.0,28420.0,26556.0,22726.0,20825.0,9844.0,10844.0,11740.0,16102.0,38062.0,39249.0,36959.0,33533.0,34149.0,35560.0,36226.0,36604.0,36624.0,36996.0,37105.0,37601.0,36637.0,36695.0,34074.0,21322.0,21571.0,22205.0,26385.0,45228.0,38608.0,38345.0,38062.0,38613.0,38576.0,38893.0,39961.0,41377.0,41726.0,41339.0,41015.0,40498.0,39351.0
5,54.0,2.0,heidfeld,15.0,5.0,Engine,4140.0,5391.0,7127.0,9555.0,11858.0,13840.0,15951.0,17146.0,18462.0,19901.0,22187.0,23882.0,25162.0,26685.0,28218.0,30769.0,29787.0,26563.0,24376.0,13768.0,15282.0,16095.0,17427.0,20903.0,42507.0,40677.0,37598.0,38261.0,39208.0,40404.0,40942.0,41396.0,42174.0,42590.0,42807.0,42266.0,43339.0,41594.0,29848.0,29931.0,30050.0,32705.0,51541.0,45668.0,45222.0,44519.0,44693.0,44270.0,,,,,,,,
6,54.0,3.0,rosberg,21.0,5.0,Engine,5280.0,6131.0,7422.0,9346.0,10713.0,12258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,54.0,15.0,trulli,9.0,11.0,+1 Lap,6377.0,7873.0,9707.0,12135.0,14323.0,16539.0,19397.0,20981.0,23181.0,25150.0,27187.0,29536.0,31539.0,35119.0,37185.0,41862.0,42890.0,40537.0,39028.0,32218.0,54737.0,56090.0,57874.0,59464.0,61093.0,60134.0,57731.0,59345.0,64003.0,65702.0,67251.0,69030.0,70557.0,71368.0,72406.0,75773.0,102800.0,101701.0,91359.0,93272.0,96483.0,98076.0,97237.0,92725.0,93350.0,93900.0,95088.0,97826.0,99583.0,99983.0,100133.0,100017.0,99834.0,99696.0,99823.0,
8,54.0,35.0,villeneuve,7.0,1.0,Finished,7230.0,9327.0,11269.0,13134.0,15707.0,17559.0,20432.0,21787.0,23878.0,26781.0,29983.0,31729.0,33424.0,35690.0,37530.0,39935.0,40075.0,37179.0,35297.0,24820.0,25556.0,27080.0,34017.0,57925.0,59055.0,57253.0,54747.0,57312.0,59197.0,60636.0,62101.0,63068.0,64431.0,65670.0,66221.0,65824.0,66919.0,66288.0,54680.0,55348.0,59989.0,81887.0,79535.0,74382.0,74527.0,74162.0,74832.0,75596.0,78064.0,80588.0,81828.0,82057.0,82493.0,82580.0,82294.0,80461.0
9,54.0,30.0,michael_schumacher,6.0,1.0,Finished,8041.0,9916.0,11818.0,14047.0,16103.0,18640.0,21200.0,22575.0,24468.0,27025.0,28426.0,30159.0,31948.0,32963.0,33255.0,34143.0,32939.0,29062.0,26288.0,15453.0,16371.0,17054.0,21153.0,46279.0,47248.0,46303.0,43660.0,44423.0,45384.0,46453.0,47501.0,48485.0,49261.0,49387.0,49123.0,48323.0,48638.0,46337.0,34231.0,35320.0,35429.0,35277.0,32653.0,25960.0,28085.0,48625.0,48315.0,47834.0,48236.0,47788.0,47594.0,46903.0,46336.0,45893.0,45481.0,43854.0
