,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
2,59,4,alonso,4,1,1,Finished,82551,160760,237831,314582,391054,467880,544578,621432,698166,774090,849761,926079,1003322,1079927,1157529,1234063,1309969,1385649,1461412,1537817,1614768,1690999,1767047,1861606,1941219,2019199,2097024,2174938,2252776,2331124,2409350,2487749,2566547,2645036,2721919,2799474,2877286,2956991,3034123,3113966,3193011,3270826,3348262,3424647,3501050,3578049,3655776.0,3732402.0,3827712.0,3963779.0,4085445.0,4205723.0,4283482.0,4361113.0,4438337.0,4515106.0,4591520.0,4667779.0,4744449.0,4821296.0,4898393.0,4975644.0,5052837.0,5131293.0,5209742.0,5287088.0,5364074.0,5441245.0,5518594.0,5596016.0,5673274.0,5751077.0,5828433.0,5906101.0,5984169.0,6061828.0,6140806.0,6223116.0
8,59,17,webber,3,21,43,Exhaust,83381,162026,239390,316264,392907,469802,546555,623329,700445,777649,854535,930868,1007349,1083690,1159858,1236919,1313736,1389621,1465388,1541958,1618571,1694323,1770003,1845865,1942315,2022515,2099978,2177362,2254591,2332382,2410474,2488915,2567689,2646272,2723880,2801578,2879818,2958987,3036158,3114942,3195940,3273193,3350670,3429869,3507964,3585434,3664014.0,3742781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,59,8,raikkonen,1,20,42,Heat shield fire,83795,161270,238395,315153,391501,468348,545126,621964,698675,774834,850666,926703,1003812,1080453,1158065,1234585,1311031,1386750,1462075,1538424,1615272,1711399,1789394,1865033,1941819,2019670,2097590,2175444,2253344,2331600,2409781,2488194,2567002,2645522,2722825,2799952,2877757,2957914,3034995,3114254,3193800,3271407,3349475,3425772,3502388,3579180,3656758.0,3733235.0,3828190.0,3964222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,59,31,montoya,1,2,1,Finished,84526,162750,240499,317326,394022,470850,547645,624508,701197,778291,855646,932264,1008860,1085949,1162169,1240615,1317416,1393850,1469908,1545916,1642274,1722044,1798319,1875386,1952081,2029174,2106380,2183521,2260531,2337134,2414055,2491157,2568624,2646891,2725022,2802646,2881592,2960975,3038825,3116717,3198284,3276723,3354364,3432161,3511192,3588370,3666295.0,3744734.0,3846740.0,3972646.0,4096122.0,4212092.0,4293564.0,4373277.0,4452039.0,4529346.0,4606458.0,4683268.0,4759667.0,4836733.0,4914826.0,4992244.0,5069628.0,5147106.0,5224596.0,5302275.0,5379466.0,5456845.0,5534429.0,5612262.0,5689627.0,5767155.0,5844455.0,5922911.0,6000956.0,6078842.0,6156887.0,6237683.0
11,59,22,barrichello,11,4,1,Finished,86245,165100,243678,322018,400601,479108,558277,636752,715251,793825,872720,951302,1029775,1108031,1186041,1264280,1342804,1421317,1499246,1576998,1655016,1733642,1811839,1890265,1969549,2048645,2127308,2205589,2284103,2362531,2440951,2519558,2598166,2676766,2755494,2834377,2913022,2992603,3072612,3151939,3231216,3312005,3391898,3471615,3570891,3652411,3731639.0,3812732.0,3893528.0,3981832.0,4105264.0,4219361.0,4300645.0,4381610.0,4462281.0,4542673.0,4622450.0,4702153.0,4780800.0,4859792.0,4939431.0,5018019.0,5104285.0,5186808.0,5265525.0,5342942.0,5420262.0,5497795.0,5575198.0,5652867.0,5730306.0,5808035.0,5886445.0,5964189.0,6042440.0,6120257.0,6197930.0,6276453.0
1,59,3,rosberg,3,19,3,Accident,86671,165577,244217,322679,401535,479826,558716,637486,715936,794399,873091,951732,1030281,1108617,1186617,1264799,1343320,1421859,1499789,1577581,1655473,1734060,1833662,1915028,1993225,2071721,2150768,2230221,2309524,2389994,2470133,2550558,2629974,2709507,2790049,2870698,2951183,3032267,3116095,3198766,3278053,3356100,3433327,3513441,3593031,3672426,3751494.0,3853383.0,3975446.0,4099224.0,4216331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,59,14,coulthard,9,3,1,Finished,86961,166070,244671,323138,401891,480255,559054,638009,716432,794843,873610,952151,1030866,1109263,1187170,1265358,1343767,1422270,1500377,1578265,1656117,1734488,1812956,1890819,1970007,2049931,2127856,2206144,2306885,2388673,2469128,2548641,2628150,2707945,2788617,2869289,2950315,3031467,3113300,3196775,3274996,3353029,3430968,3509239,3587088,3665284,3745605.0,3828372.0,3941155.0,4024264.0,4109367.0,4220939.0,4303247.0,4384122.0,4464215.0,4544707.0,4625215.0,4705667.0,4784853.0,4863654.0,4942400.0,5022907.0,5101574.0,5179579.0,5257759.0,5335777.0,5413851.0,5492200.0,5570399.0,5648765.0,5726731.0,5804760.0,5883020.0,5961115.0,6039371.0,6117722.0,6196591.0,6275414.0
10,59,21,fisichella,4,6,1,Finished,87666,166871,245477,323741,402480,481095,559659,638566,717074,795516,874344,952799,1031483,1110012,1188125,1266167,1344408,1422718,1501109,1579385,1656988,1734939,1813540,1891368,1970379,2051349,2150113,2230757,2309884,2390165,2470375,2549383,2628973,2708715,2789418,2870016,2950415,3031710,3112095,3191807,3269806,3350174,3428731,3505066,3584528,3663337,3743012.0,3842014.0,3969638.0,4092666.0,4209030.0,4287503.0,4365763.0,4443491.0,4520278.0,4596947.0,4673190.0,4749109.0,4825750.0,4901802.0,4977776.0,5054214.0,5131454.0,5208087.0,5284637.0,5360867.0,5437392.0,5514309.0,5590924.0,5667195.0,5743812.0,5820727.0,5899487.0,5976973.0,6054204.0,6130487.0,6206838.0,6285188.0
7,59,15,trulli,7,17,9,Hydraulics,89407,169284,248466,327235,406060,485109,563810,642226,720624,799100,877568,956246,1034708,1113106,1191292,1269282,1347219,1425402,1504086,1582326,1660243,1737747,1815767,1893828,1972096,2053361,2131887,2209506,2286903,2364083,2442431,2520916,2599197,2677792,2756270,2835119,2913856,2993153,3073241,3152678,3231768,3312500,3392427,3472116,3571693,3655280,3736259.0,3814738.0,3895403.0,3983103.0,4107098.0,4220131.0,4302253.0,4382997.0,4463192.0,4543682.0,4623987.0,4704907.0,4782872.0,4860967.0,4941447.0,5022247.0,5100425.0,5178159.0,5255599.0,5333532.0,5411788.0,5490102.0,5567845.0,5646112.0,5724241.0,5802102.0,,,,,,
18,59,32,klien,9,18,7,Transmission,90425,170667,250128,329531,408640,487287,566009,645478,724193,803168,881487,960849,1039522,1117868,1196280,1275259,1353790,1432091,1510021,1588139,1666428,1744892,1824355,1902729,1980898,2058988,2137513,2218713,2298274,2377582,2457467,2535758,2614432,2692982,2771327,2850106,2928600,3007140,3085955,3164890,3264231,3344791,3422859,3504705,3583951,3662831,3742458.0,3823843.0,3940657.0,4023767.0,4108595.0,4220673.0,4302912.0,4383708.0,4463853.0,4544322.0,,,,,,,,,,,,,,,,,,,,,,
