,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,56.0,30.0,michael_schumacher,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7301.0,7306.0,8014.0,8726.0,8713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4519.0,4314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,56.0,18.0,button,7.0,1.0,Finished,876.0,625.0,1057.0,1255.0,1557.0,1865.0,2143.0,2354.0,2420.0,2481.0,2849.0,3005.0,3190.0,3691.0,4637.0,27731.0,28759.0,30001.0,32081.0,33487.0,21102.0,22207.0,24226.0,26146.0,26704.0,17692.0,17202.0,16247.0,14889.0,14210.0,48335.0,47852.0,47842.0,46824.0,46829.0,44893.0,43109.0,41209.0,39437.0,38102.0,36983.0,37203.0,22089.0,22644.0,37976.0,37406.0,37518.0,36711.0,36620.0,37551.0,37045.0,36568.0,37007.0,37099.0,37592.0,37983.0,38144.0,37895.0,37937.0,38293.0,39422.0,39635.0
2,56.0,13.0,massa,4.0,1.0,Finished,2497.0,1461.0,2077.0,2552.0,2949.0,3246.0,3720.0,4138.0,4372.0,4725.0,5246.0,5223.0,6117.0,7186.0,7722.0,8298.0,10206.0,11264.0,13693.0,38264.0,25577.0,26946.0,29241.0,31636.0,32883.0,24921.0,25318.0,25278.0,25274.0,24824.0,24588.0,24003.0,24022.0,23308.0,22353.0,20058.0,18065.0,16709.0,14670.0,13773.0,13913.0,34729.0,19898.0,19584.0,15909.0,16511.0,17193.0,17108.0,17075.0,17331.0,17140.0,16811.0,17011.0,16712.0,16983.0,16945.0,16914.0,16583.0,16772.0,17266.0,17788.0,17096.0
3,56.0,4.0,alonso,2.0,1.0,Finished,3361.0,1955.0,2837.0,3588.0,4197.0,4630.0,5144.0,5699.0,6098.0,6347.0,6883.0,7114.0,7541.0,8441.0,9332.0,9629.0,10810.0,11847.0,13576.0,13563.0,0.0,0.0,0.0,0.0,0.0,11272.0,9872.0,8537.0,7281.0,5784.0,4665.0,3161.0,2417.0,422.0,376.0,276.0,284.0,287.0,258.0,565.0,1067.0,19427.0,5120.0,4904.0,592.0,368.0,553.0,867.0,355.0,359.0,393.0,366.0,395.0,351.0,442.0,435.0,358.0,396.0,2206.0,2324.0,2231.0,2096.0
4,56.0,22.0,barrichello,10.0,1.0,Finished,4300.0,4159.0,5592.0,6883.0,7953.0,8318.0,8855.0,9623.0,10143.0,11261.0,12182.0,12760.0,13995.0,16143.0,46144.0,47991.0,49993.0,52108.0,54667.0,57812.0,46209.0,49046.0,51928.0,54910.0,56705.0,48884.0,50006.0,50785.0,51597.0,51816.0,52488.0,52603.0,52998.0,53305.0,78077.0,77530.0,77108.0,77191.0,80018.0,80715.0,81259.0,82959.0,69367.0,70047.0,66190.0,66618.0,67420.0,67148.0,67770.0,68266.0,68874.0,69154.0,69909.0,70388.0,71540.0,71909.0,72763.0,73574.0,74775.0,75920.0,77488.0,77851.0
5,56.0,23.0,ralf_schumacher,9.0,1.0,Finished,5616.0,4877.0,6125.0,7385.0,8835.0,9401.0,10200.0,10992.0,11816.0,12691.0,14025.0,15131.0,16301.0,17699.0,18451.0,20305.0,41152.0,43246.0,46404.0,48815.0,37273.0,39310.0,42773.0,44912.0,46172.0,37538.0,38105.0,38117.0,38075.0,37972.0,37337.0,37284.0,56322.0,55179.0,54675.0,52542.0,50774.0,50150.0,48645.0,47106.0,46168.0,46181.0,31888.0,31753.0,26171.0,25632.0,45263.0,44850.0,44065.0,43622.0,42979.0,42353.0,42119.0,41468.0,41456.0,41233.0,41459.0,40966.0,41583.0,42456.0,44335.0,45511.0
6,56.0,31.0,montoya,3.0,1.0,Finished,6673.0,5736.0,7558.0,8965.0,10109.0,10723.0,11522.0,12425.0,13344.0,14585.0,15690.0,16431.0,17090.0,18404.0,19485.0,20649.0,21380.0,22262.0,24324.0,24614.0,12214.0,12301.0,13706.0,34227.0,34273.0,25310.0,26076.0,26086.0,26160.0,25765.0,25399.0,24774.0,25196.0,24863.0,23679.0,21199.0,19420.0,18040.0,16258.0,15818.0,15037.0,15491.0,0.0,0.0,14516.0,13895.0,14261.0,14033.0,13850.0,14170.0,14169.0,14290.0,14413.0,14244.0,14486.0,14334.0,14605.0,14521.0,14830.0,15484.0,16104.0,15868.0
7,56.0,15.0,trulli,21.0,38.0,Steering,7628.0,5994.0,8128.0,9711.0,13755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,56.0,17.0,webber,6.0,1.0,Finished,8257.0,6568.0,8733.0,10353.0,12166.0,13252.0,14250.0,15307.0,16577.0,17588.0,18855.0,19996.0,20932.0,22254.0,23226.0,23960.0,24816.0,25908.0,27819.0,28523.0,15873.0,17536.0,19643.0,40968.0,41991.0,33331.0,33637.0,33732.0,34223.0,34056.0,33802.0,33217.0,35200.0,34314.0,33729.0,31356.0,29354.0,27743.0,25435.0,24015.0,22894.0,24254.0,30957.0,36691.0,33838.0,34387.0,34794.0,34369.0,33918.0,34532.0,34747.0,34541.0,35118.0,35049.0,35164.0,35521.0,35628.0,35716.0,36012.0,36575.0,37106.0,37739.0
9,56.0,8.0,raikkonen,5.0,1.0,Finished,9494.0,6909.0,9250.0,10890.0,12572.0,14042.0,15129.0,16124.0,17513.0,18653.0,20050.0,20903.0,21715.0,23078.0,23897.0,24655.0,25632.0,26807.0,28479.0,29462.0,16687.0,18544.0,41960.0,43850.0,44882.0,36160.0,36246.0,36137.0,36393.0,36515.0,35997.0,35057.0,35562.0,35260.0,34710.0,32474.0,30619.0,29076.0,27826.0,26050.0,25065.0,25108.0,9840.0,9840.0,4484.0,3581.0,3029.0,20079.0,18036.0,17734.0,17548.0,17187.0,17353.0,17147.0,17527.0,17456.0,17462.0,17110.0,17259.0,17634.0,18197.0,17524.0
