,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,49.0,8.0,raikkonen,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49.0,13.0,massa,2.0,1.0,Finished,1384.0,1376.0,1739.0,1724.0,1834.0,2308.0,2444.0,2712.0,2966.0,3724.0,4306.0,4855.0,5010.0,5427.0,969.0,0.0,4811.0,4524.0,4457.0,4558.0,4518.0,3912.0,4821.0,4973.0,4892.0,4906.0,4951.0,4753.0,4869.0,5924.0,1112.0,0.0,4958.0,3914.0,3414.0,2777.0,3533.0,3158.0,3219.0,2922.0,2201.0,1779.0,1490.0,4695.0
2,49.0,4.0,alonso,3.0,1.0,Finished,1990.0,2474.0,3230.0,3705.0,4413.0,5246.0,5823.0,6615.0,7123.0,7964.0,8697.0,9730.0,10161.0,10555.0,10630.0,26691.0,12430.0,13148.0,14035.0,15081.0,15657.0,15735.0,16622.0,17383.0,18176.0,18929.0,19664.0,19838.0,19350.0,19940.0,15675.0,10098.0,1533.0,17255.0,16554.0,16067.0,16711.0,17226.0,17239.0,17284.0,17686.0,18018.0,17948.0,14343.0
3,49.0,1.0,hamilton,4.0,1.0,Finished,2569.0,3232.0,4466.0,5359.0,6279.0,7233.0,8077.0,9063.0,9732.0,10658.0,11325.0,12187.0,12838.0,13626.0,9394.0,8490.0,14714.0,15785.0,16528.0,17577.0,18459.0,18799.0,19691.0,20552.0,21608.0,22431.0,23280.0,23649.0,23373.0,24228.0,20211.0,15017.0,2243.0,2016.0,2097.0,1437.0,6345.0,23635.0,23687.0,23468.0,22858.0,22563.0,25551.0,23615.0
4,49.0,3.0,rosberg,6.0,1.0,Finished,4091.0,5775.0,7825.0,9752.0,11529.0,13454.0,15097.0,17034.0,19294.0,21233.0,22873.0,24778.0,26348.0,32843.0,49729.0,46177.0,32690.0,34406.0,36300.0,38513.0,39958.0,40964.0,42541.0,44290.0,45777.0,46980.0,48771.0,49884.0,50122.0,56092.0,73206.0,69910.0,58685.0,60304.0,62013.0,62766.0,64749.0,66806.0,69007.0,70773.0,72631.0,74438.0,76238.0,76876.0
5,49.0,5.0,kovalainen,8.0,1.0,Finished,5453.0,8282.0,11897.0,15514.0,19559.0,23081.0,26254.0,29321.0,32311.0,35055.0,38653.0,42499.0,45307.0,48240.0,46008.0,42506.0,28627.0,29871.0,31472.0,33203.0,34076.0,39006.0,65751.0,69680.0,72980.0,75779.0,78167.0,80194.0,81680.0,84712.0,82348.0,78946.0,67730.0,69777.0,71730.0,73122.0,75895.0,78403.0,80890.0,83153.0,84712.0,85885.0,86930.0,85106.0
6,49.0,17.0,webber,7.0,1.0,Finished,5704.0,8533.0,10069.0,11617.0,13379.0,15404.0,17409.0,19179.0,21611.0,23333.0,25466.0,27420.0,29631.0,36168.0,52871.0,49406.0,36035.0,37731.0,39649.0,41685.0,43488.0,44729.0,46803.0,49112.0,51165.0,52648.0,54337.0,55614.0,56170.0,58225.0,59333.0,73767.0,62401.0,64005.0,65663.0,66372.0,68300.0,70510.0,72632.0,74623.0,76529.0,78570.0,81028.0,80639.0
7,49.0,2.0,heidfeld,5.0,1.0,Finished,6183.0,9001.0,12506.0,15458.0,17404.0,19064.0,20351.0,21899.0,23299.0,24836.0,26366.0,28483.0,30137.0,32355.0,28310.0,23235.0,8021.0,12916.0,32699.0,34572.0,36583.0,37247.0,38153.0,39121.0,39763.0,40057.0,41949.0,41942.0,41597.0,43053.0,38947.0,33266.0,19672.0,24526.0,43734.0,44154.0,46054.0,47718.0,49132.0,50355.0,51360.0,52605.0,53991.0,51879.0
8,49.0,23.0,ralf_schumacher,10.0,1.0,Finished,6919.0,10457.0,13645.0,16782.0,20873.0,24678.0,28213.0,31357.0,34665.0,37465.0,40459.0,43623.0,46683.0,49383.0,47012.0,44006.0,30420.0,32024.0,34131.0,40577.0,64460.0,67242.0,70409.0,73648.0,76511.0,78806.0,81367.0,83688.0,85025.0,87774.0,85383.0,81841.0,70423.0,73163.0,74901.0,76070.0,78672.0,81321.0,83383.0,85450.0,87127.0,88939.0,90320.0,88574.0
9,49.0,14.0,coulthard,20.0,9.0,Hydraulics,7790.0,11837.0,16385.0,20793.0,25537.0,30161.0,34514.0,38592.0,41899.0,45975.0,49983.0,54221.0,58468.0,62662.0,61710.0,59408.0,47011.0,49788.0,52891.0,56019.0,58787.0,60727.0,63478.0,66119.0,73171.0,95609.0,98332.0,100735.0,103343.0,,,,,,,,,,,,,,,
10,49.0,15.0,trulli,11.0,1.0,Finished,8309.0,12258.0,16817.0,21027.0,27107.0,31311.0,35924.0,39800.0,43839.0,47330.0,51135.0,55340.0,59601.0,68276.0,85768.0,83256.0,70807.0,73444.0,75936.0,79073.0,82597.0,83460.0,85034.0,86554.0,88179.0,89637.0,90733.0,91374.0,91241.0,92762.0,93475.0,108440.0,97078.0,98704.0,99841.0,99905.0,101244.0,102588.0,103649.0,104698.0,105178.0,105803.0,106152.0,103653.0
11,49.0,18.0,button,18.0,9.0,Hydraulics,8730.0,14547.0,19487.0,23410.0,27817.0,32281.0,36873.0,41220.0,45951.0,49808.0,53362.0,57302.0,61073.0,65262.0,63927.0,62345.0,50253.0,52819.0,55390.0,58291.0,60879.0,62729.0,66285.0,74389.0,99120.0,103057.0,106504.0,110772.0,113429.0,117693.0,117466.0,114985.0,104304.0,106823.0,110261.0,139849.0,,,,,,,,
12,49.0,9.0,kubica,9.0,1.0,Finished,9206.0,13133.0,16114.0,18069.0,20417.0,23584.0,26664.0,29784.0,32827.0,35430.0,38427.0,40596.0,42251.0,43880.0,44777.0,62068.0,48086.0,50146.0,53317.0,56346.0,59320.0,61244.0,63991.0,66617.0,68908.0,69436.0,70225.0,70639.0,70476.0,71377.0,67256.0,61773.0,53107.0,71144.0,72462.0,73479.0,76446.0,78699.0,81284.0,83641.0,85261.0,86431.0,87560.0,85661.0
13,49.0,24.0,liuzzi,12.0,11.0,+1 Lap,9839.0,16290.0,20738.0,24734.0,29005.0,33302.0,37775.0,42203.0,46857.0,50903.0,54901.0,59630.0,63562.0,67650.0,66599.0,65031.0,52859.0,55564.0,57898.0,60599.0,63143.0,65142.0,68127.0,75660.0,103554.0,106833.0,111161.0,115180.0,117542.0,120982.0,119390.0,116276.0,105323.0,107521.0,111957.0,115102.0,117705.0,120106.0,122460.0,124630.0,128280.0,131027.0,134367.0,
14,49.0,16.0,sutil,14.0,11.0,+1 Lap,10100.0,14703.0,18454.0,21832.0,25761.0,30670.0,35118.0,39381.0,43320.0,46806.0,50584.0,54787.0,58999.0,63072.0,62169.0,64592.0,73238.0,76538.0,80053.0,83478.0,86274.0,88324.0,91085.0,93885.0,96668.0,99195.0,101705.0,104027.0,105398.0,114050.0,132092.0,130076.0,120418.0,123129.0,126504.0,128642.0,131454.0,135345.0,137918.0,140586.0,142760.0,145555.0,147901.0,
15,49.0,25.0,wurz,19.0,32.0,Fuel pressure,11040.0,28435.0,32655.0,36807.0,41253.0,45637.0,50114.0,54871.0,61017.0,65775.0,70153.0,74514.0,78489.0,82384.0,82034.0,80892.0,69613.0,72021.0,75124.0,78225.0,87494.0,114271.0,120796.0,125328.0,131937.0,135989.0,139816.0,143526.0,146804.0,151126.0,151457.0,155786.0,164261.0,175956.0,,,,,,,,,,
16,49.0,22.0,barrichello,13.0,11.0,+1 Lap,11883.0,17966.0,24073.0,30190.0,35937.0,41147.0,46352.0,51226.0,55577.0,60023.0,64269.0,69212.0,73196.0,77487.0,76469.0,74699.0,62564.0,65481.0,68286.0,71330.0,74184.0,75931.0,80399.0,82790.0,85334.0,92538.0,117659.0,121316.0,124145.0,127894.0,130189.0,129395.0,118917.0,121227.0,123514.0,126748.0,129739.0,133189.0,136168.0,138777.0,141046.0,143501.0,145538.0,
17,49.0,20.0,vettel,21.0,38.0,Steering,12419.0,18207.0,22002.0,25611.0,30179.0,35228.0,47615.0,83321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,49.0,11.0,sato,15.0,11.0,+1 Lap,12807.0,18590.0,24175.0,29390.0,34334.0,39357.0,43715.0,48375.0,52675.0,56988.0,61140.0,65585.0,69593.0,74023.0,73094.0,70934.0,58481.0,61033.0,63815.0,66585.0,73371.0,93593.0,96540.0,99241.0,102052.0,104683.0,107297.0,111201.0,114747.0,118189.0,116365.0,112874.0,105597.0,123833.0,126974.0,129183.0,132919.0,135990.0,138621.0,141325.0,143681.0,146176.0,148546.0,
