,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
5,45,8,raikkonen,6,14,9,Hydraulics,116528,265440,463962.0,668861.0,2058993.0,2219473.0,2371253.0,2480425.0,2586617.0,2693888.0,2803873.0,2930144.0,3029001.0,3125305.0,3220434.0,3315336.0,3409834.0,3504632.0,3599303.0,3694044.0,3788719.0,3882948.0,3977178.0,4071253.0,4165978.0,4260797.0,4355083.0,4449278.0,4543390.0,4637303.0,4731315.0,4825219.0,4919860.0,5016242.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,45,13,massa,6,2,1,Finished,121863,263607,423865.0,647242.0,2054037.0,2214755.0,2369331.0,2477377.0,2581890.0,2686014.0,2790647.0,2899262.0,3023707.0,3120260.0,3215602.0,3310963.0,3405896.0,3500819.0,3596154.0,3690562.0,3784947.0,3878679.0,3972488.0,4066266.0,4160142.0,4254064.0,4347714.0,4441354.0,4535125.0,4628476.0,4722146.0,4815675.0,4908840.0,5001693.0,5094854.0,5188248.0,5282242.0,5378194.0,5498306.0,5592724.0,5687018.0,5781374.0,5875086.0,5968877.0,6062916.0,6156976.0,6251359.0,6344955.0,6438590.0,6532259.0,6625840.0,6720499.0,6828862.0,6952502.0,7061073.0,7170175.0,7277303.0,7384140.0,7490453.0,7594513.0
3,45,4,alonso,1,1,1,Finished,122464,265325,424430.0,648948.0,2055380.0,2215324.0,2369476.0,2477920.0,2582497.0,2686697.0,2791513.0,2899759.0,3025400.0,3122363.0,3218006.0,3313424.0,3408353.0,3503400.0,3598254.0,3693004.0,3787652.0,3882115.0,3976525.0,4070690.0,4164992.0,4259088.0,4353006.0,4447298.0,4541429.0,4635651.0,4729535.0,4823107.0,4916605.0,5009994.0,5103225.0,5196692.0,5293738.0,5411755.0,5505929.0,5599989.0,5693900.0,5787464.0,5881421.0,5975249.0,6068860.0,6162586.0,6256342.0,6349687.0,6443273.0,6536727.0,6630686.0,6725441.0,6832351.0,6953586.0,7061189.0,7169343.0,7274818.0,7378946.0,7482522.0,7586358.0
19,45,25,wurz,3,4,1,Finished,122954,284968,474461.0,672591.0,2060266.0,2220587.0,2372494.0,2483381.0,2589795.0,2695575.0,2805738.0,2931796.0,3032404.0,3130748.0,3227532.0,3323848.0,3419656.0,3515754.0,3612265.0,3707742.0,3803270.0,3898658.0,3993942.0,4089456.0,4184337.0,4279373.0,4374281.0,4468843.0,4563253.0,4658090.0,4752803.0,4847391.0,4941626.0,5036840.0,5131208.0,5226133.0,5323364.0,5443358.0,5538173.0,5633467.0,5728524.0,5823475.0,5918739.0,6013940.0,6109052.0,6204262.0,6299170.0,6393653.0,6488189.0,6583143.0,6677970.0,6777375.0,6884826.0,7013131.0,7122438.0,7229858.0,7337104.0,7442437.0,7546777.0,7652295.0
10,45,15,trulli,7,13,11,+1 Lap,124362,290182,485640.0,770297.0,2066740.0,2225806.0,2379978.0,2490138.0,2599143.0,2707426.0,2813747.0,2925286.0,3071526.0,3171191.0,3269767.0,3367219.0,3464038.0,3560161.0,3656458.0,3752218.0,3847653.0,3943029.0,4038351.0,4133230.0,4228532.0,4323550.0,4418605.0,4513552.0,4608048.0,4702905.0,4797664.0,4892475.0,4987699.0,5086805.0,5207996.0,5304940.0,5402630.0,5501333.0,5598774.0,5697106.0,5793755.0,5890163.0,5986142.0,6082347.0,6178215.0,6274046.0,6369728.0,6465327.0,6560751.0,6656215.0,6759090.0,6876943.0,7005946.0,7143431.0,7253662.0,7361146.0,7466573.0,7571516.0,7677073.0,
12,45,17,webber,9,3,1,Finished,125277,270138,426120.0,657971.0,2055819.0,2216335.0,2370011.0,2479337.0,2585328.0,2689659.0,2794385.0,2903476.0,3031825.0,3129762.0,3226564.0,3322591.0,3418395.0,3514384.0,3609897.0,3705548.0,3801196.0,3896667.0,3991885.0,4086659.0,4181571.0,4276563.0,4371678.0,4466524.0,4560973.0,4656107.0,4751303.0,4846016.0,4940546.0,5035822.0,5130559.0,5225338.0,5319855.0,5414373.0,5508953.0,5603631.0,5701039.0,5819806.0,5914803.0,6009831.0,6104985.0,6199870.0,6294880.0,6389773.0,6484582.0,6579661.0,6674647.0,6773353.0,6881646.0,7008651.0,7117655.0,7226710.0,7334586.0,7439971.0,7545129.0,7652032.0
7,45,11,sato,8,15,31,Retired,125323,278874,479302.0,767149.0,2065553.0,2225443.0,2375933.0,2485943.0,2595810.0,2703417.0,2811644.0,2923738.0,3048883.0,3147435.0,3245573.0,3343172.0,3440770.0,3538171.0,3635742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45,21,fisichella,4,10,11,+1 Lap,125334,292058,488332.0,681511.0,2062064.0,2222024.0,2375021.0,2484998.0,2592857.0,2698435.0,2804757.0,2916995.0,3044713.0,3143636.0,3242121.0,3339019.0,3435734.0,3531569.0,3628443.0,3724253.0,3819260.0,3914156.0,4009549.0,4104888.0,4200398.0,4295601.0,4390882.0,4486635.0,4582001.0,4679884.0,4801946.0,4898091.0,4994655.0,5090729.0,5186654.0,5283052.0,5379085.0,5475012.0,5570738.0,5666316.0,5762087.0,5857692.0,5953244.0,6048512.0,6144013.0,6239565.0,6335387.0,6430280.0,6525658.0,6621332.0,6718339.0,6831737.0,6957261.0,7065623.0,7174740.0,7282457.0,7389066.0,7494717.0,7599782.0,
13,45,18,button,11,18,20,Spun off,126366,266407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,45,28,markus_winkelhock,12,17,9,Hydraulics,126828,244417,387137.0,613711.0,2051409.0,2213888.0,2368841.0,2484311.0,2597359.0,2709614.0,2827172.0,2965070.0,3067853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
