,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,4,4,6,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,alonso,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,7,8,10,9,8,8,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,raikkonen,3,3,8,21,21,21,21,21,21,21,21,21,20,20,21,20,19,18,16,14,14,13,12,12,11,11,10,10,10,10,10,10,10,10,8,8,7,7,7,6,11,10,10,10,9,7,7,7,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3
3,massa,4,9,21,20,20,20,20,20,20,20,20,20,19,19,20,21,20,20,17,20,20,20,19,18,17,17,17,17,16,16,15,14,14,13,13,12,11,11,10,8,7,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,5,9,8,8,8,8,8,7,7,6
4,heidfeld,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,11,11,10,10,10,9,9,9,9,9,9,9,8,7,9,14,13,13,13,12,10,9,9,9,8,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,8,0,0
5,button,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,14,19,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,17,17,16,16,16,15,14,13,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,9,0
6,webber,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,2,2,2,1,1,1,1,1,5,5,4,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,vettel,8,7,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,2,1,1,1,2,9,9,7,7,6,6,6,4,4,3,3,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,kubica,9,8,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,8,8,8,7,7,7,7,7,6,6,5,5,4,3,3,3,3,12,12,12,13,13,12,12,12,11,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,7,7,7,6,6,7
9,fisichella,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,5,5,5,5,5,4,4,6,6,6,5,5,5,4,2,2,2,1,3,7,7,7,7,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5
10,kovalainen,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,6,6,6,6,6,5,5,4,4,5,4,2,2,2,1,1,1,7,6,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,coulthard,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,5,3,3,5,9,8,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
12,trulli,13,13,12,11,11,11,11,11,11,11,11,13,13,13,13,17,17,19,21,19,19,19,18,17,18,18,18,18,17,17,18,18,18,18,18,18,19,18,18,18,18,17,17,17,16,15,14,13,13,13,13,13,13,13,13,13,12,12,12,12,13,13,13,13,13,12,0
13,ralf_schumacher,14,14,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,12,12,12,12,11,11,12,12,12,14,18,18,17,17,17,17,17,17,17,16,16,16,14,13,13,13,12,10,10,15,15,15,15,15,15,16,15,0,0,0,0,0,0,0,0,0,0,0,0
14,rosberg,15,15,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,16,17,16,16,15,15,14,14,13,13,13,13,12,12,12,11,10,9,9,9,11,16,15,15,15,14,13,12,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
