,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,50,1,hamilton,1,1,1,Finished,144990,280945,415951,551117,684363,819362,952222,1083454,1218302,1348638,1481383,1614107,1745665,1878868,2011125,2142059,2274135,2408594,2545412,2634635.0,2723653.0,2812685.0,2901521.0,2990327.0,3079190.0,3167839.0,3256032.0,3350157.0,3472985.0,3562021.0,3652213.0,3742989.0,3833910.0,3930817.0,4023096.0,4117265.0,4209095.0,4301734.0,4393620.0,4486126.0,4579280.0,4671048.0,4813932.0,4955641.0,5091321.0,5227476.0,5360916.0,5493770.0,5585112.0,5675355.0,5765484.0,5855771.0,5945704.0,6035756.0,6125564.0,6215235.0,6304538.0,6394655.0,6486648.0,6577709.0,6669556.0,6762213.0,6855421.0,6949165.0,7043007.0,7137785.0,7234579.0
3,50,4,alonso,1,21,3,Accident,148745,283875,417622,552016,685484,819834,953459,1084443,1218502,1349009,1483009,1615344,1746761,1880223,2012017,2143428,2275766,2409203,2545803,2636554.0,2725857.0,2814907.0,2904137.0,2993384.0,3081895.0,3170737.0,3265159.0,3390368.0,3480288.0,3571787.0,3663298.0,3755379.0,3847050.0,3939238.0,4033831.0,4126252.0,4218938.0,4311999.0,4404641.0,4497558.0,4589582.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50,8,raikkonen,6,3,1,Finished,150604,286202,424565,583152,712130,849406,981409,1110311,1247679,1381879,1508757,1640284,1769528,1902061,2034656,2165323,2298685,2431194,2556035,2658557.0,2755389.0,2848765.0,2940687.0,3033490.0,3124487.0,3215110.0,3307225.0,3397089.0,3486708.0,3576818.0,3667449.0,3758755.0,3850455.0,3940785.0,4032520.0,4124211.0,4217970.0,4310212.0,4403448.0,4504533.0,4630116.0,4727934.0,4831524.0,4970984.0,5101107.0,5246159.0,5368819.0,5497136.0,5592316.0,5684703.0,5775458.0,5866691.0,5957505.0,6048059.0,6137967.0,6228086.0,6317846.0,6409173.0,6499430.0,6590857.0,6684605.0,6777989.0,6871194.0,6964835.0,7057508.0,7151172.0,7244057.0
8,50,13,massa,6,6,1,Finished,151880,293885,441742,579552,709379,845970,977834,1106785,1244805,1378631,1504031,1636026,1766288,1898049,2031957,2166295,2299404,2431936,2557956,2674276.0,2784548.0,2874889.0,2964976.0,3055759.0,3148476.0,3238682.0,3328494.0,3418334.0,3508909.0,3601722.0,3693039.0,3782627.0,3872291.0,3963373.0,4053122.0,4144582.0,4237087.0,4331326.0,4424379.0,4518691.0,4610935.0,4704814.0,4823806.0,4966030.0,5097311.0,5234789.0,5364994.0,5494644.0,5589264.0,5682094.0,5773478.0,5863826.0,5954066.0,6044701.0,6135324.0,6225674.0,6316234.0,6412636.0,6531142.0,6625283.0,6719751.0,6813478.0,6907517.0,7001563.0,7095112.0,7188986.0,7283621.0
1,50,2,heidfeld,2,14,39,Technical,155328,289297,420013,553240,686970,822155,953969,1086374,1219679,1350261,1484286,1616400,1748214,1880887,2012676,2144642,2276418,2411306,2547066,2653451.0,2751338.0,2845263.0,2938713.0,3030361.0,3122313.0,3214243.0,3304507.0,3393591.0,3483076.0,3573240.0,3665864.0,3755710.0,3847207.0,3937159.0,4033426.0,4155787.0,4248014.0,4340678.0,4433314.0,4527095.0,4622369.0,4720948.0,4829350.0,4968516.0,5100279.0,5245300.0,5367299.0,5496960.0,5597286.0,5691980.0,5785764.0,5877582.0,5969150.0,6059943.0,6151223.0,6242383.0,6333316.0,6425645.0,6518504.0,6611909.0,6705807.0,6800045.0,6895135.0,6991222.0,7098247.0,,
13,50,18,button,11,11,22,Suspension,157032,290810,421672,554339,687723,823030,954901,1087133,1220514,1350972,1485057,1618199,1748904,1881421,2013354,2145123,2277034,2411565,2547472,2647074.0,2742037.0,2834862.0,2943932.0,3068501.0,3160604.0,3252917.0,3344951.0,3437455.0,3532114.0,3624795.0,3717662.0,3810395.0,3903719.0,3997217.0,4090794.0,4185658.0,4279496.0,4373929.0,4468257.0,4562621.0,4656609.0,4763185.0,4873873.0,4983064.0,5109596.0,5252505.0,5374977.0,5502176.0,5604780.0,5703146.0,5797984.0,5891738.0,5986256.0,6079479.0,6171857.0,6264652.0,6357095.0,6449046.0,6545500.0,6641661.0,6739348.0,6835870.0,6932527.0,7028068.0,7124352.0,7220820.0,
12,50,17,webber,9,20,4,Collision,157648,291688,422127,554837,688330,823819,955275,1087366,1221136,1351784,1485749,1618847,1749180,1882398,2014055,2145220,2277316,2411927,2547686,2644295.0,2735795.0,2826389.0,2916154.0,3006452.0,3097816.0,3187503.0,3277485.0,3366816.0,3456295.0,3545235.0,3634610.0,3723925.0,3813245.0,3903057.0,3993896.0,4088614.0,4211705.0,4302859.0,4395233.0,4487230.0,4581330.0,4675814.0,4814520.0,4955912.0,5091992.0,,,,,,,,,,,,,,,,,,,,,,
15,50,20,vettel,5,19,4,Collision,158559,293063,423452,555471,688891,824325,956149,1088174,1222903,1354150,1486563,1619828,1749899,1883286,2014253,2145968,2278158,2412709,2548162,2641895.0,2733339.0,2823591.0,2913747.0,3004449.0,3094529.0,3184444.0,3274382.0,3363753.0,3452891.0,3542131.0,3631188.0,3727029.0,3849426.0,3939565.0,4031947.0,4123478.0,4215059.0,4307617.0,4399461.0,4491874.0,4585359.0,4681091.0,4815871.0,4957850.0,5093710.0,5250187.0,,,,,,,,,,,,,,,,,,,,,
6,50,9,kubica,2,7,1,Finished,159078,293859,424310,556276,691746,825571,957254,1088979,1223441,1354638,1486963,1619809,1750531,1884457,2015324,2146428,2278572,2413346,2549575,2651288.0,2746448.0,2839793.0,2931625.0,3022931.0,3113675.0,3204235.0,3294576.0,3385815.0,3476382.0,3567678.0,3657473.0,3746494.0,3835632.0,3930518.0,4019574.0,4114904.0,4239322.0,4332278.0,4428069.0,4528769.0,4640228.0,4741635.0,4841254.0,4971990.0,5103342.0,5247459.0,5370799.0,5499142.0,5599825.0,5695752.0,5790096.0,5883644.0,5976050.0,6068507.0,6159524.0,6250829.0,6341832.0,6437340.0,6530555.0,6624060.0,6717972.0,6811565.0,6905517.0,6999687.0,7094305.0,7187998.0,7283864.0
16,50,21,fisichella,4,5,1,Finished,161473,295398,424799,557724,694032,826496,958981,1089669,1225019,1357661,1487473,1620900,1751100,1885445,2016919,2149245,2279897,2414351,2549592,2648620.0,2744110.0,2836654.0,2928846.0,3020241.0,3111048.0,3201653.0,3292657.0,3383563.0,3474928.0,3569617.0,3660818.0,3751553.0,3841940.0,3932453.0,4023652.0,4114973.0,4205743.0,4297609.0,4390445.0,4483880.0,4584270.0,4712902.0,4825138.0,4967854.0,5099071.0,5244403.0,5366034.0,5495892.0,5595100.0,5689751.0,5782377.0,5874696.0,5966194.0,6056995.0,6148079.0,6239039.0,6330356.0,6421621.0,6513386.0,6606543.0,6700520.0,6794471.0,6888564.0,6984001.0,7080011.0,7175369.0,7273443.0
