,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
9,39.0,13.0,massa,1.0,1.0,Finished,87479.0,171230.0,254791.0,337808.0,420917.0,503933.0,586986.0,669964.0,753000.0,836059.0,919427.0,1002137.0,1085019.0,1167699.0,1250618.0,1333370.0,1416583.0,1499334.0,1585390.0,1694479.0,1778016.0,1861442.0,1944903.0,2028391.0,2112123.0,2195945.0,2279641.0,2363242.0,2446984.0,2530775.0,2614786.0,2698431.0,2781801.0,2865324.0,2948625.0,3031715.0,3115123.0,3198555.0,3281901.0,3365309.0,3448408.0,3535699.0,3644719.0,3728952.0,3813256.0,3897963.0,3982456.0,4067800.0,4151769.0,4235704.0,4319573.0,4403277.0,4487042.0,4571076.0,4654922.0,4738900.0,4823304.0,4906898.0,4990606.0,5074451.0,5158198.0,5241973.0,5326184.0,5411063.0,5496230.0
1,39.0,1.0,hamilton,2.0,1.0,Finished,89086.0,173346.0,257308.0,341099.0,424916.0,508457.0,591958.0,675621.0,759299.0,842733.0,926044.0,1009400.0,1092419.0,1175448.0,1259189.0,1342388.0,1425339.0,1508879.0,1592307.0,1675183.0,1758271.0,1845172.0,1952960.0,2036756.0,2120943.0,2205800.0,2290390.0,2374399.0,2459139.0,2543996.0,2628197.0,2712835.0,2796965.0,2880977.0,2964824.0,3048576.0,3132588.0,3216320.0,3300124.0,3383964.0,3467795.0,3552011.0,3635560.0,3719035.0,3803012.0,3886440.0,3973406.0,4078722.0,4162290.0,4247299.0,4330907.0,4414775.0,4498740.0,4582713.0,4666493.0,4750166.0,4833791.0,4917485.0,5000941.0,5084203.0,5168017.0,5251520.0,5335024.0,5418720.0,5503020.0
6,39.0,8.0,raikkonen,19.0,22.0,Suspension,89601.0,174735.0,258830.0,342746.0,426407.0,509989.0,593464.0,676989.0,813628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,39.0,4.0,alonso,3.0,1.0,Finished,90137.0,175371.0,259549.0,343813.0,427915.0,511649.0,595444.0,679316.0,763266.0,846773.0,929997.0,1013333.0,1096522.0,1179896.0,1263131.0,1346324.0,1429290.0,1512439.0,1598875.0,1708865.0,1793180.0,1877534.0,1962277.0,2047187.0,2131719.0,2216319.0,2301252.0,2385426.0,2470301.0,2554955.0,2639777.0,2724528.0,2809142.0,2893596.0,2977903.0,3062036.0,3146209.0,3230203.0,3313877.0,3397833.0,3481734.0,3565861.0,3650059.0,3734416.0,3818640.0,3902483.0,3986701.0,4074272.0,4179948.0,4263101.0,4346265.0,4429750.0,4513209.0,4596918.0,4680572.0,4764086.0,4847621.0,4930742.0,5013983.0,5097865.0,5180839.0,5263965.0,5347045.0,5430033.0,5513686.0
7,39.0,9.0,kubica,4.0,1.0,Finished,91039.0,176071.0,260821.0,345291.0,429850.0,513970.0,598160.0,682218.0,766731.0,850698.0,934932.0,1018549.0,1101887.0,1185401.0,1269089.0,1352819.0,1436281.0,1519616.0,1602872.0,1686001.0,1772852.0,1880844.0,1964560.0,2049088.0,2133898.0,2218417.0,2303119.0,2387761.0,2472569.0,2557397.0,2642156.0,2727100.0,2811806.0,2896087.0,2980178.0,3064547.0,3148625.0,3232808.0,3316558.0,3400371.0,3484529.0,3568452.0,3652623.0,3736770.0,3821029.0,3904876.0,3992188.0,4098963.0,4183127.0,4267310.0,4351063.0,4434896.0,4518985.0,4603034.0,4687067.0,4771117.0,4855335.0,4939265.0,5022830.0,5106424.0,5190179.0,5274566.0,5358840.0,5443254.0,5527845.0
2,39.0,2.0,heidfeld,15.0,6.0,Gearbox,91982.0,177329.0,261947.0,346562.0,431275.0,515573.0,599839.0,683973.0,768436.0,852525.0,936634.0,1020441.0,1104063.0,1187765.0,1271622.0,1355286.0,1438911.0,1522552.0,1606153.0,1689644.0,1773166.0,1856649.0,1940256.0,2027099.0,2187779.0,2296033.0,2380598.0,2466563.0,2550732.0,2636086.0,2720541.0,2804567.0,2888663.0,2972358.0,3056400.0,3140403.0,3224124.0,3307854.0,3391671.0,3475695.0,3559913.0,3645574.0,3729955.0,3814852.0,3899613.0,4013507.0,,,,,,,,,,,,,,,,,,,
10,39.0,14.0,coulthard,5.0,1.0,Finished,92704.0,178143.0,263155.0,347899.0,432792.0,517268.0,601761.0,686006.0,770413.0,854822.0,938855.0,1022801.0,1106564.0,1190115.0,1273713.0,1357545.0,1441223.0,1524747.0,1608281.0,1696678.0,1804115.0,1888199.0,1972466.0,2056908.0,2141398.0,2226039.0,2310826.0,2394970.0,2479271.0,2563732.0,2647816.0,2731899.0,2816427.0,2900578.0,2984498.0,3068369.0,3152287.0,3236006.0,3319572.0,3403379.0,3487347.0,3574634.0,3682737.0,3767065.0,3851602.0,3936326.0,4021002.0,4105689.0,4190364.0,4274899.0,4359535.0,4444223.0,4529169.0,4614364.0,4698949.0,4783201.0,4867590.0,4951692.0,5042617.0,5128492.0,5214175.0,5300497.0,5385739.0,5470099.0,5554561.0
5,39.0,5.0,kovalainen,7.0,1.0,Finished,93207.0,178844.0,264044.0,348976.0,433848.0,518547.0,603115.0,687669.0,772329.0,856409.0,940690.0,1024768.0,1108615.0,1192770.0,1276743.0,1360581.0,1444265.0,1528243.0,1615382.0,1722275.0,1805705.0,1889265.0,1973277.0,2057840.0,2141927.0,2226287.0,2311267.0,2395447.0,2479653.0,2568043.0,2673938.0,2756918.0,2839970.0,2923174.0,3006436.0,3089920.0,3173106.0,3256416.0,3339491.0,3422542.0,3505753.0,3592853.0,3703318.0,3787733.0,3872261.0,3956661.0,4041345.0,4125945.0,4210325.0,4294862.0,4379302.0,4463962.0,4548520.0,4633266.0,4717571.0,4802022.0,4886154.0,4970462.0,5054492.0,5138692.0,5222978.0,5306716.0,5390777.0,5474396.0,5558358.0
3,39.0,3.0,rosberg,6.0,1.0,Finished,94278.0,180073.0,265648.0,351082.0,436360.0,521286.0,606041.0,690969.0,775930.0,860782.0,945902.0,1030768.0,1115285.0,1199849.0,1284382.0,1369025.0,1453433.0,1537666.0,1621645.0,1705726.0,1789893.0,1873970.0,1961635.0,2069725.0,2154673.0,2239266.0,2323770.0,2408138.0,2492627.0,2577083.0,2661419.0,2745717.0,2830173.0,2914629.0,2998604.0,3082769.0,3166983.0,3250866.0,3334688.0,3418731.0,3502650.0,3587158.0,3674713.0,3783437.0,3868151.0,3952900.0,4038084.0,4123104.0,4207780.0,4292292.0,4376968.0,4461533.0,4546068.0,4630320.0,4715017.0,4799519.0,4883693.0,4967861.0,5051645.0,5135338.0,5219310.0,5303402.0,5387690.0,5471596.0,5555768.0
17,39.0,22.0,barrichello,10.0,11.0,+1 Lap,95058.0,181124.0,266779.0,352364.0,437967.0,523001.0,608220.0,693318.0,778436.0,863472.0,948849.0,1033725.0,1118301.0,1202981.0,1287574.0,1371861.0,1456295.0,1544267.0,1653949.0,1738845.0,1824103.0,1910206.0,1995506.0,2080979.0,2166988.0,2252757.0,2337990.0,2422981.0,2508360.0,2593443.0,2678819.0,2763968.0,2849131.0,2934004.0,3018680.0,3103509.0,3188335.0,3272899.0,3357485.0,3442137.0,3530135.0,3639427.0,3724846.0,3810297.0,3896904.0,3984129.0,4070132.0,4156076.0,4241746.0,4327260.0,4412673.0,4499710.0,4585583.0,4671118.0,4756355.0,4841561.0,4926715.0,5011680.0,5097297.0,5184005.0,5269503.0,5355489.0,5441160.0,5526861.0,
