,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
1,42.0,1.0,hamilton,1.0,1.0,Finished,79304.0,154665.0,228994.0,302985.0,376666.0,450657.0,524845.0,599006.0,673350.0,747866.0,822417.0,896389.0,970666.0,1044953.0,1119025.0,1192898.0,1266619.0,1340198.0,1413522.0,1486744.0,1583345.0,1660971.0,1734560.0,1808309.0,1882510.0,1957329.0,2032253.0,2106479.0,2180741.0,2254845.0,2329289.0,2403606.0,2478186.0,2552296.0,2626493.0,2700949.0,2776112.0,2851770.0,2926488.0,3000702.0,3075692.0,3149869.0,3223700.0,3297575.0,3371454.0,3444953.0,3518235.0,3591717.0,3664955.0,3738375.0,3833582.0,3911282.0,3984799.0,4058358.0,4132316.0,4206280.0,4280357.0,4354737.0,4428963.0,4503333.0,4578021.0,4652603.0,4726935.0,4801019.0,4875175.0,4949490.0,5023569.0,5097675.0,5171823.0,5246146.0,5321077.0,5395219.0,5469965.0
4,42.0,4.0,alonso,2.0,1.0,Finished,79783.0,155299.0,229947.0,304333.0,378438.0,452579.0,526922.0,601242.0,675475.0,750086.0,824560.0,898807.0,973197.0,1047835.0,1121969.0,1196121.0,1269876.0,1343413.0,1416964.0,1490722.0,1563979.0,1659540.0,1738232.0,1811610.0,1885277.0,1959232.0,2033692.0,2107755.0,2181983.0,2256077.0,2330297.0,2404479.0,2478837.0,2553020.0,2627378.0,2702002.0,2776867.0,2851876.0,2927065.0,3001485.0,3076217.0,3150538.0,3224844.0,3298843.0,3372638.0,3446206.0,3520759.0,3594188.0,3667469.0,3761734.0,3839473.0,3912993.0,3986606.0,4060332.0,4134351.0,4208540.0,4282682.0,4356776.0,4430964.0,4505209.0,4580044.0,4654787.0,4729142.0,4803475.0,4877520.0,4951477.0,5025493.0,5099819.0,5174271.0,5248538.0,5323339.0,5397398.0,5471483.0
8,42.0,13.0,massa,3.0,1.0,Finished,80434.0,155822.0,230789.0,305359.0,379760.0,454064.0,528344.0,602796.0,677124.0,752163.0,826926.0,901246.0,975776.0,1050286.0,1124503.0,1198677.0,1272628.0,1346477.0,1420264.0,1493905.0,1592283.0,1672071.0,1746213.0,1820666.0,1895227.0,1970067.0,2044849.0,2119400.0,2193917.0,2268843.0,2343213.0,2417878.0,2492338.0,2566649.0,2640961.0,2715313.0,2789790.0,2864409.0,2938703.0,3013192.0,3087674.0,3162036.0,3236444.0,3311239.0,3385204.0,3459315.0,3533119.0,3606914.0,3680370.0,3753750.0,3827155.0,3921903.0,4000760.0,4074486.0,4148321.0,4222142.0,4296229.0,4370257.0,4444481.0,4518644.0,4592891.0,4667231.0,4741408.0,4815545.0,4890270.0,4964365.0,5038185.0,5111823.0,5185856.0,5260104.0,5334498.0,5408528.0,5482807.0
2,42.0,2.0,heidfeld,18.0,7.0,Transmission,81401.0,156631.0,231662.0,306422.0,380812.0,455724.0,530263.0,604964.0,679658.0,754347.0,828891.0,903576.0,978199.0,1052818.0,1127310.0,1201659.0,1275599.0,1349490.0,1423316.0,1496730.0,1602565.0,1680959.0,1754736.0,1828706.0,1902800.0,1977432.0,2051780.0,2127324.0,2201552.0,2275830.0,2350324.0,2425021.0,2499942.0,2574127.0,2648340.0,2722527.0,2796966.0,2871687.0,2946916.0,3021228.0,3096252.0,3170374.0,3244736.0,3318919.0,3392699.0,3466958.0,3540913.0,3636191.0,3715569.0,3790299.0,3865406.0,3940053.0,4014740.0,4089358.0,4164705.0,,,,,,,,,,,,,,,,,,
5,42.0,5.0,kovalainen,5.0,1.0,Finished,81970.0,157468.0,232693.0,307748.0,382580.0,457490.0,532501.0,607467.0,682563.0,757658.0,832547.0,907537.0,982714.0,1057768.0,1132474.0,1207371.0,1281900.0,1356277.0,1430630.0,1504825.0,1579625.0,1653675.0,1728060.0,1802128.0,1876949.0,1951097.0,2046876.0,2127624.0,2201929.0,2276158.0,2350792.0,2425467.0,2500338.0,2574647.0,2649018.0,2723624.0,2798237.0,2872981.0,2947768.0,3022678.0,3097085.0,3171296.0,3245885.0,3320296.0,3394300.0,3468368.0,3565627.0,3645114.0,3719542.0,3794113.0,3868504.0,3943497.0,4018080.0,4092797.0,4167835.0,4243202.0,4317921.0,4392878.0,4467841.0,4542792.0,4617824.0,4692726.0,4767215.0,4841627.0,4916104.0,4990490.0,5064488.0,5138495.0,5212753.0,5287703.0,5362152.0,5436353.0,5511367.0
6,42.0,8.0,raikkonen,4.0,1.0,Finished,82250.0,158155.0,233245.0,308495.0,383184.0,458261.0,533019.0,608080.0,683348.0,758351.0,833371.0,908386.0,983383.0,1058500.0,1133180.0,1207885.0,1282517.0,1357061.0,1431151.0,1505340.0,1580764.0,1654518.0,1728534.0,1825584.0,1904347.0,1977896.0,2051865.0,2125887.0,2199456.0,2273637.0,2348363.0,2423488.0,2498295.0,2572347.0,2646346.0,2720478.0,2794886.0,2870337.0,2944851.0,3019254.0,3093183.0,3166798.0,3240647.0,3314760.0,3388746.0,3462124.0,3535465.0,3609050.0,3682167.0,3755512.0,3850268.0,3928536.0,4002031.0,4075603.0,4149159.0,4222911.0,4296840.0,4371017.0,4445124.0,4519204.0,4593511.0,4667747.0,4742057.0,4815967.0,4890739.0,4964818.0,5038615.0,5112277.0,5186395.0,5260883.0,5334980.0,5409331.0,5485387.0
9,42.0,15.0,trulli,6.0,1.0,Finished,83404.0,159110.0,234974.0,310887.0,386291.0,461762.0,537052.0,612166.0,687543.0,763061.0,838358.0,913410.0,989051.0,1064770.0,1140165.0,1215289.0,1290337.0,1365081.0,1439770.0,1514211.0,1588580.0,1663526.0,1738224.0,1813706.0,1888250.0,1962716.0,2037401.0,2112851.0,2186958.0,2260974.0,2357814.0,2437950.0,2512621.0,2587128.0,2661904.0,2736569.0,2811538.0,2887108.0,2962099.0,3037354.0,3113065.0,3188281.0,3263331.0,3338083.0,3412799.0,3487538.0,3562203.0,3637079.0,3712144.0,3786729.0,3861411.0,3935968.0,4010429.0,4085261.0,4159712.0,4254688.0,4334358.0,4409388.0,4484711.0,4561886.0,4637225.0,4713025.0,4787801.0,4863010.0,4937846.0,5013288.0,5087874.0,5162548.0,5237161.0,5312063.0,5386688.0,5461575.0,5536668.0
15,42.0,21.0,fisichella,9.0,11.0,+1 Lap,84010.0,171617.0,247564.0,324026.0,401854.0,478281.0,555632.0,632133.0,710168.0,786698.0,863093.0,939957.0,1017413.0,1094597.0,1171515.0,1247971.0,1325067.0,1401793.0,1478449.0,1554681.0,1630813.0,1707319.0,1783770.0,1859803.0,1936259.0,2012679.0,2089700.0,2165503.0,2241594.0,2316250.0,2391094.0,2466711.0,2541395.0,2615854.0,2690410.0,2788562.0,2869597.0,2946482.0,3024236.0,3099826.0,3175252.0,3251519.0,3327066.0,3402691.0,3478355.0,3553918.0,3629369.0,3704965.0,3780210.0,3855331.0,3931145.0,4007113.0,4082390.0,4157494.0,4232561.0,4307824.0,4382807.0,4457910.0,4533389.0,4608912.0,4683869.0,4758757.0,4833497.0,4908338.0,4982719.0,5057013.0,5131022.0,5205437.0,5280266.0,5354996.0,5429701.0,5504282.0,
11,42.0,17.0,webber,7.0,1.0,Finished,84445.0,159947.0,235385.0,311264.0,386900.0,462594.0,538303.0,613972.0,689728.0,765444.0,841221.0,917115.0,992970.0,1068686.0,1144219.0,1219498.0,1294665.0,1369798.0,1444459.0,1519297.0,1593830.0,1668351.0,1743072.0,1817621.0,1892386.0,1967022.0,2041493.0,2115648.0,2189918.0,2286818.0,2365792.0,2440226.0,2514790.0,2589185.0,2664058.0,2738937.0,2814283.0,2889674.0,2965275.0,3040490.0,3115904.0,3191275.0,3266450.0,3341357.0,3416543.0,3491532.0,3566071.0,3640584.0,3715255.0,3789823.0,3865030.0,3939384.0,4013797.0,4088327.0,4163135.0,4237474.0,4311478.0,4385630.0,4480066.0,4562431.0,4637489.0,4713588.0,4788313.0,4863480.0,4938386.0,5013635.0,5088580.0,5163440.0,5238172.0,5312883.0,5387573.0,5462337.0,5537296.0
3,42.0,3.0,rosberg,16.0,5.0,Engine,85259.0,161119.0,237098.0,313192.0,388974.0,464902.0,540772.0,616654.0,692623.0,768497.0,844231.0,919886.0,995683.0,1071679.0,1147428.0,1223026.0,1298446.0,1373754.0,1448845.0,1523725.0,1598587.0,1673818.0,1748949.0,1823972.0,1899031.0,1974474.0,2049397.0,2123988.0,2198498.0,2273143.0,2347717.0,2422841.0,2497412.0,2571478.0,2645554.0,2719957.0,2794559.0,2869898.0,2944154.0,3046317.0,3126008.0,3201186.0,3276460.0,3351801.0,3426987.0,3502436.0,3578033.0,3653485.0,3729045.0,3805090.0,3880974.0,3956170.0,4031351.0,4106499.0,4181563.0,4256882.0,4332334.0,4408760.0,4483862.0,4559390.0,4634817.0,4710086.0,4785192.0,4860384.0,4935452.0,5009797.0,5084221.0,5159466.0,,,,,
