,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1,18.0,1.0,hamilton,1.0,1.0,Finished,121465.0,273936.0,363193.0,451807.0,540363.0,628876.0,717318.0,805969.0,894080.0,982526.0,1071092.0,1159455.0,1247462.0,1335247.0,1422997.0,1510587.0,1598071.0,1707346.0,1801732.0,1890450.0,1979077.0,2067546.0,2156266.0,2245243.0,2334009.0,2423919.0,2531292.0,2663613.0,2824624.0,2965695.0,3056362.0,3145466.0,3233421.0,3321378.0,3408971.0,3496781.0,3584611.0,3672288.0,3759740.0,3848420.0,3935914.0,4024121.0,4132536.0,4226420.0,4337466.0,4503898.0,4660536.0,4802522.0,4892057.0,4980739.0,5068804.0,5156806.0,5245686.0,5334746.0,5423384.0,5511626.0,5600991.0,5690616.0
9,18.0,9.0,kubica,9.0,4.0,Collision,122943.0,274271.0,364758.0,454035.0,543033.0,632030.0,721694.0,811353.0,900848.0,990165.0,1079095.0,1167996.0,1256927.0,1345931.0,1434684.0,1544129.0,1638797.0,1728274.0,1818280.0,1907818.0,1997462.0,2087205.0,2176535.0,2265706.0,2355000.0,2444889.0,2565778.0,2668848.0,2842887.0,2970608.0,3063535.0,3154807.0,3246110.0,3337900.0,3429176.0,3519984.0,3610607.0,3701507.0,3792086.0,3882671.0,3972988.0,4063461.0,4153712.0,4244188.0,4359528.0,4510517.0,4666665.0,,,,,,,,,,,
5,18.0,5.0,kovalainen,5.0,1.0,Finished,123824.0,274776.0,365991.0,455941.0,545567.0,634946.0,724203.0,813363.0,902202.0,991708.0,1080818.0,1169725.0,1258426.0,1347190.0,1435934.0,1524599.0,1612792.0,1701047.0,1788634.0,1876359.0,1964331.0,2073687.0,2167970.0,2257516.0,2346683.0,2436358.0,2562585.0,2666249.0,2825962.0,2966379.0,3057989.0,3147826.0,3236919.0,3325484.0,3413713.0,3501949.0,3590206.0,3678307.0,3766263.0,3854381.0,3942481.0,4030069.0,4117487.0,4205065.0,4327599.0,4502759.0,4676860.0,4807412.0,4899490.0,4989044.0,5079429.0,5169311.0,5259106.0,5349395.0,5439224.0,5528915.0,5619394.0,5708630.0
3,18.0,3.0,rosberg,3.0,1.0,Finished,124776.0,275518.0,367253.0,457426.0,547571.0,637134.0,727181.0,817027.0,906828.0,996583.0,1085870.0,1175297.0,1264788.0,1354134.0,1443366.0,1532284.0,1621088.0,1709679.0,1798070.0,1886464.0,1995524.0,2092036.0,2182130.0,2272228.0,2361835.0,2452262.0,2574885.0,2680379.0,2830050.0,2967752.0,3059858.0,3150054.0,3239387.0,3328551.0,3417270.0,3505814.0,3594452.0,3682866.0,3771025.0,3859360.0,3947450.0,4035589.0,4142941.0,4237512.0,4357169.0,4508256.0,4664939.0,4805556.0,4896143.0,4985434.0,5074611.0,5163727.0,5252914.0,5341863.0,5430865.0,5519722.0,5608893.0,5698779.0
2,18.0,2.0,heidfeld,2.0,1.0,Finished,125640.0,275956.0,368000.0,458332.0,548474.0,638098.0,729262.0,818683.0,908084.0,998326.0,1087582.0,1176654.0,1266029.0,1355228.0,1444393.0,1533122.0,1622387.0,1710915.0,1799096.0,1887397.0,1995289.0,2090220.0,2179245.0,2268326.0,2357052.0,2447076.0,2567902.0,2670644.0,2829502.0,2967443.0,3059004.0,3148900.0,3238270.0,3327154.0,3415532.0,3503964.0,3592277.0,3680280.0,3768246.0,3856269.0,3944008.0,4031802.0,4119679.0,4226029.0,4338585.0,4505263.0,4662172.0,4803045.0,4893534.0,4982956.0,5072372.0,5161781.0,5250881.0,5339982.0,5428761.0,5517847.0,5606664.0,5696094.0
15,18.0,15.0,trulli,15.0,10.0,Electrical,127207.0,277913.0,369726.0,460323.0,550858.0,641130.0,731354.0,821302.0,910899.0,1000917.0,1090789.0,1180538.0,1270186.0,1359851.0,1449569.0,1539165.0,1628679.0,1717989.0,1807409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,22.0,barrichello,22.0,2.0,Disqualified,127824.0,279509.0,371199.0,462113.0,552930.0,643602.0,734596.0,825354.0,915810.0,1006533.0,1097088.0,1187178.0,1277017.0,1366919.0,1456716.0,1546663.0,1636724.0,1725999.0,1817460.0,1907064.0,1996040.0,2085223.0,2194251.0,2288923.0,2379637.0,2470874.0,2575634.0,2681131.0,2831202.0,2968412.0,3060911.0,3151696.0,3241830.0,3331894.0,3421971.0,3511709.0,3601225.0,3690703.0,3779782.0,3868935.0,3957959.0,4046762.0,4135741.0,4224477.0,4341205.0,4506909.0,4663635.0,4803668.0,4918916.0,5013495.0,5104787.0,5196626.0,5287949.0,5378985.0,5470446.0,5561643.0,5652511.0,5743069.0
8,18.0,8.0,raikkonen,8.0,5.0,Engine,129474.0,280953.0,371794.0,462600.0,553995.0,644506.0,735315.0,825916.0,916304.0,1007091.0,1097926.0,1187818.0,1277496.0,1367392.0,1457227.0,1547107.0,1637156.0,1726425.0,1814868.0,1902771.0,1990762.0,2078984.0,2168510.0,2258036.0,2347327.0,2437792.0,2563474.0,2667705.0,2828138.0,2966518.0,3089407.0,3183708.0,3272936.0,3362429.0,3451750.0,3540766.0,3629923.0,3718965.0,3807830.0,3896590.0,3985831.0,4076480.0,4171411.0,4261980.0,4395295.0,4513374.0,4669631.0,4807121.0,4900104.0,4990222.0,5086264.0,5180852.0,5275340.0,,,,,
4,18.0,4.0,alonso,4.0,1.0,Finished,130476.0,283138.0,375189.0,466791.0,557899.0,648916.0,739760.0,830634.0,921311.0,1011853.0,1102329.0,1192568.0,1282708.0,1372851.0,1462730.0,1552274.0,1641997.0,1731374.0,1821004.0,1910586.0,1999939.0,2091057.0,2180499.0,2269651.0,2358576.0,2449466.0,2574072.0,2679444.0,2844943.0,2970685.0,3063915.0,3155191.0,3246492.0,3338311.0,3429581.0,3520550.0,3611040.0,3701865.0,3792525.0,3883101.0,3973318.0,4063894.0,4154078.0,4245190.0,4360956.0,4511309.0,4681615.0,4807870.0,4898938.0,4988454.0,5078997.0,5168836.0,5258539.0,5348890.0,5438808.0,5528419.0,5619194.0,5707797.0
14,18.0,14.0,coulthard,14.0,4.0,Collision,131198.0,282677.0,374209.0,465832.0,557041.0,647780.0,738868.0,829508.0,919802.0,1010123.0,1100600.0,1190803.0,1280991.0,1371222.0,1460884.0,1550572.0,1640298.0,1729880.0,1819767.0,1909448.0,1998950.0,2110161.0,2205432.0,2295823.0,2386572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
