,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,207281.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,208704.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,210129.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,211410.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,212382.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,9,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0
5,213448.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,10,10,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6
6,214971.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,7,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,216399.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,5,4,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8
8,217192.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,6,5,5,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9
9,218284.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,6,6,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
10,220452.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10
11,221343.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,0
12,222935.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,0
13,225787.0,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,14,13,13,13,13,13,13,13,13,13,16,18,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,0
14,226187.0,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,13,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,227062.0,16,16,16,16,17,17,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11
16,229378.0,17,18,18,18,18,18,17,17,17,17,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,18,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,16,16,16,16,16,16,0
17,229193.0,18,17,17,17,16,16,18,18,18,18,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,0
18,252102.0,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,0
