,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,27,1,hamilton,1,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15887,13130,6286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18471.0,19402.0,16067.0,3329.0,2816.0,2254.0,2145.0,1142.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27,13,massa,6,3,1,Finished,1827,2541,3095,3772,4127,4628,5589,5911,6415,7005,7507,8583,9078,9501,9769,10419,11074,8279,0,0,14255,8429,8654,8925,9438,10100,10134,10578,10449,11157,11130,11253,11574,11486,11783,16939.0,3288.0,0.0,3728.0,3976.0,2656.0,4489.0,6321.0,7909.0,9428.0,10802.0,12572.0,14257.0,15757.0,14086.0,13645.0,15501.0,13469.0,1907.0,2164.0,1845.0,4887.0,5161.0,5028.0,4928.0,5772.0,6484.0,7148.0,7208.0,7548.0,8699.0,9339.0
2,27,5,kovalainen,1,5,1,Finished,2716,4215,5022,6494,7521,8388,9401,10247,11174,12212,13200,13758,14178,14853,15356,16033,16741,14010,6090,2911,0,15734,16348,16677,17094,17710,18028,17748,17739,18370,18071,17775,17933,17982,18133,23576.0,6622.0,2481.0,6382.0,5952.0,3535.0,6244.0,8885.0,11138.0,12948.0,14723.0,16684.0,18417.0,19928.0,18325.0,18056.0,21305.0,19382.0,8367.0,8543.0,8517.0,8831.0,9095.0,8953.0,9038.0,9860.0,10534.0,10755.0,10868.0,11057.0,11556.0,12411.0
3,27,9,kubica,2,7,1,Finished,3769,5132,7241,9023,10389,11588,12326,13026,13840,14613,15507,15972,16565,17305,17864,18577,19148,19833,34613,32715,26869,21365,22144,22829,23362,24172,24415,24473,24740,25353,25253,25031,25328,25407,25439,27471.0,8619.0,2401.0,4257.0,4513.0,3193.0,5934.0,9869.0,12297.0,14241.0,16270.0,18464.0,20637.0,22344.0,21189.0,21313.0,23598.0,22053.0,11155.0,11748.0,11731.0,11979.0,12554.0,12862.0,14897.0,16379.0,17687.0,18818.0,19392.0,20347.0,21941.0,22603.0
4,27,15,trulli,7,9,1,Finished,4436,5902,7641,10477,11964,13523,14556,15438,16566,17811,18917,19775,20555,21268,22254,22991,23975,21486,17650,37462,32085,27031,28230,29370,30406,31687,32310,33085,33987,35524,36314,37021,38101,38668,39487,41092.0,11519.0,5561.0,7636.0,7022.0,4351.0,7388.0,10795.0,13676.0,16294.0,19640.0,22173.0,24560.0,26750.0,25893.0,26177.0,28530.0,26993.0,16157.0,16933.0,17776.0,18330.0,19347.0,20015.0,24408.0,26762.0,28834.0,30632.0,32030.0,33632.0,35341.0,37199.0
5,27,4,alonso,4,11,1,Finished,4984,6310,7738,11484,13123,14890,16262,17540,18837,20049,21145,22144,23040,24085,25001,26028,27104,24668,20580,40718,34667,30297,31662,33327,34767,36323,36844,37173,37819,40388,40944,41826,42575,42836,43532,50112.0,14429.0,6576.0,10317.0,9076.0,5330.0,8105.0,11689.0,16986.0,19376.0,22114.0,24809.0,27562.0,29596.0,28951.0,29068.0,31856.0,30016.0,19059.0,19293.0,19729.0,20260.0,26819.0,27194.0,27953.0,29357.0,30841.0,32269.0,33765.0,35419.0,37196.0,38625.0
6,27,8,raikkonen,6,6,1,Finished,5659,7408,8766,11089,12578,14209,15404,16586,17667,18979,20290,21232,22078,23106,24196,25109,26289,23843,16687,14219,7451,4903,25886,26495,26793,27409,27593,27368,27845,28715,28441,28133,28401,28379,28403,29373.0,9677.0,5040.0,15030.0,11944.0,6674.0,8613.0,12190.0,15119.0,16764.0,17835.0,19323.0,21384.0,22906.0,21633.0,21789.0,24164.0,22661.0,11613.0,12293.0,12592.0,12994.0,13147.0,13246.0,12952.0,13761.0,14018.0,14705.0,14574.0,14910.0,14960.0,14483.0
7,27,20,vettel,5,8,1,Finished,6117,7997,9670,12408,14250,15902,17503,18835,20297,21769,23777,24697,25791,27004,28640,29576,30636,28123,20256,17172,13565,29880,31348,32862,33999,35142,35778,36308,37041,39074,39427,39631,40343,40568,41324,48996.0,12965.0,6253.0,8569.0,8077.0,4968.0,7846.0,11355.0,14826.0,17862.0,20625.0,23202.0,25486.0,27895.0,26887.0,27243.0,29805.0,28095.0,17436.0,18324.0,19032.0,19549.0,20558.0,21324.0,23376.0,25110.0,26393.0,27593.0,28312.0,29271.0,30941.0,33282.0
8,27,17,webber,9,19,5,Engine,6446,8673,10331,12931,15068,17118,18913,20447,22041,23790,25640,26971,28084,29710,31149,32539,34060,31878,24310,21660,15128,9180,12598,34899,36478,38053,38964,39356,40273,41929,42757,43593,44789,45145,45728,52195.0,16563.0,6940.0,13249.0,9965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27,10,glock,7,20,22,Suspension,6885,9807,11669,14279,16418,18602,20545,22086,24272,26249,28264,29566,30969,33063,34459,35927,37287,35406,28417,25970,19390,13350,13418,13144,13113,13558,13460,13026,16838,39666,40236,40796,41613,41895,44750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
