,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,27,1,hamilton,1,1,1,Finished,83180,161084,238592,315114,391660,468080,544458,621104,697508,773586,849686,926252,1002795,1079145,1155471,1231936,1307975,1387654,1488322,1565421,1642415,1719356,1796616,1873602,1950630,2027396,2104604,2182084,2259437,2336204,2413715,2491037,2568260,2645843,2723167,2803133.0,2953992.0,3087132.0,3216782.0,3346777.0,3465976.0,3544128.0,3620913.0,3697531.0,3774036.0,3850508.0,3926660.0,4003020.0,4079294.0,4158655.0,4255380.0,4332298.0,4408705.0,4484799.0,4561555.0,4638434.0,4716000.0,4792342.0,4869017.0,4945588.0,5021891.0,5098032.0,5174306.0,5251092.0,5327687.0,5403979.0,5480874.0
11,27,13,massa,6,3,1,Finished,85007,163625,241687,318886,395787,472708,550047,627015,703923,780591,857193,934835,1011873,1088646,1165240,1242355,1319049,1395933,1472435,1552291,1650384,1727785,1805270,1882527,1960068,2037496,2114738,2192662,2269886,2347361,2424845,2502290,2579834,2657329,2734950,2820072.0,2957280.0,3085292.0,3220510.0,3350753.0,3468632.0,3548617.0,3627234.0,3705440.0,3783464.0,3861310.0,3939232.0,4017277.0,4095051.0,4172741.0,4250554.0,4328397.0,4406107.0,4483377.0,4560903.0,4638025.0,4718742.0,4796361.0,4873599.0,4950516.0,5027663.0,5104516.0,5181454.0,5258300.0,5335235.0,5412678.0,5490213.0
4,27,5,kovalainen,1,5,1,Finished,85896,165299,243614,321608,399181,476468,553859,631351,708682,785798,862886,940010,1016973,1093998,1170827,1247969,1324716,1401664,1478525,1555202,1636129,1735090,1812964,1890279,1967724,2045106,2122632,2199832,2277176,2354574,2431786,2508812,2586193,2663825,2741300,2826709.0,2960614.0,3087773.0,3223164.0,3352729.0,3469511.0,3550372.0,3629798.0,3708669.0,3786984.0,3865231.0,3943344.0,4021437.0,4099222.0,4176980.0,4254965.0,4334201.0,4412020.0,4489837.0,4567282.0,4644697.0,4722686.0,4800295.0,4877524.0,4954626.0,5031751.0,5108566.0,5185061.0,5261960.0,5338744.0,5415535.0,5493285.0
8,27,9,kubica,2,7,1,Finished,86949,166216,245833,324137,402049,479668,556784,634130,711348,788199,865193,942224,1019360,1096450,1173335,1250513,1327123,1407487,1507048,1585006,1662998,1740721,1818760,1896431,1973992,2051568,2129019,2206557,2284177,2361557,2438968,2516068,2593588,2671250,2748606,2830604.0,2962611.0,3087693.0,3221039.0,3351290.0,3469169.0,3550062.0,3630782.0,3709828.0,3788277.0,3866778.0,3945124.0,4023657.0,4101638.0,4179844.0,4258222.0,4336494.0,4414691.0,4492625.0,4570487.0,4647911.0,4725834.0,4803754.0,4881433.0,4960485.0,5038270.0,5115719.0,5193124.0,5270484.0,5348034.0,5425920.0,5503477.0
13,27,15,trulli,7,9,1,Finished,87616,166986,246233,325591,403624,481603,559014,636542,714074,791397,868603,946027,1023350,1100413,1177725,1254927,1331950,1409140,1490085,1589753,1668214,1746387,1824846,1902972,1981036,2059083,2136914,2215169,2293424,2371728,2450029,2528058,2606361,2684511,2762654,2844225.0,2965511.0,3090853.0,3224418.0,3353799.0,3470327.0,3551516.0,3631708.0,3711207.0,3790330.0,3870148.0,3948833.0,4027580.0,4106044.0,4184548.0,4263086.0,4341426.0,4419631.0,4497627.0,4575672.0,4653956.0,4732185.0,4810547.0,4888586.0,4969996.0,5048653.0,5126866.0,5204938.0,5283122.0,5361319.0,5439320.0,5518073.0
3,27,4,alonso,4,11,1,Finished,88164,167394,246330,326598,404783,482970,560720,638644,716345,793635,870831,948396,1025835,1103230,1180472,1257964,1335079,1412322,1493015,1593009,1670796,1749653,1828278,1906929,1985397,2063719,2141448,2219257,2297256,2376592,2454659,2532863,2610835,2688679,2766699,2853245.0,2968421.0,3091868.0,3227099.0,3355853.0,3471306.0,3552233.0,3632602.0,3714517.0,3793412.0,3872622.0,3951469.0,4030582.0,4108890.0,4187606.0,4265977.0,4344752.0,4422654.0,4500529.0,4578032.0,4655909.0,4734115.0,4818019.0,4895765.0,4973541.0,5051248.0,5128873.0,5206575.0,5284857.0,5363106.0,5441175.0,5519499.0
7,27,8,raikkonen,6,6,1,Finished,88839,168492,247358,326203,404238,482289,559862,637690,715175,792565,869976,947484,1024873,1102251,1179667,1257045,1334264,1411497,1489122,1566510,1643580,1724259,1822502,1900097,1977423,2054805,2132197,2209452,2287282,2364919,2442156,2519170,2596661,2674222,2751570,2832506.0,2963669.0,3090332.0,3231812.0,3358721.0,3472650.0,3552741.0,3633103.0,3712650.0,3790800.0,3868343.0,3945983.0,4024404.0,4102200.0,4180288.0,4258698.0,4337060.0,4415299.0,4493083.0,4571032.0,4648772.0,4726849.0,4804347.0,4881817.0,4958540.0,5035652.0,5112050.0,5189011.0,5265666.0,5342597.0,5418939.0,5495357.0
17,27,20,vettel,5,8,1,Finished,89297,169081,248262,327522,405910,483982,561961,639939,717805,795355,873463,950949,1028586,1106149,1184111,1261512,1338611,1415777,1492691,1569463,1649694,1749236,1827964,1906464,1984629,2062538,2140382,2218392,2296478,2375278,2453142,2530668,2608603,2686411,2764491,2852129.0,2966957.0,3091545.0,3225351.0,3354854.0,3470944.0,3551974.0,3632268.0,3712357.0,3791898.0,3871133.0,3949862.0,4028506.0,4107189.0,4185542.0,4264152.0,4342701.0,4420733.0,4498906.0,4577063.0,4655212.0,4733404.0,4811758.0,4889895.0,4968964.0,5047001.0,5124425.0,5201899.0,5279404.0,5356958.0,5434920.0,5514156.0
15,27,17,webber,9,19,5,Engine,89626,169757,248923,328045,406728,485198,563371,641551,719549,797376,875326,953223,1030879,1108855,1186620,1264475,1342035,1419532,1496745,1573951,1651257,1728536,1809214,1908501,1987108,2065449,2143568,2221440,2299710,2378133,2456472,2534630,2613049,2690988,2768895,2855328.0,2970555.0,3092232.0,3230031.0,3356742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27,10,glock,7,20,22,Suspension,90065,170891,250261,329393,408078,486682,565003,643190,721780,799835,877950,955818,1033764,1112208,1189930,1267863,1345262,1423060,1500852,1578261,1655519,1732706,1810034,1886746,1963743,2040954,2118064,2195110,2276275,2375870,2453951,2531833,2609873,2687738,2767917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,2,heidfeld,2,4,1,Finished,90714,171545,251112,330607,409072,487564,565765,643943,722542,800860,878876,956766,1034764,1113136,1191028,1268804,1346288,1424081,1501736,1579493,1656410,1735829,1813969,1891277,1968689,2046102,2126707,2225232,2302776,2380463,2458879,2536670,2615109,2692896,2770808,2856409.0,2972386.0,3091473.0,3218830.0,3348734.0,3467607.0,3546194.0,3623922.0,3700890.0,3777765.0,3854321.0,3931099.0,4007744.0,4084190.0,4160689.0,4236909.0,4312896.0,4392638.0,4488461.0,4565514.0,4642332.0,4719464.0,4797201.0,4874425.0,4951383.0,5028411.0,5105316.0,5182395.0,5259252.0,5336127.0,5413310.0,5490699.0
6,27,7,bourdais,5,12,1,Finished,91078,172731,253312,332582,411440,490053,568382,646514,724834,802791,881024,958973,1036732,1115281,1193140,1271175,1348550,1426001,1503593,1580809,1658242,1736489,1818357,1918115,1996690,2075166,2153319,2231074,2309127,2386939,2464769,2542266,2620290,2698299,2775878,2857027.0,2973470.0,3094607.0,3232798.0,3359550.0,3474082.0,3554650.0,3634429.0,3715089.0,3794405.0,3873641.0,3952830.0,4031464.0,4110030.0,4188823.0,4267375.0,4346509.0,4425628.0,4504377.0,4582642.0,4660798.0,4739156.0,4818853.0,4896936.0,4975019.0,5052889.0,5130333.0,5207302.0,5285211.0,5363723.0,5441944.0,5519985.0
16,27,18,button,11,17,11,+1 Lap,91599,173219,254339,334264,413712,492870,572392,652431,731254,810008,888398,967140,1047787,1126386,1204886,1283393,1361750,1440077,1518315,1596322,1674298,1752367,1830663,1909344,1988116,2066708,2148210,2248312,2327454,2406292,2485200,2566160,2645773,2725704,2812211,2961796.0,3090593.0,3217661.0,3347490.0,3466486.0,3549301.0,3627982.0,3706310.0,3784279.0,3862570.0,3940419.0,4018393.0,4096141.0,4173978.0,4251781.0,4329692.0,4407494.0,4486245.0,4567139.0,4664077.0,4741713.0,4819863.0,4897909.0,4976015.0,5054365.0,5132152.0,5209959.0,5287946.0,5365716.0,5443381.0,5521303.0,
2,27,3,rosberg,3,10,1,Finished,91914,174265,255326,335411,414964,493999,573560,653349,732607,811377,890094,968595,1048324,1127236,1205647,1284113,1362212,1440682,1518828,1596967,1674968,1752880,1831288,1909884,1988626,2067232,2146313,2226977,2325158,2402806,2480543,2558263,2635906,2713286,2792539,2873596.0,2976211.0,3095242.0,3231046.0,3357730.0,3472280.0,3553569.0,3633681.0,3714180.0,3793031.0,3872281.0,3951064.0,4029865.0,4108394.0,4186948.0,4265552.0,4345865.0,4424893.0,4503444.0,4581775.0,4659558.0,4737428.0,4816561.0,4894292.0,4972111.0,5050033.0,5128055.0,5205918.0,5284102.0,5362183.0,5440279.0,5518532.0
12,27,14,coulthard,9,13,1,Finished,92141,173600,254775,334661,414146,493303,572851,652816,731637,810483,888783,967495,1045340,1122966,1200630,1278105,1355160,1432154,1509276,1586695,1667427,1767947,1845992,1924260,2002415,2081037,2159521,2237780,2316392,2394843,2473315,2551906,2630387,2708769,2789446,2870858.0,2974773.0,3094561.0,3234214.0,3360718.0,3474484.0,3555502.0,3635353.0,3715599.0,3795300.0,3874568.0,3954091.0,4032973.0,4124544.0,4203594.0,4282983.0,4362291.0,4440706.0,4519190.0,4597580.0,4675699.0,4754299.0,4832698.0,4911305.0,4989386.0,5067464.0,5145424.0,5223265.0,5301306.0,5379664.0,5457843.0,5535845.0
5,27,6,nakajima,3,14,1,Finished,92562,175572,256388,336788,416871,496475,575856,654963,734421,813474,892815,971728,1050937,1130030,1208890,1287703,1374755,1452739,1530579,1608506,1686270,1764018,1841709,1919763,1998221,2076348,2154287,2232266,2313949,2412313,2492682,2571121,2649823,2729905,2814321,2956493.0,3088979.0,3216150.0,3306121.0,3389754.0,3489047.0,3568154.0,3647209.0,3725864.0,3804386.0,3883048.0,3961873.0,4040591.0,4120800.0,4201910.0,4282689.0,4364605.0,4445319.0,4524890.0,4603454.0,4681499.0,4759629.0,4837501.0,4915491.0,4993287.0,5071261.0,5149343.0,5227240.0,5305726.0,5384169.0,5462368.0,5540877.0
19,27,22,barrichello,11,18,4,Collision,93072,175115,255911,336394,416360,495902,575243,654403,733903,813028,892231,971290,1050487,1129609,1208422,1287042,1365296,1443664,1522042,1600260,1678369,1756474,1834787,1912810,1990965,2069337,2147522,2227352,2305917,2383903,2465708,2565118,2643615,2722104,2803991,2955130.0,3088005.0,3215835.0,3304409.0,3384832.0,3475203.0,3555834.0,3635913.0,3715945.0,3795906.0,3875275.0,3954423.0,4033471.0,4137542.0,4252618.0,,,,,,,,,,,,,,,,,
10,27,12,piquet_jr,4,2,1,Finished,93369,176006,257005,337505,417500,497251,576740,655893,735463,814266,893541,972620,1051885,1131053,1210028,1288803,1367306,1445370,1523672,1602112,1680157,1758310,1836759,1914880,1993166,2071305,2149514,2227999,2306976,2385231,2463662,2541401,2619171,2696998,2778249,2883995.0,2977237.0,3093493.0,3219625.0,3349507.0,3467996.0,3547677.0,3626044.0,3704207.0,3782353.0,3860177.0,3937961.0,4015589.0,4093148.0,4170694.0,4248823.0,4326364.0,4404105.0,4481470.0,4558739.0,4636180.0,4713855.0,4791200.0,4868571.0,4946957.0,5024126.0,5101262.0,5178238.0,5255189.0,5332235.0,5409145.0,5486460.0
