,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
7,21,8,raikkonen,6,1,1,Finished,97226,233991,367514,451108,534143.0,617077.0,699780.0,782727.0,865253.0,947761.0,1030477.0,1112995.0,1195173.0,1277509.0,1359480.0,1441516.0,1523343.0,1605353.0,1687195.0,1773199.0,1881056.0,1964774.0,2066126.0,2172983.0,2316809.0,2454253.0,2592955.0,2728106.0,2812033.0,2894942.0,2977452.0,3060012.0,3142383.0,3224689.0,3307073.0,3389435.0,3471674.0,3553805.0,3636020.0,3718236.0,3800433.0,3882743.0,3964844.0,4046895.0,4128859.0,4210529.0,4296437.0,4404181.0,4487566.0,4571111.0,4654182.0,4737042.0,4819948.0,4903089.0,4986394.0,5069361.0,5152119.0,5235254.0,5318538.0,5400940.0,5483448.0,5566149.0,5649146.0,5732452.0,5815426.0,5899051.0
12,21,13,massa,6,2,1,Finished,98272,234544,368031,452418,535846.0,618925.0,701840.0,785009.0,868014.0,950847.0,1033362.0,1115998.0,1198405.0,1280757.0,1362841.0,1444874.0,1527027.0,1609105.0,1694366.0,1802331.0,1885749.0,1969514.0,2068687.0,2173677.0,2317623.0,2455585.0,2593623.0,2728563.0,2813077.0,2896360.0,2979338.0,3062141.0,3144640.0,3227275.0,3309686.0,3392180.0,3474671.0,3557269.0,3639636.0,3721844.0,3803811.0,3885672.0,3967806.0,4050404.0,4132205.0,4217371.0,4322956.0,4406226.0,4489548.0,4573343.0,4656426.0,4739423.0,4822632.0,4905864.0,4988988.0,5072139.0,5155291.0,5238136.0,5320869.0,5403771.0,5486252.0,5569330.0,5652287.0,5735572.0,5818941.0,5902279.0
3,21,4,alonso,4,15,5,Engine,102487,237013,368979,453023,536494.0,620160.0,703352.0,786571.0,869663.0,952687.0,1035650.0,1118543.0,1201993.0,1285036.0,1367719.0,1453189.0,1562644.0,1646703.0,1730696.0,1814705.0,1898711.0,1983692.0,2126469.0,2217304.0,2321955.0,2460422.0,2597250.0,2730740.0,2816908.0,2901179.0,2985346.0,3069018.0,3152472.0,3235739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,1,hamilton,1,3,1,Finished,103509,237872,369550,453923,537276.0,620883.0,704146.0,787481.0,870756.0,953985.0,1037057.0,1120013.0,1202956.0,1285924.0,1368968.0,1451658.0,1533852.0,1616571.0,1698756.0,1780773.0,1865760.0,1974634.0,2069756.0,2174614.0,2318564.0,2457085.0,2594585.0,2728908.0,2813563.0,2897143.0,2980404.0,3063110.0,3145752.0,3228318.0,3311028.0,3394053.0,3476754.0,3559530.0,3642176.0,3724365.0,3806408.0,3888721.0,3971330.0,4053695.0,4136265.0,4218332.0,4303649.0,4409987.0,4492633.0,4575350.0,4658892.0,4741858.0,4825107.0,4908120.0,4991555.0,5074520.0,5157169.0,5239881.0,5322669.0,5405370.0,5488037.0,5570953.0,5653961.0,5737369.0,5820170.0,5903238.0
8,21,9,kubica,2,4,1,Finished,103971,238793,370131,454921,538257.0,621795.0,705274.0,788694.0,871945.0,955121.0,1038500.0,1121687.0,1204734.0,1287666.0,1370591.0,1453300.0,1535942.0,1618600.0,1700864.0,1782970.0,1868450.0,1976108.0,2070211.0,2175222.0,2319367.0,2457983.0,2595464.0,2729721.0,2814596.0,2898231.0,2981647.0,3064790.0,3147664.0,3230362.0,3312946.0,3395853.0,3478643.0,3561290.0,3643961.0,3726262.0,3808521.0,3890885.0,3973417.0,4055880.0,4138632.0,4220824.0,4305826.0,4412462.0,4495154.0,4577997.0,4661516.0,4744545.0,4827388.0,4910477.0,4993614.0,5076736.0,5159372.0,5242256.0,5325159.0,5408040.0,5490807.0,5573647.0,5656311.0,5739039.0,5821940.0,5904745.0
4,21,5,kovalainen,1,17,3,Accident,104543,239494,370508,455708,539951.0,623621.0,707105.0,790873.0,874160.0,957491.0,1040920.0,1124217.0,1207619.0,1290977.0,1373744.0,1456500.0,1539263.0,1622033.0,1704486.0,1787045.0,1869659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,2,heidfeld,2,9,1,Finished,106732,240399,371014,456842,541677.0,625517.0,709110.0,792984.0,876656.0,960216.0,1043929.0,1127651.0,1211227.0,1294483.0,1377501.0,1460509.0,1543419.0,1626278.0,1709021.0,1791560.0,1874079.0,1956840.0,2056112.0,2172021.0,2320826.0,2459342.0,2596580.0,2730481.0,2815938.0,2900298.0,2984366.0,3067820.0,3154688.0,3263994.0,3346982.0,3430017.0,3513465.0,3596572.0,3679430.0,3762306.0,3845506.0,3928630.0,4011971.0,4095361.0,4182551.0,4289684.0,4373295.0,4457903.0,4543110.0,4628511.0,4713267.0,4798269.0,4883259.0,4967740.0,5050744.0,5133500.0,5216169.0,5298823.0,5381644.0,5464302.0,5547343.0,5630214.0,5713373.0,5796111.0,5878671.0,5962124.0
15,21,17,webber,9,5,1,Finished,107237,241276,371491,457253,542239.0,626439.0,710644.0,794638.0,878401.0,962211.0,1045895.0,1129577.0,1213268.0,1296803.0,1380186.0,1463502.0,1546535.0,1629618.0,1712182.0,1797940.0,1907444.0,1992029.0,2133149.0,2235666.0,2328860.0,2461261.0,2598064.0,2731504.0,2817683.0,2902268.0,2986632.0,3070480.0,3154145.0,3237510.0,3320844.0,3404066.0,3487183.0,3570345.0,3653237.0,3736139.0,3818817.0,3902044.0,3984772.0,4067711.0,4150383.0,4236430.0,4344095.0,4427492.0,4511534.0,4595236.0,4679227.0,4763012.0,4846875.0,4930816.0,5014686.0,5098428.0,5182278.0,5266318.0,5349735.0,5433515.0,5517264.0,5600693.0,5684245.0,5767637.0,5851214.0,5934989.0
14,21,15,trulli,7,8,1,Finished,108249,242716,371896,457950,542963.0,627559.0,711558.0,795911.0,879824.0,963740.0,1047705.0,1131659.0,1215454.0,1299130.0,1382723.0,1466317.0,1549659.0,1632884.0,1715989.0,1802410.0,1910889.0,1995982.0,2138002.0,2239922.0,2334118.0,2462679.0,2599305.0,2731853.0,2818307.0,2903236.0,2988218.0,3072223.0,3155961.0,3239617.0,3323114.0,3406634.0,3489964.0,3573301.0,3656449.0,3739582.0,3822492.0,3905820.0,3988700.0,4071967.0,4154725.0,4241603.0,4353607.0,4437573.0,4521262.0,4605030.0,4688853.0,4772543.0,4859838.0,4957756.0,5041255.0,5124906.0,5208283.0,5291539.0,5374640.0,5457953.0,5540906.0,5624069.0,5707402.0,5790908.0,5874813.0,5958486.0
11,21,12,piquet_jr,4,20,4,Collision,109484,243414,372379,458391,551887.0,637331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
