,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,11.0,1.0,hamilton,2.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8688.0,14064.0,15692.0,16815.0,1682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16434.0,22891.0,24353.0,10375.0,6075.0,6469.0,6253.0,6763.0,6838.0,6542.0,6695.0,6432.0,6352.0,5979.0,5675.0,5496.0,5297.0,5039.0,4795.0,3909.0,2358.0
1,11.0,5.0,kovalainen,4.0,1.0,Finished,1503.0,1881.0,2120.0,2688.0,3090.0,4026.0,4645.0,5289.0,5484.0,5774.0,5816.0,6341.0,6251.0,6796.0,7567.0,0.0,14482.0,20888.0,22977.0,8836.0,7637.0,8099.0,8065.0,7981.0,7636.0,8141.0,8490.0,8628.0,8768.0,8901.0,9680.0,9842.0,9724.0,10050.0,10445.0,10617.0,6919.0,22573.0,30561.0,18417.0,15404.0,16542.0,16893.0,17743.0,17772.0,18060.0,18977.0,19526.0,19851.0,20202.0,20094.0,20543.0,20946.0,21189.0,21557.0,20878.0,20032.0
2,11.0,22.0,barrichello,1.0,1.0,Finished,2450.0,3478.0,4032.0,4742.0,4912.0,5728.0,6510.0,7052.0,7577.0,7698.0,7866.0,8118.0,8233.0,8733.0,8861.0,1253.0,0.0,0.0,0.0,0.0,3245.0,3423.0,3644.0,3601.0,3259.0,4019.0,4367.0,4185.0,4148.0,4122.0,4373.0,4527.0,4195.0,3931.0,4210.0,3686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11.0,8.0,raikkonen,3.0,1.0,Finished,2900.0,3965.0,4769.0,5562.0,6087.0,7407.0,7940.0,8867.0,9435.0,9986.0,10486.0,11043.0,11348.0,12355.0,13064.0,5719.0,4369.0,4819.0,21055.0,13352.0,12890.0,13246.0,13539.0,13726.0,13365.0,13963.0,14461.0,14511.0,14571.0,14549.0,14893.0,15178.0,15016.0,14962.0,15031.0,15310.0,11226.0,11637.0,11854.0,11730.0,13264.0,13410.0,13023.0,13088.0,12921.0,13308.0,13712.0,13884.0,14279.0,14688.0,14499.0,14337.0,14402.0,15348.0,15810.0,15587.0,15994.0
4,11.0,20.0,vettel,20.0,5.0,Engine,3523.0,4748.0,5734.0,6794.0,7682.0,8791.0,9679.0,10400.0,10932.0,11367.0,11922.0,12565.0,12514.0,13496.0,13990.0,23261.0,44214.0,50462.0,52618.0,38595.0,38399.0,39505.0,40893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11.0,3.0,rosberg,5.0,1.0,Finished,4262.0,5466.0,6541.0,7649.0,8679.0,10372.0,11358.0,12323.0,12954.0,13935.0,14554.0,15287.0,15640.0,16427.0,16868.0,10089.0,8981.0,9452.0,9843.0,10732.0,14584.0,15321.0,15911.0,16528.0,16667.0,18005.0,18988.0,19762.0,20540.0,21270.0,22187.0,22768.0,23037.0,23276.0,23304.0,23208.0,19621.0,20844.0,21583.0,8131.0,2925.0,2863.0,16667.0,21363.0,21737.0,21928.0,22336.0,22685.0,23099.0,22886.0,22585.0,22446.0,22555.0,22903.0,22630.0,21998.0,20870.0
6,11.0,4.0,alonso,6.0,1.0,Finished,5014.0,5914.0,7189.0,8753.0,9794.0,11337.0,13115.0,14026.0,14679.0,15163.0,15752.0,16333.0,16515.0,17316.0,17968.0,11142.0,26754.0,33027.0,34649.0,20736.0,19705.0,20319.0,21702.0,22758.0,22693.0,23733.0,24541.0,24829.0,25222.0,25721.0,26161.0,26469.0,26527.0,26777.0,26980.0,26978.0,23628.0,25518.0,26311.0,12276.0,7312.0,21136.0,25013.0,25250.0,25147.0,24755.0,25055.0,25019.0,25524.0,25490.0,25839.0,25879.0,25971.0,26207.0,26361.0,26747.0,27744.0
7,11.0,18.0,button,7.0,1.0,Finished,6171.0,7445.0,8948.0,11052.0,13528.0,15471.0,16797.0,18070.0,19185.0,20066.0,20536.0,21470.0,21643.0,22455.0,22697.0,14953.0,15029.0,17384.0,34045.0,23835.0,23948.0,25724.0,27382.0,28555.0,28970.0,30158.0,31220.0,31882.0,32733.0,33773.0,34686.0,34979.0,35006.0,35002.0,35200.0,35457.0,32363.0,32975.0,33800.0,20652.0,16539.0,30772.0,33683.0,33615.0,32770.0,31758.0,31260.0,30519.0,29896.0,29369.0,28674.0,28227.0,29743.0,31162.0,32602.0,33386.0,34913.0
8,11.0,17.0,webber,9.0,1.0,Finished,6634.0,8045.0,9526.0,11854.0,13251.0,14490.0,15377.0,16258.0,17270.0,18033.0,18651.0,19093.0,19694.0,20534.0,20932.0,13351.0,14364.0,16648.0,17549.0,19663.0,22374.0,23185.0,24321.0,25686.0,26079.0,27406.0,28285.0,28878.0,29585.0,30570.0,32110.0,33103.0,33340.0,33743.0,34501.0,34718.0,31161.0,31993.0,33103.0,19906.0,16143.0,17313.0,33031.0,38934.0,39727.0,39848.0,41137.0,41320.0,41595.0,41523.0,41426.0,42632.0,43035.0,43580.0,44080.0,44716.0,44910.0
9,11.0,2.0,heidfeld,11.0,1.0,Finished,7098.0,8847.0,10480.0,12547.0,15518.0,17548.0,19172.0,20761.0,22080.0,23317.0,24481.0,25653.0,26598.0,27938.0,28740.0,21893.0,21417.0,22775.0,24663.0,10368.0,9409.0,26179.0,32304.0,33771.0,34339.0,35746.0,37094.0,38177.0,39092.0,40117.0,41191.0,41986.0,42620.0,43145.0,43772.0,43980.0,40927.0,42112.0,43135.0,29435.0,25195.0,25751.0,39973.0,44568.0,44761.0,44930.0,45788.0,46056.0,46707.0,47091.0,47203.0,47554.0,47810.0,48792.0,49014.0,49077.0,48822.0
10,11.0,9.0,kubica,8.0,1.0,Finished,7628.0,9396.0,11051.0,12985.0,14276.0,16300.0,17746.0,18913.0,20179.0,21062.0,21792.0,22615.0,23158.0,24119.0,24517.0,33651.0,37609.0,38996.0,40457.0,26436.0,26371.0,27471.0,29106.0,30623.0,31156.0,32742.0,34215.0,35130.0,36113.0,36972.0,37658.0,38065.0,38080.0,38196.0,38301.0,38270.0,34713.0,35292.0,36004.0,36727.0,36022.0,35978.0,35630.0,36118.0,36230.0,36301.0,36411.0,36551.0,36681.0,37135.0,37056.0,37174.0,37721.0,37897.0,37641.0,37168.0,36667.0
11,11.0,16.0,sutil,10.0,1.0,Finished,8137.0,10074.0,11723.0,13776.0,16501.0,18527.0,20226.0,21985.0,23219.0,24370.0,25478.0,26472.0,27629.0,29066.0,29886.0,22908.0,22562.0,23849.0,25212.0,10961.0,10203.0,24703.0,30637.0,31347.0,31814.0,33426.0,34819.0,35818.0,36791.0,37827.0,38797.0,39643.0,39878.0,40429.0,40402.0,40146.0,36762.0,54181.0,60097.0,45905.0,41400.0,41656.0,41675.0,42021.0,42675.0,42946.0,43796.0,44312.0,45147.0,45491.0,45664.0,46142.0,46676.0,47219.0,47727.0,47697.0,47935.0
12,11.0,21.0,fisichella,12.0,1.0,Finished,8999.0,11129.0,13477.0,15748.0,17952.0,20706.0,23161.0,25495.0,28176.0,30214.0,32285.0,33967.0,35777.0,37449.0,38997.0,32607.0,32689.0,34927.0,36686.0,22728.0,23514.0,24632.0,25878.0,26934.0,27283.0,28797.0,29813.0,30347.0,31259.0,31912.0,50515.0,56524.0,57764.0,58625.0,59799.0,61431.0,59298.0,60920.0,63375.0,51080.0,47438.0,48786.0,49201.0,50406.0,52408.0,53769.0,54812.0,55714.0,57132.0,58087.0,58943.0,59891.0,60554.0,62135.0,62978.0,63618.0,63614.0
13,11.0,6.0,nakajima,18.0,13.0,+3 Laps,10007.0,12390.0,14845.0,17881.0,19996.0,22735.0,25115.0,27187.0,29534.0,31525.0,33492.0,35316.0,36826.0,38746.0,40248.0,33862.0,33889.0,35821.0,37726.0,25021.0,25073.0,26468.0,28091.0,29556.0,30078.0,31549.0,33074.0,33638.0,34199.0,52006.0,58853.0,60383.0,61712.0,63049.0,63890.0,64701.0,62022.0,64441.0,182631.0,175037.0,170432.0,171449.0,171872.0,172669.0,177307.0,178522.0,179590.0,180654.0,181419.0,182246.0,182481.0,183385.0,183684.0,184408.0,,,
14,11.0,15.0,trulli,13.0,1.0,Finished,10947.0,13634.0,16228.0,20326.0,22959.0,26008.0,29246.0,32311.0,35153.0,37724.0,40315.0,42719.0,44345.0,47388.0,49502.0,43745.0,44006.0,46143.0,48067.0,34454.0,33990.0,35043.0,35996.0,37189.0,38398.0,39873.0,40936.0,41796.0,42536.0,43432.0,44566.0,45842.0,46474.0,63188.0,69015.0,69996.0,67043.0,67967.0,69224.0,55524.0,51236.0,51594.0,51585.0,52537.0,53809.0,55127.0,56413.0,58058.0,59490.0,60266.0,60656.0,61129.0,61674.0,62830.0,63831.0,64976.0,64527.0
