,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,7.0,18.0,button,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.0,20.0,vettel,3.0,1.0,Finished,521.0,1401.0,1738.0,2269.0,2559.0,2969.0,3119.0,3384.0,3742.0,4222.0,4668.0,5238.0,5699.0,5669.0,6269.0,27272.0,27512.0,16295.0,3723.0,3286.0,2442.0,1649.0,1103.0,634.0,274.0,538.0,435.0,638.0,910.0,23302.0,23712.0,24679.0,25102.0,26648.0,26870.0,27299.0,26949.0,27319.0,27828.0,28549.0,29006.0,29030.0,28656.0,8039.0,7327.0,6723.0,6035.0,5998.0,24365.0,24338.0,22825.0,22261.0,20808.0,19607.0,17205.0,14454.0,12141.0,7461.0
2,7.0,17.0,webber,2.0,1.0,Finished,3059.0,3729.0,4296.0,4957.0,5821.0,6963.0,7595.0,8397.0,8797.0,9263.0,9653.0,10174.0,10817.0,11265.0,11546.0,11701.0,11505.0,0.0,11171.0,11777.0,11934.0,12419.0,12889.0,13032.0,13535.0,13777.0,14316.0,14587.0,15165.0,15823.0,16311.0,16915.0,17417.0,17995.0,18367.0,18890.0,18559.0,18820.0,19160.0,19414.0,19488.0,19446.0,19005.0,19138.0,19191.0,19344.0,19528.0,19913.0,20592.0,20915.0,20267.0,19789.0,19051.0,17810.0,15557.0,13195.0,10888.0,6714.0
3,7.0,15.0,trulli,4.0,1.0,Finished,4079.0,5413.0,6443.0,7382.0,8462.0,9291.0,10120.0,11102.0,11972.0,12572.0,13334.0,14474.0,15346.0,15928.0,16959.0,17999.0,42569.0,33078.0,22358.0,23652.0,24637.0,25540.0,26526.0,27361.0,28950.0,30065.0,30627.0,31449.0,32032.0,32836.0,33644.0,34611.0,35520.0,36116.0,36316.0,36689.0,36261.0,36456.0,36827.0,37116.0,37242.0,37659.0,38125.0,37728.0,37851.0,38004.0,37888.0,38168.0,38548.0,39027.0,38368.0,37745.0,36644.0,35471.0,33420.0,31702.0,30297.0,27843.0
4,7.0,3.0,rosberg,5.0,1.0,Finished,4452.0,6799.0,8331.0,9701.0,10592.0,11649.0,12474.0,13499.0,14499.0,15141.0,15780.0,16956.0,18151.0,18884.0,19556.0,20381.0,20615.0,9708.0,20906.0,22015.0,22858.0,23551.0,24661.0,25354.0,25745.0,26485.0,26811.0,27637.0,28528.0,29285.0,30113.0,30991.0,31583.0,32274.0,32779.0,33020.0,32541.0,32791.0,33358.0,34342.0,56735.0,57899.0,58232.0,38760.0,39427.0,39949.0,40445.0,41043.0,41533.0,42305.0,41865.0,41712.0,40921.0,40347.0,38744.0,37108.0,35315.0,31539.0
5,7.0,13.0,massa,6.0,1.0,Finished,4993.0,7379.0,9028.0,10983.0,12117.0,13184.0,14165.0,15178.0,16058.0,16987.0,18055.0,19248.0,20281.0,21002.0,21704.0,22584.0,23366.0,36987.0,26656.0,28502.0,29949.0,31062.0,32196.0,33375.0,34253.0,35276.0,36066.0,37334.0,38114.0,39042.0,39859.0,41315.0,42126.0,42913.0,43226.0,43574.0,43512.0,44077.0,44493.0,45301.0,45658.0,46225.0,67724.0,48269.0,48540.0,49017.0,49333.0,50123.0,50886.0,51517.0,51104.0,51005.0,50299.0,49694.0,48361.0,46320.0,44416.0,39996.0
6,7.0,4.0,alonso,10.0,1.0,Finished,5712.0,8619.0,10201.0,11924.0,13353.0,15052.0,16225.0,17560.0,18678.0,19696.0,20395.0,21486.0,22514.0,23610.0,48167.0,50764.0,52727.0,43164.0,32128.0,33523.0,34714.0,36080.0,37494.0,39077.0,40184.0,41545.0,42872.0,44286.0,46393.0,47754.0,49412.0,51216.0,52353.0,53774.0,54638.0,55600.0,55709.0,56485.0,57185.0,79245.0,80198.0,82055.0,82480.0,62790.0,63298.0,64190.0,65573.0,67154.0,68976.0,70205.0,70458.0,70805.0,70733.0,70665.0,69489.0,67634.0,65386.0,62420.0
7,7.0,9.0,kubica,7.0,1.0,Finished,6020.0,9031.0,11143.0,13102.0,14565.0,16239.0,17889.0,19670.0,21434.0,22736.0,24039.0,25496.0,27054.0,28252.0,29590.0,31132.0,32130.0,21579.0,9665.0,10225.0,33899.0,35387.0,36866.0,38155.0,39126.0,40480.0,41992.0,43642.0,45063.0,46508.0,48073.0,49673.0,51063.0,52315.0,53230.0,54089.0,54238.0,54918.0,55696.0,56685.0,57815.0,58937.0,59544.0,40102.0,59649.0,59458.0,59392.0,60125.0,60685.0,61036.0,60430.0,59917.0,59005.0,57941.0,56007.0,53777.0,51462.0,46247.0
8,7.0,8.0,raikkonen,9.0,1.0,Finished,6650.0,9540.0,11818.0,13871.0,15369.0,17207.0,18867.0,20437.0,21961.0,23318.0,25409.0,27244.0,29030.0,29911.0,31091.0,32084.0,32966.0,23024.0,36804.0,38528.0,40761.0,43296.0,45105.0,46412.0,47507.0,48787.0,50009.0,51562.0,52791.0,53901.0,55086.0,56210.0,57256.0,58053.0,58681.0,59304.0,59250.0,60031.0,60384.0,61344.0,62238.0,62585.0,62539.0,42540.0,62269.0,62558.0,62773.0,63173.0,64027.0,65369.0,64461.0,64222.0,63408.0,62120.0,60150.0,57969.0,55408.0,50246.0
9,7.0,6.0,nakajima,12.0,1.0,Finished,7180.0,10335.0,12787.0,15311.0,17318.0,19338.0,21229.0,23160.0,24840.0,26542.0,28112.0,30341.0,32393.0,34163.0,36034.0,38179.0,39417.0,29129.0,17430.0,17965.0,18109.0,18490.0,18821.0,18827.0,18603.0,18899.0,40484.0,42008.0,43152.0,44355.0,45640.0,46969.0,47963.0,49024.0,49977.0,50724.0,50766.0,51418.0,52159.0,53442.0,54357.0,55074.0,55555.0,75778.0,76557.0,77316.0,78067.0,79205.0,79937.0,80564.0,80435.0,80252.0,79378.0,78540.0,76474.0,74179.0,71611.0,66376.0
10,7.0,5.0,kovalainen,14.0,11.0,+1 Lap,7581.0,10901.0,13822.0,16148.0,18262.0,20338.0,23624.0,26899.0,28588.0,30357.0,32235.0,34594.0,36775.0,38284.0,40155.0,42158.0,43751.0,34584.0,23872.0,48167.0,49822.0,52296.0,54114.0,55893.0,57024.0,58660.0,60154.0,61901.0,63531.0,65140.0,66945.0,68930.0,70568.0,72270.0,73499.0,74886.0,75643.0,78245.0,79758.0,82071.0,83426.0,85202.0,106690.0,89249.0,90884.0,92013.0,94525.0,95922.0,96975.0,98832.0,100124.0,101471.0,101871.0,101908.0,100902.0,99914.0,102260.0,
11,7.0,22.0,barrichello,19.0,6.0,Gearbox,7657.0,11357.0,14147.0,16505.0,19085.0,20871.0,23561.0,33860.0,35464.0,37199.0,38032.0,40864.0,45696.0,71998.0,73740.0,75766.0,76812.0,66778.0,55630.0,56036.0,57104.0,58184.0,58943.0,60487.0,62136.0,62993.0,63359.0,64281.0,65334.0,66976.0,68599.0,70496.0,72224.0,73864.0,75294.0,76661.0,76452.0,78246.0,100287.0,101754.0,102831.0,103965.0,104444.0,84348.0,85138.0,86066.0,87500.0,,,,,,,,,,,
12,7.0,2.0,heidfeld,11.0,1.0,Finished,8289.0,13343.0,16483.0,19471.0,22278.0,24451.0,26733.0,29349.0,31721.0,33879.0,35988.0,38285.0,40577.0,42607.0,44602.0,47459.0,49015.0,39231.0,28225.0,29827.0,30756.0,32108.0,33240.0,34350.0,35094.0,36412.0,37261.0,38663.0,59979.0,61204.0,62340.0,63587.0,64861.0,66136.0,67057.0,67970.0,68440.0,69558.0,70404.0,71300.0,72206.0,73025.0,72982.0,52658.0,52746.0,72024.0,72005.0,72176.0,72737.0,73149.0,73207.0,73409.0,73406.0,73005.0,71841.0,70366.0,68536.0,64327.0
13,7.0,10.0,glock,8.0,1.0,Finished,9433.0,13000.0,14965.0,17615.0,19901.0,21966.0,24382.0,28142.0,30099.0,31939.0,34201.0,36514.0,38316.0,39806.0,41316.0,43200.0,44750.0,35346.0,24543.0,24869.0,25380.0,26125.0,27146.0,28006.0,28297.0,28187.0,28184.0,28612.0,29288.0,30496.0,51990.0,53316.0,55104.0,55997.0,56355.0,56878.0,56775.0,57690.0,58297.0,59139.0,59481.0,60174.0,60328.0,40422.0,40402.0,40493.0,41438.0,60777.0,61296.0,61877.0,61134.0,60682.0,59900.0,58669.0,57049.0,54482.0,52091.0,46959.0
14,7.0,12.0,piquet_jr,16.0,11.0,+1 Lap,9932.0,14887.0,18177.0,21405.0,24360.0,26998.0,29645.0,32483.0,34859.0,38565.0,41005.0,43910.0,47044.0,49150.0,51450.0,53808.0,55501.0,45899.0,34788.0,36308.0,36882.0,37658.0,38569.0,39892.0,41195.0,42189.0,43346.0,44824.0,46784.0,48401.0,50431.0,74280.0,78968.0,80311.0,81426.0,82632.0,82987.0,84431.0,85245.0,86401.0,88503.0,89578.0,89751.0,69489.0,69281.0,69292.0,69646.0,107030.0,107916.0,110486.0,111994.0,111983.0,111802.0,111502.0,110017.0,110749.0,108724.0,
15,7.0,1.0,hamilton,13.0,1.0,Finished,10135.0,15402.0,18887.0,22243.0,25259.0,27686.0,30304.0,33247.0,36709.0,39490.0,42346.0,45304.0,48554.0,50971.0,53290.0,56121.0,58308.0,48969.0,38142.0,39178.0,40917.0,42623.0,43617.0,44252.0,44634.0,45363.0,45801.0,46474.0,47583.0,49141.0,50287.0,51748.0,79162.0,83197.0,85707.0,89801.0,91825.0,93598.0,95407.0,97155.0,98810.0,100296.0,101356.0,81962.0,82594.0,83352.0,83740.0,84646.0,85440.0,86196.0,86027.0,85872.0,85188.0,85035.0,84123.0,83116.0,82119.0,80454.0
16,7.0,16.0,sutil,17.0,11.0,+1 Lap,10206.0,14192.0,17437.0,20349.0,23137.0,25845.0,28250.0,30568.0,33101.0,35295.0,37413.0,40733.0,43313.0,45201.0,47331.0,49266.0,51028.0,41328.0,30203.0,31016.0,54006.0,55193.0,56453.0,57830.0,59159.0,60289.0,61378.0,62986.0,64792.0,66471.0,68243.0,70117.0,71847.0,73531.0,74999.0,76396.0,101862.0,104484.0,108110.0,110675.0,112809.0,114980.0,120300.0,101677.0,103508.0,105066.0,106218.0,110079.0,112400.0,114752.0,115910.0,116646.0,117112.0,117125.0,115979.0,115336.0,114589.0,
17,7.0,21.0,fisichella,20.0,23.0,Brakes,10769.0,16041.0,20956.0,31088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7.0,67.0,buemi,15.0,11.0,+1 Lap,10899.0,16647.0,21022.0,24543.0,27463.0,30265.0,32911.0,35822.0,38551.0,40766.0,43238.0,46114.0,49320.0,52031.0,54745.0,57162.0,59331.0,49987.0,39543.0,41153.0,42074.0,43842.0,45782.0,47185.0,48760.0,71888.0,73250.0,74607.0,76228.0,77734.0,79038.0,81225.0,83197.0,84894.0,86339.0,89453.0,90365.0,91370.0,92294.0,93514.0,94444.0,95807.0,119284.0,100525.0,101383.0,102511.0,103287.0,104484.0,105622.0,106768.0,106727.0,108050.0,110659.0,110241.0,108794.0,107196.0,105183.0,
