,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
12,355,20,vettel,9,1,1,Finished,124146,276318,435718,595042,754876,861425,967040,1072377,1178051,1283968,1390090,1496424,1603091,1709289,1815288,1921072,2026767,2132785,2238116,2343522,2448556,2553547,2658460,2765098,2889108,2992672,3096367,3200082,3303845,3407147,3511178,3614912,3718465,3821407,3924513,4027593,4130298,4233127,4335991,4438798,4541948,4644973,4747909,4850740.0,4953834.0,5056643.0,5159280.0,5261264.0,5363573.0,5465312.0,5567426.0,5669611.0,5771733.0,5874271.0,5976837.0
0,355,1,hamilton,1,2,1,Finished,125779,277187,436541,595655,756067,862707,968587,1074478,1180084,1285720,1391261,1497399,1604118,1710320,1816733,1922669,2028415,2134607,2240308,2345476,2450428,2555425,2662182,2786966,2892731,2997274,3101068,3205347,3309523,3414597,3519227,3623256,3726881,3831471,3934788,4038505,4141926,4245388,4348489,4451600,4554585,4657999,4761590,4864391.0,4967214.0,5069482.0,5170756.0,5272052.0,5373552.0,5475618.0,5577896.0,5679848.0,5782313.0,5884488.0,5986999.0
11,355,18,button,1,3,1,Finished,127373,278365,437688,596934,756946,864659,971159,1077516,1183781,1289674,1395469,1501520,1607597,1713912,1820149,1926166,2031873,2137762,2243329,2348641,2453828,2558752,2663588,2768255,2872594,2976949,3081592,3186138,3291067,3395533,3499948,3603986,3707993,3812030,3916031,4019961,4123652,4227543,4332814,4456169,4558570,4660950,4763519,4866214.0,4968653.0,5071229.0,5173143.0,5274779.0,5376675.0,5478641.0,5580405.0,5682128.0,5784105.0,5885826.0,5987884.0
3,355,4,alonso,6,7,1,Finished,128647,278973,438603,597589,757421,865723,972705,1079298,1185490,1291611,1397453,1503558,1609513,1715854,1823863,1949534,2055174,2160694,2266569,2372355,2478329,2584001,2690388,2795756,2901210,3006472,3111902,3216894,3322081,3427041,3532242,3637342,3742361,3847484,3952089,4056800,4161027,4265537,4369505,4473022,4576701,4680248,4783452,4886466.0,4989712.0,5092654.0,5195981.0,5298937.0,5401995.0,5504462.0,5607325.0,5709552.0,5811838.0,5915527.0,6020634.0
10,355,17,webber,9,8,1,Finished,129303,280885,439066,598468,757972,866373,973631,1080391,1186910,1293678,1401656,1527386,1634061,1739602,1844688,1950595,2056294,2161816,2267807,2373351,2479120,2584995,2691138,2796559,2902206,3007824,3112954,3217936,3323074,3428308,3532973,3638273,3743442,3848391,3953071,4058103,4162448,4266340,4370761,4474684,4578135,4682066,4785476,4888312.0,4991079.0,5093790.0,5197006.0,5299842.0,5402830.0,5505404.0,5608028.0,5710224.0,5812636.0,5915840.0,6021080.0
7,355,13,massa,6,10,1,Finished,130611,281354,439878,599059,758529,867069,974361,1081267,1187688,1294481,1401359,1507841,1615500,1742272,1848203,1954480,2060410,2166599,2272659,2378411,2484109,2589863,2695694,2801397,2906841,3012568,3117966,3222827,3327773,3432755,3538130,3642866,3747693,3852360,3957256,4061627,4166181,4270257,4374561,4478628,4582632,4686331,4789841,4894734.0,4998172.0,5101299.0,5204513.0,5307442.0,5410223.0,5513091.0,5616158.0,5718883.0,5821821.0,5924753.0,6027705.0
13,355,22,barrichello,3,12,1,Finished,131347,282922,440977,600136,759225,868257,976618,1083384,1190302,1297007,1403650,1510471,1617192,1723980,1831047,1937737,2044132,2152477,2279196,2384588,2489884,2595075,2700344,2805511,2910590,3016326,3122530,3227871,3332868,3438140,3543127,3648010,3752745,3857724,3962867,4068487,4173187,4277750,4381763,4486128,4589952,4693558,4796897,4900426.0,5004222.0,5107325.0,5210303.0,5314199.0,5417376.0,5520045.0,5623042.0,5725946.0,5828625.0,5931402.0,6034523.0
2,355,3,rosberg,131,4,1,Finished,131805,292902,451122,609847,766733,874884,982064,1089922,1197405,1304412,1411336,1518640,1624973,1731619,1838244,1944723,2051272,2157655,2263578,2369329,2475473,2581512,2687286,2793041,2898239,3003526,3108851,3214109,3319404,3424608,3529832,3634745,3739752,3844744,3949263,4054541,4158834,4262959,4366556,4470027,4573647,4676433,4779150,4881876.0,4984606.0,5087313.0,5190224.0,5292523.0,5395020.0,5496866.0,5598777.0,5700488.0,5802402.0,5904666.0,6007584.0
17,355,155,kobayashi,15,14,1,Finished,132086,283528,441782,600788,759865,868735,977375,1084280,1191151,1297780,1404422,1511204,1618194,1724738,1831747,1938481,2045012,2151447,2257104,2362821,2468230,2573466,2678811,2784388,2892329,2998502,3104578,3209709,3314660,3419570,3524826,3629896,3737042,3860760,3964285,4069147,4174031,4278695,4382726,4486821,4591190,4694556,4797844,4901356.0,5004957.0,5108292.0,5211289.0,5315744.0,5419317.0,5522278.0,5625145.0,5728062.0,5830795.0,5933611.0,6036395.0
9,355,16,sutil,10,13,1,Finished,132914,284353,442390,601656,760717,870723,978970,1086597,1193869,1301106,1407799,1514557,1621178,1727842,1834337,1941001,2047535,2153950,2260144,2366274,2472316,2578128,2683925,2789532,2894978,3000574,3106013,3211130,3316286,3421445,3526405,3631184,3736541,3841118,3945775,4050597,4155250,4259415,4363023,4466494,4570474,4673650,4776766,4879760.0,4982754.0,5085710.0,5190187.0,5315022.0,5418126.0,5521049.0,5624001.0,5726696.0,5829419.0,5932210.0,6035162.0
