,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,337,20,vettel,9,4,1,Finished,123366,245883.0,368852.0,491575.0,614433.0,737108.0,859663.0,982319.0,1104978.0,1227609.0,1349927.0,1472580.0,1595092.0,1717500.0,1839960.0,1962354.0,2087422.0,2228000.0,2349738.0,2471244.0,2592436.0,2713435.0,2834587.0,2955156.0,3075988.0,3196712.0,3317836.0,3438156.0,3558656.0,3679077.0,3799360.0,3919578.0,4041152.0,4165254.0,4290314.0,4413284.0,4536009.0,4659580.0,4782643.0,4904897.0,5027530.0,5149943.0,5272280.0,5393846.0,5515490.0,5637025.0,5758219.0,5878859.0,5999195.0
2,337,4,alonso,6,1,1,Finished,125394,248114.0,371160.0,493941.0,616581.0,739615.0,862536.0,985154.0,1107977.0,1230743.0,1353459.0,1476149.0,1599210.0,1722657.0,1845532.0,1970575.0,2109947.0,2231587.0,2353206.0,2474567.0,2595609.0,2716100.0,2837335.0,2958067.0,3078856.0,3199493.0,3320072.0,3440578.0,3560161.0,3680180.0,3800631.0,3921837.0,4042248.0,4164704.0,4284181.0,4403060.0,4522588.0,4642210.0,4761836.0,4881423.0,5000829.0,5120405.0,5241059.0,5360507.0,5478794.0,5598809.0,5719242.0,5839295.0,5960396.0
6,337,13,massa,6,2,1,Finished,126758,249954.0,372779.0,495925.0,618600.0,741822.0,864641.0,987461.0,1109955.0,1232901.0,1355556.0,1478978.0,1601460.0,1725086.0,1848247.0,1970915.0,2095817.0,2235545.0,2355662.0,2476363.0,2597181.0,2718059.0,2838782.0,2959809.0,3080565.0,3201100.0,3321520.0,3442280.0,3562519.0,3682890.0,3803347.0,3923451.0,4043713.0,4165726.0,4288104.0,4408509.0,4528320.0,4648052.0,4768423.0,4889375.0,5009689.0,5129526.0,5249838.0,5369685.0,5490222.0,5610706.0,5731874.0,5853621.0,5976495.0
1,337,3,rosberg,131,5,1,Finished,128063,251570.0,375089.0,498771.0,622155.0,745658.0,869229.0,992903.0,1116737.0,1240453.0,1364367.0,1488369.0,1612501.0,1736425.0,1860151.0,1985993.0,2127493.0,2249176.0,2371514.0,2493272.0,2614623.0,2736085.0,2857286.0,2978806.0,3100176.0,3222221.0,3343521.0,3464768.0,3586041.0,3707382.0,3828524.0,3949149.0,4070052.0,4191156.0,4312045.0,4432811.0,4553308.0,4673907.0,4794755.0,4915449.0,5036429.0,5156718.0,5277124.0,5397633.0,5517869.0,5638373.0,5759293.0,5880195.0,6000609.0
0,337,1,hamilton,1,3,1,Finished,128558,252136.0,375858.0,499416.0,622699.0,746361.0,870147.0,993701.0,1117539.0,1241120.0,1365041.0,1488979.0,1613311.0,1737210.0,1863269.0,2004034.0,2124481.0,2246612.0,2367552.0,2488763.0,2609588.0,2730464.0,2851306.0,2972202.0,3092786.0,3213298.0,3333492.0,3453869.0,3573905.0,3694260.0,3814585.0,3934953.0,4054659.0,4174809.0,4294871.0,4414775.0,4536241.0,4656956.0,4777412.0,4897977.0,5017708.0,5137268.0,5256858.0,5377579.0,5498221.0,5619387.0,5740246.0,5861656.0,5983578.0
14,337,30,michael_schumacher,131,6,1,Finished,129527,253903.0,377721.0,501614.0,625320.0,749255.0,873155.0,997208.0,1120859.0,1244552.0,1368488.0,1492347.0,1616430.0,1740167.0,1866211.0,2007059.0,2129032.0,2251059.0,2373141.0,2495197.0,2616891.0,2738288.0,2860074.0,2981551.0,3102842.0,3224669.0,3345956.0,3467289.0,3588813.0,3710271.0,3831343.0,3952580.0,4073614.0,4195078.0,4316071.0,4436885.0,4557875.0,4678386.0,4799106.0,4919704.0,5040225.0,5160722.0,5281297.0,5401794.0,5521998.0,5642590.0,5763332.0,5883974.0,6004559.0
9,337,17,webber,9,8,1,Finished,129956,254617.0,378309.0,502813.0,626149.0,750159.0,873890.0,998025.0,1121745.0,1245248.0,1369224.0,1493399.0,1617446.0,1741648.0,1866190.0,1992216.0,2136232.0,2257017.0,2379601.0,2500772.0,2621950.0,2743470.0,2865052.0,2986705.0,3108421.0,3229610.0,3351021.0,3472896.0,3594532.0,3715999.0,3837704.0,3958508.0,4078402.0,4198438.0,4319054.0,4439412.0,4560103.0,4680563.0,4800886.0,4921589.0,5042071.0,5163935.0,5285761.0,5405652.0,5525139.0,5644925.0,5765014.0,5885767.0,6006756.0
10,337,18,button,1,7,1,Finished,130721,255574.0,379853.0,504007.0,627962.0,751999.0,876075.0,999992.0,1123834.0,1247490.0,1371322.0,1495351.0,1619081.0,1742933.0,1866797.0,1992796.0,2134628.0,2256129.0,2378151.0,2499865.0,2621267.0,2742815.0,2864465.0,2985911.0,3107340.0,3228689.0,3350026.0,3471268.0,3592703.0,3714294.0,3835270.0,3955893.0,4076494.0,4197249.0,4317720.0,4438269.0,4558909.0,4679393.0,4799992.0,4920726.0,5041330.0,5162030.0,5282601.0,5403207.0,5523177.0,5643690.0,5763990.0,5885052.0,6005676.0
13,337,24,liuzzi,10,9,1,Finished,131473,257007.0,381596.0,505947.0,630735.0,755272.0,879711.0,1003828.0,1128006.0,1251854.0,1376012.0,1500162.0,1624798.0,1748596.0,1872513.0,1996114.0,2119208.0,2242542.0,2365279.0,2490610.0,2633512.0,2754991.0,2876565.0,2997978.0,3119554.0,3240520.0,3361507.0,3482604.0,3603635.0,3724352.0,3845663.0,3966309.0,4087295.0,4207810.0,4328183.0,4448656.0,4569179.0,4689343.0,4809249.0,4929388.0,5049644.0,5170277.0,5290716.0,5410934.0,5531103.0,5652245.0,5772242.0,5892493.0,6013404.0
12,337,22,barrichello,3,10,1,Finished,132361,257710.0,382566.0,507279.0,631885.0,756945.0,881469.0,1006124.0,1130675.0,1255562.0,1380278.0,1504690.0,1628430.0,1752423.0,1876207.0,1999632.0,2123125.0,2246325.0,2372663.0,2513549.0,2634626.0,2758622.0,2879900.0,3001263.0,3121974.0,3242963.0,3364176.0,3485176.0,3606070.0,3726694.0,3848133.0,3969258.0,4090353.0,4210959.0,4331751.0,4452168.0,4572666.0,4693135.0,4813571.0,4933981.0,5053999.0,5174296.0,5294410.0,5414522.0,5534641.0,5655010.0,5774843.0,5896578.0,6022885.0
