,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
12,354,20,vettel,9,1,1,Finished,82096,159573,236751,313892,390768,467787,544830,621952,698993,776180,853193,929924,1006820,1083967,1161274,1238275,1315493,1392688,1470095,1547420,1624577,1701719,1778606,1855555,1936413,2027563,2103532,2179425,2255222,2331261,2407242,2483235,2559041,2635298,2711494,2787743,2863611,2939852,3015531,3091272,3167530,3243567,3319781,3395808,3471727,3547541,3623098,3698949,3774682,3850569.0,3931863.0,4045878.0,4164234.0,4283121.0,4399169.0,4474070.0,4548979.0,4623482.0,4698036.0,4772432.0,4846876.0,4921521.0,4996451.0,5070842.0,5145448.0,5219789.0,5294123.0,5368411.0,5442835.0,5517118.0,5591803.0
10,354,17,webber,9,2,1,Finished,83734,161652,239023,316284,393373,470300,547485,624655,701638,778846,855645,932364,1009510,1086639,1163674,1240739,1317984,1395105,1472456,1550392,1627563,1704517,1781489,1858251,1935106,2015284,2106317,2182156,2258025,2334153,2409998,2485645,2561572,2638193,2714612,2790586,2866017,2941680,3018486,3094163,3170121,3246109,3321928,3397721,3473318,3549077,3624610,3700795,3777268,3852990.0,3937077.0,4051020.0,4167433.0,4285674.0,4401282.0,4477035.0,4552047.0,4626864.0,4701691.0,4776864.0,4851888.0,4926194.0,5000726.0,5075160.0,5149455.0,5223873.0,5298208.0,5372391.0,5446438.0,5520487.0,5596046.0
20,354,807,hulkenberg,3,8,11,+1 Lap,84461,163244,241871,320366,398841,477271,556866,635820,714457,792915,872200,950544,1029183,1111265,1205403,1283385,1362035,1440513,1519078,1596479,1674337,1752421,1830114,1908010,1986026,2063937,2142004,2219973,2298286,2376191,2453884,2531800,2609397,2687208,2765121,2842841,2920255,2998124,3075709,3153580,3231323,3308949,3386268,3463578,3540651,3617764,3694838,3771830,3848979,3933480.0,4046663.0,4165241.0,4283879.0,4400119.0,4477773.0,4554259.0,4630565.0,4706404.0,4783436.0,4859070.0,4934497.0,5010148.0,5085599.0,5162887.0,5239259.0,5314864.0,5390178.0,5465617.0,5540981.0,5615966.0,
3,354,4,alonso,6,3,1,Finished,85068,163563,241967,320516,399123,477398,555733,633516,710988,788499,865720,942947,1020301,1097486,1174770,1252149,1329286,1406174,1483253,1560362,1637579,1714655,1792012,1872542,1963789,2040576,2117085,2195236,2271598,2347934,2424515,2500955,2577294,2653396,2729576,2805790,2881475,2957456,3032982,3108676,3184383,3260188,3336208,3412076,3487742,3563607,3639281,3715328,3791160,3866794.0,3950002.0,4056010.0,4173283.0,4291229.0,4404387.0,4480970.0,4557007.0,4632504.0,4707171.0,4781849.0,4856264.0,4930493.0,5004783.0,5078879.0,5152854.0,5226837.0,5300692.0,5374734.0,5448641.0,5523266.0,5598610.0
0,354,1,hamilton,1,4,1,Finished,85071,164566,242861,321241,399654,478121,556949,636246,714819,793023,872456,950661,1029353,1107947,1185549,1263072,1340454,1417725,1495413,1576607,1668509,1745167,1821441,1897782,1975347,2051956,2128671,2205251,2282159,2358542,2435107,2511526,2587695,2664068,2740057,2816215,2891944,2967696,3043142,3119306,3195264,3271226,3347118,3423178,3499148,3575611,3652350,3728670,3805084,3881201.0,3967944.0,4065769.0,4185334.0,4300085.0,4408099.0,4485376.0,4561086.0,4638114.0,4713890.0,4788908.0,4863645.0,4938929.0,5013182.0,5087264.0,5161220.0,5235071.0,5309173.0,5383787.0,5457991.0,5532039.0,5606437.0
5,354,9,kubica,4,9,11,+1 Lap,85870,165368,244061,322491,400639,479054,557833,636922,715859,794228,873223,951864,1030364,1112654,1206311,1284215,1362549,1440929,1519435,1597157,1674905,1752774,1830650,1908427,1986437,2064319,2142345,2220400,2298583,2376553,2454396,2532275,2610024,2687568,2765366,2843071,2920624,2998443,3076187,3153923,3231716,3309316,3386533,3463840,3541048,3618165,3695252,3772295,3849379,3933816.0,4047795.0,4166295.0,4284807.0,4400720.0,4479106.0,4555623.0,4633433.0,4709105.0,4784756.0,4860400.0,4935561.0,5011119.0,5086984.0,5164622.0,5240232.0,5315699.0,5391321.0,5466656.0,5541935.0,5617144.0,
13,354,22,barrichello,3,14,11,+1 Lap,86252,165816,244637,323110,401281,479762,558253,637420,716272,794903,873671,952489,1034698,1135543,1213396,1291583,1369644,1447286,1524795,1602425,1679957,1757310,1834791,1912735,1990602,2068106,2145659,2223383,2301193,2378937,2456581,2534618,2612087,2724093,2823073,2898775,2974767,3050551,3126722,3202723,3279501,3355178,3431058,3506911,3582857,3658797,3734632,3810855,3886733,3974462.0,4068451.0,4186158.0,4300684.0,4408645.0,4488015.0,4564410.0,4640340.0,4717442.0,4794695.0,4872537.0,4950353.0,5028009.0,5104875.0,5181302.0,5258096.0,5334405.0,5410661.0,5486777.0,5562004.0,5638320.0,
7,354,13,massa,6,15,11,+1 Lap,86878,166299,245075,323680,401822,480264,558833,637769,716795,795256,874180,956562,1058791,1155006,1232203,1309558,1388021,1464904,1541608,1620098,1697206,1774353,1850789,1927112,2003714,2080414,2157051,2233806,2311192,2388752,2465850,2542613,2619576,2695969,2772603,2849500,2925947,3002562,3079782,3156938,3234525,3312449,3389975,3467541,3544733,3622447,3700641,3778573,3855443,3941613.0,4059741.0,4177333.0,4293387.0,4405966.0,4482789.0,4559599.0,4636998.0,4714479.0,4793943.0,4871828.0,4948948.0,5025795.0,5103043.0,5179835.0,5257305.0,5333229.0,5410234.0,5488034.0,5563364.0,5639032.0,
11,354,18,button,1,5,1,Finished,87027,166933,246588,325161,403617,482210,560807,639373,717980,796465,879649,971531,1048833,1126183,1203879,1281607,1360110,1437231,1515011,1592066,1669499,1746769,1823825,1900783,1978077,2055832,2132658,2209602,2287017,2363816,2440620,2517439,2594211,2671185,2747758,2824110,2900259,2976331,3052446,3128775,3205098,3281517,3357527,3433657,3509459,3585586,3661804,3737979,3814151,3890470.0,3975869.0,4066957.0,4187315.0,4301799.0,4408736.0,4486509.0,4562481.0,4638355.0,4714663.0,4790468.0,4865178.0,4939978.0,5014679.0,5088925.0,5163004.0,5237031.0,5311284.0,5385441.0,5459398.0,5533464.0,5607396.0
15,354,30,michael_schumacher,131,7,1,Finished,87514,167074,245715,324432,402867,481280,559722,638465,717539,796366,875562,954147,1032336,1110415,1188244,1266183,1344032,1421636,1499281,1580374,1672749,1750737,1828812,1906855,1984790,2063086,2141005,2218917,2297385,2375479,2453143,2530963,2608526,2686231,2764295,2841923,2919589,2997289,3074928,3152833,3230292,3308101,3385580,3462649,3539793,3616891,3693776,3770896,3848211,3931141.0,4019530.0,4098061.0,4189822.0,4303419.0,4410127.0,4489733.0,4567737.0,4643596.0,4719343.0,4795774.0,4872986.0,4950783.0,5027507.0,5104089.0,5180594.0,5256924.0,5332858.0,5408953.0,5484677.0,5560040.0,5635259.0
2,354,3,rosberg,131,6,1,Finished,88107,167926,247157,325965,404539,483215,561783,640435,719294,797840,876965,955219,1033459,1111645,1189759,1267712,1345746,1423629,1501241,1578947,1656534,1734160,1811474,1888864,1966264,2047487,2138966,2215980,2292855,2369680,2446538,2523535,2600355,2677961,2755088,2832038,2909644,2987074,3063716,3139870,3216175,3292539,3368800,3444866,3520961,3597025,3673059,3748971,3825190,3901426.0,3991842.0,4103542.0,4190550.0,4305615.0,4410675.0,4489187.0,4565480.0,4640584.0,4716858.0,4793601.0,4871146.0,4949378.0,5025977.0,5101645.0,5175829.0,5250585.0,5326207.0,5401361.0,5476329.0,5551518.0,5627123.0
1,354,2,heidfeld,15,17,11,+1 Lap,88835,168947,248090,326755,405427,484206,562854,641748,720519,798968,877862,956190,1034649,1116751,1210078,1288126,1366125,1443742,1521385,1599194,1676968,1754645,1832187,1910041,1987981,2065806,2143625,2221421,2299659,2377696,2455307,2533231,2611345,2688823,2766826,2844331,2921608,2999300,3076997,3154674,3232584,3310209,3387625,3464847,3542141,3619273,3696321,3773436,3851833,3939546.0,4057261.0,4174429.0,4292089.0,4404733.0,4482678.0,4560388.0,4638283.0,4715908.0,4793344.0,4870865.0,4948705.0,5025387.0,5102555.0,5181923.0,5264963.0,5340173.0,5415484.0,5490552.0,5565641.0,5640983.0,
19,354,155,kobayashi,15,10,11,+1 Lap,88986,170692,250255,328900,407929,486853,565652,644735,723758,802655,881587,960212,1038755,1117024,1195384,1273738,1352004,1430154,1508376,1586363,1664059,1742164,1819685,1897332,1975229,2054054,2131749,2209370,2286885,2365485,2443370,2521124,2598541,2676506,2753956,2831768,2909341,2986821,3065687,3144010,3221627,3299157,3376595,3453878,3531052,3608496,3685760,3766943,3858172,3940472.0,4053212.0,4170314.0,4287899.0,4402717.0,4480025.0,4557623.0,4634734.0,4711102.0,4787749.0,4864341.0,4940723.0,5016861.0,5092739.0,5167759.0,5242507.0,5317358.0,5392137.0,5467285.0,5542521.0,5617615.0,
18,354,153,alguersuari,5,11,11,+1 Lap,89527,169253,248681,327505,406081,484899,563680,642439,721404,799952,878866,957367,1036048,1114507,1196497,1290749,1368390,1445756,1523133,1600725,1678319,1755787,1833419,1910972,1988609,2066255,2144331,2222041,2300184,2378097,2455947,2533685,2611998,2690546,2767718,2845125,2922393,2999979,3077475,3155124,3233259,3311367,3388830,3465927,3543104,3620129,3697346,3775557,3853777,3937730.0,4052051.0,4168459.0,4286536.0,4402123.0,4479730.0,4557025.0,4634446.0,4710824.0,4787407.0,4863273.0,4939993.0,5016598.0,5092437.0,5169291.0,5245306.0,5321358.0,5397354.0,5473049.0,5548813.0,5624982.0,
17,354,67,buemi,5,13,11,+1 Lap,89881,170078,249731,328439,407019,486014,564750,643894,722577,801512,880300,958963,1037532,1115810,1194123,1272282,1350412,1432409,1530017,1607847,1685110,1762363,1839533,1916967,1994424,2071928,2149230,2226563,2304378,2382245,2459968,2537376,2614883,2692499,2769712,2847474,2924448,3001578,3078842,3156450,3234292,3312071,3389723,3466963,3544347,3621635,3699817,3778094,3854965,3938803.0,4052537.0,4169585.0,4287038.0,4402667.0,4481756.0,4559042.0,4636647.0,4713813.0,4792732.0,4869932.0,4948349.0,5025130.0,5102328.0,5179612.0,5256117.0,5332202.0,5409455.0,5485796.0,5561731.0,5638288.0,
14,354,24,liuzzi,10,24,3,Accident,90574,171436,251452,330780,409751,489292,568213,647283,726321,805170,884185,962961,1041888,1120596,1199031,1281481,1376289,1454571,1532701,1611060,1689059,1766931,1844707,1922434,2000167,2077869,2155323,2233196,2310901,2388454,2467241,2544863,2622321,2700331,2777541,2854571,2931511,3008986,3086703,3164345,3241820,3319565,3399298,3476818,3554455,3632022,3709400,3786676,3863913,,,,,,,,,,,,,,,,,,,,,,
4,354,5,kovalainen,205,18,12,+2 Laps,91212,172443,252997,333384,414316,495736,576304,656678,736986,817153,897037,977145,1057263,1137990,1218180,1298336,1382374,1477769,1557443,1637909,1718108,1797788,1877423,1956999,2036380,2116296,2197324,2276551,2355580,2434834,2514577,2593599,2673582,2753021,2834300,2913194,2991939,3070674,3149382,3228486,3312087,3392547,3471731,3552348,3631549,3712280,3792459,3871276,3954601,4059269.0,4176862.0,4292985.0,4405964.0,4487990.0,4568912.0,4647311.0,4725445.0,4803268.0,4880892.0,4958812.0,5036505.0,5114752.0,5192137.0,5269897.0,5347521.0,5425020.0,5502516.0,5580459.0,5657620.0,,
6,354,10,glock,166,20,12,+2 Laps,91580,172965,253750,335031,415946,496846,577444,657856,738486,818987,899149,979339,1059677,1140071,1220344,1304748,1400855,1481097,1562331,1642072,1722139,1801785,1881845,1961483,2042334,2121861,2201745,2282308,2362464,2443211,2523540,2603615,2683101,2762493,2849495,2929317,3008235,3088791,3170270,3250019,3328986,3407916,3486871,3566453,3645706,3724908,3804100,3883993,3970062,4064584.0,4183447.0,4297975.0,4407509.0,4489502.0,4570788.0,4649935.0,4728361.0,4806475.0,4884484.0,4962505.0,5040739.0,5118968.0,5196828.0,5275165.0,5353181.0,5430876.0,5508601.0,5586366.0,5664680.0,,
8,354,15,trulli,205,19,12,+2 Laps,92154,173557,255847,336273,416809,497463,578290,658489,739161,819522,899969,980343,1060315,1140589,1220726,1301141,1380755,1460387,1539965,1623937,1719457,1798771,1878439,1957766,2037502,2118641,2199258,2279540,2358543,2438237,2517189,2596961,2677881,2757447,2836277,2915071,2993823,3072624,3151464,3237006,3316079,3395737,3476266,3557461,3636863,3716679,3795456,3874108,3957647,4061844.0,4180160.0,4294921.0,4406821.0,4489090.0,4569671.0,4648110.0,4726105.0,4803976.0,4881529.0,4959414.0,5037066.0,5115127.0,5192794.0,5270529.0,5348074.0,5425717.0,5503360.0,5581146.0,5658462.0,,
22,354,810,grassi,166,23,19,+9 Laps,92679,175387,256941,337729,418471,499410,580500,661468,742455,823303,903934,984426,1064888,1145846,1226554,1307250,1388159,1469421,1551814,1632287,1712772,1794035,1874285,1954735,2035113,2116115,2199049,2286090,2397132,2477929,2558403,2640244,2721118,2801303,2881132,2961434,3041409,3122013,3201767,3291105,3768612,3858912,3942345,4054590,4171799,4289454,4404351,4487942,4571915,4653062.0,4731399.0,4810043.0,4888161.0,4966831.0,5044712.0,5123101.0,5209338.0,5307715.0,5387675.0,5464442.0,5546465.0,5624729.0,,,,,,,,,
9,354,16,sutil,10,12,11,+1 Lap,92787,173755,253787,333492,412391,491377,570584,649431,728395,807152,885792,964329,1043114,1121883,1200559,1279305,1357806,1436203,1515020,1594076,1672341,1750452,1828552,1906536,1984473,2062463,2140758,2218671,2297120,2374759,2452461,2530394,2607992,2685952,2763698,2841579,2919180,2996811,3074699,3152271,3229894,3307618,3384753,3461944,3539098,3616109,3693327,3770465,3847919,3932404.0,4055310.0,4172473.0,4290248.0,4404254.0,4482045.0,4559132.0,4637491.0,4715343.0,4792887.0,4870029.0,4946256.0,5021330.0,5096638.0,5171635.0,5247113.0,5322543.0,5397783.0,5473490.0,5549120.0,5625492.0,
21,354,808,petrov,4,16,11,+1 Lap,93081,174252,254583,335065,414596,493512,572420,650978,729691,808413,887545,966283,1045291,1123983,1202598,1281470,1361759,1440208,1522362,1617932,1696210,1775332,1853281,1930850,2008392,2085893,2163147,2240162,2317421,2394880,2472165,2549247,2626361,2703958,2781344,2858326,2935178,3012218,3089380,3166970,3245558,3323984,3400955,3477875,3555151,3632546,3709885,3787036,3864869,3951026.0,4062535.0,4182416.0,4296056.0,4406894.0,4484794.0,4562436.0,4639460.0,4716471.0,4794556.0,4871977.0,4949987.0,5026882.0,5104468.0,5180967.0,5257925.0,5333925.0,5410260.0,5487543.0,5564248.0,5639733.0,
