,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,280436.0,1,1,6,4,8,12,17,15,14,14,14,14,13,13,13,13,13,12,11,10,10,10,10,10,9,8,7,7,6,6,6,6,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,281451.0,2,2,11,10,7,9,10,10,11,11,10,8,8,8,8,8,8,8,8,8,6,6,6,6,11,12,12,12,12,12,11,11,11,11,12,12,11,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8
2,290603.0,3,5,15,14,14,15,11,9,9,9,9,7,7,7,7,7,6,6,6,6,8,8,8,8,7,9,8,8,8,7,7,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,286040.0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,287160.0,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,296278.0,6,11,14,12,13,16,12,11,10,10,7,6,6,6,6,5,5,5,5,5,7,7,7,7,6,5,4,4,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,293494.0,7,8,12,11,10,10,15,13,13,13,13,13,12,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9
7,296987.0,8,12,13,15,17,11,8,7,6,6,6,5,5,5,5,6,7,7,7,7,5,5,5,5,5,7,9,9,9,9,9,9,9,9,9,10,12,11,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10
8,292264.0,9,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,293422.0,10,7,4,7,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,7,7,7,7,7,5,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,7,7,7
10,294379.0,11,9,5,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,298433.0,12,14,9,8,12,14,13,12,12,12,12,12,11,12,12,12,12,13,13,11,11,11,11,11,10,10,10,10,10,11,12,12,12,12,11,11,10,13,12,12,12,12,12,13,13,12,12,12,12,12,12,12,12,12,12,12
12,299948.0,13,16,16,17,15,13,14,14,15,15,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,296216.0,14,10,7,13,11,8,7,6,7,8,11,11,14,14,14,14,14,14,14,14,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
14,298343.0,15,13,8,5,5,7,9,8,8,7,8,9,9,9,9,9,9,10,10,9,9,9,9,9,8,6,6,6,7,8,8,8,8,8,8,8,8,8,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11
15,302070.0,16,17,18,18,18,17,16,16,16,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
16,302586.0,17,18,17,16,16,19,18,17,17,16,15,15,15,15,15,15,15,15,15,15,14,14,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
17,299115.0,18,15,10,9,9,6,6,5,5,5,5,10,10,10,10,10,10,9,9,13,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,12,9,9,9,9,9,9,11,13,13,13,13,13,13,13,13,13,13,13
18,308461.0,19,19,19,19,19,18,19,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
19,1146785.0,20,20,20,20,20,20,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
