,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,353,20,vettel,9,17,5,Engine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,353,17,webber,9,23,3,Accident,1007,1220,509,1338,520,379,1227,455,223,392,655,419,674,415,536,485,639,2859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,353,4,alonso,6,1,1,Finished,2905,3328,1621,2202,1685,1619,2070,907,882,1069,1385,1145,1323,1023,1097,1322,1492,3995,8110.0,12591.0,1107.0,750.0,1121.0,2162.0,2510.0,2894.0,3561.0,3945.0,3902.0,3696.0,4660.0,5704.0,1785.0,1294.0,1506.0,1257.0,1316.0,1496.0,2352.0,2358.0,2724.0,2375.0,1161.0,1241.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,353,1,hamilton,1,2,1,Finished,4055,4196,4208,3587,2875,2342,3518,2000,1920,2055,2185,1995,2027,1795,1907,2554,2035,6125,11491.0,13977.0,1584.0,1198.0,1853.0,3865.0,5320.0,6298.0,6863.0,6682.0,7810.0,8555.0,14760.0,25802.0,829.0,837.0,3059.0,3712.0,4085.0,4432.0,4228.0,4220.0,4476.0,4300.0,3621.0,3867.0,2120.0,1437.0,1918.0,2042.0,2257.0,2826.0,3627.0,5484.0,10078.0,12369.0,14999.0
4,353,3,rosberg,131,24,4,Collision,5001,5086,5954,5063,3626,3452,4147,2695,3165,2640,2852,2577,2844,2109,2116,2856,2499,5346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,353,13,massa,6,3,1,Finished,7560,7816,6899,6464,5001,4882,4681,2993,3720,3454,4131,3406,3718,3287,2780,3746,3090,8076,11829.0,14886.0,2167.0,1906.0,2390.0,6085.0,7597.0,8918.0,10229.0,11281.0,13402.0,14245.0,20672.0,33869.0,2433.0,1976.0,4479.0,5371.0,5592.0,6411.0,7391.0,7276.0,7012.0,7854.0,8243.0,8370.0,6710.0,8289.0,9120.0,11389.0,12900.0,15461.0,19128.0,23401.0,27622.0,30010.0,30868.0
6,353,18,button,1,12,1,Finished,9165,8934,11034,8934,6046,5663,5658,4112,4582,3884,5118,4573,4422,4081,3350,4914,3754,9232,13054.0,15736.0,3484.0,2729.0,3270.0,7266.0,9149.0,11374.0,15630.0,23341.0,49481.0,52347.0,59915.0,59901.0,12017.0,6978.0,11982.0,20140.0,23193.0,28478.0,32896.0,36309.0,40540.0,42127.0,43185.0,46233.0,46746.0,49471.0,53882.0,57570.0,62098.0,65425.0,76897.0,81497.0,86063.0,88813.0,89939.0
7,353,9,kubica,4,5,1,Finished,11372,10784,13051,9758,8265,6717,6773,5678,5152,4971,5811,5496,7145,5115,4784,5867,4903,11442,17116.0,18634.0,6381.0,4183.0,4892.0,9420.0,11611.0,15711.0,18112.0,20140.0,22223.0,23427.0,29185.0,55399.0,8157.0,5594.0,9972.0,13053.0,15293.0,17712.0,19747.0,21808.0,23740.0,25844.0,26558.0,29054.0,28229.0,28905.0,32109.0,33739.0,34965.0,38225.0,41846.0,44054.0,46861.0,48103.0,47734.0
8,353,30,michael_schumacher,131,4,1,Finished,12176,11533,14148,11158,9670,7258,7319,6074,7230,5806,6063,5849,7501,5265,5116,6576,4934,10081,14223.0,16680.0,4622.0,3145.0,4130.0,8354.0,10344.0,12263.0,13948.0,15029.0,16307.0,17505.0,24300.0,39789.0,3578.0,2933.0,6358.0,7763.0,8867.0,10955.0,12709.0,14622.0,15828.0,17837.0,18068.0,20052.0,19630.0,20278.0,22281.0,23666.0,24807.0,29078.0,32514.0,36182.0,39479.0,40029.0,39688.0
9,353,22,barrichello,3,7,1,Finished,14424,12455,16404,12149,11041,8589,8923,7793,8042,6714,6975,6760,8162,6315,6183,7031,5549,13498,19979.0,20170.0,8600.0,5227.0,5801.0,10384.0,13477.0,16585.0,19487.0,21536.0,23533.0,25072.0,33206.0,47236.0,4445.0,3300.0,6902.0,8760.0,10604.0,12613.0,14311.0,16057.0,17162.0,19280.0,19532.0,21582.0,20717.0,22333.0,24631.0,27387.0,30214.0,33614.0,38722.0,50709.0,57769.0,63030.0,69257.0
