,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,350162.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,351382.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,353490.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
3,354358.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
4,355248.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,357978.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
6,359096.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,6,9,15,15,13,12,12,12,12,15,15,15,15,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12
7,360946.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,7,7,7,7,7,7,7,8,8,7,7,6,6,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,6,5,5,5,5
8,361695.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
9,362617.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,9,9,9,9,9,9,9,9,9,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,7,7,7,7
10,363641.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,8,8,8,8,8,8,8,7,7,6,6,8,11,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,8,11,11,11,10
11,364647.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15,19,17,17,17,16,18,17,17,17,14,14,12,10,10,10,10,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8
12,365620.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,17,16,16,16,19,19,18,18,18,16,16,14,13,13,13,13,12,13,12,12,11,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9
13,366723.0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,10,10,10,10,10,10,10,10,10,12,18,18,15,14,14,14,14,13,12,13,14,13,13,12,12,12,12,10,0,0,0,0,0,0,0,0,0
14,367762.0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,11,9,9,8,15,15,15,15,14,14,14,13,12,12,13,13,13,13,12,11,11,11,11,11,10,10,10,11
15,368841.0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,21,21,20,20,18,17,16,16,16,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,370192.0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,11,11,11,11,11,11,11,11,11,10,10,10,9,11,11,11,11,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,7,6,6,6,6
17,373730.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,21,18,18,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,375578.0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,14,13,13,13,13,13,13,13,13,13,11,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,377251.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,16,15,19,18,18,17,16,15,15,15,12,11,10,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,379630.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,18,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,16,16,16,16,17,15,15,15,15,15,15,14,13,13,13,13,13,13,13,13,0
21,380418.0,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,20,20,19,19,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,382981.0,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,19,16,15,15,15,15,15,20,20,20,20,20,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,15,15,15,15,15,15,15,0,0
23,383716.0,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,20,22,22,21,21,21,21,19,19,19,19,19,18,16,16,16,17,17,17,17,16,16,16,16,16,16,16,15,14,14,14,14,14,14,14,0,0
