,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
12,339.0,20.0,vettel,1.0,1.0,Finished,106801.0,208654.0,310353.0,412162.0,513565.0,615454.0,717508.0,819413.0,921168.0,1023077.0,1124283.0,1225706.0,1326964.0,1428518.0,1529558.0,1630536.0,1731293.0,1831886.0,1932545.0,2033143.0,2134140.0,2234728.0,2338433.0,2456393.0,2556247.0,2655997.0,2755715.0,2855507.0,2955251.0,3054928.0,3154653.0,3254164.0,3353124.0,3452663.0,3552402.0,3651239.0,3750856.0,3849843.0,3948479.0,4047113.0,4145562.0,4243739.0,4342543.0,4440794.0,4539151.0,4637920.0,4735974.0,4834418.0,4932880.0,5031040.0,5129599.0,5227757.0,5325570.0,5424381.0,5523701.0,5628412.0
10,339.0,17.0,webber,2.0,1.0,Finished,107748.0,209959.0,311591.0,413277.0,514843.0,616794.0,718972.0,820693.0,922531.0,1023886.0,1125531.0,1226914.0,1328376.0,1429807.0,1531034.0,1631702.0,1732531.0,1833318.0,1934232.0,2034941.0,2135822.0,2236547.0,2337129.0,2440122.0,2560571.0,2660310.0,2760863.0,2861266.0,2961499.0,3061673.0,3160523.0,3259432.0,3359400.0,3458603.0,3557549.0,3656561.0,3754775.0,3853599.0,3951964.0,4049857.0,4148810.0,4247487.0,4345674.0,4443868.0,4542022.0,4640898.0,4739969.0,4838730.0,4937354.0,5036908.0,5135992.0,5233962.0,5331016.0,5435089.0,5535407.0,5635489.0
2,339.0,3.0,rosberg,3.0,1.0,Finished,109161.0,212042.0,314188.0,416461.0,518447.0,620164.0,722151.0,823948.0,926186.0,1028448.0,1129938.0,1231681.0,1333195.0,1435060.0,1536579.0,1638289.0,1740085.0,1841648.0,1943045.0,2044435.0,2145735.0,2250261.0,2367246.0,2467107.0,2567213.0,2667297.0,2767354.0,2867548.0,2967731.0,3067655.0,3167756.0,3267497.0,3366916.0,3468211.0,3567520.0,3666739.0,3766173.0,3865229.0,3964654.0,4063540.0,4162254.0,4260806.0,4359611.0,4458329.0,4557106.0,4655856.0,4754271.0,4853601.0,4952098.0,5050499.0,5149492.0,5247795.0,5345924.0,5444263.0,5542586.0,5641916.0
5,339.0,9.0,kubica,4.0,1.0,Finished,109972.0,213058.0,315519.0,417790.0,519831.0,621991.0,723860.0,825766.0,927741.0,1030210.0,1131753.0,1233501.0,1335038.0,1436663.0,1538382.0,1640059.0,1741894.0,1843345.0,1944420.0,2046254.0,2150653.0,2268487.0,2368867.0,2468946.0,2569187.0,2669261.0,2769247.0,2869102.0,2969302.0,3069455.0,3169327.0,3268860.0,3368688.0,3468813.0,3568710.0,3668803.0,3769805.0,3869630.0,3968760.0,4067879.0,4166581.0,4265207.0,4363951.0,4462474.0,4561080.0,4659712.0,4758514.0,4856912.0,4956098.0,5054451.0,5153149.0,5252081.0,5350618.0,5449080.0,5547154.0,5647001.0
9,339.0,16.0,sutil,5.0,1.0,Finished,110477.0,213930.0,316562.0,418995.0,521538.0,623874.0,726007.0,828157.0,930172.0,1032447.0,1134392.0,1236372.0,1338275.0,1440095.0,1542284.0,1644343.0,1746622.0,1848423.0,1950098.0,2054764.0,2174630.0,2274720.0,2374941.0,2475143.0,2575464.0,2676147.0,2776112.0,2875900.0,2975869.0,3075621.0,3175168.0,3274928.0,3374784.0,3474515.0,3574533.0,3674016.0,3773151.0,3873048.0,3972322.0,4071335.0,4170693.0,4269400.0,4368118.0,4466841.0,4565601.0,4664201.0,4763013.0,4861404.0,4960456.0,5058629.0,5156969.0,5256147.0,5354417.0,5452601.0,5550761.0,5649471.0
15,339.0,30.0,michael_schumacher,21.0,36.0,Wheel,111097.0,214677.0,317380.0,420146.0,522990.0,625670.0,727836.0,830102.0,932186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,339.0,807.0,hulkenberg,10.0,1.0,Finished,111386.0,215490.0,318534.0,421963.0,524834.0,627957.0,731588.0,834384.0,937083.0,1040615.0,1142917.0,1245372.0,1350302.0,1476271.0,1578269.0,1679863.0,1781317.0,1882928.0,1984737.0,2086204.0,2188032.0,2289504.0,2391503.0,2492471.0,2593360.0,2694020.0,2794945.0,2895837.0,2996356.0,3097068.0,3200180.0,3301094.0,3401707.0,3502520.0,3603168.0,3703634.0,3803708.0,3903802.0,4005024.0,4105471.0,4205653.0,4306045.0,4405771.0,4505711.0,4605182.0,4704791.0,4804863.0,4904478.0,5004777.0,5103965.0,5203089.0,5302291.0,5402022.0,5501787.0,5601880.0,5701811.0
14,339.0,24.0,liuzzi,20.0,37.0,Throttle,112146.0,215926.0,319384.0,422652.0,525569.0,628404.0,732052.0,835299.0,937893.0,1041059.0,1143808.0,1400119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,339.0,808.0,petrov,19.0,6.0,Gearbox,112677.0,216637.0,320238.0,423408.0,527314.0,630366.0,734617.0,838750.0,941489.0,1044218.0,1146617.0,1249004.0,1355190.0,1477559.0,1580196.0,1681997.0,1783740.0,1885430.0,1987315.0,2089523.0,2193326.0,2297966.0,2400194.0,2502194.0,2604184.0,2706439.0,2808005.0,2909370.0,3011032.0,3111772.0,3213666.0,3314359.0,,,,,,,,,,,,,,,,,,,,,,,,
18,339.0,155.0,kobayashi,22.0,5.0,Engine,113346.0,217652.0,321099.0,425259.0,528664.0,632004.0,735594.0,839633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
