,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1,alonso,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2,button,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,3
3,webber,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,4
4,massa,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5
5,rosberg,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,3,3,3,3,4,4,4,5,6,6,6,6,6,6,6
6,michael_schumacher,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,sutil,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,perez,9,10,23,23,23,22,22,21,21,19,19,20,20,19,19,18,16,16,14,13,13,13,13,13,13,12,13,15,15,14,14,14,13,12,11,11,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,0
9,resta,10,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,8,8,8,9,9,9,9,9,9,9,9,12,12,12,12,12,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,kobayashi,11,11,11,13,15,23,23,23,22,20,20,19,18,18,17,16,15,14,11,11,10,10,10,10,10,10,10,9,9,9,9,9,9,13,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,0
11,buemi,12,12,10,10,10,10,10,10,10,10,10,10,10,9,9,9,7,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,petrov,13,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,12,12,12,12,12,11,11,11,10,10,10,10,11,12,11,10,10,10,12,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
13,alguersuari,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,23,22,20,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,18,18,18,17,17,17,17,16,16,16,15,15,15,15,15,15,15,15,15,15,0
14,kovalainen,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,12,17,17,15,15,14,14,14,15,15,14,14,13,13,13,13,13,14,14,13,14,14,14,13,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,0
15,glock,16,16,16,16,17,16,16,16,16,17,18,18,19,20,20,19,19,18,18,17,16,16,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
16,liuzzi,17,18,18,18,18,18,18,18,19,21,21,21,21,21,21,20,20,19,20,19,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,0,0
17,bruno_senna,18,23,22,22,22,21,20,19,18,18,17,16,16,16,16,15,14,15,12,14,17,17,16,16,16,16,16,16,16,16,15,15,15,15,15,15,16,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,0
18,barrichello,19,17,15,15,14,14,14,14,14,14,14,14,14,14,14,13,12,12,17,16,15,15,15,14,14,13,12,11,11,11,11,10,10,10,14,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
19,trulli,20,20,19,19,19,17,17,17,17,16,16,17,17,17,18,17,18,22,21,20,19,19,19,19,19,18,18,18,18,18,18,18,18,18,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
20,maldonado,21,19,17,17,16,15,15,15,15,15,15,15,15,15,15,14,13,13,10,10,11,11,11,11,12,15,15,14,14,15,16,16,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
21,ambrosio,22,21,20,20,21,20,21,22,23,23,23,23,23,23,23,22,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ricciardo,23,22,21,21,20,19,19,20,20,22,22,22,22,22,22,21,21,21,22,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0
