,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
11,848,20,vettel,9,1,1,Finished,110320,215786,320972,426460,531620,636653,741365,846515,951545,1056600,1161869,1267184,1373542,1488387,1604260,1708818,1813367,1917475,2021782,2125905,2230096,2334000,2437655,2541054,2644853,2748596,2852453,2956489,3060616,3173443,3287798,3390289,3493060,3595480,3698019,3800378,3903294,4005567,4107493,4210144,4312431,4414603,4516985,4619222,4722443,4824819,4936027,5050470,5152672,5255175,5357419,5459371,5561223,5664221,5767331.0,5869990.0,5976169.0
9,848,17,webber,9,3,1,Finished,111682,217613,323197,428560,533673,638784,744159,849328,954340,1059657,1165157,1270741,1385141,1500677,1605647,1711257,1815662,1919903,2023936,2128326,2234239,2338271,2441854,2545734,2649663,2753736,2857523,2969989,3083134,3186127,3289240,3392148,3494996,3597578,3700155,3802770,3905606,4008377,4110911,4213549,4316342,4428414,4542979,4645678,4749201,4854020,4957687,5061372,5164007,5266581,5369404,5472689,5579121,5683719,5788500.0,5894386.0,6003424.0
3,848,4,alonso,6,2,1,Finished,112612,218896,324354,429590,534781,639953,745039,850289,955453,1060753,1165844,1271438,1377116,1498083,1608210,1712817,1816945,1920748,2024728,2128809,2233086,2337004,2440639,2544322,2648061,2752133,2855697,2960155,3078915,3187172,3290991,3393903,3496639,3599136,3701829,3804354,3906982,4009819,4112644,4215179,4317844,4420590,4523179,4625689,4743231,4853223,4956715,5059124,5161432,5263999,5366909,5469907,5572603,5674974,5778391.0,5882732.0,5987060.0
6,848,13,massa,6,5,1,Finished,113333,219696,325500,430985,536379,641603,746686,851752,957480,1063481,1169216,1275147,1381461,1488092,1609687,1720193,1824722,1929093,2033331,2137985,2243129,2348058,2452779,2557170,2661553,2765992,2870319,2974597,3079333,3184558,3310056,3420188,3523471,3626496,3729705,3833164,3936348,4039463,4142320,4245494,4349378,4452882,4556290,4660090,4764383,4867987,4972195,5091369,5201100,5304643,5407847,5511355,5614060,5717342,5820248.0,5923395.0,6027874.0
0,848,1,hamilton,1,4,1,Finished,113819,220669,326331,431986,537518,642829,748054,853215,958450,1064250,1170714,1291503,1401813,1506214,1610328,1714665,1819028,1923377,2027625,2132808,2237591,2342811,2448335,2569025,2678875,2782019,2885138,2988215,3092016,3196681,3301271,3405960,3510552,3614908,3720156,3823991,3927851,4031876,4136017,4240252,4344535,4462831,4573168,4677235,4780878,4883865,4986812,5090117,5193632,5297159,5401020,5504676,5608699,5712625,5815735.0,5918892.0,6022359.0
2,848,3,rosberg,131,7,1,Finished,114972,222277,329305,436243,543379,651180,757784,864033,970145,1076724,1183201,1304488,1416062,1522774,1628813,1735168,1840616,1946044,2051381,2157117,2262322,2367278,2472344,2577642,2683786,2789363,2895630,3001559,3108204,3232258,3342650,3446834,3551114,3656511,3761158,3865435,3969648,4074484,4179871,4283821,4387683,4491753,4595844,4699807,4818484,4929955,5033852,5137984,5241988,5346156,5450046,5554208,5657857,5761974,5866068.0,5969958.0,6074259.0
10,848,18,button,1,6,1,Finished,115351,222850,329739,436562,543670,650224,756090,861411,967092,1073057,1178835,1284969,1391841,1514191,1624241,1728537,1833063,1937630,2042215,2146692,2251107,2355858,2460493,2564878,2669671,2774034,2878325,2983263,3088749,3208551,3317267,3421906,3526399,3630149,3734057,3838114,3942236,4046450,4150554,4254906,4359180,4463289,4567458,4671659,4776149,4880480,4984773,5103144,5213566,5316993,5419835,5523351,5626075,5728764,5831299.0,5933894.0,6036234.0
14,848,30,michael_schumacher,131,17,11,+1 Lap,116290,224187,331624,438758,546021,652875,759389,866026,972731,1079720,1186343,1293155,1400454,1523301,1671105,1782752,1888416,1994167,2099772,2204980,2310065,2415147,2520498,2626013,2733057,2838460,2944043,3049237,3154771,3261450,3383458,3498676,3604037,3710289,3815199,3920426,4025590,4130597,4235813,4341201,4446674,4551884,4657347,4762068,4866874,4973159,5078778,5183954,5289560,5394138,5499336,5604176,5708828,5813538,5918901.0,6027320.0,
8,848,16,sutil,10,9,11,+1 Lap,116817,224556,332164,439256,546569,653591,760351,867037,974175,1081735,1189262,1311892,1424381,1530212,1639306,1745596,1851493,1957067,2062666,2168428,2274007,2379322,2484797,2590362,2696173,2801974,2908233,3028856,3140141,3244803,3349607,3454503,3559116,3664014,3768794,3873837,3978316,4082766,4187586,4292911,4398058,4503380,4624128,4734993,4839114,4943163,5046953,5150985,5256409,5360395,5464537,5568097,5671623,5775390,5879928.0,5983880.0,
1,848,2,heidfeld,4,10,11,+1 Lap,117645,225577,333259,440768,548062,655296,762159,869382,976422,1083672,1206955,1317502,1425340,1531317,1639803,1746139,1853300,1959027,2064589,2170196,2275708,2381361,2487347,2593091,2698873,2805088,2928098,3038100,3143079,3247817,3352557,3457212,3562311,3667067,3771713,3876516,3981740,4086795,4191983,4312920,4423537,4527819,4632264,4736925,4841880,4946217,5051729,5155719,5259888,5364835,5468736,5575314,5679540,5783699,5887810.0,5992277.0,
