,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
10,844,20,vettel,9,1,1,Finished,95269,189351,283119,376946,470708,564509,658330,752183,846384,940602,1034916,1144907,1239081,1332000,1425168,1518005,1611121,1704005,1797063,1889812,1982712,2075283,2167756,2260511,2353795,2461172,2552872,2644725,2736919,2828996,2921080,3013328,3105459,3197374,3289000,3381456,3473661,3565369,3656964,3748605,3856093,3947176,4038243,4129279,4220600.0,4311786.0,4402590.0,4509858.0,4600545.0,4690482.0,4780872.0,4871305.0,4961891.0,5052512.0,5143102.0,5234486.0,5325939.0,5417558.0
2,844,3,rosberg,131,5,1,Finished,96559,191167,285579,379927,475355,571131,666430,762094,857134,952131,1063711,1157108,1251257,1345486,1439705,1533990,1628183,1722720,1817690,1914238,2010882,2107278,2217302,2311222,2404328,2497695,2591856,2684901,2778003,2871448,2965105,3058721,3152202,3260432,3352143,3444020,3535639,3626998,3718334,3810557,3902145,3993927,4085727,4177467,4283680.0,4374600.0,4465173.0,4556062.0,4646887.0,4737574.0,4828445.0,4919208.0,5010016.0,5101295.0,5191900.0,5282573.0,5373490.0,5465097.0
8,844,17,webber,9,2,1,Finished,97199,191722,286194,380472,475168,569232,663741,757834,852146,946771,1055984,1148691,1241822,1334999,1428055,1521115,1614183,1707230,1800743,1894566,1989345,2097729,2191265,2284253,2376957,2469323,2561411,2653473,2746553,2838876,2931575,3024254,3116763,3209797,3303117,3410210,3501215,3592291,3683851,3775105,3866248,3957388,4048764,4140010,4231408.0,4338208.0,4428153.0,4517856.0,4607622.0,4697698.0,4788361.0,4879542.0,4969900.0,5060310.0,5151031.0,5242349.0,5334013.0,5426365.0
3,844,4,alonso,6,3,1,Finished,97580,192642,287309,381470,475783,571290,665844,759865,854035,948096,1057418,1150710,1244151,1337432,1430609,1523835,1616858,1709780,1803314,1896829,1990309,2083838,2177480,2286291,2378341,2470340,2562069,2653967,2745931,2838001,2929935,3022168,3114398,3206876,3299370,3392095,3499451,3590404,3681452,3771886,3863205,3954277,4045459,4136895,4228138.0,4319304.0,4425833.0,4516112.0,4606511.0,4696807.0,4788461.0,4880326.0,4970993.0,5061800.0,5152817.0,5244121.0,5335736.0,5427633.0
9,844,18,button,1,6,1,Finished,98351,193570,288703,383663,478106,573289,668704,763576,858859,953647,1048573,1143993,1240232,1351107,1445307,1539503,1633516,1727244,1821219,1915476,2010637,2104538,2199208,2292925,2386829,2480233,2590840,2683768,2776286,2870173,2963474,3056945,3151223,3244478,3336769,3429292,3522260,3615124,3707853,3816116,3908448,4000902,4092617,4184141,4275944.0,4367305.0,4458472.0,4550029.0,4641809.0,4733628.0,4825327.0,4917409.0,5009174.0,5102026.0,5195312.0,5288618.0,5382268.0,5476989.0
0,844,1,hamilton,1,4,1,Finished,98852,194053,289170,384028,478582,573367,668542,764161,860512,970318,1064280,1157511,1252004,1345040,1438872,1532653,1626515,1720588,1815453,1911324,2020344,2113925,2207852,2300700,2393409,2486238,2579000,2671572,2764243,2856764,2948829,3041057,3133402,3226299,3349516,3441102,3532848,3624077,3715457,3807307,3898547,3989750,4080533,4171439,4262349.0,4353402.0,4460733.0,4550841.0,4640980.0,4731397.0,4822398.0,4913175.0,5003839.0,5094625.0,5185200.0,5275638.0,5366498.0,5457790.0
13,844,30,michael_schumacher,131,12,1,Finished,99759,197360,316475,410597,505102,599919,694991,789899,884482,979047,1074074,1170968,1268068,1364314,1473787,1567591,1661114,1754532,1847996,1941735,2035747,2128983,2222249,2315286,2408401,2501725,2595082,2688432,2782019,2876229,2983935,3076248,3168994,3263430,3356833,3449313,3542290,3635267,3728856,3824458,3917242,4009611,4103056,4196184,4289294.0,4396713.0,4487866.0,4579311.0,4670649.0,4762100.0,4853908.0,4947916.0,5040440.0,5134606.0,5226505.0,5318032.0,5409968.0,5503002.0
18,844,808,petrov,4,8,1,Finished,100330,197636,293084,387765,482642,577444,673209,768486,878844,974512,1071975,1167350,1261252,1354995,1448885,1542509,1636584,1730828,1825106,1935385,2028461,2121713,2215905,2309071,2402662,2495417,2588707,2682220,2775661,2869043,2962495,3056229,3149883,3243995,3354121,3446982,3539582,3632356,3724573,3817724,3910228,4002755,4095271,4187712,4280170.0,4387678.0,4478714.0,4569332.0,4660139.0,4752436.0,4844491.0,4935881.0,5027025.0,5118323.0,5209584.0,5302990.0,5394049.0,5485726.0
1,844,2,heidfeld,4,7,1,Finished,100734,197897,294160,389387,484738,579714,674280,768862,863745,958560,1072281,1168259,1262819,1356515,1450277,1544010,1637839,1732014,1825980,1920000,2013797,2108224,2217824,2311947,2404916,2498105,2592182,2685537,2778670,2872412,2965841,3059681,3153255,3247226,3340484,3433473,3541564,3633736,3726977,3819710,3912000,4004219,4096463,4188415,4280785.0,4372952.0,4480736.0,4571172.0,4661533.0,4752677.0,4843521.0,4933679.0,5024084.0,5115336.0,5206285.0,5297157.0,5387758.0,5478415.0
5,844,13,massa,6,11,1,Finished,100887,196328,290726,385325,479864,574372,669490,764584,859587,971066,1064564,1158247,1252491,1346012,1440184,1534357,1628507,1723027,1818003,1914512,2009776,2104214,2200633,2309616,2402963,2496086,2588968,2682610,2776127,2869633,2962997,3056666,3150856,3245154,3359004,3450901,3542948,3635472,3728369,3820868,3913248,4005558,4097880,4190397,4282850.0,4375448.0,4488773.0,4579906.0,4671159.0,4762367.0,4854288.0,4948273.0,5040677.0,5132197.0,5223577.0,5314755.0,5405873.0,5497381.0
