,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,201806.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,204726.0,2,2,2,2,2,2,3,3,3,11,10,9,9,8,6,6,6,6,6,6,6,5,5,13,11,11,11,11,11,11,10,10,10,9,9,10,14,12,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8
2,205638.0,3,3,3,4,4,4,4,4,5,7,7,5,6,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,206119.0,4,4,4,3,3,3,2,2,2,2,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,207148.0,5,5,5,5,5,5,5,5,6,9,8,8,8,9,7,7,7,7,7,7,7,7,6,8,9,9,9,9,9,9,8,8,8,7,7,6,6,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
5,207920.0,6,6,6,6,6,6,7,7,16,10,9,7,7,6,5,5,5,5,5,5,5,6,11,7,7,6,6,6,6,6,6,6,5,5,5,5,5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,14,0,0
6,209002.0,7,7,8,8,7,7,6,6,4,3,2,6,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,209194.0,8,8,7,7,8,8,8,9,18,14,12,11,11,11,9,9,9,9,9,9,9,11,15,11,10,10,10,10,10,10,9,9,9,8,8,8,7,5,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9
8,209975.0,9,9,9,9,9,9,9,10,17,12,11,10,10,10,8,8,8,8,8,8,8,8,13,9,8,8,8,8,8,8,7,7,7,6,6,7,11,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5
9,210292.0,10,10,10,11,11,11,11,11,9,16,13,12,12,12,10,10,10,10,10,10,13,17,16,15,12,12,12,12,12,12,12,11,11,10,10,9,8,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11
10,212248.0,11,12,12,12,12,12,12,12,11,17,16,15,16,16,15,15,16,16,16,15,15,14,12,10,16,15,15,15,15,15,15,14,14,14,14,14,12,11,16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,0,0,0
11,211093.0,12,11,11,10,10,10,10,8,7,4,3,1,2,3,12,12,12,12,12,12,10,9,7,4,4,4,4,4,5,5,5,5,6,13,13,12,10,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
12,212833.0,13,13,13,13,13,13,13,13,8,5,4,4,4,7,16,16,15,15,14,14,14,13,9,6,6,7,7,7,7,7,11,15,15,15,15,15,13,10,9,9,11,11,11,11,13,13,13,13,14,15,17,17,16,16,15,14,13
13,213479.0,14,14,14,14,14,14,15,16,12,8,19,18,18,18,17,17,17,17,17,16,16,15,14,12,15,17,17,17,16,16,16,16,16,16,16,16,15,15,14,15,16,16,16,16,16,16,16,16,16,16,15,15,15,15,13,13,14
