,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
10,863.0,20.0,vettel,1.0,1.0,Finished,101605.0,201806.0,302150.0,402486.0,502943.0,603700.0,704494.0,805217.0,906153.0,1007166.0,1110433.0,1229400.0,1328675.0,1428375.0,1527906.0,1627607.0,1727263.0,1826854.0,1926656.0,2026528.0,2126808.0,2227006.0,2327666.0,2428219.0,2531189.0,2649235.0,2747392.0,2845853.0,2944559.0,3043218.0,3142232.0,3241209.0,3340065.0,3438972.0,3538449.0,3638435.0,3738050.0,3837125.0,3938456.0,4053765.0,4150144.0,4247180.0,4344246.0,4441827.0,4539165.0,4636848.0,4734716.0,4832248.0,4929319.0,5026376.0,5123783.0,5221194.0,5318827.0,5416566.0,5514428.0,5612648.0,5710990.0
1,863.0,1.0,hamilton,8.0,1.0,Finished,103872.0,204726.0,305456.0,406396.0,507456.0,608590.0,710854.0,812977.0,917252.0,1042274.0,1142110.0,1242976.0,1343742.0,1443859.0,1544062.0,1644422.0,1744845.0,1845351.0,1945912.0,2046734.0,2148092.0,2249957.0,2354097.0,2480578.0,2579509.0,2678823.0,2778696.0,2879076.0,2978863.0,3078476.0,3178418.0,3278776.0,3378842.0,3479448.0,3580098.0,3682891.0,3800835.0,3898568.0,3996664.0,4095303.0,4193400.0,4291461.0,4389833.0,4488179.0,4586473.0,4684813.0,4783079.0,4881445.0,4980099.0,5078682.0,5177331.0,5275958.0,5374616.0,5473508.0,5572021.0,5671095.0,5769974.0
8,863.0,17.0,webber,4.0,1.0,Finished,104460.0,205638.0,306587.0,408522.0,509496.0,610694.0,712040.0,813757.0,918366.0,1037439.0,1137622.0,1237879.0,1338858.0,1439926.0,1540331.0,1640490.0,1740798.0,1841153.0,1942074.0,2042773.0,2143773.0,2244795.0,2348349.0,2467173.0,2566335.0,2665430.0,2764574.0,2864824.0,2963643.0,3062558.0,3161495.0,3260354.0,3359437.0,3458729.0,3558110.0,3657742.0,3757599.0,3857238.0,3959481.0,4075128.0,4172906.0,4271213.0,4369508.0,4467783.0,4565220.0,4662693.0,4760202.0,4858318.0,4956848.0,5055441.0,5153966.0,5252507.0,5350892.0,5449158.0,5548470.0,5649167.0,5749778.0
14,863.0,154.0,grosjean,3.0,1.0,Finished,104850.0,206119.0,307036.0,407478.0,508140.0,609016.0,709428.0,810185.0,910948.0,1014183.0,1133521.0,1233652.0,1333420.0,1433812.0,1533202.0,1632642.0,1732496.0,1831965.0,1931777.0,2031969.0,2132236.0,2232724.0,2333989.0,2435866.0,2539486.0,2657957.0,2756763.0,2855464.0,2954217.0,3053007.0,3151940.0,3250681.0,3349378.0,3448360.0,3547205.0,3646462.0,3745544.0,3844361.0,3943148.0,4044147.0,4160538.0,4257466.0,4354437.0,4452110.0,4549623.0,4647745.0,4745004.0,4842303.0,4939804.0,5037431.0,5135136.0,5232675.0,5330166.0,5427909.0,5525675.0,5623388.0,5721184.0
3,863.0,4.0,alonso,7.0,1.0,Finished,105615.0,207148.0,308394.0,409552.0,510974.0,612415.0,714153.0,816232.0,921207.0,1039974.0,1140579.0,1242553.0,1343342.0,1445136.0,1546069.0,1646853.0,1747718.0,1848537.0,1949401.0,2050479.0,2151719.0,2252726.0,2356422.0,2477115.0,2577700.0,2677280.0,2777521.0,2877112.0,2976897.0,3076789.0,3177454.0,3277193.0,3376851.0,3476415.0,3575992.0,3675562.0,3777494.0,3895570.0,3994072.0,4092522.0,4191161.0,4289601.0,4388092.0,4486295.0,4584502.0,4682884.0,4781502.0,4880304.0,4978955.0,5077678.0,5176458.0,5275041.0,5373804.0,5472215.0,5570683.0,5669273.0,5768793.0
9,863.0,18.0,button,18.0,43.0,Exhaust,106205.0,207920.0,309301.0,410727.0,512145.0,613788.0,716446.0,820304.0,938978.0,1041402.0,1141209.0,1241755.0,1341864.0,1442101.0,1542462.0,1642844.0,1743282.0,1843650.0,1944433.0,2045551.0,2146887.0,2251161.0,2369157.0,2469063.0,2569532.0,2668887.0,2768533.0,2868487.0,2968857.0,3069329.0,3169527.0,3270255.0,3371035.0,3471518.0,3572052.0,3672501.0,3774934.0,3892114.0,3990668.0,4089650.0,4188414.0,4287049.0,4385583.0,4484095.0,4582462.0,4680847.0,4778893.0,4877264.0,4975680.0,5073916.0,5172107.0,5270439.0,5373297.0,5489364.0,5601310.0,,
5,863.0,8.0,raikkonen,2.0,1.0,Finished,106703.0,209002.0,311689.0,412731.0,513254.0,614242.0,714912.0,816403.0,917425.0,1018228.0,1121252.0,1238563.0,1338024.0,1437112.0,1536107.0,1635358.0,1734762.0,1834108.0,1933543.0,2032990.0,2132988.0,2233316.0,2334414.0,2436454.0,2553272.0,2651437.0,2749619.0,2847939.0,2946304.0,3045040.0,3143666.0,3242358.0,3340982.0,3439685.0,3539075.0,3639225.0,3738873.0,3838203.0,3940284.0,4055997.0,4153113.0,4250390.0,4347744.0,4445222.0,4542621.0,4640105.0,4737369.0,4834856.0,4932136.0,5029856.0,5127349.0,5224824.0,5322257.0,5419740.0,5517682.0,5616035.0,5714323.0
7,863.0,13.0,massa,9.0,1.0,Finished,107191.0,209194.0,311130.0,412251.0,514778.0,616399.0,718391.0,822892.0,942840.0,1043956.0,1144454.0,1245211.0,1345896.0,1446697.0,1547780.0,1648969.0,1750430.0,1851736.0,1952997.0,2054625.0,2156788.0,2261632.0,2378486.0,2478391.0,2578289.0,2678038.0,2778172.0,2878257.0,2977937.0,3077479.0,3178040.0,3277912.0,3377853.0,3477591.0,3577569.0,3677835.0,3778428.0,3881159.0,3997416.0,4095686.0,4194894.0,4293017.0,4391347.0,4489640.0,4588320.0,4686666.0,4785026.0,4883630.0,4982600.0,5081299.0,5179986.0,5278803.0,5377544.0,5477040.0,5576398.0,5675977.0,5775989.0
2,863.0,3.0,rosberg,5.0,1.0,Finished,107695.0,209975.0,312639.0,413993.0,515513.0,617267.0,719167.0,823403.0,941884.0,1043319.0,1143655.0,1244260.0,1344854.0,1445778.0,1547041.0,1648078.0,1749158.0,1850135.0,1950831.0,2051969.0,2153438.0,2257052.0,2376009.0,2477558.0,2576692.0,2675975.0,2775844.0,2875288.0,2974873.0,3075460.0,3174953.0,3275221.0,3374915.0,3474485.0,3574040.0,3675618.0,3790534.0,3889054.0,3987608.0,4085810.0,4183890.0,4281978.0,4380269.0,4478611.0,4576952.0,4675302.0,4773661.0,4872336.0,4971080.0,5070587.0,5169729.0,5268581.0,5367217.0,5467160.0,5566424.0,5666090.0,5766450.0
21,863.0,815.0,perez,11.0,1.0,Finished,108091.0,210292.0,313530.0,415997.0,517543.0,619387.0,721357.0,823472.0,929030.0,1049663.0,1149434.0,1249465.0,1349746.0,1450316.0,1550821.0,1651276.0,1751948.0,1853194.0,1954649.0,2056220.0,2162512.0,2282210.0,2382152.0,2482231.0,2582674.0,2682018.0,2781287.0,2881143.0,2980770.0,3080540.0,3180503.0,3280585.0,3380624.0,3480989.0,3581951.0,3682457.0,3785644.0,3903594.0,4001740.0,4100476.0,4198846.0,4297028.0,4395315.0,4494209.0,4593265.0,4691674.0,4790277.0,4888898.0,4987848.0,5086741.0,5185687.0,5284865.0,5383937.0,5483491.0,5583517.0,5683426.0,5783692.0
