,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,button,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,raikkonen,2,2,2,2,3,3,3,3,3,3,5,10,8,7,6,4,4,4,4,3,2,2,2,2,2,2,2,2,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3
2,hulkenberg,3,3,3,3,2,2,2,2,2,2,2,2,3,8,8,5,5,5,5,4,4,3,3,3,3,3,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
3,resta,4,4,4,4,4,5,5,5,5,11,13,11,10,10,11,11,10,10,10,9,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,11,11,11,10,10,10,10,10,10
4,michael_schumacher,5,5,5,5,5,4,4,4,4,4,3,3,2,2,2,2,2,2,3,8,8,8,8,7,7,7,6,4,3,3,4,3,3,4,7,7,7,7,7,7,7,7,7,7
5,ricciardo,6,6,6,6,6,6,6,6,6,5,4,5,9,9,9,7,7,7,7,6,7,7,7,8,8,8,8,8,11,10,10,10,11,11,11,10,10,10,9,9,9,9,9,9
6,vergne,7,7,7,7,7,7,7,7,7,6,6,4,4,3,5,12,11,11,11,10,9,9,9,9,9,9,9,7,8,11,11,11,10,10,10,9,9,9,8,8,8,8,8,8
7,webber,8,8,9,9,9,9,9,9,10,9,11,12,11,11,10,8,6,6,6,5,5,4,4,4,4,4,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
8,bruno_senna,9,9,8,8,8,8,8,8,8,7,7,6,6,5,4,6,12,12,12,11,11,11,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,11,12,12,12,12,12
9,kovalainen,10,10,10,10,13,16,16,15,15,14,14,14,13,14,19,19,19,19,19,19,19,19,19,19,19,18,19,19,19,18,18,18,18,18,18,18,18,17,18,18,17,17,17,0
10,massa,11,11,11,11,10,10,11,11,11,10,9,9,12,12,12,10,9,8,8,7,6,5,6,6,6,6,7,10,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5
11,vettel,12,12,12,12,11,11,10,10,9,8,8,7,5,4,3,3,3,3,2,2,3,6,5,5,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,rosberg,13,13,13,13,12,12,12,12,12,12,10,8,7,6,7,9,8,9,9,12,13,13,12,12,12,12,11,11,10,9,9,9,9,9,9,12,12,12,12,11,11,11,11,11
13,karthikeyan,14,14,14,14,15,15,14,14,14,15,15,16,15,16,18,17,17,17,16,16,16,16,16,16,16,16,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,petrov,15,15,15,15,14,13,13,13,13,13,12,13,18,18,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
15,glock,16,16,16,16,19,19,19,18,18,18,19,19,19,19,17,16,16,16,15,15,15,15,15,15,15,19,17,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,0
16,rosa,17,18,18,18,17,17,17,16,16,16,17,17,16,15,16,18,18,18,17,17,17,17,17,18,18,17,18,18,17,17,17,17,17,17,17,17,17,18,17,17,18,18,18,0
17,pic,18,17,17,17,18,18,18,17,17,17,18,18,17,17,14,14,14,15,18,18,18,18,18,17,17,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,0
18,kobayashi,19,19,19,19,16,14,15,19,19,19,16,15,14,13,13,13,13,13,13,13,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
