,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,hamilton,1,1,1,1,1,2,1,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,button,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,massa,3,6,6,6,6,5,5,5,5,4,3,4,4,5,10,13,12,11,9,11,10,10,10,10,10,10,10,10,9,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3
3,webber,4,5,5,5,5,6,17,16,16,18,16,14,12,8,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,13,11,11,10,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
4,alonso,5,3,3,3,4,4,4,4,4,5,12,9,6,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
5,hulkenberg,6,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5
6,resta,7,7,7,7,7,8,7,6,6,10,18,18,14,12,8,8,8,10,11,7,7,7,7,7,7,7,7,7,7,6,6,8,8,8,8,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,8,8,7,5,5,7,9,9,9,9,9,9,9,9,9,8,8,0,0,0
7,raikkonen,8,8,8,8,13,18,18,18,17,14,15,17,16,13,11,10,10,8,7,10,9,9,9,9,9,9,9,9,10,9,9,9,11,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,13,16,17,15,12,11,10,10,10,10,10,10,10,10,10,10,10,9,9,0
8,maldonado,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,kobayashi,10,9,9,9,8,7,6,12,18,15,13,10,9,7,5,5,5,6,8,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,9,9,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8
10,rosberg,11,10,10,10,9,10,8,7,14,16,14,13,11,9,7,7,7,9,13,17,19,19,19,19,19,19,19,19,18,18,16,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,14,14,15,17,18,17,17,16,16,15,14,14,14,14,14,14,14,14,14,14,15,15,14,14,0
11,ricciardo,12,12,12,12,10,9,9,8,15,17,17,16,13,11,9,9,9,7,6,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,10,12,12,12,10,10,12,12,11,11,11,13,13,13,13,13,13,13,12,12,0
12,michael_schumacher,13,11,11,11,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,14,14,14,14,14,14,14,14,13,11,10,10,9,10,10,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
13,petrov,14,13,13,13,12,11,10,13,10,9,7,8,10,15,15,12,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,15,15,14,14,14,14,15,15,14,13,13,13,13,13,13,12,12,12,11,11,11,11,10,10,0
14,kovalainen,15,15,15,15,14,12,11,10,8,7,6,6,8,10,13,15,15,15,15,18,15,15,15,15,15,15,15,15,14,14,13,14,14,14,14,14,16,18,18,18,18,18,18,18,17,17,17,16,16,15,15,15,13,13,12,14,15,15,15,16,16,16,16,16,16,16,14,14,13,13,0
15,grosjean,16,14,14,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,glock,17,16,16,17,16,14,13,11,9,8,8,7,7,14,14,11,11,12,12,12,11,11,11,11,12,11,11,11,11,10,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,16,16,16,14,14,13,16,16,16,16,15,15,15,15,15,15,15,16,16,15,15,0
17,vergne,18,17,17,16,15,13,12,9,7,6,5,5,5,6,12,14,13,13,10,9,12,12,12,12,11,12,12,12,19,19,19,18,18,18,18,18,18,17,17,17,16,16,15,15,15,15,13,13,13,13,12,10,10,10,7,8,9,8,8,8,8,8,8,8,8,8,9,9,7,7,7
18,rosa,19,18,18,18,17,15,14,14,11,11,9,12,15,16,18,18,18,18,18,19,17,17,17,17,17,17,17,17,16,16,15,16,16,16,16,16,15,15,15,15,15,15,16,16,16,16,16,18,18,18,19,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,0,0
19,pic,20,19,19,19,18,16,15,15,12,12,10,11,18,18,17,16,16,16,16,13,16,16,16,16,16,16,16,16,15,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,13,11,11,11,11,11,10,11,12,12,12,11,11,11,12,12,12,12,11,11,0
20,karthikeyan,21,20,20,20,19,17,16,17,13,13,11,15,17,17,16,17,17,17,17,15,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,16,16,16,17,17,17,17,18,18,19,19,19,19,17,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,0,0
