,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,862,3,rosberg,131,1,1,Finished,105632,209566,313176,416906,520450,624390,728095,831745,935324,1039016,1142632,1246269,1355264.0,1475096.0,1577647.0,1680303.0,1783160.0,1885663.0,1988236.0,2091079.0,2194039.0,2297058.0,2399856.0,2502515.0,2605721.0,2708665.0,2811727.0,2915003.0,3018185.0,3121400.0,3224866.0,3327959.0,3431314.0,3538843.0,3656550.0,3757747.0,3858995.0,3960434.0,4061543.0,4162510.0,4263559.0,4364897.0,4466291.0,4567656.0,4668691.0,4770411.0,4871881.0,4973761.0,5075453.0,5176855.0,5278718.0,5380195.0,5481495.0,5583134.0,5684717.0,5786929.0
10,862,30,michael_schumacher,131,24,61,Wheel nut,106359,210679,314827,418939,523126,627299,731640,835928,940037,1044275,1148840,1257537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,862,18,button,1,2,1,Finished,107732,212351,316479,420401,524366,628486,732542,836931,941277,1045881,1154527,1272965,1375642.0,1478630.0,1581310.0,1684358.0,1787275.0,1890103.0,1992969.0,2095835.0,2198514.0,2301276.0,2404248.0,2510845.0,2629164.0,2730555.0,2832409.0,2935251.0,3037031.0,3139862.0,3241554.0,3342462.0,3443673.0,3545040.0,3646970.0,3749062.0,3850935.0,3952976.0,4059400.0,4183112.0,4285602.0,4388039.0,4489805.0,4591932.0,4693884.0,4796017.0,4898234.0,5000016.0,5101391.0,5202657.0,5304210.0,5405117.0,5506254.0,5606702.0,5707133.0,5807555.0
4,862,8,raikkonen,208,14,1,Finished,108600,213058,317219,421227,524996,628992,733175,837381,941812,1050831,1173594,1276918,1380621.0,1483572.0,1586617.0,1690081.0,1793116.0,1895906.0,1998886.0,2102033.0,2205446.0,2308499.0,2411251.0,2514088.0,2617126.0,2720053.0,2823132.0,2930582.0,3051361.0,3153892.0,3256411.0,3359707.0,3462868.0,3565791.0,3668520.0,3771356.0,3874039.0,3976957.0,4079795.0,4182239.0,4285038.0,4387134.0,4488928.0,4590813.0,4692886.0,4795114.0,4897407.0,5004114.0,5111493.0,5215579.0,5320058.0,5424326.0,5527491.0,5630734.0,5733848.0,5837502.0
0,862,1,hamilton,1,3,1,Finished,109228,213822,317991,421973,526121,630110,733838,838056,942356,1051242,1172105,1274894,1377921.0,1480728.0,1583421.0,1686300.0,1789162.0,1891774.0,1994735.0,2097955.0,2201018.0,2308091.0,2426355.0,2529378.0,2632694.0,2735296.0,2838611.0,2940591.0,3043085.0,3144916.0,3246697.0,3349520.0,3452916.0,3556339.0,3660884.0,3762468.0,3864198.0,3969956.0,4087230.0,4187760.0,4289134.0,4390695.0,4491952.0,4593375.0,4695330.0,4796987.0,4899161.0,5002940.0,5103623.0,5204334.0,5305410.0,5406889.0,5508994.0,5611083.0,5712122.0,5812941.0
20,862,815,perez,15,11,1,Finished,109726,214300,318418,422754,526785,630718,734629,838605,942983,1047464,1151418,1255324,1359171.0,1463065.0,1567105.0,1676129.0,1797858.0,1901521.0,2006688.0,2110051.0,2213120.0,2316092.0,2419206.0,2522109.0,2625545.0,2728934.0,2832095.0,2936011.0,3039391.0,3142745.0,3246014.0,3349235.0,3452446.0,3556258.0,3665061.0,3785255.0,3886326.0,3987457.0,4089129.0,4190717.0,4292332.0,4394005.0,4496029.0,4597440.0,4700420.0,4804146.0,4905558.0,5006807.0,5111027.0,5212837.0,5314688.0,5416583.0,5518655.0,5622160.0,5724573.0,5827995.0
14,862,155,kobayashi,15,10,1,Finished,110276,215464,319646,423726,527581,631630,735848,840309,948898,1070223,1174387,1278337,1382058.0,1485599.0,1588998.0,1692668.0,1796951.0,1900344.0,2003501.0,2106787.0,2209999.0,2313108.0,2416395.0,2519624.0,2628129.0,2746766.0,2848471.0,2950517.0,3052666.0,3154918.0,3257677.0,3360469.0,3463358.0,3566151.0,3668907.0,3771791.0,3874521.0,3981345.0,4099482.0,4199442.0,4300179.0,4401161.0,4501945.0,4602715.0,4703983.0,4805493.0,4907277.0,5008461.0,5110508.0,5212163.0,5314018.0,5415303.0,5517950.0,5621534.0,5723632.0,5825649.0
2,862,4,alonso,6,9,1,Finished,110905,216265,320549,424754,529210,633364,737729,841802,946059,1050080,1154015,1262106,1381123.0,1484083.0,1587218.0,1690490.0,1793677.0,1896704.0,1999619.0,2102591.0,2205920.0,2309061.0,2412064.0,2514995.0,2618116.0,2721147.0,2828111.0,2945847.0,3047962.0,3150819.0,3253021.0,3354806.0,3456546.0,3558755.0,3661282.0,3763252.0,3865047.0,3970812.0,4087654.0,4189017.0,4290169.0,4391914.0,4496865.0,4598286.0,4700659.0,4802980.0,4904532.0,5006269.0,5108844.0,5211267.0,5312644.0,5414417.0,5517896.0,5620706.0,5722576.0,5824185.0
7,862,17,webber,9,4,1,Finished,111270,216729,321168,425347,529692,638157,758113,861123,964714,1067841,1172757,1276358,1379800.0,1482793.0,1585886.0,1688761.0,1791728.0,1894747.0,1997863.0,2101375.0,2208908.0,2327039.0,2428505.0,2530229.0,2633056.0,2736831.0,2839422.0,2941629.0,3043679.0,3146175.0,3247921.0,3350104.0,3453463.0,3561191.0,3679027.0,3781139.0,3881848.0,3982573.0,4084093.0,4185587.0,4287680.0,4389088.0,4490993.0,4592884.0,4694846.0,4796489.0,4898860.0,5003582.0,5105299.0,5206373.0,5307205.0,5407695.0,5509329.0,5611357.0,5713746.0,5814853.0
6,862,13,massa,6,13,1,Finished,111897,217507,322335,426854,531363,635957,740354,844870,949380,1053560,1157691,1261942,1366253.0,1470550.0,1574756.0,1679212.0,1784006.0,1892844.0,2012109.0,2115223.0,2218754.0,2322493.0,2425880.0,2528954.0,2632387.0,2736427.0,2840604.0,2944113.0,3047539.0,3151487.0,3255233.0,3359212.0,3462343.0,3565244.0,3667966.0,3770680.0,3873524.0,3976393.0,4079100.0,4181706.0,4288291.0,4405237.0,4506553.0,4607935.0,4709241.0,4811022.0,4912439.0,5013679.0,5115105.0,5217359.0,5319552.0,5421515.0,5523139.0,5625071.0,5727326.0,5829708.0
