,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,grosjean,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,button,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,10,8,6,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,8,8,8,8,8,7,7,6,5,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,vettel,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,7,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,alonso,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,9,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,3,3,3,6,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,raikkonen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,webber,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,4,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,9,9,9,7,6,6,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7,bruno_senna,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,7,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,massa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,5,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,hulkenberg,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,15,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,rosberg,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,maldonado,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,16,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,10,14,14,14,14,14,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
12,perez,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,11,9,8,7,8,9,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,12,12,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
13,resta,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,16,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
14,ricciardo,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,17,17,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,16,16,16,16,16,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,0
15,kovalainen,16,17,17,17,17,17,17,17,17,17,17,16,16,16,15,13,13,20,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,0
16,vergne,17,16,16,16,16,16,16,16,16,16,16,17,20,20,20,20,19,18,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,18,18,17,17,17,17,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,0
17,petrov,18,18,18,18,18,18,18,18,18,18,18,18,17,17,16,14,15,16,20,20,19,19,19,19,19,19,19,19,19,19,18,18,18,18,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0
18,kobayashi,19,19,19,19,19,19,19,19,22,21,20,20,19,19,19,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,16,17,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
19,pic,20,20,20,20,20,20,20,20,19,19,19,19,18,18,17,19,20,19,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0
20,glock,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0
21,rosa,22,22,21,21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0
22,karthikeyan,23,23,22,22,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0
