,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,870,1,hamilton,1,1,1,Finished,93423,182927,272023,360667,449138,537452,625326,713520,801551,889256,977069,1064863,1152530,1240454,1328412,1416643,1504973,1596687,1701377,1789234,1876699,1964073,2051467,2138854,2226251,2313413,2400886,2488252,2575815,2663351,2751242,2838633,2926235,3013680,3101166,3188940,3277013,3364505,3452637,3541895,3644942,3731629,3818294,3904543,3991207,4078237,4165439,4252352,4339396,4426538,4513776,4600593,4687017,4773576,4859972,4946097,5032412,5118524,5204883.0,5290684.0,5377311.0,5463669.0,5549421.0,5635363.0,5721040.0,5806925.0,5893005.0,5979112.0,6065503.0
13,870,154,grosjean,208,3,1,Finished,94879,185028,274396,362856,451385,539686,627654,715646,803693,891563,979636,1067641,1155027,1243063,1330850,1418730,1507001,1595458,1686564,1792649,1879374,1966299,2052834,2139827,2228000,2315907,2403201,2490020,2577114,2664493,2752220,2839952,2927387,3014845,3102797,3190225,3277791,3365467,3455700,3559350,3646668,3734459,3822561,3909414,3995901,4084275,4170813,4257663,4344549,4431045,4517655,4603958,4691512,4777981,4864330,4951315,5037658,5124354,5210404.0,5297073.0,5383406.0,5470046.0,5556875.0,5643680.0,5730315.0,5816628.0,5903084.0,5989468.0,6076021.0
8,870,18,button,1,6,1,Finished,95840,186149,275538,364382,453163,541617,630189,718545,806984,895316,983719,1073015,1161044,1249411,1341855,1445464,1533382,1621345,1709133,1797307,1884739,1971997,2059160,2146440,2233859,2320984,2408216,2495463,2582826,2670147,2757486,2844951,2932992,3022963,3125528,3212711,3300024,3387696,3475892,3563368,3651137,3738188,3824612,3910961,4000309,4103695,4190377,4277477,4364763,4452188,4539070,4626002,4712396,4798815,4885518,4972157,5058261,5144092,5231002.0,5317649.0,5404203.0,5490643.0,5576955.0,5662822.0,5748948.0,5835643.0,5921873.0,6009192.0,6095746.0
9,870,20,vettel,9,4,1,Finished,96703,187063,276383,365339,454057,542917,631581,720146,808620,896881,985244,1074071,1162353,1250832,1339971,1427998,1518727,1622871,1710198,1797929,1885556,1972928,2060200,2147257,2234790,2321780,2409282,2496200,2583703,2671058,2758584,2845940,2933499,3021583,3108095,3194820,3281603,3371475,3473803,3560752,3648030,3735385,3823085,3910299,3997281,4084920,4172346,4259294,4346320,4433226,4520039,4606725,4693266,4779562,4865762,4952633,5039076,5127533,5228945.0,5314082.0,5398946.0,5483530.0,5569212.0,5654364.0,5739214.0,5823987.0,5908739.0,5992875.0,6077117.0
2,870,4,alonso,6,5,1,Finished,97308,188135,277966,367287,456639,545591,634431,723045,811667,900259,988767,1077252,1165496,1253956,1342301,1430670,1521665,1626900,1716095,1804241,1893152,1981591,2069588,2157752,2245586,2333173,2420648,2507947,2595191,2682677,2770055,2857441,2944863,3032500,3119922,3207178,3295053,3382364,3469831,3557581,3646002,3733904,3824899,3928731,4015694,4102693,4189719,4276696,4363984,4451071,4537994,4624762,4711199,4797638,4884238,4970889,5057000,5143070,5230475.0,5316924.0,5403318.0,5489380.0,5575422.0,5661191.0,5746929.0,5833116.0,5919645.0,6005762.0,6092156.0
4,870,8,raikkonen,208,2,1,Finished,97664,188608,278458,367929,457589,546423,635131,723635,812334,901362,989787,1078427,1166570,1255098,1343422,1431543,1519905,1607574,1695290,1785373,1890337,1977708,2065402,2152698,2239461,2326361,2413888,2501343,2588247,2675420,2762784,2850222,2937400,3024705,3111700,3198065,3284193,3371010,3457729,3545851,3631579,3717513,3804176,3890630,3979499,4082660,4168988,4255383,4342066,4428452,4515079,4601556,4687993,4774523,4860851,4947186,5033380,5119694,5205804.0,5291764.0,5378128.0,5464469.0,5550383.0,5636291.0,5722102.0,5808220.0,5894241.0,5980167.0,6066535.0
7,870,17,webber,9,8,1,Finished,98639,189626,279718,369183,458548,547510,636326,724994,813710,902517,991033,1079607,1167981,1256475,1345237,1433632,1522115,1610382,1698715,1789450,1894098,1982325,2070410,2158950,2246687,2334391,2421922,2509361,2596745,2684254,2771311,2858810,2946169,3033525,3120888,3208314,3295795,3383476,3473387,3575032,3660434,3746863,3834149,3920177,4007498,4094270,4180944,4267391,4353654,4439663,4526140,4612402,4699188,4786078,4874536,4976942,5062940,5148962,5235045.0,5321174.0,5407567.0,5494106.0,5580764.0,5666826.0,5752966.0,5839724.0,5926697.0,6012993.0,6099961.0
17,870,811,bruno_senna,3,7,1,Finished,99377,190367,280450,369957,459443,548522,637684,726262,814922,903819,992541,1081281,1169640,1258431,1347161,1438656,1543515,1631124,1718999,1807546,1896450,1985372,2073187,2161437,2249046,2336649,2424312,2512066,2599852,2687288,2774583,2862112,2949746,3037443,3125039,3212179,3299614,3387414,3475439,3562958,3650774,3740163,3843672,3930841,4017935,4105117,4192048,4278666,4366163,4453433,4540385,4627102,4713686,4800204,4886864,4973729,5060243,5146779,5233418.0,5319973.0,5406908.0,5493412.0,5579834.0,5666083.0,5752331.0,5839069.0,5925680.0,6012384.0,6099402.0
6,870,13,massa,6,9,1,Finished,99656,190882,281245,370787,460064,549167,638447,727243,815907,904744,993737,1082838,1171410,1260424,1349610,1438891,1528882,1620898,1726167,1814236,1902119,1989815,2078799,2167032,2255630,2343072,2430601,2518277,2605640,2693104,2780638,2868071,2955516,3042987,3130520,3218150,3305768,3393050,3480903,3569102,3657739,3745705,3836454,3940591,4027173,4113832,4200527,4287546,4373751,4459958,4546310,4633292,4719574,4805494,4891560,4978117,5064346,5150433,5236437.0,5322705.0,5408717.0,5495107.0,5581764.0,5668186.0,5754411.0,5840972.0,5927936.0,6014834.0,6103853.0
15,870,807,hulkenberg,10,11,1,Finished,100117,191692,282170,372022,461742,550884,640261,729245,818161,907192,996314,1085793,1174912,1264013,1356033,1463332,1552236,1640969,1729843,1818393,1906942,1995155,2083672,2172315,2261232,2349837,2437286,2525157,2613115,2701061,2789196,2877210,2965318,3053299,3141566,3229518,3317387,3405295,3495451,3598785,3685624,3773338,3860713,3948029,4036361,4125594,4212487,4299615,4386727,4473986,4560570,4647566,4733809,4820643,4907401,4994055,5080462,5166573,5252764.0,5338837.0,5425539.0,5512096.0,5598895.0,5685393.0,5772188.0,5859539.0,5947132.0,6034576.0,6122786.0
1,870,3,rosberg,131,10,1,Finished,100709,192305,282846,372798,462714,551801,641151,730099,819091,908329,997473,1086890,1175846,1264922,1354394,1445094,1550824,1639402,1728153,1816488,1904715,1992481,2080870,2169650,2257856,2345885,2433582,2521280,2608945,2696866,2784814,2872346,2960147,3047820,3135247,3222542,3310109,3398071,3486053,3576916,3682005,3768954,3856433,3944038,4031664,4119078,4206644,4294978,4382263,4469507,4557445,4644175,4731205,4818328,4904739,4991401,5077783,5163613,5249958.0,5336288.0,5422922.0,5509961.0,5596219.0,5682445.0,5769114.0,5855890.0,5942473.0,6029771.0,6116737.0
18,870,813,maldonado,3,13,1,Finished,101573,192946,283536,373590,463533,553000,642338,731494,820705,909597,998734,1088126,1177126,1266252,1358115,1463930,1553459,1642344,1731043,1819699,1908307,1996589,2085127,2173570,2262514,2351062,2439343,2527304,2615356,2703282,2791224,2879249,2967034,3054988,3142995,3231086,3318929,3406722,3494680,3582425,3672486,3776413,3863642,3950617,4037853,4126405,4215727,4301987,4388764,4476265,4563098,4652260,4749280,4836339,4923033,5009466,5095489,5181389,5267773.0,5353810.0,5440157.0,5526645.0,5612368.0,5698395.0,5784206.0,5870282.0,5956337.0,6042287.0,6129109.0
20,870,815,perez,15,14,1,Finished,101984,193466,284181,374314,464321,553672,643309,732411,821486,910504,999922,1089419,1178937,1268129,1357421,1447285,1536506,1626195,1715645,1807049,1901096,2006379,2094166,2182537,2270770,2359366,2448875,2537478,2626411,2715100,2803486,2892001,2981496,3070669,3158317,3245286,3332394,3419658,3506926,3594118,3682986,3771211,3859140,3947197,4035991,4125110,4217696,4322062,4408652,4495333,4581711,4668369,4755824,4842098,4929244,5015684,5101382,5186918,5272607.0,5358205.0,5443615.0,5529412.0,5615089.0,5700955.0,5786173.0,5871769.0,5957840.0,6043735.0,6129997.0
