,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,876,20,vettel,9,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,876,17,webber,9,3,1,Finished,1273,1689,2141,2275,2486,2373,2717,2767,3082,3073,3431,3648,3630,3604,3696,3824,4280,4470,4751,5206,5455.0,7138.0,8404.0,8997.0,9530.0,10105.0,10256.0,10682.0,11276.0,14628.0,30261.0,30330.0,28169.0,11838.0,11813.0,12041.0,12449.0,11884.0,11466.0,11147.0,11095.0,10933.0,10428.0,10281.0,10176.0,11029.0,10976.0,13087.0,13142.0,13911.0,14102.0,13850.0,13992.0,13659.0,13783.0,14035.0,13610.0,13038.0,12375.0,13217.0
2,876,18,button,1,5,1,Finished,2968,4174,4719,6929,7705,9725,10618,11538,12486,13278,14361,15263,16007,16794,17761,18437,18965,19640,20488,21210,21447.0,22756.0,23911.0,24886.0,27845.0,46028.0,46530.0,47082.0,46968.0,47177.0,45749.0,46304.0,45149.0,29019.0,30087.0,30595.0,30729.0,30539.0,30415.0,29999.0,30442.0,30759.0,30954.0,30721.0,30408.0,30302.0,29631.0,29590.0,29342.0,29280.0,30004.0,28834.0,27889.0,27094.0,27049.0,27097.0,26827.0,26523.0,26786.0,26266.0
3,876,4,alonso,6,2,1,Finished,3585,5020,5447,6092,6377,6189,6416,6841,7364,7425,7920,8146,8261,8256,8522,8777,8891,8912,9208,9209,8757.0,9470.0,10234.0,10970.0,11299.0,11972.0,12202.0,13001.0,15556.0,32812.0,31102.0,31087.0,28982.0,12698.0,12894.0,13474.0,13412.0,13013.0,12707.0,12839.0,13151.0,13179.0,12730.0,12209.0,11941.0,12039.0,11938.0,11972.0,11362.0,11265.0,11124.0,10253.0,9897.0,9581.0,9891.0,10883.0,10638.0,10250.0,9530.0,9437.0
4,876,1,hamilton,1,4,1,Finished,4379,5907,6342,7669,8313,8859,9566,10168,10773,11088,12425,13012,13726,14795,15737,16126,16491,17060,17711,19067,18953.0,19834.0,20590.0,21009.0,21038.0,22127.0,22170.0,22039.0,21360.0,21372.0,19833.0,22809.0,37677.0,20552.0,20669.0,21442.0,21101.0,20059.0,19915.0,19370.0,19367.0,19429.0,18968.0,18734.0,18413.0,17954.0,17179.0,17354.0,17110.0,16964.0,16716.0,16009.0,15557.0,15449.0,15397.0,15485.0,14888.0,14076.0,13520.0,13909.0
5,876,13,massa,6,6,1,Finished,4881,6536,7341,8430,9229,10299,11284,12113,13347,14027,15097,16221,16984,18022,18975,19538,20443,20954,21796,22594,23636.0,24949.0,26263.0,27453.0,28682.0,30532.0,32015.0,35415.0,53454.0,53795.0,52393.0,52443.0,50803.0,34731.0,35552.0,36347.0,36575.0,36700.0,36669.0,36972.0,37629.0,38441.0,38195.0,38161.0,38766.0,39347.0,40506.0,41841.0,42178.0,42812.0,43201.0,42751.0,42845.0,42829.0,43399.0,44195.0,44289.0,44028.0,43619.0,44674.0
6,876,8,raikkonen,208,7,1,Finished,5506,7348,8244,9338,10144,10893,12014,12878,14054,14778,15933,16904,17935,18930,19781,20553,21265,22117,22728,23550,24213.0,25786.0,26903.0,28228.0,29322.0,31104.0,34879.0,51957.0,53979.0,54604.0,53009.0,53355.0,51510.0,35275.0,36148.0,37061.0,37367.0,37591.0,37490.0,37705.0,38487.0,39106.0,38987.0,38868.0,39514.0,40056.0,41536.0,42376.0,43069.0,43505.0,44186.0,43884.0,43835.0,43521.0,44117.0,44761.0,44932.0,44623.0,44308.0,45227.0
7,876,815,perez,15,24,3,Accident,6106,8409,9702,11181,12558,13638,15002,15980,17189,18129,19726,22061,24140,29202,47051,47935,48711,50799,83722,111330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,876,807,hulkenberg,10,8,1,Finished,6887,9171,10808,12122,13784,14939,16178,17438,18395,19442,20580,22658,24813,25415,26257,26991,27668,28300,29601,30497,30858.0,32297.0,33572.0,34746.0,35953.0,37592.0,38900.0,42382.0,60854.0,61909.0,60802.0,61397.0,59492.0,42697.0,43463.0,44192.0,44793.0,44702.0,44749.0,44884.0,45644.0,46147.0,46329.0,46850.0,47706.0,48530.0,48766.0,49509.0,49621.0,50242.0,51964.0,51988.0,52218.0,52857.0,53579.0,54452.0,54496.0,54585.0,54491.0,54998.0
9,876,3,rosberg,131,11,1,Finished,7347,10251,12457,14526,16091,17410,19048,21000,22561,23734,25331,26782,28321,29734,31171,32499,33664,34909,36076,37303,38468.0,40738.0,43401.0,45650.0,47241.0,49473.0,52370.0,71456.0,72538.0,74063.0,73767.0,74659.0,73773.0,59112.0,60703.0,62370.0,63694.0,64917.0,65546.0,66264.0,67287.0,67966.0,68126.0,68414.0,69284.0,70432.0,70743.0,71794.0,73069.0,74283.0,76574.0,76789.0,77628.0,78115.0,79146.0,80116.0,80266.0,80284.0,80084.0,81694.0
10,876,813,maldonado,3,16,11,+1 Lap,7743,10899,13453,15263,16854,18467,20109,22069,23442,24547,26215,27539,29179,30794,32689,36147,37267,38313,39901,41069,41350.0,43182.0,44880.0,47402.0,48848.0,51092.0,53953.0,73349.0,75890.0,112707.0,139912.0,140767.0,139368.0,122816.0,123494.0,123914.0,124311.0,124420.0,124553.0,125527.0,126064.0,126414.0,126698.0,127232.0,128512.0,133075.0,134076.0,136271.0,138003.0,138610.0,139367.0,140465.0,141732.0,144337.0,146320.0,147822.0,148342.0,149789.0,150411.0,
11,876,154,grosjean,208,9,1,Finished,8217,11319,14151,15766,17423,19233,20569,22758,24016,25334,26802,28180,29830,31390,32757,34351,35251,35845,36892,38008,39069.0,41357.0,42048.0,42729.0,43237.0,44406.0,44793.0,45045.0,44955.0,45453.0,44318.0,45442.0,44533.0,28105.0,29214.0,32085.0,48820.0,48166.0,47333.0,47408.0,47674.0,47753.0,47564.0,47611.0,48381.0,49187.0,49363.0,50354.0,50380.0,50921.0,52518.0,52831.0,52754.0,53605.0,54202.0,55151.0,55100.0,55156.0,55202.0,56103.0
12,876,811,bruno_senna,3,10,1,Finished,9054,12132,15085,16731,18328,19669,21393,23449,24913,26104,27715,29021,30506,32056,33467,35399,36161,36889,37887,39001,39834.0,42196.0,44099.0,46422.0,48010.0,52787.0,71674.0,74332.0,76230.0,78842.0,78643.0,79911.0,79124.0,62955.0,64541.0,65686.0,66177.0,67203.0,66995.0,67583.0,68474.0,68861.0,69178.0,69334.0,70109.0,71255.0,71677.0,72650.0,73966.0,75051.0,75664.0,75634.0,76524.0,76490.0,76701.0,76957.0,76517.0,75869.0,75267.0,74975.0
13,876,814,resta,10,12,1,Finished,9507,12880,15825,17884,19996,21572,23518,25287,27076,28603,30566,32621,34491,35950,37628,39370,41047,42569,44473,46290,47428.0,49232.0,51179.0,52863.0,54859.0,56727.0,58488.0,62367.0,83344.0,85039.0,85026.0,85393.0,84268.0,68535.0,69678.0,71064.0,72763.0,73189.0,73776.0,74457.0,76013.0,76764.0,77024.0,77128.0,77724.0,78402.0,78314.0,79334.0,80201.0,80785.0,81234.0,81130.0,81176.0,81393.0,82031.0,82413.0,82554.0,82900.0,82294.0,82815.0
14,876,817,ricciardo,5,13,1,Finished,10234,14090,17049,19507,21697,24032,26288,28427,30487,32395,34685,36761,38852,41141,43358,45717,47890,50479,53907,55780,57268.0,59913.0,62591.0,64720.0,66468.0,68607.0,72556.0,93521.0,94299.0,95669.0,94858.0,95393.0,94115.0,77706.0,78532.0,79392.0,79668.0,79684.0,80086.0,79969.0,80636.0,81214.0,81337.0,81089.0,81506.0,82166.0,81855.0,82648.0,82723.0,83377.0,83665.0,83741.0,83824.0,84033.0,84524.0,85088.0,84955.0,84706.0,84560.0,86064.0
