,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
9,876,20,vettel,9,1,1,Finished,93554,186178,278755,371172,463437,555918,647971,740160,832282,924324,1016019,1107769,1199333,1290874,1382257,1473731,1565163,1656564,1747673,1839042,1930739.0,2021376.0,2112135.0,2202991.0,2293895.0,2384361.0,2475348.0,2566187.0,2657429.0,2748243.0,2840823.0,2931920.0,3024728.0,3132407.0,3222849.0,3313128.0,3403750.0,3494431.0,3585148.0,3675560.0,3765509.0,3855579.0,3946066.0,4036488.0,4126700.0,4216790.0,4307136.0,4396558.0,4486404.0,4575864.0,4665310.0,4755369.0,4845124.0,4934792.0,5023965.0,5113000.0,5202573.0,5292329.0,5382021.0,5470744.0
7,876,17,webber,9,3,1,Finished,94827,187867,280896,373447,465923,558291,650688,742927,835364,927397,1019450,1111417,1202963,1294478,1385953,1477555,1569443,1661034,1752424,1844248,1936194.0,2028514.0,2120539.0,2211988.0,2303425.0,2394466.0,2485604.0,2576869.0,2668705.0,2762871.0,2871084.0,2962250.0,3052897.0,3144245.0,3234662.0,3325169.0,3416199.0,3506315.0,3596614.0,3686707.0,3776604.0,3866512.0,3956494.0,4046769.0,4136876.0,4227819.0,4318112.0,4409645.0,4499546.0,4589775.0,4679412.0,4769219.0,4859116.0,4948451.0,5037748.0,5127035.0,5216183.0,5305367.0,5394396.0,5483961.0
8,876,18,button,1,5,1,Finished,96522,190352,283474,378101,471142,565643,658589,751698,844768,937602,1030380,1123032,1215340,1307668,1400018,1492168,1584128,1676204,1768161,1860252,1952186.0,2044132.0,2136046.0,2227877.0,2321740.0,2430389.0,2521878.0,2613269.0,2704397.0,2795420.0,2886572.0,2978224.0,3069877.0,3161426.0,3252936.0,3343723.0,3434479.0,3524970.0,3615563.0,3705559.0,3795951.0,3886338.0,3977020.0,4067209.0,4157108.0,4247092.0,4336767.0,4426148.0,4515746.0,4605144.0,4695314.0,4784203.0,4873013.0,4961886.0,5051014.0,5140097.0,5229400.0,5318852.0,5408807.0,5497010.0
2,876,4,alonso,6,2,1,Finished,97139,191198,284202,377264,469814,562107,654387,747001,839646,931749,1023939,1115915,1207594,1299130,1390779,1482508,1574054,1665476,1756881,1848251,1939496.0,2030846.0,2122369.0,2213961.0,2305194.0,2396333.0,2487550.0,2579188.0,2672985.0,2781055.0,2871925.0,2963007.0,3053710.0,3145105.0,3235743.0,3326602.0,3417162.0,3507444.0,3597855.0,3688399.0,3778660.0,3868758.0,3958796.0,4048697.0,4138641.0,4228829.0,4319074.0,4408530.0,4497766.0,4587129.0,4676434.0,4765622.0,4855021.0,4944373.0,5033856.0,5123883.0,5213211.0,5302579.0,5391551.0,5480181.0
0,876,1,hamilton,1,4,1,Finished,97933,192085,285097,378841,471750,564777,657537,750328,843055,935412,1028444,1120781,1213059,1305669,1397994,1489857,1581654,1673624,1765384,1858109,1949692.0,2041210.0,2132725.0,2224000.0,2314933.0,2406488.0,2497518.0,2588226.0,2678789.0,2769615.0,2860656.0,2954729.0,3062405.0,3152959.0,3243518.0,3334570.0,3424851.0,3514490.0,3605063.0,3694930.0,3784876.0,3875008.0,3965034.0,4055222.0,4145113.0,4234744.0,4324315.0,4413912.0,4503514.0,4592828.0,4682026.0,4771378.0,4860681.0,4950241.0,5039362.0,5128485.0,5217461.0,5306405.0,5395541.0,5484653.0
6,876,13,massa,6,6,1,Finished,98435,192714,286096,379602,472666,566217,659255,752273,845629,938351,1031116,1123990,1216317,1308896,1401232,1493269,1585606,1677518,1769469,1861636,1954375.0,2046325.0,2138398.0,2230444.0,2322577.0,2414893.0,2507363.0,2601602.0,2710883.0,2802038.0,2893216.0,2984363.0,3075531.0,3167138.0,3258401.0,3349475.0,3440325.0,3531131.0,3621817.0,3712532.0,3803138.0,3894020.0,3984261.0,4074649.0,4165466.0,4256137.0,4347642.0,4438399.0,4528582.0,4618676.0,4708511.0,4798120.0,4887969.0,4977621.0,5067364.0,5157195.0,5246862.0,5336357.0,5425640.0,5515418.0
4,876,8,raikkonen,208,7,1,Finished,99060,193526,286999,380510,473581,566811,659985,753038,846336,939102,1031952,1124673,1217268,1309804,1402038,1494284,1586428,1678681,1770401,1862592,1954952.0,2047162.0,2139038.0,2231219.0,2323217.0,2415465.0,2510227.0,2618144.0,2711408.0,2802847.0,2893832.0,2985275.0,3076238.0,3167682.0,3258997.0,3350189.0,3441117.0,3532022.0,3622638.0,3713265.0,3803996.0,3894685.0,3985053.0,4075356.0,4166214.0,4256846.0,4348672.0,4438934.0,4529473.0,4619369.0,4709496.0,4799253.0,4888959.0,4978313.0,5068082.0,5157761.0,5247505.0,5336952.0,5426329.0,5515971.0
20,876,815,perez,15,24,3,Accident,99660,194587,288457,382353,475995,569556,662973,756140,849471,942453,1035745,1129830,1223473,1320076,1429308,1521666,1613874,1707363,1831395,1950372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,876,807,hulkenberg,10,8,1,Finished,100441,195349,289563,383294,477221,570857,664149,757598,850677,943766,1036599,1130427,1224146,1316289,1408514,1500722,1592831,1684864,1777274,1869539,1961597.0,2053673.0,2145707.0,2237737.0,2329848.0,2421953.0,2514248.0,2608569.0,2718283.0,2810152.0,2901625.0,2993317.0,3084220.0,3175104.0,3266312.0,3357320.0,3448543.0,3539133.0,3629897.0,3720444.0,3811153.0,3901726.0,3992395.0,4083338.0,4174406.0,4265320.0,4355902.0,4446067.0,4536025.0,4626106.0,4717274.0,4807357.0,4897342.0,4987649.0,5077544.0,5167452.0,5257069.0,5346914.0,5436512.0,5525742.0
1,876,3,rosberg,131,11,1,Finished,100901,196429,291212,385698,479528,573328,667019,761160,854843,948058,1041350,1134551,1227654,1320608,1413428,1506230,1598827,1691473,1783749,1876345,1969207.0,2062114.0,2155536.0,2248641.0,2341136.0,2433834.0,2527718.0,2637643.0,2729967.0,2822306.0,2914590.0,3006579.0,3098501.0,3191519.0,3283552.0,3375498.0,3467444.0,3559348.0,3650694.0,3741824.0,3832796.0,3923545.0,4014192.0,4104902.0,4195984.0,4287222.0,4377879.0,4468352.0,4559473.0,4650147.0,4741884.0,4832158.0,4922752.0,5012907.0,5103111.0,5193116.0,5282839.0,5372613.0,5462105.0,5552438.0
