,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,872.0,1.0,hamilton,1.0,1.0,Finished,93417.0,184548.0,274977.0,365545.0,456045.0,546294.0,636762.0,727133.0,817468.0,908098.0,998523.0,1088859.0,1179148.0,1269342.0,1359822.0,1450301.0,1540690.0,1631081.0,1721635.0,1812080.0,1902489.0,1992901.0,2086482.0,2193069.0,2283094.0,2372535.0,2462046.0,2551450.0,2640794.0,2729702.0,2818695.0,2907657.0,2996655.0,3086277.0,3175864.0,3265304.0,3354664.0,3444164.0,3533543.0,3622924.0,3712275.0,3801556.0,3891222.0,3980634.0,4069820.0,4159247.0,4247916.0,4337073.0,4426398.0,4515127.0,4603755.0,4692182.0,4781221.0
7,872.0,13.0,massa,4.0,1.0,Finished,94673.0,185952.0,277134.0,367797.0,458298.0,548909.0,639595.0,730329.0,820945.0,911588.0,1002269.0,1092930.0,1183452.0,1274071.0,1364687.0,1455263.0,1546112.0,1637147.0,1732830.0,1841922.0,1933317.0,2024175.0,2113994.0,2203533.0,2293072.0,2382586.0,2472166.0,2561885.0,2651888.0,2741099.0,2830841.0,2920104.0,3009018.0,3098278.0,3187902.0,3277614.0,3367348.0,3457265.0,3546828.0,3637426.0,3726917.0,3816494.0,3906805.0,3996700.0,4086370.0,4176322.0,4266330.0,4356637.0,4447491.0,4538175.0,4628877.0,4719462.0,4810888.0
9,872.0,18.0,button,23.0,32.0,Fuel pressure,95455.0,187009.0,278321.0,369143.0,460060.0,550843.0,641639.0,732359.0,822984.0,913640.0,1004111.0,1094668.0,1185021.0,1275594.0,1366011.0,1456551.0,1547235.0,1637656.0,1728562.0,1818841.0,1908986.0,2002684.0,2111860.0,2201440.0,2290746.0,2380180.0,2469599.0,2558861.0,2648058.0,2736993.0,2825919.0,2915015.0,,,,,,,,,,,,,,,,,,,,,
11,872.0,30.0,michael_schumacher,6.0,1.0,Finished,96064.0,188002.0,279604.0,371439.0,462581.0,553697.0,645511.0,736657.0,827762.0,919514.0,1010646.0,1101616.0,1192531.0,1283733.0,1378103.0,1486647.0,1576909.0,1667453.0,1757502.0,1847643.0,1937742.0,2028720.0,2119592.0,2211120.0,2300805.0,2390726.0,2480490.0,2569967.0,2659675.0,2749570.0,2839169.0,2929052.0,3018449.0,3108167.0,3197420.0,3286914.0,3379790.0,3487128.0,3576091.0,3664824.0,3753180.0,3841475.0,3930177.0,4018511.0,4106605.0,4194751.0,4282942.0,4371929.0,4460413.0,4548309.0,4636027.0,4723911.0,4812480.0
10,872.0,20.0,vettel,22.0,91.0,Alternator,96787.0,188351.0,279838.0,370470.0,461394.0,552026.0,642631.0,733257.0,823910.0,914673.0,1005210.0,1095938.0,1186476.0,1277033.0,1367861.0,1458337.0,1548907.0,1639591.0,1730529.0,1824616.0,1933611.0,2024869.0,2115570.0,2205248.0,2294920.0,2385571.0,2475085.0,2564609.0,2655668.0,2745302.0,2834477.0,2924155.0,3013280.0,3106143.0,3206952.0,3296232.0,3386114.0,3476008.0,3565393.0,3654599.0,3743870.0,3832951.0,3922110.0,4010993.0,4099734.0,4188447.0,4277327.0,,,,,,
5,872.0,8.0,raikkonen,5.0,1.0,Finished,97230.0,189915.0,281555.0,372939.0,464388.0,555441.0,646759.0,738038.0,829208.0,920534.0,1011489.0,1102551.0,1193152.0,1284300.0,1375273.0,1465526.0,1561207.0,1669715.0,1760345.0,1850463.0,1940524.0,2030663.0,2120898.0,2211748.0,2301552.0,2391547.0,2481094.0,2570750.0,2660225.0,2750447.0,2840243.0,2930217.0,3019521.0,3109357.0,3198886.0,3289019.0,3380283.0,3472137.0,3561475.0,3650808.0,3740056.0,3829567.0,3918723.0,4008148.0,4097427.0,4186602.0,4275759.0,4365475.0,4454717.0,4544136.0,4633446.0,4722555.0,4812102.0
3,872.0,4.0,alonso,3.0,1.0,Finished,97426.0,189028.0,280306.0,371702.0,462838.0,553736.0,644674.0,735374.0,825955.0,916840.0,1007429.0,1097903.0,1188351.0,1278832.0,1369270.0,1459802.0,1550071.0,1640642.0,1731510.0,1825555.0,1933943.0,2025312.0,2116244.0,2205622.0,2295193.0,2386227.0,2475785.0,2565131.0,2654919.0,2744237.0,2833247.0,2922429.0,3011567.0,3100938.0,3190261.0,3279719.0,3369042.0,3458235.0,3547350.0,3636423.0,3725549.0,3814881.0,3903794.0,3992629.0,4081544.0,4171373.0,4260680.0,4350404.0,4440662.0,4530903.0,4621288.0,4711425.0,4801815.0
14,872.0,155.0,kobayashi,9.0,1.0,Finished,97831.0,190477.0,282234.0,373715.0,465199.0,556686.0,648422.0,740309.0,831828.0,923454.0,1014829.0,1106140.0,1197170.0,1288489.0,1379997.0,1471589.0,1563647.0,1655007.0,1746909.0,1841907.0,1951341.0,2041785.0,2132515.0,2222918.0,2314306.0,2404535.0,2494506.0,2584341.0,2674186.0,2763976.0,2853653.0,2943509.0,3033600.0,3123466.0,3213311.0,3303173.0,3393529.0,3483611.0,3572643.0,3661904.0,3751312.0,3840531.0,3929650.0,4019362.0,4109166.0,4198361.0,4289046.0,4378395.0,4467730.0,4557135.0,4646372.0,4735632.0,4825119.0
19,872.0,814.0,resta,8.0,1.0,Finished,98590.0,191278.0,283123.0,374504.0,466016.0,558013.0,649688.0,741499.0,833002.0,924831.0,1017254.0,1108811.0,1200112.0,1291222.0,1382488.0,1473373.0,1564548.0,1655556.0,1747467.0,1839260.0,1933106.0,2041330.0,2131975.0,2222221.0,2312174.0,2402355.0,2492379.0,2582094.0,2671925.0,2761501.0,2851126.0,2940923.0,3030646.0,3120478.0,3210137.0,3299724.0,3389445.0,3479156.0,3568797.0,3658295.0,3747705.0,3837189.0,3926421.0,4015901.0,4105097.0,4194326.0,4284414.0,4374070.0,4463653.0,4553620.0,4642688.0,4732061.0,4822278.0
17,872.0,811.0,bruno_senna,10.0,1.0,Finished,99018.0,191611.0,283871.0,376845.0,467863.0,558821.0,649952.0,743152.0,834482.0,926212.0,1017766.0,1109638.0,1200931.0,1292042.0,1383256.0,1474507.0,1565773.0,1656964.0,1749059.0,1840660.0,1932114.0,2023785.0,2117660.0,2214240.0,2323992.0,2414264.0,2504172.0,2593794.0,2683589.0,2773268.0,2862975.0,2952787.0,3042395.0,3132251.0,3221970.0,3311632.0,3401321.0,3490937.0,3580465.0,3670383.0,3760115.0,3849053.0,3937936.0,4026992.0,4116290.0,4205135.0,4294074.0,4383111.0,4472798.0,4561869.0,4650721.0,4739463.0,4829365.0
