,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,873,1,hamilton,1,24,6,Gearbox,0,0,0,0,0,0,0,0,0,0,0,4617,22948,14249,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,873,20,vettel,9,1,1,Finished,1221,1521,1437,1750,1863,1546,1739,1749,2747,10294,29522,26093,25141,15842,1586,1378,1795,1779,2050,1578,1687,1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,873,18,button,1,2,1,Finished,3202,4250,5409,6528,7103,6599,6505,6186,5275,4596,3608,0,0,0,5878,5104,5305,5241,5106,4328,4487,4033,2477.0,3024.0,3409.0,3535.0,3181.0,2877.0,2939.0,2944.0,3174.0,4623.0,5449.0,1652.0,1092.0,1137.0,843.0,709.0,1282.0,1699.0,514.0,723.0,1394.0,1470.0,1910.0,1841.0,1517.0,1732.0,1804.0,2570.0,2784.0,3186.0,3763.0,4660.0,5631.0,6155.0,6791.0,8376.0,8959.0
3,873,813,maldonado,3,22,9,Hydraulics,4267,5665,6765,8552,9041,9259,9410,8979,8378,7594,6505,2765,9733,23485,10025,9684,9626,9769,9098,8348,7665,6248,4616.0,4725.0,6053.0,6281.0,5520.0,6037.0,13087.0,35122.0,37798.0,40334.0,50580.0,24376.0,8934.0,13606.0,,,,,,,,,,,,,,,,,,,,,,,
4,873,4,alonso,6,3,1,Finished,5342,7074,9005,10828,11838,12069,12759,12670,12394,11439,17933,33572,32961,26124,14017,15094,15604,15040,14024,12429,11396,9677,8306.0,7921.0,8078.0,8396.0,8139.0,7822.0,15506.0,35555.0,38141.0,40841.0,45557.0,7724.0,1686.0,2048.0,1385.0,2038.0,3153.0,5431.0,1450.0,1680.0,3661.0,5125.0,5927.0,6928.0,7785.0,8395.0,8963.0,10816.0,11484.0,11527.0,11436.0,11632.0,12213.0,12457.0,13432.0,14554.0,15227.0
5,873,814,resta,10,4,1,Finished,6204,8119,10375,12562,13895,14255,14923,15261,15063,14613,14259,17991,39594,31803,18431,18941,20752,20981,21038,20206,19680,18454,17878.0,18160.0,18263.0,18698.0,18754.0,19412.0,19870.0,20467.0,21300.0,21937.0,30119.0,9023.0,2310.0,2970.0,2362.0,2614.0,4563.0,5996.0,1984.0,1990.0,4329.0,5937.0,7037.0,8212.0,9082.0,9840.0,10367.0,12353.0,13465.0,14162.0,14848.0,15185.0,15793.0,16770.0,17430.0,18748.0,19063.0
6,873,17,webber,9,11,1,Finished,7120,9233,11297,13625,14833,15367,16082,23474,43378,42635,43081,39889,40265,32664,19215,19873,22809,23505,23181,22326,21730,20807,19670.0,19859.0,19873.0,21101.0,21930.0,30251.0,48834.0,47931.0,47858.0,49518.0,58121.0,15946.0,5511.0,4803.0,3926.0,3615.0,6438.0,12405.0,12447.0,8297.0,12805.0,14727.0,18183.0,20663.0,24159.0,27580.0,31102.0,34455.0,34502.0,34672.0,35276.0,36632.0,37584.0,39675.0,41939.0,44508.0,47175.0
7,873,154,grosjean,208,7,1,Finished,7927,10316,12357,14707,16161,18136,18969,19499,19432,19292,18946,16676,17375,18333,27296,28549,28325,28449,28985,29438,29518,29375,28204.0,29101.0,28938.0,29907.0,30691.0,31766.0,33276.0,34626.0,37220.0,38927.0,48983.0,23596.0,8289.0,7498.0,6292.0,5399.0,9297.0,7689.0,4127.0,3473.0,5910.0,7717.0,9961.0,12093.0,16168.0,17834.0,19490.0,22171.0,23890.0,25654.0,26988.0,28764.0,30646.0,32056.0,33541.0,35496.0,36698.0
8,873,3,rosberg,131,5,1,Finished,8553,11208,13582,16285,18123,19238,20459,21546,21735,21397,21009,25601,46958,39401,25980,25993,26594,27560,28198,28185,28596,28202,26915.0,27184.0,27612.0,28702.0,29546.0,30774.0,31857.0,33892.0,36439.0,38137.0,47323.0,21728.0,7418.0,6363.0,5825.0,4641.0,8555.0,6978.0,3184.0,2481.0,5256.0,7005.0,9190.0,11173.0,13208.0,15214.0,16816.0,19073.0,20739.0,22153.0,23852.0,25455.0,26841.0,28734.0,30739.0,32925.0,34784.0
9,873,30,michael_schumacher,131,21,4,Collision,9163,12054,14709,17042,19343,20839,22488,24124,25211,26521,34673,51159,52668,45204,31910,32720,33534,34225,34866,34995,35286,34863,34602.0,35163.0,35289.0,35753.0,36447.0,38261.0,40005.0,42121.0,44811.0,47741.0,60787.0,34671.0,11904.0,9527.0,8397.0,6417.0,,,,,,,,,,,,,,,,,,,,,
10,873,8,raikkonen,208,6,1,Finished,9852,12817,15233,17647,19866,21379,23057,24818,26070,27209,28427,25579,35441,47043,33848,34108,34642,35110,35537,35808,36175,35728,35624.0,36191.0,36401.0,36809.0,37304.0,38843.0,40732.0,42660.0,45495.0,55445.0,82513.0,37876.0,13644.0,10544.0,9753.0,6879.0,11931.0,9512.0,5218.0,3678.0,6568.0,9145.0,10856.0,12850.0,15033.0,16500.0,18179.0,20457.0,22187.0,23962.0,24947.0,26987.0,28610.0,30051.0,31865.0,33990.0,35759.0
11,873,807,hulkenberg,10,14,1,Finished,10261,13436,15960,18565,20655,22133,23955,25463,26749,28023,29311,27753,29305,23058,12735,14718,18674,29952,49738,47625,46082,43742,41431.0,40982.0,40484.0,40005.0,40423.0,40580.0,41866.0,43543.0,46519.0,49149.0,56609.0,12329.0,2920.0,3631.0,2840.0,3449.0,8063.0,12918.0,13175.0,8566.0,13202.0,15293.0,18754.0,21173.0,24752.0,28175.0,31796.0,71303.0,97258.0,95506.0,93807.0,92964.0,92210.0,93827.0,95957.0,99073.0,99413.0
12,873,815,perez,15,10,1,Finished,10795,13913,16403,19082,21384,22864,24637,26143,27496,28845,30879,28996,31114,25673,15086,17786,22294,33886,54391,52652,52355,51590,50189.0,50762.0,50384.0,51398.0,51841.0,52683.0,53792.0,55186.0,57221.0,58434.0,66018.0,21448.0,6454.0,5557.0,4750.0,4395.0,11713.0,15424.0,15740.0,8866.0,13498.0,15819.0,19298.0,21568.0,25192.0,28521.0,32421.0,35533.0,36591.0,37537.0,38463.0,39622.0,42053.0,43633.0,45577.0,47982.0,50619.0
13,873,817,ricciardo,5,9,1,Finished,11328,15004,17981,21250,23558,27387,29528,31171,33366,36128,45220,64722,66483,60571,47906,50582,51532,51571,52034,51784,51663,50763,49649.0,49616.0,49800.0,50742.0,51256.0,52026.0,53105.0,54660.0,64153.0,88887.0,98607.0,42980.0,14298.0,11262.0,10857.0,8138.0,12723.0,10430.0,5710.0,4495.0,7537.0,10570.0,13922.0,17785.0,20227.0,22750.0,25068.0,27629.0,29346.0,31027.0,32494.0,34451.0,36852.0,39183.0,41394.0,43973.0,45820.0
14,873,818,vergne,5,20,4,Collision,12038,15791,18624,21918,24281,26382,27655,28778,29560,30559,32760,39333,61781,54094,40698,40196,40811,40845,40858,40236,40247,39736,38989.0,47177.0,66757.0,65995.0,63857.0,61802.0,61632.0,60891.0,60670.0,61349.0,70794.0,27298.0,11169.0,8961.0,7591.0,6033.0,,,,,,,,,,,,,,,,,,,,,
15,873,5,kovalainen,207,15,1,Finished,12637,16435,19674,23088,25844,28235,30738,34945,36875,39007,40926,49833,72571,66538,53781,54833,56373,57683,59062,59418,60562,60874,61977.0,63940.0,66126.0,76974.0,99346.0,100174.0,101563.0,102556.0,103905.0,111588.0,121676.0,55578.0,17071.0,14371.0,13589.0,9788.0,14703.0,13147.0,8661.0,6403.0,12528.0,20358.0,32854.0,56968.0,59125.0,61505.0,65289.0,70032.0,72998.0,75807.0,79542.0,83128.0,86593.0,90787.0,95567.0,105089.0,107967.0
16,873,10,glock,206,12,1,Finished,13227,17228,20688,25131,28155,30696,33350,39170,43136,46214,48101,48004,59495,75814,65723,69909,75285,80179,82562,83624,85412,86454,87541.0,90968.0,100895.0,127754.0,128723.0,129622.0,130635.0,131350.0,132689.0,148567.0,158409.0,92421.0,49285.0,17039.0,17986.0,11591.0,16168.0,15045.0,10587.0,7495.0,14704.0,20816.0,26309.0,31664.0,36189.0,40628.0,45599.0,51812.0,56273.0,60854.0,65067.0,69399.0,73935.0,78366.0,82627.0,88132.0,91918.0
