,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,3,4,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,vettel,2,2,2,2,2,2,2,2,2,4,10,8,5,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,button,3,3,3,3,3,3,3,3,3,2,2,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,maldonado,4,4,4,4,4,4,4,4,4,3,3,2,2,6,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,6,6,6,7,10,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,alonso,5,5,5,5,5,5,5,5,5,5,5,11,8,8,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,7,7,7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,resta,6,6,6,6,6,6,6,6,6,6,4,5,10,9,8,8,7,6,6,6,6,6,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,webber,7,7,7,7,7,7,7,9,19,17,16,13,11,10,9,9,9,7,7,7,7,7,6,6,6,6,6,6,11,11,11,10,9,6,6,6,6,6,5,10,14,14,12,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9
7,grosjean,8,8,8,8,8,8,8,7,7,7,6,4,3,4,11,11,11,9,9,9,9,9,8,8,8,8,8,8,7,5,5,5,6,9,9,9,9,9,8,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
8,rosberg,9,9,9,9,9,9,9,8,8,8,7,7,13,11,10,10,10,8,8,8,8,8,7,7,7,7,7,7,6,4,4,4,5,8,8,8,8,8,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,michael_schumacher,10,10,10,10,10,10,10,10,9,9,13,18,14,12,12,12,12,12,10,10,10,10,9,9,9,9,9,9,8,8,8,8,10,12,12,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
