,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,873.0,1.0,hamilton,24.0,6.0,Gearbox,119387.0,236166.0,352437.0,468214.0,584356.0,701139.0,817713.0,934589.0,1051809.0,1169323.0,1287168.0,1412258.0,1547036.0,1662577.0,1778279.0,1894330.0,2010049.0,2126078.0,2242126.0,2358733.0,2474921.0,2591879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,873.0,20.0,vettel,1.0,1.0,Finished,120608.0,237687.0,353874.0,469964.0,586219.0,702685.0,819452.0,936338.0,1054556.0,1179617.0,1316690.0,1433734.0,1549229.0,1664170.0,1779865.0,1895708.0,2011844.0,2127857.0,2244176.0,2360311.0,2476608.0,2593353.0,2709359.0,2825236.0,2941303.0,3056886.0,3172767.0,3288332.0,3403712.0,3519054.0,3634223.0,3749447.0,3881979.0,4068433.0,4231071.0,4399658.0,4560682.0,4724428.0,4838970.0,4984316.0,5144792.0,5306127.0,5420233.0,5533535.0,5646687.0,5759816.0,5872765.0,5985618.0,6098394.0,6210528.0,6323259.0,6436044.0,6548844.0,6661438.0,6773949.0,6886662.0,6999512.0,7112052.0,7226144.0
9,873.0,18.0,button,2.0,1.0,Finished,122589.0,240416.0,357846.0,474742.0,591459.0,707738.0,824218.0,940775.0,1057084.0,1173919.0,1290776.0,1407641.0,1524088.0,1648328.0,1784157.0,1899434.0,2015354.0,2131319.0,2247232.0,2363061.0,2479408.0,2595912.0,2711836.0,2828260.0,2944712.0,3060421.0,3175948.0,3291209.0,3406651.0,3521998.0,3637397.0,3754070.0,3887428.0,4070085.0,4232163.0,4400795.0,4561525.0,4725137.0,4840252.0,4986015.0,5145306.0,5306850.0,5421627.0,5535005.0,5648597.0,5761657.0,5874282.0,5987350.0,6100198.0,6213098.0,6326043.0,6439230.0,6552607.0,6666098.0,6779580.0,6892817.0,7006303.0,7120428.0,7235103.0
19,873.0,813.0,maldonado,22.0,9.0,Hydraulics,123654.0,241831.0,359202.0,476766.0,593397.0,710398.0,827123.0,943568.0,1060187.0,1176917.0,1293673.0,1410406.0,1533821.0,1671813.0,1788304.0,1904014.0,2019675.0,2135847.0,2251224.0,2367081.0,2482586.0,2598127.0,2713975.0,2829961.0,2947356.0,3063167.0,3178287.0,3294369.0,3416799.0,3554176.0,3672021.0,3789781.0,3932559.0,4092809.0,4240005.0,4413264.0,,,,,,,,,,,,,,,,,,,,,,,
3,873.0,4.0,alonso,3.0,1.0,Finished,124729.0,243240.0,361442.0,479042.0,596194.0,713208.0,830472.0,947259.0,1064203.0,1180762.0,1305101.0,1441213.0,1557049.0,1674452.0,1792296.0,1909424.0,2025653.0,2141118.0,2256150.0,2371162.0,2486317.0,2601556.0,2717665.0,2833157.0,2949381.0,3065282.0,3180906.0,3296154.0,3419218.0,3554609.0,3672364.0,3790288.0,3927536.0,4076157.0,4232757.0,4401706.0,4562067.0,4726466.0,4842123.0,4989747.0,5146242.0,5307807.0,5423894.0,5538660.0,5652614.0,5766744.0,5880550.0,5994013.0,6107357.0,6221344.0,6334743.0,6447571.0,6560280.0,6673070.0,6786162.0,6899119.0,7012944.0,7126606.0,7241371.0
20,873.0,814.0,resta,4.0,1.0,Finished,125591.0,244285.0,362812.0,480776.0,598251.0,715394.0,832636.0,949850.0,1066872.0,1183936.0,1301427.0,1425632.0,1563682.0,1680131.0,1796710.0,1913271.0,2030801.0,2147059.0,2263164.0,2378939.0,2494601.0,2610333.0,2727237.0,2843396.0,2959566.0,3075584.0,3191521.0,3307744.0,3423582.0,3539521.0,3655523.0,3771384.0,3912098.0,4077456.0,4233381.0,4402628.0,4563044.0,4727042.0,4843533.0,4990312.0,5146776.0,5308117.0,5424562.0,5539472.0,5653724.0,5768028.0,5881847.0,5995458.0,6108761.0,6222881.0,6336724.0,6450206.0,6563692.0,6676623.0,6789742.0,6903432.0,7016942.0,7130800.0,7245207.0
8,873.0,17.0,webber,11.0,1.0,Finished,126507.0,245399.0,363734.0,481839.0,599189.0,716506.0,833795.0,958063.0,1095187.0,1211958.0,1330249.0,1447530.0,1564353.0,1680992.0,1797494.0,1914203.0,2032858.0,2149583.0,2265307.0,2381059.0,2496651.0,2612686.0,2729029.0,2845095.0,2961176.0,3077987.0,3194697.0,3318583.0,3452546.0,3566985.0,3682081.0,3798965.0,3940100.0,4084379.0,4236582.0,4404461.0,4564608.0,4728043.0,4845408.0,4996721.0,5157239.0,5314424.0,5433038.0,5548262.0,5664870.0,5780479.0,5896924.0,6013198.0,6129496.0,6244983.0,6357761.0,6470716.0,6584120.0,6698070.0,6811533.0,6926337.0,7041451.0,7156560.0,7273319.0
14,873.0,154.0,grosjean,7.0,1.0,Finished,127314.0,246482.0,364794.0,482921.0,600517.0,719275.0,836682.0,954088.0,1071241.0,1188615.0,1306114.0,1424317.0,1541463.0,1666661.0,1805575.0,1922879.0,2038374.0,2154527.0,2271111.0,2388171.0,2504439.0,2621254.0,2737563.0,2854337.0,2970241.0,3086793.0,3203458.0,3320098.0,3436988.0,3553680.0,3671443.0,3788374.0,3930962.0,4092029.0,4239360.0,4407156.0,4566974.0,4729827.0,4848267.0,4992005.0,5148919.0,5309600.0,5426143.0,5541252.0,5656648.0,5771909.0,5888933.0,6003452.0,6117884.0,6232699.0,6347149.0,6461698.0,6575832.0,6690202.0,6804595.0,6918718.0,7033053.0,7147548.0,7262842.0
2,873.0,3.0,rosberg,5.0,1.0,Finished,127940.0,247374.0,366019.0,484499.0,602479.0,720377.0,838172.0,956135.0,1073544.0,1190720.0,1308177.0,1433242.0,1571046.0,1687729.0,1804259.0,1920323.0,2036643.0,2153638.0,2270324.0,2386918.0,2503517.0,2620081.0,2736274.0,2852420.0,2968915.0,3085588.0,3202313.0,3319106.0,3435569.0,3552946.0,3670662.0,3787584.0,3929302.0,4090161.0,4238489.0,4406021.0,4566507.0,4729069.0,4847525.0,4991294.0,5147976.0,5308608.0,5425489.0,5540540.0,5655877.0,5770989.0,5885973.0,6000832.0,6115210.0,6229601.0,6343998.0,6458197.0,6572696.0,6686893.0,6800790.0,6915396.0,7030251.0,7144977.0,7260928.0
11,873.0,30.0,michael_schumacher,21.0,4.0,Collision,128550.0,248220.0,367146.0,485256.0,603699.0,721978.0,840201.0,958713.0,1077020.0,1195844.0,1321841.0,1458800.0,1576756.0,1693532.0,1810189.0,1927050.0,2043583.0,2160303.0,2276992.0,2393728.0,2510207.0,2626742.0,2743961.0,2860399.0,2976592.0,3092639.0,3209214.0,3326593.0,3443717.0,3561175.0,3679034.0,3797188.0,3942766.0,4103104.0,4242975.0,4409185.0,4569079.0,4730845.0,,,,,,,,,,,,,,,,,,,,,
5,873.0,8.0,raikkonen,6.0,1.0,Finished,129239.0,248983.0,367670.0,485861.0,604222.0,722518.0,840770.0,959407.0,1077879.0,1196532.0,1315595.0,1433220.0,1559529.0,1695371.0,1812127.0,1928438.0,2044691.0,2161188.0,2277663.0,2394541.0,2511096.0,2627607.0,2744983.0,2861427.0,2977704.0,3093695.0,3210071.0,3327175.0,3444444.0,3561714.0,3679718.0,3804892.0,3964492.0,4106309.0,4244715.0,4410202.0,4570435.0,4731307.0,4850901.0,4993828.0,5150010.0,5309805.0,5426801.0,5542680.0,5657543.0,5772666.0,5887798.0,6002118.0,6116573.0,6230985.0,6345446.0,6460006.0,6573791.0,6688425.0,6802559.0,6916713.0,7031377.0,7146042.0,7261903.0
16,873.0,807.0,hulkenberg,14.0,1.0,Finished,129648.0,249602.0,368397.0,486779.0,605011.0,723272.0,841668.0,960052.0,1078558.0,1197346.0,1316479.0,1435394.0,1553393.0,1671386.0,1791014.0,1909048.0,2028723.0,2156030.0,2291864.0,2406358.0,2521003.0,2635621.0,2750790.0,2866218.0,2981787.0,3096891.0,3213190.0,3328912.0,3445578.0,3562597.0,3680742.0,3798596.0,3938588.0,4080762.0,4233991.0,4403289.0,4563522.0,4727877.0,4847033.0,4997234.0,5157967.0,5314693.0,5433435.0,5548828.0,5665441.0,5780989.0,5897517.0,6013793.0,6130190.0,6281831.0,6420517.0,6531550.0,6642651.0,6754402.0,6866159.0,6980489.0,7095469.0,7211125.0,7325557.0
21,873.0,815.0,perez,10.0,1.0,Finished,130182.0,250079.0,368840.0,487296.0,605740.0,724003.0,842350.0,960732.0,1079305.0,1198168.0,1318047.0,1436637.0,1555202.0,1674001.0,1793365.0,1912116.0,2032343.0,2159964.0,2296517.0,2411385.0,2527276.0,2643469.0,2759548.0,2875998.0,2991687.0,3108284.0,3224608.0,3341015.0,3457504.0,3574240.0,3691444.0,3807881.0,3947997.0,4089881.0,4237525.0,4405215.0,4565432.0,4728823.0,4850683.0,4999740.0,5160532.0,5314993.0,5433731.0,5549354.0,5665985.0,5781384.0,5897957.0,6014139.0,6130815.0,6246061.0,6359850.0,6473581.0,6587307.0,6701060.0,6816002.0,6930295.0,7045089.0,7160034.0,7276763.0
22,873.0,817.0,ricciardo,9.0,1.0,Finished,130715.0,251170.0,370418.0,489464.0,607914.0,728526.0,847241.0,965760.0,1085175.0,1205451.0,1332388.0,1472363.0,1590571.0,1708899.0,1826185.0,1944912.0,2061581.0,2177649.0,2294160.0,2410517.0,2526584.0,2642642.0,2759008.0,2874852.0,2991103.0,3107628.0,3224023.0,3340358.0,3456817.0,3573714.0,3698376.0,3838334.0,3980586.0,4111413.0,4245369.0,4410920.0,4571539.0,4732566.0,4851693.0,4994746.0,5150502.0,5310622.0,5427770.0,5544105.0,5660609.0,5777601.0,5892992.0,6008368.0,6123462.0,6238157.0,6352605.0,6467071.0,6581338.0,6695889.0,6810801.0,6925845.0,7040906.0,7156025.0,7271964.0
23,873.0,818.0,vergne,20.0,4.0,Collision,131425.0,251957.0,371061.0,490132.0,608637.0,727521.0,845368.0,963367.0,1081369.0,1199882.0,1319928.0,1446974.0,1585869.0,1702422.0,1818977.0,1934526.0,2050860.0,2166923.0,2282984.0,2398969.0,2515168.0,2631615.0,2748348.0,2872413.0,3008060.0,3122881.0,3236624.0,3350134.0,3465344.0,3579945.0,3694893.0,3810796.0,3952773.0,4095731.0,4242240.0,4408619.0,4568273.0,4730461.0,,,,,,,,,,,,,,,,,,,,,
