,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,887,1,hamilton,131,4,1,Finished,0,0,0,0,0,0,0,35875,57333,57603,58365,58840,61388,46803,57195,60484,14985,11732,12114,12412,7019,10081,12994,14977,16560,18097,19737,21388,22374,22945,24425,25959,27772,29088,31880,15461.0,34919.0,34906.0,34569.0,34932.0,31967.0,37648.0,10741.0,7172.0,4502.0,4787.0,4208.0,4573.0,5959.0,7005.0,7172.0,7756.0
1,887,20,vettel,9,21,6,Gearbox,849,1216,1573,1984,2199,2104,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21266.0,,,,,,,,,,,
2,887,3,rosberg,131,1,1,Finished,1729,2420,2936,3273,3538,3794,4189,2287,2587,3141,3388,1277,19557,2793,2868,3122,1184,929,788,1532,1030,1334,1432,1988,2117,2502,3314,4027,3596,3199,3468,3411,3177,1547,19827,2518.0,2589.0,2215.0,1683.0,2104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,887,16,sutil,10,7,1,Finished,2837,3991,4932,5828,6773,7473,8666,8136,10039,11249,12161,10417,29408,13616,14682,18801,2494,2050,2164,2472,2084,3469,4368,5574,6613,8060,9945,11758,12382,13056,14475,15946,14103,32601,34076,18676.0,19985.0,21251.0,21992.0,23685.0,21292.0,25088.0,3331.0,2742.0,1844.0,2148.0,2961.0,4377.0,8000.0,10721.0,13539.0,16335.0
4,887,13,massa,6,6,1,Finished,3697,4818,5694,6570,7435,8398,9751,8867,10774,77580,104293,103610,105025,89752,113261,115380,81018,23076,21242,23189,10589,13014,16284,19784,22551,24172,26644,29121,29763,30374,31693,33133,33324,35097,39380,25136.0,43393.0,44371.0,44827.0,45760.0,44689.0,49967.0,18732.0,9311.0,5492.0,6213.0,5699.0,5868.0,8442.0,11322.0,12603.0,14573.0
5,887,8,raikkonen,208,5,1,Finished,4128,5668,6520,7224,8282,9181,10302,9443,11279,12869,11401,29865,33488,20391,21792,26253,6033,3319,3766,4327,3034,4451,5850,7054,8547,9952,11496,13235,11701,26947,26870,26665,26417,25379,26946,11407.0,12319.0,13423.0,14095.0,15679.0,13619.0,17317.0,2011.0,1354.0,849.0,967.0,1085.0,2688.0,4334.0,6327.0,8355.0,11257.0
6,887,817,ricciardo,5,8,1,Finished,4585,6303,7116,8098,9602,10423,11750,10816,12524,14390,13819,35598,37519,22581,24593,30351,7559,5243,5446,6402,4097,5965,7376,8874,10267,11630,13390,14562,15183,15590,16682,15482,34095,33688,35196,19731.0,20640.0,21751.0,22460.0,24325.0,21931.0,25996.0,4178.0,3626.0,2525.0,3395.0,4389.0,6366.0,8898.0,11800.0,13916.0,16543.0
7,887,154,grosjean,208,19,31,Retired,5133,7568,8597,9511,10578,12077,13375,13898,12515,29416,28751,29524,33164,21027,23466,27649,6976,4261,4759,5171,3536,5290,6599,7942,9316,10961,12879,15551,17771,16878,35497,36562,36424,37391,39825,25594.0,27487.0,31148.0,33093.0,36296.0,35380.0,40620.0,16679.0,8602.0,4905.0,6627.0,6759.0,7021.0,9302.0,15246.0,21003.0,
8,887,4,alonso,6,3,1,Finished,5561,6973,7811,8786,9974,11417,12636,12064,13566,13972,29218,28990,30545,14509,15547,21240,4725,2673,2774,3127,2518,3909,5121,6334,7972,9169,10603,12445,13175,11626,27791,27253,26902,26411,29121,14006.0,15479.0,16692.0,16998.0,18004.0,13691.0,35990.0,9675.0,6381.0,4032.0,3880.0,3950.0,3831.0,4897.0,5456.0,6145.0,7124.0
9,887,18,button,1,13,1,Finished,6042,8201,9560,11180,13419,15606,18782,19151,21468,23326,23034,39389,41384,26363,28857,32975,10863,8415,8391,8848,5193,7537,9717,11537,13548,15317,17059,18738,19540,20491,22172,21283,36761,37840,40288,26708.0,28129.0,29841.0,30330.0,31688.0,29502.0,35196.0,8289.0,5879.0,3890.0,6003.0,9692.0,11367.0,15248.0,18673.0,21698.0,25969.0
