,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,887.0,1.0,hamilton,4.0,1.0,Finished,102428.0,201188.0,299572.0,397821.0,496015.0,594320.0,692490.0,828971.0,948738.0,1047501.0,1146888.0,1246002.0,1344982.0,1443904.0,1550994.0,1674265.0,1778903.0,1935419.0,2099603.0,2256615.0,2403179.0,2503658.0,2603205.0,2701461.0,2799389.0,2897336.0,2995492.0,3093898.0,3192233.0,3290073.0,3388214.0,3486490.0,3585830.0,3683637.0,3780915.0,3876176.0,3990652.0,4085905.0,4181435.0,4276971.0,4372705.0,4494164.0,4628917.0,4777704.0,4920965.0,5017695.0,5113262.0,5208979.0,5304103.0,5398680.0,5492839.0,5587212.0
9,887.0,20.0,vettel,21.0,6.0,Gearbox,103277.0,202404.0,301145.0,399805.0,498214.0,596424.0,694529.0,793096.0,891405.0,989898.0,1088523.0,1187162.0,1283594.0,1397101.0,1493799.0,1613781.0,1763918.0,1923687.0,2087489.0,2244203.0,2396160.0,2493577.0,2590211.0,2686484.0,2782829.0,2879239.0,2975755.0,3072510.0,3169859.0,3267128.0,3363789.0,3460531.0,3558058.0,3654549.0,3749035.0,3860715.0,3955733.0,4050999.0,4146866.0,4242039.0,4362004.0,,,,,,,,,,,
2,887.0,3.0,rosberg,1.0,1.0,Finished,104157.0,203608.0,302508.0,401094.0,499553.0,598114.0,696679.0,795383.0,893992.0,993039.0,1091911.0,1188439.0,1303151.0,1399894.0,1496667.0,1616903.0,1765102.0,1924616.0,2088277.0,2245735.0,2397190.0,2494911.0,2591643.0,2688472.0,2784946.0,2881741.0,2979069.0,3076537.0,3173455.0,3270327.0,3367257.0,3463942.0,3561235.0,3656096.0,3768862.0,3863233.0,3958322.0,4053214.0,4148549.0,4244143.0,4340738.0,4456516.0,4618176.0,4770532.0,4916463.0,5012908.0,5109054.0,5204406.0,5298144.0,5391675.0,5485667.0,5579456.0
6,887.0,16.0,sutil,7.0,1.0,Finished,105265.0,205179.0,304504.0,403649.0,502788.0,601793.0,701156.0,801232.0,901444.0,1001147.0,1100684.0,1197579.0,1313002.0,1410717.0,1508481.0,1632582.0,1766412.0,1925737.0,2089653.0,2246675.0,2398244.0,2497046.0,2594579.0,2692058.0,2789442.0,2887299.0,2985700.0,3084268.0,3182241.0,3280184.0,3378264.0,3476477.0,3572161.0,3687150.0,3783111.0,3879391.0,3975718.0,4072250.0,4168858.0,4265724.0,4362030.0,4481604.0,4621507.0,4773274.0,4918307.0,5015056.0,5112015.0,5208783.0,5306144.0,5402396.0,5499206.0,5595791.0
5,887.0,13.0,massa,6.0,1.0,Finished,106125.0,206006.0,305266.0,404391.0,503450.0,602718.0,702241.0,801963.0,902179.0,1067478.0,1192816.0,1290772.0,1388619.0,1486853.0,1607060.0,1729161.0,1844936.0,1946763.0,2108731.0,2267392.0,2406749.0,2506591.0,2606495.0,2706268.0,2805380.0,2903411.0,3002399.0,3101631.0,3199622.0,3297502.0,3395482.0,3493664.0,3591382.0,3689646.0,3788415.0,3885851.0,3999126.0,4095370.0,4191693.0,4287799.0,4385427.0,4506483.0,4636908.0,4779843.0,4921955.0,5019121.0,5114753.0,5210274.0,5306586.0,5402997.0,5498270.0,5594029.0
4,887.0,8.0,raikkonen,5.0,1.0,Finished,106556.0,206856.0,306092.0,405045.0,504297.0,603501.0,702792.0,802539.0,902684.0,1002767.0,1099924.0,1217027.0,1317082.0,1417492.0,1515591.0,1640034.0,1769951.0,1927006.0,2091255.0,2248530.0,2399194.0,2498028.0,2596061.0,2693538.0,2791376.0,2889191.0,2987251.0,3085745.0,3181560.0,3294075.0,3390659.0,3487196.0,3584475.0,3679928.0,3775981.0,3872122.0,3968052.0,4064422.0,4160961.0,4257718.0,4354357.0,4473833.0,4620187.0,4771886.0,4917312.0,5013875.0,5110139.0,5207094.0,5302478.0,5398002.0,5494022.0,5590713.0
15,887.0,817.0,ricciardo,8.0,1.0,Finished,107013.0,207491.0,306688.0,405919.0,505617.0,604743.0,704240.0,803912.0,903929.0,1004288.0,1102342.0,1222760.0,1321113.0,1419682.0,1518392.0,1644132.0,1771477.0,1928930.0,2092935.0,2250605.0,2400257.0,2499542.0,2597587.0,2695358.0,2793096.0,2890869.0,2989145.0,3087072.0,3185042.0,3282718.0,3380471.0,3476013.0,3592153.0,3688237.0,3784231.0,3880446.0,3976373.0,4072750.0,4169326.0,4266364.0,4362669.0,4482512.0,4622354.0,4774158.0,4918988.0,5016303.0,5113443.0,5210772.0,5307042.0,5403475.0,5499583.0,5595999.0
10,887.0,154.0,grosjean,19.0,31.0,Retired,107561.0,208756.0,308169.0,407332.0,506593.0,606397.0,705865.0,806994.0,903920.0,1019314.0,1117274.0,1216686.0,1316758.0,1418128.0,1517265.0,1641430.0,1770894.0,1927948.0,2092248.0,2249374.0,2399696.0,2498867.0,2596810.0,2694426.0,2792145.0,2890200.0,2988634.0,3088061.0,3187630.0,3284006.0,3399286.0,3497093.0,3594482.0,3691940.0,3788860.0,3886309.0,3983220.0,4082147.0,4179959.0,4278335.0,4376118.0,4497136.0,4634855.0,4779134.0,4921368.0,5019535.0,5115813.0,5211427.0,5307446.0,5406921.0,5506670.0,
3,887.0,4.0,alonso,3.0,1.0,Finished,107989.0,208161.0,307383.0,406607.0,505989.0,605737.0,705126.0,805160.0,904971.0,1003870.0,1117741.0,1216152.0,1314139.0,1411610.0,1509346.0,1635021.0,1768643.0,1926360.0,2090263.0,2247330.0,2398678.0,2497486.0,2595332.0,2692818.0,2790801.0,2888408.0,2986358.0,3084955.0,3183034.0,3278754.0,3391580.0,3487784.0,3584960.0,3680960.0,3778156.0,3874721.0,3971212.0,4067691.0,4163864.0,4260043.0,4354429.0,4492506.0,4627851.0,4776913.0,4920495.0,5016788.0,5113004.0,5208237.0,5303041.0,5397131.0,5491812.0,5586580.0
8,887.0,18.0,button,13.0,1.0,Finished,108470.0,209389.0,309132.0,409001.0,509434.0,609926.0,711272.0,812247.0,912873.0,1013224.0,1111557.0,1226551.0,1324978.0,1423464.0,1522656.0,1646756.0,1774781.0,1932102.0,2095880.0,2253051.0,2401353.0,2501114.0,2599928.0,2698021.0,2796377.0,2894556.0,2992814.0,3091248.0,3189399.0,3287619.0,3385961.0,3481814.0,3594819.0,3692389.0,3789323.0,3887423.0,3983862.0,4080840.0,4177196.0,4273727.0,4370240.0,4491712.0,4626465.0,4776411.0,4920353.0,5018911.0,5118746.0,5215773.0,5313392.0,5410348.0,5507365.0,5605425.0
14,887.0,815.0,perez,20.0,36.0,Wheel,108859.0,209956.0,309862.0,409681.0,508784.0,608384.0,708141.0,808737.0,909157.0,1008671.0,1108105.0,1207561.0,1304806.0,1420373.0,1518849.0,1644482.0,1772621.0,1929906.0,2093686.0,2251703.0,2400789.0,2500588.0,2598921.0,2696743.0,2794767.0,2892736.0,2990577.0,3089249.0,3188226.0,3286821.0,3384575.0,3481628.0,3576774.0,3690860.0,3788082.0,3884367.0,3980498.0,4077123.0,4173272.0,4270020.0,4366440.0,4488131.0,4624061.0,4775442.0,4919985.0,5031096.0,,,,,,
11,887.0,807.0,hulkenberg,10.0,1.0,Finished,109352.0,210566.0,311190.0,411086.0,510754.0,611180.0,711907.0,813420.0,914045.0,1014183.0,1114296.0,1211451.0,1332221.0,1431030.0,1536226.0,1659380.0,1776216.0,1933232.0,2097431.0,2254693.0,2402243.0,2502639.0,2601967.0,2700507.0,2796690.0,2912272.0,3010091.0,3107708.0,3204709.0,3302229.0,3400431.0,3498602.0,3598049.0,3696834.0,3796072.0,3894610.0,3990478.0,4105847.0,4202291.0,4298884.0,4400653.0,4524114.0,4638895.0,4780838.0,4923395.0,5020684.0,5117700.0,5213713.0,5309764.0,5406073.0,5502837.0,5599165.0
19,887.0,821.0,gutierrez,14.0,1.0,Finished,109862.0,211850.0,312019.0,411925.0,512247.0,613044.0,714158.0,815432.0,917449.0,1015910.0,1132106.0,1231223.0,1331332.0,1430506.0,1536974.0,1661260.0,1777272.0,1934196.0,2097976.0,2256061.0,2402818.0,2503281.0,2602740.0,2702392.0,2801378.0,2900157.0,2999823.0,3118258.0,3216659.0,3338950.0,3435647.0,3532086.0,3629509.0,3727381.0,3825880.0,3922774.0,4020363.0,4117746.0,4215817.0,4311622.0,4441332.0,4566438.0,4665325.0,4786046.0,4925950.0,5024628.0,5121345.0,5218189.0,5315057.0,5411891.0,5508666.0,5605741.0
