,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
8,888,20,vettel,9,1,1,Finished,99144,197159,294709,392136.0,489938.0,587838.0,687834.0,800593.0,899442.0,997033.0,1094562.0,1191907.0,1289414.0,1387061.0,1484653.0,1582121.0,1679832.0,1776987.0,1874822.0,1972383.0,2069769.0,2167420.0,2265036.0,2368481.0,2529894.0,2672502.0,2814251.0,2955761.0,3101430.0,3197979.0,3293872.0,3389726.0,3485496.0,3581721.0,3678324.0,3774326.0,3870357.0,3966224.0,4062298.0,4158376.0,4256323.0,4366422.0,4461219.0,4556993.0,4652801.0,4748076.0,4843685.0,4938744.0,5033785.0,5128626.0,5223354.0,5318219.0,5413482.0,5508891.0,5603430.0,5697852.0,5792153.0,5886321.0,5980485.0,6074711.0
6,888,17,webber,9,7,1,Finished,99860,198149,295636,393255.0,490884.0,588822.0,686509.0,786601.0,1044267.0,1141388.0,1240145.0,1338667.0,1436023.0,1533401.0,1631056.0,1728046.0,1825597.0,1923573.0,2021928.0,2119351.0,2216600.0,2314905.0,2433799.0,2569790.0,2680254.0,2780080.0,2876988.0,2974479.0,3110304.0,3209111.0,3306921.0,3404746.0,3502438.0,3600522.0,3698291.0,3796153.0,3893568.0,3993515.0,4105719.0,4200891.0,4296188.0,4391925.0,4487403.0,4583059.0,4678458.0,4775269.0,4870621.0,4966000.0,5061724.0,5157308.0,5252859.0,5349685.0,5445666.0,5541127.0,5635909.0,5730947.0,5826037.0,5920866.0,6015775.0,6112273.0
0,888,1,hamilton,131,5,1,Finished,100632,199064,296722,394480.0,492465.0,592176.0,705082.0,803321.0,901746.0,1000658.0,1099896.0,1198303.0,1297279.0,1395716.0,1494372.0,1593175.0,1691833.0,1791005.0,1889410.0,1988456.0,2087543.0,2188865.0,2302443.0,2414686.0,2537657.0,2677965.0,2820070.0,2960756.0,3105020.0,3203387.0,3300704.0,3397394.0,3494161.0,3591405.0,3688348.0,3785473.0,3882665.0,3978692.0,4074962.0,4171213.0,4267625.0,4363904.0,4460363.0,4556681.0,4657488.0,4767854.0,4863112.0,4960488.0,5057636.0,5154140.0,5249599.0,5344497.0,5438994.0,5533353.0,5627610.0,5721999.0,5816155.0,5911440.0,6005971.0,6101638.0
3,888,8,raikkonen,208,2,1,Finished,101100,199818,297327,395409.0,493272.0,591406.0,688921.0,789299.0,902148.0,1001272.0,1100313.0,1198751.0,1297731.0,1398067.0,1495578.0,1593653.0,1692461.0,1790335.0,1887604.0,1984982.0,2082657.0,2179642.0,2277354.0,2383856.0,2532484.0,2674432.0,2817113.0,2957920.0,3102734.0,3199869.0,3295886.0,3391660.0,3487433.0,3583106.0,3679716.0,3775930.0,3871993.0,3968064.0,4064249.0,4160163.0,4255465.0,4351150.0,4446332.0,4541739.0,4637198.0,4732943.0,4829327.0,4924911.0,5022640.0,5132619.0,5226802.0,5321339.0,5416538.0,5511651.0,5606003.0,5699989.0,5793756.0,5887586.0,5981562.0,6075719.0
9,888,154,grosjean,208,3,1,Finished,101977,200530,298122,395989.0,494008.0,592132.0,689730.0,787473.0,884749.0,982333.0,1079976.0,1177965.0,1278497.0,1391394.0,1488151.0,1585684.0,1682710.0,1779840.0,1877144.0,1974477.0,2071851.0,2169402.0,2267649.0,2371873.0,2531733.0,2673757.0,2815969.0,2957250.0,3102328.0,3199030.0,3294965.0,3390865.0,3486582.0,3582298.0,3678906.0,3774990.0,3871077.0,3966962.0,4063441.0,4161598.0,4272425.0,4367431.0,4462491.0,4558054.0,4654443.0,4749820.0,4845013.0,4940205.0,5035070.0,5130224.0,5225173.0,5320259.0,5415585.0,5510890.0,5606605.0,5701558.0,5796134.0,5890845.0,5985615.0,6080541.0
4,888,13,massa,6,22,20,Spun off,102960,202185,301075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,888,817,ricciardo,5,12,1,Finished,103464,202844,301796,400227.0,501858.0,617560.0,716424.0,815238.0,913907.0,1012640.0,1111381.0,1209920.0,1309001.0,1408183.0,1507416.0,1606534.0,1705737.0,1807716.0,1923013.0,2022676.0,2121584.0,2219850.0,2318971.0,2436127.0,2558383.0,2681296.0,2823292.0,2964079.0,3106930.0,3206561.0,3304725.0,3402830.0,3500373.0,3598225.0,3695895.0,3793761.0,3891347.0,3988876.0,4086514.0,4186471.0,4300676.0,4396846.0,4492938.0,4589080.0,4685422.0,4781456.0,4877463.0,4973904.0,5070070.0,5166079.0,5262372.0,5359298.0,5456110.0,5553506.0,5649818.0,5746785.0,5842849.0,5938831.0,6035503.0,6131686.0
2,888,4,alonso,6,4,1,Finished,104159,203755,302637,401691.0,500130.0,598564.0,696897.0,795298.0,893714.0,992030.0,1090404.0,1190983.0,1304238.0,1401919.0,1499519.0,1597048.0,1694085.0,1791521.0,1889878.0,1988808.0,2087943.0,2186868.0,2284473.0,2394192.0,2534069.0,2675250.0,2817671.0,2958858.0,3103268.0,3200509.0,3297056.0,3393359.0,3489580.0,3585660.0,3681949.0,3778176.0,3874525.0,3970535.0,4066500.0,4162379.0,4258388.0,4354393.0,4449999.0,4545580.0,4641573.0,4737481.0,4833514.0,4929526.0,5027412.0,5137058.0,5230526.0,5324539.0,5419255.0,5513690.0,5608046.0,5702404.0,5796862.0,5891467.0,5986364.0,6082432.0
7,888,18,button,1,6,1,Finished,104806,205413,304697,403891.0,503170.0,601914.0,700575.0,799309.0,897884.0,996557.0,1096052.0,1194574.0,1292786.0,1392278.0,1490793.0,1589547.0,1687923.0,1786420.0,1885052.0,1983839.0,2085695.0,2200155.0,2297739.0,2409705.0,2536431.0,2676431.0,2818413.0,2959516.0,3104042.0,3201862.0,3298839.0,3395604.0,3491952.0,3588500.0,3685296.0,3781884.0,3878616.0,3974863.0,4071403.0,4167726.0,4264454.0,4361202.0,4457643.0,4553844.0,4650415.0,4747030.0,4845781.0,4956075.0,5050276.0,5144937.0,5240173.0,5335452.0,5430388.0,5525426.0,5620542.0,5716526.0,5812383.0,5909518.0,6005613.0,6102707.0
13,888,815,perez,1,8,1,Finished,105042,204530,303368,402474.0,501353.0,599832.0,700592.0,815897.0,914534.0,1013363.0,1112026.0,1210576.0,1309608.0,1408830.0,1508050.0,1607145.0,1706472.0,1805594.0,1904542.0,2004598.0,2102801.0,2201487.0,2299994.0,2415141.0,2551652.0,2679470.0,2821671.0,2962214.0,3105911.0,3205209.0,3303098.0,3400543.0,3498219.0,3595738.0,3693351.0,3790404.0,3887414.0,3983906.0,4080667.0,4177674.0,4275073.0,4371776.0,4468238.0,4565128.0,4662256.0,4758832.0,4855425.0,4951973.0,5048480.0,5144614.0,5242555.0,5339584.0,5435818.0,5532044.0,5628741.0,5725330.0,5821491.0,5918375.0,6015053.0,6113017.0
10,888,807,hulkenberg,15,10,1,Finished,105710,205983,305281,404550.0,503949.0,602782.0,701373.0,800212.0,899085.0,998478.0,1097114.0,1196115.0,1295029.0,1394333.0,1493451.0,1592712.0,1694013.0,1809731.0,1907549.0,2005306.0,2103250.0,2201943.0,2300514.0,2413658.0,2537023.0,2677078.0,2819112.0,2960081.0,3104410.0,3202744.0,3299890.0,3396951.0,3493755.0,3590725.0,3687825.0,3785105.0,3884462.0,3996247.0,4091847.0,4189908.0,4285902.0,4382014.0,4477831.0,4573787.0,4670288.0,4766474.0,4862752.0,4960922.0,5060860.0,5172347.0,5267269.0,5362850.0,5457935.0,5553929.0,5650159.0,5744868.0,5839986.0,5934230.0,6029651.0,6124603.0
1,888,3,rosberg,131,9,1,Finished,106209,206727,306249,405698.0,505372.0,604254.0,703144.0,802510.0,901327.0,1000209.0,1099073.0,1197882.0,1296835.0,1398588.0,1498024.0,1599860.0,1713725.0,1812026.0,1910965.0,2010042.0,2108429.0,2207763.0,2307267.0,2425555.0,2562803.0,2683096.0,2824990.0,2965386.0,3107545.0,3207494.0,3305834.0,3403794.0,3501482.0,3599161.0,3697134.0,3795050.0,3892594.0,3990066.0,4087651.0,4185315.0,4282666.0,4379699.0,4476443.0,4573164.0,4670890.0,4768882.0,4865724.0,4964248.0,5074447.0,5169796.0,5265022.0,5359676.0,5456467.0,5551301.0,5645482.0,5739821.0,5834811.0,5929458.0,6024683.0,6121532.0
5,888,16,sutil,10,13,1,Finished,106599,207747,307287,406904.0,507832.0,622102.0,720428.0,818936.0,917382.0,1015964.0,1114973.0,1213818.0,1312699.0,1411425.0,1509996.0,1608698.0,1707076.0,1806313.0,1905417.0,2005070.0,2105318.0,2204104.0,2303772.0,2418873.0,2552816.0,2680199.0,2822561.0,2962909.0,3106430.0,3205763.0,3303834.0,3401505.0,3498861.0,3596415.0,3694052.0,3792503.0,3889900.0,3987685.0,4084916.0,4181990.0,4279559.0,4376960.0,4476224.0,4591358.0,4687858.0,4784227.0,4880324.0,4976554.0,5072742.0,5168885.0,5266023.0,5362563.0,5459159.0,5556034.0,5652164.0,5748213.0,5844400.0,5940456.0,6036633.0,6132449.0
12,888,814,resta,10,11,1,Finished,106799,207295,306851,408593.0,524411.0,623186.0,722061.0,821453.0,919981.0,1018656.0,1117485.0,1216389.0,1315303.0,1414104.0,1512837.0,1611719.0,1710604.0,1810506.0,1909737.0,2008719.0,2107550.0,2207357.0,2306790.0,2425243.0,2561307.0,2682388.0,2824287.0,2964749.0,3107183.0,3207065.0,3305365.0,3403337.0,3500988.0,3598660.0,3696487.0,3794333.0,3891985.0,3989576.0,4087089.0,4184684.0,4281546.0,4378175.0,4474741.0,4571395.0,4668345.0,4765371.0,4862229.0,4960127.0,5057527.0,5155587.0,5252357.0,5349332.0,5446725.0,5543401.0,5640393.0,5737330.0,5834406.0,5932209.0,6030665.0,6128482.0
11,888,813,maldonado,3,15,1,Finished,108406,208998,308798,408815.0,508310.0,607914.0,707672.0,807331.0,906649.0,1006024.0,1105327.0,1204528.0,1303690.0,1403921.0,1503126.0,1602460.0,1701604.0,1800913.0,1900558.0,2000369.0,2102100.0,2215815.0,2314311.0,2430457.0,2551022.0,2678737.0,2820349.0,2960957.0,3105580.0,3204541.0,3302292.0,3399995.0,3497665.0,3595151.0,3692956.0,3791436.0,3888875.0,3986194.0,4083648.0,4181176.0,4278527.0,4375781.0,4472822.0,4569942.0,4667063.0,4764654.0,4861651.0,4959458.0,5056965.0,5157327.0,5284696.0,5379108.0,5473774.0,5568574.0,5663079.0,5757372.0,5851922.0,5946723.0,6041606.0,6136640.0
18,888,821,gutierrez,15,14,1,Finished,108680,209438,309211,409283.0,508630.0,610683.0,725194.0,823850.0,922492.0,1021035.0,1119241.0,1217883.0,1316436.0,1414689.0,1513497.0,1612402.0,1711164.0,1811227.0,1910384.0,2009812.0,2109897.0,2212688.0,2326648.0,2445708.0,2569116.0,2683736.0,2825571.0,2966019.0,3108048.0,3207980.0,3306610.0,3404293.0,3502158.0,3600081.0,3697962.0,3795756.0,3893222.0,3991015.0,4088284.0,4185828.0,4285510.0,4399472.0,4495392.0,4591939.0,4688576.0,4785327.0,4881565.0,4977624.0,5073604.0,5170811.0,5267032.0,5364229.0,5460316.0,5556952.0,5653267.0,5749059.0,5845085.0,5941110.0,6039041.0,6134871.0
