,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,grosjean,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3
1,webber,2,2,2,2,2,2,2,2,2,2,3,6,4,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2
2,vettel,3,3,3,3,3,3,3,3,3,3,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1
3,rosberg,4,4,4,4,4,4,4,4,4,4,4,3,6,5,5,7,12,12,12,12,12,10,10,10,15,15,13,11,11,11,9,8,8,8,7,7,7,7,7,11,10,9,9,9,8,8,8,8,8,8,8,8,8
4,massa,5,5,5,5,5,5,5,5,5,5,6,9,8,7,7,6,6,6,6,7,6,6,6,6,6,6,6,7,9,9,7,6,6,7,11,11,11,10,10,9,8,8,8,8,9,9,9,9,9,9,9,10,10
5,alonso,6,6,6,6,6,6,6,6,6,6,5,4,2,8,8,8,7,7,7,6,5,5,5,5,5,5,5,5,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
6,hulkenberg,7,7,7,7,7,7,7,7,7,8,10,8,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,5,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6
7,perez,8,8,8,8,8,8,8,8,8,7,7,5,12,11,11,11,10,10,10,10,9,9,9,9,9,9,9,9,8,8,13,13,12,12,12,12,12,11,11,10,9,11,17,17,16,16,17,17,16,16,16,15,0
8,gutierrez,9,9,9,9,9,9,9,9,10,12,11,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,6,12,12,11,11,10,10,10,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7
9,button,10,10,10,10,10,10,11,13,15,13,12,12,11,12,12,12,11,11,11,11,11,11,11,16,16,16,15,13,12,12,10,10,9,9,8,8,8,8,8,7,14,13,12,11,11,11,10,10,10,10,10,9,9
10,raikkonen,11,11,11,11,11,11,10,10,9,9,8,11,10,10,10,10,9,9,9,9,7,7,7,7,7,7,7,6,6,5,4,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5
11,resta,12,12,12,12,12,12,12,11,11,11,14,14,14,14,14,14,14,14,14,14,14,13,13,12,11,12,17,15,14,14,14,14,14,14,14,14,14,14,13,13,12,12,11,10,10,10,11,11,11,11,11,11,11
12,bottas,13,13,13,13,13,13,14,15,16,15,13,13,13,13,13,13,13,13,13,13,13,12,12,11,10,10,10,16,15,15,15,15,15,15,16,16,16,16,15,15,15,15,14,14,13,13,13,13,13,15,15,17,0
13,ricciardo,14,14,14,14,14,14,13,12,12,10,9,7,5,4,4,4,4,4,4,5,10,16,16,15,14,13,12,10,10,10,8,9,13,13,13,13,13,13,12,12,11,10,10,12,17,17,16,15,15,14,13,13,0
14,maldonado,15,15,15,15,15,15,15,14,13,16,15,15,15,15,15,15,15,15,15,15,15,14,14,13,12,11,11,12,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,14,14,15,16,17,17,17,16,0
15,sutil,16,16,16,16,16,16,16,16,17,17,16,16,16,16,16,16,16,16,16,16,16,15,15,14,13,14,14,17,16,16,16,16,16,16,15,15,15,15,14,14,13,14,13,13,12,12,12,12,12,12,14,14,0
16,vergne,17,17,17,17,17,17,17,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,14,13,13,11,11,10,10,9,9,9,12,17,17,17,17,16,16,15,15,14,14,14,13,12,12,0
17,chilton,18,18,18,18,18,18,18,17,14,14,18,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,0
18,pic,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,0
