,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
8,894,20,vettel,9,1,1,Finished,107023,213409,320331,427016,534147,640995,747638,853624,959695,1065765,1176996,1301501,1406035,1510724,1615512,1720622,1826128,1931359,2036908,2142071,2246556,2351857,2456919,2561468,2665454.0,2770308.0,2875265.0,2980412.0,3085191.0,3189965.0,3302836.0,3477076.0,3640843.0,3800626.0,3956305.0,4112602.0,4215705.0,4349843.0,4507409.0,4663037.0,4765222.0,4867218.0,4968944.0,5070615.0,5172710.0,5274539.0,5376545.0,5478521.0,5580383.0,5682434.0,5784100.0,5886129.0,5987509.0,6090123.0,6193701.0
9,894,154,grosjean,208,3,1,Finished,109131,216075,322965,429832,536926,643909,750621,857034,963182,1074168,1198685,1303870,1408827,1513968,1619098,1724743,1830253,1935771,2041106,2145877,2250750,2355935,2461106,2566343,2671022.0,2776154.0,2880829.0,2985517.0,3090362.0,3195376.0,3311260.0,3479639.0,3641796.0,3802517.0,3957649.0,4113330.0,4217932.0,4351672.0,4509996.0,4664162.0,4767643.0,4870323.0,4972567.0,5074784.0,5176846.0,5278782.0,5381114.0,5483469.0,5585829.0,5687975.0,5790024.0,5892046.0,5993990.0,6096225.0,6198628.0
0,894,1,hamilton,131,5,1,Finished,109848,216756,323680,430770,538171,645429,751956,858796,970050,1094172,1199600,1304737,1410088,1515917,1621883,1727536,1833000,1937830,2042669,2147733,2252898,2358584,2465175,2572156,2679505.0,2787564.0,2895893.0,3006690.0,3120507.0,3244121.0,3368809.0,3504275.0,3645500.0,3804627.0,3960254.0,4114496.0,4219950.0,4353212.0,4512492.0,4665059.0,4769438.0,4872754.0,4975929.0,5078966.0,5182879.0,5286754.0,5391459.0,5495758.0,5599501.0,5703273.0,5806735.0,5909911.0,6012450.0,6115360.0,6218956.0
1,894,3,rosberg,131,7,1,Finished,110482,218007,325556,433209,541475,649541,756774,863647,970264,1081889,1209192,1314751,1420114,1525210,1630764,1737035,1844074,1949586,2055279,2160750,2265807,2370809,2475597,2580348,2685150.0,2790859.0,2896449.0,3010862.0,3155357.0,3260375.0,3389258.0,3524218.0,3650773.0,3808508.0,3962582.0,4116110.0,4222251.0,4356317.0,4514186.0,4666264.0,4772115.0,4876178.0,4979967.0,5083437.0,5186725.0,5289865.0,5393594.0,5497917.0,5601750.0,5705499.0,5809004.0,5912574.0,6015125.0,6117596.0,6220399.0
10,894,807,hulkenberg,15,4,1,Finished,111311,219350,327013,435228,543581,651793,759212,866334,973566,1085311,1212022,1317510,1423054,1528842,1634842,1741035,1847158,1953818,2060284,2167036,2273103,2378672,2484383,2590197,2696057.0,2807102.0,2933339.0,3038009.0,3142988.0,3247903.0,3379602.0,3514129.0,3646720.0,3805648.0,3960675.0,4114964.0,4219416.0,4352637.0,4511165.0,4664784.0,4769088.0,4872488.0,4975573.0,5078747.0,5182619.0,5286581.0,5391254.0,5495576.0,5599266.0,5702919.0,5806352.0,5909505.0,6012113.0,6114974.0,6217815.0
2,894,4,alonso,6,6,1,Finished,111814,220053,328168,436409,544570,652469,760130,868207,982124,1106350,1212327,1318222,1423586,1529449,1635340,1742073,1848089,1954460,2060730,2167568,2273578,2379301,2485131,2591009,2697112.0,2804471.0,2910637.0,3021883.0,3145938.0,3249255.0,3379987.0,3516108.0,3647180.0,3806526.0,3961254.0,4115377.0,4220954.0,4354870.0,4512879.0,4665415.0,4771021.0,4874712.0,4978336.0,5081686.0,5184737.0,5287873.0,5392060.0,5496747.0,5600237.0,5703960.0,5807556.0,5910785.0,6013516.0,6116225.0,6219890.0
14,894,817,ricciardo,5,19,13,+3 Laps,113122,221361,329441,438809,547693,656528,765106,874299,982276,1090043,1197821,1307319,1414799,1521981,1629085,1736102,1843585,1956477,2083408,2189342,2296733,2402020,2507737,2613704,2719563.0,2826048.0,2932600.0,3039543.0,3145392.0,3251812.0,3386439.0,3533785.0,3654403.0,3811046.0,3965398.0,4116927.0,4223773.0,4359020.0,4515978.0,4667256.0,4772966.0,4877247.0,4981483.0,5085694.0,5190527.0,5294948.0,5399420.0,5503431.0,5606914.0,5710387.0,5813793.0,5916740.0,,,
3,894,8,raikkonen,208,2,1,Finished,113950,222051,329716,437392,545388,653208,760872,868686,975233,1082340,1194487,1320985,1426059,1531066,1636138,1742483,1848689,1955205,2061507,2168225,2274404,2380049,2486040,2591675,2701763.0,2826354.0,2929167.0,3032959.0,3136683.0,3241800.0,3366624.0,3501052.0,3643564.0,3803423.0,3958894.0,4113736.0,4218116.0,4350839.0,4508611.0,4663569.0,4766624.0,4869265.0,4971399.0,5073497.0,5175628.0,5277742.0,5379870.0,5482167.0,5584436.0,5686705.0,5788680.0,5891036.0,5993243.0,6095480.0,6197925.0
11,894,813,maldonado,3,13,1,Finished,114725,223334,331722,440517,549531,659317,771923,900930,1008659,1115796,1222493,1329497,1436281,1544208,1652900,1759968,1866503,1972949,2079446,2185836,2292386,2399008,2510032,2636038,2741287.0,2847145.0,2952415.0,3058002.0,3163393.0,3268635.0,3399563.0,3533262.0,3651581.0,3809976.0,3963985.0,4116550.0,4223261.0,4357216.0,4514781.0,4666889.0,4773880.0,4878325.0,4982461.0,5086999.0,5197152.0,5302554.0,5407433.0,5512041.0,5616492.0,5720954.0,5825264.0,5929576.0,6034152.0,6138520.0,6243714.0
7,894,18,button,1,8,1,Finished,115281,224230,332871,446676,576629,682895,790897,900586,1007668,1114625,1220806,1327562,1434163,1540392,1646420,1752409,1858358,1964416,2070352,2177141,2284060,2396014,2523699,2628484,2732939.0,2837497.0,2942040.0,3047512.0,3153229.0,3258093.0,3384541.0,3519592.0,3649889.0,3807556.0,3961720.0,4115666.0,4221791.0,4355841.0,4513612.0,4665893.0,4771704.0,4875693.0,4979376.0,5082794.0,5185867.0,5289141.0,5392964.0,5497488.0,5601273.0,5704896.0,5808545.0,5912213.0,6017419.0,6121506.0,6225963.0
