,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,vettel,1,1,1,1,2,7,6,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,4,4,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
1,alonso,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,webber,3,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,4,3,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
3,hamilton,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,4,5,4,3,3,2,2,2,2,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
4,button,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,2,1,1,5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,0,0,0
5,massa,6,6,6,6,8,19,12,7,7,7,7,7,7,7,7,7,7,7,7,8,10,7,6,6,6,6,6,6,6,6,6,6,7,9,7,5,5,5,5,5,5,5,5,5,5,5,5,8,6,6,6,6,5,5,5,5
6,rosberg,7,5,4,4,4,3,2,1,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,4,4,4,3,3,5,5,5,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4
7,perez,8,7,7,7,7,6,7,8,8,8,9,9,9,9,9,10,10,10,10,10,8,6,10,10,10,10,10,10,10,10,10,10,10,10,8,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9
8,sutil,9,8,8,9,9,9,17,15,14,14,15,15,14,14,13,13,13,13,12,12,9,11,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,hulkenberg,10,9,9,8,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,8,8,8,8,8,8,8,8,8,8,8,7,9,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8
10,ricciardo,11,10,10,10,11,12,13,9,11,11,11,11,11,11,11,11,11,11,13,14,13,13,11,11,11,11,11,11,11,11,11,11,12,13,13,12,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,0,0,0,0,0
11,raikkonen,12,11,11,12,12,13,14,11,10,10,10,10,10,10,10,9,9,9,9,7,7,10,9,9,9,9,9,9,9,9,9,9,9,8,10,9,9,9,9,9,8,8,8,8,8,8,8,6,7,7,7,7,7,7,7,7
12,grosjean,13,12,12,11,10,8,8,10,9,9,8,8,8,8,8,8,8,8,8,9,11,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6
13,resta,14,13,13,13,13,14,19,17,15,15,14,14,13,13,12,12,12,12,11,11,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,maldonado,15,14,14,15,16,16,15,12,12,12,12,12,18,20,20,20,20,20,20,19,17,17,16,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15,15,14,14,14,0,0,0,0,0,0,0,0,0,0,0
15,gutierrez,16,15,15,14,14,10,9,13,13,13,13,13,12,12,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,10,12,12,12,12,12,12,12,10,10,10,10,10,10,10,11,12,12,11,11,0
16,pic,17,17,17,17,17,15,11,20,20,20,20,20,20,19,19,19,19,18,16,16,19,19,18,18,18,18,18,18,17,17,16,16,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,15,14,14,13,13,0
17,vergne,18,16,16,16,15,11,10,19,19,19,19,19,17,17,17,17,16,15,15,15,14,14,13,13,13,13,14,13,13,13,13,13,13,12,12,11,10,10,10,10,10,10,10,12,12,12,12,11,11,11,10,10,10,10,10,10
18,garde,19,18,18,18,18,17,16,14,16,16,16,16,15,15,15,15,15,16,19,18,16,16,15,16,16,16,16,16,18,18,18,17,16,16,16,16,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,15,15,14,14,0
19,jules_bianchi,20,19,19,19,19,18,18,16,17,17,17,17,16,16,16,16,17,19,18,17,15,15,14,14,14,14,13,14,14,15,15,15,14,14,14,14,14,14,14,14,14,14,15,15,15,14,14,14,14,14,14,13,13,12,12,0
20,chilton,21,20,20,20,20,20,20,18,18,18,18,18,19,18,18,18,18,17,17,20,18,18,17,17,17,17,17,17,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,15,0,0
