,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
2,906.0,3.0,rosberg,2.0,1.0,Finished,102208.0,237582.0,363560.0,489113.0,610218.0,725722.0,845227.0,925353.0,1005632.0,1085591.0,1165431.0,1245761.0,1325825.0,1406479.0,1487165.0,1567528.0,1647568.0,1743335.0,1825898.0,1906448.0,1987397.0,2067485.0,2147104.0,2226264.0,2304880.0,2384528.0,2463958.0,2543082.0,2622432.0,2701542.0,2780734.0,2860418.0,2939299.0,3018217.0,3097239.0,3176444.0,3258546.0,3341250.0,3424320.0,3506268.0,3588264.0,3669209.0,3749921.0,3847669.0,3930481.0,4011703.0,4093118.0,4177286.0,4258687.0,4339336.0,4419615.0,4499746.0,4579536.0,4659362.0,4739194.0,4819019.0,4898873.0,4978642.0,5058514.0,5138287.0,5218015.0,5297750.0,5377243.0,5456997.0,5536602.0,5616880.0,5696476.0,5776426.0,5856475.0,5957066.0
8,906.0,20.0,vettel,3.0,1.0,Finished,105628.0,238217.0,364641.0,490411.0,611467.0,726581.0,846078.0,926754.0,1006946.0,1087898.0,1169299.0,1250615.0,1332115.0,1413827.0,1511015.0,1594190.0,1674865.0,1755256.0,1835351.0,1915554.0,1996245.0,2077551.0,2159492.0,2240070.0,2320823.0,2401415.0,2482100.0,2562713.0,2643046.0,2723636.0,2804014.0,2884589.0,2965252.0,3045918.0,3126279.0,3222337.0,3304380.0,3383817.0,3463708.0,3543551.0,3623161.0,3703054.0,3782839.0,3862719.0,3942923.0,4022415.0,4102210.0,4181381.0,4261489.0,4341259.0,4421537.0,4501605.0,4581378.0,4661290.0,4741189.0,4821127.0,4900676.0,4980381.0,5060337.0,5139716.0,5219610.0,5299266.0,5378978.0,5459185.0,5538647.0,5619951.0,5699654.0,5779346.0,5859378.0,5958077.0
1,906.0,1.0,hamilton,17.0,23.0,Brakes,107756.0,239647.0,366074.0,491449.0,611780.0,727987.0,846738.0,927118.0,1007458.0,1087385.0,1167537.0,1247580.0,1327821.0,1408235.0,1488745.0,1569423.0,1649623.0,1729831.0,1826517.0,1909168.0,1989249.0,2068810.0,2147886.0,2226828.0,2306064.0,2385593.0,2464592.0,2543678.0,2622816.0,2702331.0,2781301.0,2860739.0,2940035.0,3019338.0,3098498.0,3178601.0,3260397.0,3342754.0,3424847.0,3506879.0,3589243.0,3670485.0,3751200.0,3831524.0,3927379.0,4011734.0,,,,,,,,,,,,,,,,,,,,,,,,
17,906.0,822.0,bottas,7.0,1.0,Finished,109177.0,240180.0,366779.0,492353.0,613078.0,728743.0,847098.0,928357.0,1008827.0,1089680.0,1171304.0,1253029.0,1334878.0,1432432.0,1515178.0,1596300.0,1677200.0,1757688.0,1838320.0,1918817.0,1999406.0,2079956.0,2160621.0,2241173.0,2322542.0,2403006.0,2483224.0,2563190.0,2643437.0,2723789.0,2804346.0,2885737.0,2966014.0,3046332.0,3143660.0,3226910.0,3307427.0,3387627.0,3467328.0,3546766.0,3626290.0,3706119.0,3786284.0,3866047.0,3946481.0,4026468.0,4106963.0,4186774.0,4267038.0,4346964.0,4426325.0,4505646.0,4585489.0,4665511.0,4745582.0,4825681.0,4907011.0,4988258.0,5069426.0,5151471.0,5233154.0,5314579.0,5395106.0,5475095.0,5554630.0,5634641.0,5714284.0,5793831.0,5873858.0,5976408.0
5,906.0,13.0,massa,12.0,4.0,Collision,112012.0,241235.0,367713.0,494102.0,614598.0,730031.0,847327.0,929226.0,1009632.0,1090722.0,1172644.0,1254396.0,1336328.0,1418399.0,1520892.0,1604040.0,1685435.0,1766167.0,1847180.0,1928006.0,2008614.0,2090009.0,2170147.0,2250164.0,2331597.0,2412156.0,2491956.0,2571808.0,2651835.0,2731910.0,2811647.0,2891461.0,2971258.0,3050975.0,3130736.0,3210312.0,3289812.0,3369203.0,3448699.0,3528544.0,3608639.0,3688298.0,3768126.0,3848163.0,3928328.0,4008698.0,4089244.0,4186089.0,4268398.0,4347293.0,4426615.0,4506028.0,4585869.0,4665767.0,4745887.0,4826042.0,4906049.0,4984553.0,5063061.0,5141938.0,5220602.0,5299619.0,5379233.0,5459733.0,5538796.0,5620271.0,5699879.0,5779686.0,5859815.0,
14,906.0,817.0,ricciardo,1.0,1.0,Finished,113331.0,242605.0,368944.0,494732.0,615147.0,731237.0,847833.0,930157.0,1011034.0,1091961.0,1173093.0,1254887.0,1352918.0,1435539.0,1516155.0,1597419.0,1678825.0,1760302.0,1841332.0,1922237.0,2002849.0,2083490.0,2164114.0,2244606.0,2325527.0,2406236.0,2486142.0,2566252.0,2646520.0,2726628.0,2806442.0,2886500.0,2966763.0,3047128.0,3127491.0,3206903.0,3302065.0,3383350.0,3463296.0,3542674.0,3622596.0,3702229.0,3781835.0,3861726.0,3941573.0,4021094.0,4100848.0,4180449.0,4260557.0,4340740.0,4420912.0,4500738.0,4580500.0,4660408.0,4740578.0,4820484.0,4900240.0,4979925.0,5059697.0,5139353.0,5219140.0,5298868.0,5378542.0,5458357.0,5537976.0,5618114.0,5697196.0,5775836.0,5854911.0,5952830.0
15,906.0,818.0,vergne,8.0,1.0,Finished,115488.0,244067.0,370536.0,497119.0,617600.0,732888.0,848422.0,930842.0,1012184.0,1093822.0,1175538.0,1257173.0,1339399.0,1421424.0,1519760.0,1602967.0,1684558.0,1765777.0,1846854.0,1927804.0,2008496.0,2090605.0,2172146.0,2253116.0,2334436.0,2415544.0,2496527.0,2577332.0,2658194.0,2738958.0,2819592.0,2900150.0,2980821.0,3061316.0,3141678.0,3222105.0,3302342.0,3382298.0,3478980.0,3561408.0,3641399.0,3721302.0,3801148.0,3881047.0,3960942.0,4041028.0,4121025.0,4201990.0,4282709.0,4363030.0,4443132.0,4523150.0,4602910.0,4682428.0,4761846.0,4841245.0,4920791.0,5000433.0,5080102.0,5159621.0,5239259.0,5318856.0,5398564.0,5477974.0,5557703.0,5637423.0,5717042.0,5796611.0,5876486.0,5980856.0
3,906.0,4.0,alonso,6.0,1.0,Finished,118142.0,244843.0,371609.0,497804.0,618874.0,733845.0,848707.0,931309.0,1012928.0,1094676.0,1176449.0,1258309.0,1340280.0,1422010.0,1503939.0,1601240.0,1684214.0,1765424.0,1846150.0,1926881.0,2007611.0,2088655.0,2169357.0,2249952.0,2331560.0,2413282.0,2493906.0,2575143.0,2656116.0,2736490.0,2816655.0,2896476.0,2976555.0,3056206.0,3136013.0,3215977.0,3295806.0,3375222.0,3454818.0,3534610.0,3614583.0,3694150.0,3773970.0,3869766.0,3951833.0,4031414.0,4111094.0,4190230.0,4269828.0,4348932.0,4428087.0,4507009.0,4586547.0,4666519.0,4746767.0,4826691.0,4907291.0,4988591.0,5069511.0,5149047.0,5228165.0,5307065.0,5385865.0,5464479.0,5543437.0,5623481.0,5703002.0,5783175.0,5864478.0,5967699.0
4,906.0,8.0,raikkonen,10.0,1.0,Finished,119314.0,246965.0,373756.0,499243.0,620234.0,734972.0,849223.0,932077.0,1013503.0,1095116.0,1176901.0,1259033.0,1340996.0,1423006.0,1505352.0,1587464.0,1685031.0,1768829.0,1849944.0,1931297.0,2012336.0,2094237.0,2175570.0,2256679.0,2338304.0,2419386.0,2500248.0,2581124.0,2661732.0,2742689.0,2822970.0,2903498.0,2983822.0,3063913.0,3144050.0,3224145.0,3305111.0,3385490.0,3482920.0,3580722.0,3660902.0,3740478.0,3820031.0,3899487.0,3979199.0,4058711.0,4138476.0,4218457.0,4298453.0,4378274.0,4458237.0,4538142.0,4617732.0,4697273.0,4776601.0,4856172.0,4935628.0,5014619.0,5093937.0,5173357.0,5252981.0,5332554.0,5412119.0,5491604.0,5570553.0,5649522.0,5728207.0,5806736.0,5886133.0,6006508.0
7,906.0,18.0,button,4.0,1.0,Finished,121338.0,247490.0,376613.0,500799.0,622541.0,736817.0,849779.0,932971.0,1015159.0,1096721.0,1178855.0,1260984.0,1343673.0,1441518.0,1524247.0,1606004.0,1686881.0,1769015.0,1850367.0,1931848.0,2012770.0,2094832.0,2175988.0,2257194.0,2338762.0,2419965.0,2500965.0,2582691.0,2663311.0,2743922.0,2824396.0,2904447.0,2984419.0,3064517.0,3144695.0,3225091.0,3305636.0,3403887.0,3484859.0,3564478.0,3644213.0,3724048.0,3803732.0,3883291.0,3962733.0,4042150.0,4121388.0,4201234.0,4281170.0,4360660.0,4439912.0,4518923.0,4597744.0,4676719.0,4755682.0,4834601.0,4913576.0,4992495.0,5071479.0,5150763.0,5229953.0,5308815.0,5387902.0,5466661.0,5545583.0,5624795.0,5703970.0,5783790.0,5863471.0,5964585.0
