,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2,914.0,3.0,rosberg,2.0,1.0,Finished,182649.0,371528.0,1672212.0,1838985.0,2002964.0,2165491.0,2327847.0,2489874.0,2655065.0,2769175.0,2882309.0,2994916.0,3111138.0,3244446.0,3356997.0,3470038.0,3583713.0,3697413.0,3810901.0,3924903.0,4039206.0,4153444.0,4267636.0,4382368.0,4496798.0,4611440.0,4725967.0,4840248.0,4956412.0,5071657.0,5186427.0,5301522.0,5418966.0,5553214.0,5666100.0,5779307.0,5894713.0,6007593.0,6120519.0,6233828.0,6347536.0,6461235.0,6576118.0,6712201.0
1,914.0,1.0,hamilton,1.0,1.0,Finished,184094.0,373260.0,1673721.0,1841612.0,2003579.0,2166257.0,2328908.0,2491895.0,2655451.0,2770557.0,2884149.0,2996712.0,3109733.0,3225129.0,3359178.0,3471863.0,3585012.0,3698458.0,3812015.0,3926153.0,4040214.0,4154374.0,4268406.0,4382910.0,4497282.0,4612273.0,4726551.0,4840611.0,4954374.0,5067721.0,5181608.0,5295869.0,5410116.0,5524687.0,5641435.0,5775190.0,5887360.0,5999027.0,6110627.0,6223169.0,6336146.0,6448671.0,6562045.0,6703021.0
18,914.0,822.0,bottas,6.0,1.0,Finished,184938.0,375286.0,1674245.0,1842175.0,2004337.0,2167479.0,2329581.0,2492368.0,2656486.0,2775854.0,2895877.0,3034127.0,3150197.0,3266178.0,3381979.0,3497864.0,3613930.0,3731839.0,3849307.0,3965743.0,4082113.0,4198690.0,4315067.0,4430760.0,4546354.0,4661857.0,4777313.0,4892882.0,5008514.0,5124053.0,5239688.0,5355406.0,5470952.0,5586818.0,5703292.0,5819744.0,5937650.0,6056789.0,6192089.0,6306439.0,6420542.0,6536452.0,6670392.0,6816794.0
5,914.0,13.0,massa,7.0,1.0,Finished,187652.0,377190.0,1676162.0,1843469.0,2006029.0,2168926.0,2330715.0,2493177.0,2657053.0,2777009.0,2894784.0,3014383.0,3151985.0,3267683.0,3384052.0,3501974.0,3619380.0,3735722.0,3852258.0,3970033.0,4086399.0,4202941.0,4318781.0,4434996.0,4550799.0,4666679.0,4782514.0,4898325.0,5013380.0,5129025.0,5245029.0,5360697.0,5476076.0,5591999.0,5708230.0,5824879.0,5944763.0,6080028.0,6193478.0,6308008.0,6423326.0,6538938.0,6671621.0,6818147.0
3,914.0,4.0,alonso,22.0,40.0,Electronics,189504.0,379243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,914.0,817.0,ricciardo,4.0,1.0,Finished,191285.0,382205.0,1677364.0,1845821.0,2007693.0,2169659.0,2331843.0,2494468.0,2657792.0,2778192.0,2898324.0,3036079.0,3153434.0,3269358.0,3385450.0,3502192.0,3617352.0,3732118.0,3846748.0,3960456.0,4073693.0,4186706.0,4299851.0,4412988.0,4525807.0,4639383.0,4752532.0,4866004.0,4978962.0,5091725.0,5204424.0,5317344.0,5430581.0,5543567.0,5656935.0,5776285.0,5910911.0,6023142.0,6135633.0,6249936.0,6365102.0,6481205.0,6597136.0,6741839.0
20,914.0,825.0,kevin_magnussen,14.0,11.0,+1 Lap,192517.0,383879.0,1678148.0,1846788.0,2008463.0,2170020.0,2332681.0,2495017.0,2658282.0,2778888.0,2899312.0,3037357.0,3155124.0,3273101.0,3395791.0,3540716.0,3657923.0,3773071.0,3889715.0,4006841.0,4124348.0,4242543.0,4361690.0,4479372.0,4595529.0,4710959.0,4826124.0,4941528.0,5055784.0,5170554.0,5286750.0,5401077.0,5524635.0,5657618.0,5771751.0,5885806.0,6000661.0,6114171.0,6228083.0,6345383.0,6482405.0,6597689.0,6742070.0,
7,914.0,18.0,button,5.0,1.0,Finished,195346.0,385927.0,1679369.0,1847729.0,2009697.0,2171341.0,2333716.0,2496007.0,2661346.0,2799321.0,2914843.0,3029748.0,3144721.0,3259594.0,3373790.0,3488087.0,3602383.0,3716202.0,3830269.0,3944440.0,4058689.0,4173297.0,4287401.0,4401392.0,4515119.0,4629050.0,4743126.0,4856878.0,4970440.0,5084461.0,5201742.0,5339799.0,5451520.0,5564677.0,5677897.0,5791912.0,5906467.0,6021323.0,6135075.0,6249415.0,6364429.0,6484550.0,6620149.0,6770571.0
8,914.0,20.0,vettel,3.0,1.0,Finished,197003.0,388496.0,1681289.0,1848852.0,2010454.0,2172749.0,2335689.0,2496407.0,2659609.0,2779423.0,2897651.0,3015162.0,3152615.0,3268567.0,3384823.0,3500466.0,3614900.0,3730273.0,3844431.0,3958108.0,4071715.0,4184713.0,4297636.0,4411040.0,4523930.0,4637605.0,4751345.0,4864974.0,4980429.0,5111951.0,5224142.0,5336057.0,5448380.0,5561233.0,5674333.0,5787808.0,5901659.0,6019252.0,6132551.0,6246625.0,6361807.0,6475772.0,6590350.0,6732143.0
4,914.0,8.0,raikkonen,12.0,11.0,+1 Lap,201047.0,391097.0,1684497.0,1849892.0,2011991.0,2174120.0,2337182.0,2497914.0,2659951.0,2780399.0,2901787.0,3040120.0,3156401.0,3273856.0,3393007.0,3509834.0,3626270.0,3742909.0,3858914.0,3975469.0,4091867.0,4208454.0,4327671.0,4473426.0,4586590.0,4701992.0,4817108.0,4932798.0,5048767.0,5164755.0,5281481.0,5398101.0,5513938.0,5633954.0,5768569.0,5880995.0,5993993.0,6106974.0,6221407.0,6338685.0,6454204.0,6570627.0,6709838.0,
