,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,915,1,hamilton,131,1,1,Finished,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,915,822,bottas,3,3,1,Finished,1637,1936,2228,2135,2523,2576,2765,2912,2951,2776.0,3326.0,3509.0,3958.0,4057.0,4562.0,4751.0,5477.0,6360.0,6845.0,7982.0,9340.0,10970.0,12507.0,14020.0,15878.0,21733.0,40002.0,18357.0,19160.0,20594.0,22148.0,22412.0,22384.0,23195.0,23323.0,22648.0,22771.0,23354.0,23413.0,24095.0,24147.0,23582.0,23963.0,24346.0,23899.0,24008.0,23886.0,24188.0,23122.0,22645.0,21195.0,19925.0,17425.0
2,915,18,button,1,4,1,Finished,2566,3412,3958,5334,6411,7631,8737,9563,10869,11998.0,13466.0,14308.0,15089.0,15787.0,16964.0,17857.0,18723.0,19451.0,20182.0,21334.0,22092.0,27417.0,48806.0,49454.0,50021.0,50282.0,46149.0,24664.0,25172.0,25403.0,25414.0,25816.0,25833.0,26390.0,26881.0,26523.0,26302.0,27857.0,28159.0,29495.0,30079.0,30047.0,30361.0,30946.0,31475.0,32361.0,32132.0,33405.0,33067.0,32555.0,31652.0,31128.0,30234.0
3,915,4,alonso,6,6,1,Finished,3308,4545,5109,6036,7182,8289,9747,11978,14315,15498.0,16698.0,17133.0,17867.0,18645.0,19552.0,20362.0,21482.0,22458.0,23160.0,23989.0,24647.0,25456.0,25878.0,26480.0,32725.0,59933.0,57083.0,36452.0,37529.0,38344.0,38884.0,40109.0,40912.0,41908.0,42774.0,42999.0,43738.0,45619.0,46975.0,48807.0,49753.0,50901.0,52123.0,53799.0,55267.0,56316.0,57553.0,59173.0,59734.0,60149.0,60454.0,61233.0,60016.0
4,915,818,vergne,5,13,1,Finished,5151,7004,11082,14855,17437,19353,21002,22712,24701,26103.0,28090.0,28981.0,30662.0,32110.0,33555.0,34669.0,35695.0,36741.0,37773.0,39224.0,40547.0,42792.0,48726.0,72907.0,74189.0,74914.0,71936.0,51536.0,52996.0,54214.0,55441.0,57313.0,58891.0,60962.0,62506.0,63463.0,64681.0,69554.0,71597.0,74685.0,78085.0,80168.0,81879.0,83924.0,85306.0,87542.0,89507.0,92209.0,94267.0,95620.0,95442.0,98141.0,97295.0
5,915,3,rosberg,131,2,1,Finished,5179,29748,30386,30981,33893,34671,36051,37689,38675,39433.0,40131.0,40611.0,41802.0,42741.0,43162.0,43448.0,44052.0,44521.0,45488.0,45909.0,46365.0,46892.0,46857.0,46659.0,46952.0,45981.0,41393.0,19500.0,19840.0,21065.0,20259.0,19774.0,19798.0,19492.0,18852.0,17489.0,16085.0,17321.0,17607.0,18538.0,18645.0,18763.0,18796.0,18996.0,19019.0,18908.0,18782.0,19080.0,18740.0,17829.0,16602.0,15100.0,13657.0
6,915,825,kevin_magnussen,1,5,1,Finished,5689,7639,10129,11145,12644,14088,15295,16394,17755,18604.0,20094.0,21629.0,22593.0,23753.0,24748.0,25406.0,26115.0,26461.0,26783.0,27303.0,28639.0,29580.0,29922.0,30083.0,30760.0,35576.0,52165.0,30510.0,30896.0,31572.0,32219.0,32837.0,33628.0,34767.0,35671.0,35550.0,35859.0,37385.0,38543.0,40579.0,42165.0,42778.0,43660.0,44662.0,45809.0,47070.0,49100.0,51035.0,51760.0,52852.0,52988.0,53649.0,53616.0
7,915,826,kvyat,5,14,11,+1 Lap,6782,10584,12355,15209,19117,20979,22554,24486,26334,27669.0,29580.0,30963.0,32585.0,34082.0,35641.0,37050.0,39418.0,40856.0,42403.0,48999.0,73916.0,75250.0,76147.0,77631.0,78898.0,79180.0,75835.0,55247.0,55842.0,56734.0,57846.0,59428.0,60802.0,63088.0,67629.0,69654.0,78669.0,101491.0,104453.0,105482.0,105551.0,105983.0,105764.0,106370.0,106616.0,106894.0,107138.0,107949.0,107547.0,106912.0,106150.0,105310.0,
8,915,20,vettel,9,8,1,Finished,7142,8756,11426,13265,15019,17829,19339,20638,22140,23328.0,24861.0,26184.0,27298.0,28457.0,30096.0,31674.0,33166.0,34108.0,34959.0,36132.0,37300.0,38607.0,39014.0,39939.0,41185.0,41587.0,38031.0,17169.0,18348.0,24444.0,47878.0,49675.0,50527.0,51399.0,52050.0,52191.0,52352.0,53938.0,54546.0,56228.0,57037.0,57597.0,58695.0,60462.0,61499.0,62819.0,63976.0,66005.0,66362.0,66397.0,67129.0,66951.0,66185.0
9,915,817,ricciardo,9,7,1,Finished,7526,9607,11793,14197,15672,18380,20265,21623,23390,25112.0,31718.0,53983.0,55571.0,56242.0,57117.0,58060.0,59182.0,60349.0,60694.0,61714.0,62223.0,63656.0,64266.0,65084.0,65572.0,65704.0,62102.0,40324.0,40227.0,40794.0,40822.0,41660.0,42489.0,43585.0,44382.0,44499.0,44815.0,46497.0,47753.0,49654.0,50552.0,51601.0,52837.0,54538.0,55941.0,57254.0,58239.0,60098.0,60628.0,61015.0,61492.0,62158.0,61812.0
