,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
1,vettel,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2,alonso,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,ricciardo,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,3,2,2,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,raikkonen,5,5,5,5,5,5,5,5,5,5,6,10,9,7,6,6,6,6,6,6,6,5,5,5,5,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8
5,massa,6,6,6,6,6,6,6,6,6,9,12,9,8,6,5,5,5,5,5,5,5,7,11,9,8,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,button,7,7,7,7,7,7,7,7,7,6,5,5,2,3,8,8,8,8,8,8,8,8,7,6,6,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0
7,bottas,8,8,8,8,8,8,8,8,8,7,8,11,11,9,7,7,7,7,7,7,7,6,6,11,9,9,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,11
8,kevin_magnussen,9,9,9,9,9,9,9,9,9,8,7,6,5,12,10,10,10,10,10,10,10,10,9,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,12,14,13,13,13,13,13,11,11,10,10,10,10,11,10
9,kvyat,10,10,10,10,10,10,10,11,11,13,16,15,15,15,13,12,12,12,12,12,12,12,12,15,14,14,14,14,13,12,12,11,11,11,11,11,11,11,11,11,11,11,15,17,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14
10,vergne,11,11,11,11,11,11,11,10,10,10,9,13,12,11,9,9,9,9,9,9,9,9,8,10,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,14,13,12,12,12,12,12,11,9,9,9,9,9,8,6,6
11,hulkenberg,12,12,12,12,12,12,12,12,15,18,15,14,13,13,11,11,11,11,11,11,11,11,10,8,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,10,10,9,9,9,9,9,9,9,8,8,8,8,8,9,10,9
12,gutierrez,13,13,13,13,13,13,13,13,12,11,10,8,10,10,15,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,perez,14,14,14,14,14,14,14,14,13,12,11,7,7,8,12,16,16,16,16,16,16,16,14,12,12,12,12,12,14,16,17,17,17,17,17,17,17,17,16,15,15,15,14,14,17,16,16,14,14,14,14,14,13,13,12,11,11,11,9,7
14,grosjean,15,15,15,15,15,15,15,15,14,15,18,16,16,16,14,13,13,13,13,13,13,13,16,14,13,13,13,13,12,13,13,13,13,13,13,13,13,15,15,14,14,14,13,13,12,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13
15,sutil,16,16,16,16,16,16,16,18,20,20,19,17,17,17,16,14,14,14,14,14,14,14,13,13,17,17,17,16,16,15,14,14,14,14,14,14,14,13,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,maldonado,17,17,17,17,17,17,17,16,16,14,13,18,18,18,18,15,15,15,15,15,15,15,15,17,15,15,15,15,15,14,15,15,15,15,15,15,15,14,14,13,13,13,12,11,11,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12
17,jules_bianchi,18,18,18,18,18,18,18,17,17,16,14,12,14,14,17,18,17,17,17,17,17,17,17,16,16,16,16,17,17,17,16,16,16,16,16,16,16,16,17,17,16,16,16,15,15,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16
18,ericsson,19,19,19,19,19,19,19,19,18,17,17,20,20,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,16,13,14,13,16,16,16,16,16,15,15,15,15,15,15,15,15
19,chilton,20,20,20,20,20,20,20,20,19,19,20,19,19,19,19,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,0
