,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
2,944.0,3.0,rosberg,1.0,1.0,Finished,80546.0,157263.0,233761.0,309972.0,386052.0,462278.0,538794.0,615089.0,691801.0,768618.0,845206.0,921731.0,1003533.0,1097495.0,1173908.0,1249933.0,1326552.0,1403244.0,1479728.0,1556344.0,1632944.0,1709653.0,1786292.0,1862970.0,1939839.0,2016259.0,2092837.0,2169263.0,2245672.0,2322053.0,2398495.0,2475107.0,2557593.0,2650412.0,2726081.0,2801774.0,2877632.0,2953507.0,3029279.0,3105432.0,3181658.0,3257860.0,3333780.0,3409435.0,3485752.0,3561622.0,3637131.0,3718204.0,3809598.0,3884747.0,3959883.0,4035401.0,4110524.0,4186002.0,4261154.0,4336598.0,4411555.0,4486783.0,4562257.0,4637444.0,4712715.0,4787756.0,4863026.0,4938669.0,5014207.0,5089678.0,5165428.0,5240916.0,5316995.0,5392597.0,5469090.0
1,944.0,1.0,hamilton,2.0,1.0,Finished,81209.0,158257.0,234618.0,310965.0,387228.0,463537.0,540185.0,616750.0,693380.0,770104.0,846825.0,923329.0,999887.0,1081552.0,1174861.0,1251010.0,1327590.0,1403827.0,1480561.0,1557049.0,1633777.0,1710370.0,1786952.0,1863423.0,1940632.0,2017513.0,2094485.0,2171311.0,2248245.0,2324958.0,2401745.0,2478388.0,2555439.0,2636990.0,2729495.0,2804845.0,2880740.0,2957024.0,3032605.0,3108308.0,3184320.0,3260257.0,3336605.0,3412675.0,3487979.0,3563624.0,3639598.0,3715419.0,3795680.0,3886321.0,3961153.0,4036207.0,4111672.0,4187681.0,4262783.0,4338090.0,4413003.0,4488383.0,4563908.0,4639284.0,4714811.0,4790544.0,4865917.0,4941446.0,5017489.0,5093767.0,5169764.0,5246304.0,5322809.0,5399368.0,5476846.0
7,944.0,20.0,vettel,3.0,1.0,Finished,82124.0,159438.0,236241.0,312857.0,389496.0,466100.0,542820.0,619435.0,696032.0,772984.0,849725.0,926631.0,1008846.0,1102720.0,1179162.0,1255546.0,1332345.0,1409718.0,1486455.0,1563269.0,1639915.0,1716589.0,1793381.0,1870008.0,1946685.0,2023547.0,2100823.0,2177927.0,2254926.0,2331828.0,2408747.0,2490893.0,2583714.0,2659364.0,2734978.0,2810767.0,2887013.0,2962892.0,3039362.0,3115414.0,3191180.0,3267007.0,3342781.0,3418812.0,3494936.0,3571171.0,3652908.0,3746208.0,3821502.0,3897657.0,3973426.0,4049425.0,4124992.0,4200531.0,4276070.0,4351698.0,4426744.0,4502008.0,4577336.0,4652554.0,4727838.0,4802906.0,4878306.0,4953470.0,5028868.0,5104457.0,5179981.0,5256096.0,5331834.0,5407870.0,5483334.0
4,944.0,8.0,raikkonen,4.0,1.0,Finished,82683.0,160171.0,237244.0,313995.0,390880.0,467631.0,544883.0,621833.0,699084.0,776460.0,853696.0,936091.0,1029861.0,1106757.0,1183573.0,1260688.0,1338099.0,1415284.0,1492705.0,1570175.0,1647307.0,1724665.0,1801788.0,1879053.0,1956276.0,2033602.0,2111011.0,2188421.0,2265552.0,2342530.0,2419855.0,2497048.0,2574671.0,2652194.0,2729543.0,2807259.0,2884547.0,2962195.0,3040304.0,3118011.0,3195257.0,3272408.0,3349763.0,3427213.0,3504721.0,3587862.0,3683497.0,3758913.0,3834855.0,3910841.0,3987132.0,4063555.0,4139939.0,4216233.0,4292755.0,4368830.0,4444838.0,4521131.0,4597826.0,4673894.0,4750347.0,4826611.0,4903009.0,4979021.0,5055601.0,5132257.0,5208707.0,5285391.0,5361865.0,5439209.0,5516633.0
13,944.0,822.0,bottas,5.0,11.0,+1 Lap,83692.0,162101.0,239630.0,316843.0,393927.0,471216.0,548369.0,625566.0,702807.0,780243.0,862744.0,957904.0,1035792.0,1112914.0,1190527.0,1268285.0,1346027.0,1423853.0,1501543.0,1579467.0,1657310.0,1735345.0,1813756.0,1891533.0,1969281.0,2047174.0,2125243.0,2203150.0,2280835.0,2358796.0,2436601.0,2514553.0,2592510.0,2670550.0,2748612.0,2826365.0,2904123.0,2982032.0,3060036.0,3138068.0,3221497.0,3317661.0,3394033.0,3470925.0,3547785.0,3624592.0,3701226.0,3778097.0,3854854.0,3931765.0,4008449.0,4085097.0,4161529.0,4238257.0,4315096.0,4391644.0,4468414.0,4545185.0,4621698.0,4698423.0,4774462.0,4851173.0,4928117.0,5005859.0,5082718.0,5159442.0,5236796.0,5314139.0,5391332.0,5471130.0,
14,944.0,826.0,kvyat,7.0,11.0,+1 Lap,84771.0,162960.0,240726.0,318428.0,395890.0,473547.0,551276.0,628832.0,706510.0,789084.0,884872.0,962689.0,1040434.0,1118196.0,1196515.0,1274358.0,1352386.0,1430518.0,1509239.0,1587351.0,1665878.0,1744003.0,1821750.0,1899657.0,1978200.0,2056656.0,2134763.0,2212820.0,2290692.0,2368506.0,2446481.0,2524494.0,2602736.0,2681132.0,2760158.0,2838922.0,2917394.0,2995839.0,3079333.0,3173854.0,3250354.0,3327231.0,3404033.0,3480802.0,3558042.0,3635508.0,3712439.0,3789629.0,3866762.0,3943926.0,4020877.0,4098047.0,4174954.0,4251991.0,4329270.0,4407455.0,4484279.0,4561096.0,4639242.0,4716675.0,4793539.0,4870375.0,4947204.0,5024009.0,5101030.0,5178204.0,5255880.0,5333817.0,5412087.0,5490526.0,
9,944.0,807.0,hulkenberg,6.0,11.0,+1 Lap,85143.0,163446.0,241347.0,319092.0,396781.0,474386.0,552142.0,629864.0,712589.0,807055.0,884187.0,961444.0,1038894.0,1116387.0,1194069.0,1271847.0,1350240.0,1428098.0,1505782.0,1583582.0,1661656.0,1739739.0,1817816.0,1896197.0,1974137.0,2052492.0,2130972.0,2209313.0,2287609.0,2365618.0,2443866.0,2522362.0,2601017.0,2679890.0,2763812.0,2858841.0,2936920.0,3015154.0,3092553.0,3170331.0,3248047.0,3325452.0,3402682.0,3479773.0,3556786.0,3634210.0,3711066.0,3788108.0,3865257.0,3942721.0,4019707.0,4096759.0,4173599.0,4250619.0,4327511.0,4404451.0,4481428.0,4559274.0,4636351.0,4714271.0,4792158.0,4869120.0,4946079.0,5023080.0,5100205.0,5176979.0,5254270.0,5331400.0,5409664.0,5487419.0,
5,944.0,13.0,massa,20.0,96.0,Excluded,85884.0,164491.0,242686.0,320663.0,398629.0,476586.0,554463.0,632342.0,710177.0,792596.0,887319.0,964669.0,1042334.0,1120071.0,1197836.0,1275808.0,1353613.0,1431743.0,1510093.0,1588246.0,1666640.0,1745183.0,1823335.0,1901411.0,1979574.0,2057775.0,2135947.0,2214088.0,2292095.0,2369926.0,2448051.0,2526461.0,2604899.0,2683896.0,2762772.0,2841437.0,2920510.0,3004435.0,3098783.0,3175587.0,3252608.0,3329692.0,3407024.0,3483957.0,3561509.0,3639659.0,3717389.0,3794306.0,3871027.0,3948105.0,4025027.0,4101872.0,4178826.0,4255515.0,4337243.0,4430474.0,4506217.0,4582023.0,4657903.0,4733980.0,4809961.0,4885775.0,4962014.0,5038107.0,5114386.0,5190518.0,5266849.0,5343132.0,5419282.0,5495634.0,
11,944.0,815.0,perez,12.0,11.0,+1 Lap,86566.0,165157.0,243447.0,321607.0,399722.0,477697.0,555790.0,633574.0,711758.0,794398.0,889492.0,967198.0,1045341.0,1123093.0,1201093.0,1279037.0,1357232.0,1435198.0,1513673.0,1591910.0,1670086.0,1748504.0,1826693.0,1904865.0,1983668.0,2062053.0,2141052.0,2219488.0,2297732.0,2376254.0,2454999.0,2536759.0,2620991.0,2715699.0,2793302.0,2871031.0,2949375.0,3027211.0,3104823.0,3183331.0,3262308.0,3339900.0,3417247.0,3495642.0,3573196.0,3650668.0,3728122.0,3806999.0,3886106.0,3964271.0,4047264.0,4140726.0,4216696.0,4293155.0,4369484.0,4445677.0,4522097.0,4598882.0,4675341.0,4751756.0,4828397.0,4905154.0,4981985.0,5058996.0,5136119.0,5215382.0,5293521.0,5371630.0,5450542.0,5529531.0,
17,944.0,830.0,max_verstappen,9.0,11.0,+1 Lap,86628.0,165793.0,244196.0,322100.0,400066.0,478092.0,556474.0,634441.0,712472.0,790583.0,873214.0,968569.0,1046138.0,1123849.0,1201621.0,1279699.0,1357562.0,1435743.0,1514097.0,1592570.0,1670854.0,1748952.0,1827397.0,1905651.0,1984290.0,2062721.0,2141702.0,2220266.0,2298391.0,2376573.0,2455173.0,2534836.0,2613646.0,2697045.0,2792837.0,2870073.0,2947321.0,3024562.0,3101982.0,3180398.0,3259040.0,3337478.0,3415159.0,3492712.0,3570274.0,3648665.0,3725766.0,3802793.0,3880030.0,3957671.0,4035255.0,4113701.0,4195818.0,4289693.0,4366115.0,4442087.0,4519533.0,4596079.0,4672962.0,4751091.0,4827461.0,4903858.0,4980359.0,5056720.0,5133808.0,5211239.0,5287872.0,5364626.0,5441366.0,5518287.0,
