,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
7,936.0,20.0,vettel,1.0,1.0,Finished,92868.0,181688.0,270352.0,358419.0,446731.0,534707.0,622839.0,711200.0,799471.0,887810.0,975980.0,1064258.0,1152441.0,1240647.0,1328718.0,1416631.0,1504815.0,1593563.0,1681851.0,1770361.0,1861824.0,1967501.0,2054378.0,2141764.0,2229131.0,2316636.0,2404184.0,2492195.0,2579848.0,2667670.0,2755909.0,2843684.0,2931427.0,3019196.0,3107119.0,3195044.0,3283099.0,3371111.0,3458913.0,3546961.0,3634751.0,3722849.0,3833674.0,3960963.0,4109877.0,4254825.0,4409248.0,4535786.0,4624018.0,4711457.0,4798579.0,4885674.0,4973108.0,5060590.0,5147947.0,5235230.0,5322609.0,5409874.0,5497070.0,5584291.0,5671365.0,5758709.0,5845481.0,5932519.0,6019877.0,6107217.0,6194764.0,6281975.0,6369985.0
4,936.0,8.0,raikkonen,18.0,131.0,Power Unit,94200.0,183287.0,272018.0,360273.0,448582.0,536750.0,625120.0,713375.0,801716.0,890166.0,978319.0,1066553.0,1154979.0,1243033.0,1331220.0,1419360.0,1507763.0,1596404.0,1685142.0,1773685.0,1861914.0,1953415.0,2060495.0,2147449.0,2235056.0,2322983.0,2411105.0,2499402.0,2587173.0,2675097.0,2763002.0,2850974.0,2938619.0,3027156.0,3115164.0,3203395.0,3291921.0,3380217.0,3468615.0,3557413.0,3647924.0,3739835.0,3853263.0,3983382.0,4115470.0,4260792.0,4409857.0,4536517.0,4627116.0,4716174.0,4805640.0,4898672.0,5043985.0,5133686.0,5226025.0,,,,,,,,,,,,,,
2,936.0,3.0,rosberg,8.0,1.0,Finished,95978.0,185477.0,274285.0,362694.0,450971.0,539185.0,627748.0,716207.0,804899.0,893787.0,982879.0,1071537.0,1160128.0,1249155.0,1337704.0,1425980.0,1514774.0,1603295.0,1691826.0,1783736.0,1890168.0,1978528.0,2066498.0,2155693.0,2244748.0,2332820.0,2421859.0,2510420.0,2598759.0,2686971.0,2775507.0,2863961.0,2952460.0,3041191.0,3130072.0,3218907.0,3308708.0,3397783.0,3485666.0,3573645.0,3662186.0,3757212.0,3886015.0,3998071.0,4120042.0,4265436.0,4410925.0,4537033.0,4625284.0,4712678.0,4799996.0,4886913.0,4973996.0,5061668.0,5149237.0,5236600.0,5324053.0,5411148.0,5498298.0,5585522.0,5672675.0,5759727.0,5846906.0,5974324.0,6082957.0,6170144.0,6255397.0,6340546.0,6428861.0
13,936.0,822.0,bottas,13.0,1.0,Finished,97282.0,187846.0,277642.0,367416.0,456993.0,546664.0,636458.0,726140.0,815887.0,905804.0,995477.0,1085277.0,1178872.0,1288602.0,1377224.0,1466135.0,1555170.0,1643996.0,1733070.0,1823789.0,1912905.0,2002000.0,2091040.0,2180097.0,2269242.0,2358569.0,2448189.0,2537509.0,2626436.0,2715709.0,2805017.0,2894129.0,2983056.0,3072367.0,3161577.0,3250862.0,3340677.0,3432595.0,3540314.0,3629419.0,3718710.0,3826832.0,3938556.0,4050199.0,4147856.0,4277102.0,4414873.0,4538305.0,4659661.0,4774746.0,4861804.0,4949678.0,5038092.0,5126902.0,5216098.0,5304331.0,5392289.0,5480457.0,5568505.0,5655938.0,5743621.0,5831603.0,5919887.0,6008704.0,6096750.0,6184743.0,6274012.0,6361866.0,6450213.0
14,936.0,826.0,kvyat,2.0,1.0,Finished,98483.0,190139.0,280243.0,370246.0,459833.0,549491.0,639094.0,730434.0,820404.0,910292.0,1000908.0,1090528.0,1183238.0,1291337.0,1380337.0,1470714.0,1560171.0,1649420.0,1738516.0,1828315.0,1917692.0,2007228.0,2096976.0,2186526.0,2276184.0,2366620.0,2456663.0,2546104.0,2635857.0,2725602.0,2814954.0,2904260.0,2996205.0,3102843.0,3189813.0,3277049.0,3364611.0,3452167.0,3542074.0,3630885.0,3719921.0,3828643.0,3939573.0,4068743.0,4167245.0,4279732.0,4416558.0,4538594.0,4629771.0,4717680.0,4805769.0,4892593.0,4979904.0,5066783.0,5153544.0,5240255.0,5326774.0,5414017.0,5501599.0,5588516.0,5675228.0,5762341.0,5849625.0,5938352.0,6025720.0,6112821.0,6200272.0,6287816.0,6375733.0
9,936.0,807.0,hulkenberg,20.0,33.0,Front wing,98769.0,188991.0,279120.0,369193.0,459114.0,548830.0,638340.0,728261.0,818234.0,909231.0,999091.0,1088778.0,1178558.0,1268157.0,1360414.0,1468376.0,1557411.0,1646591.0,1735445.0,1824863.0,1914354.0,2003631.0,2093519.0,2182435.0,2271626.0,2361097.0,2450681.0,2540413.0,2629695.0,2718742.0,2808055.0,2897240.0,2986310.0,3075706.0,3164911.0,3257006.0,3363640.0,3451714.0,3541335.0,3630428.0,3719574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,936.0,817.0,ricciardo,3.0,1.0,Finished,99193.0,190575.0,280908.0,370870.0,460395.0,550058.0,639655.0,729171.0,818600.0,907430.0,996318.0,1085751.0,1174160.0,1262785.0,1351502.0,1440181.0,1529107.0,1617911.0,1707122.0,1796331.0,1888523.0,1994951.0,2083296.0,2171674.0,2260770.0,2349177.0,2437596.0,2526328.0,2616020.0,2704716.0,2793640.0,2882068.0,2970176.0,3058620.0,3146901.0,3235488.0,3323875.0,3412304.0,3501044.0,3590537.0,3679390.0,3778927.0,3906547.0,4018543.0,4131062.0,4274952.0,4413694.0,4537746.0,4627975.0,4716527.0,4803488.0,4889996.0,4976619.0,5063413.0,5150163.0,5237421.0,5324534.0,5411823.0,5498838.0,5586143.0,5673258.0,5760395.0,5847411.0,5940012.0,6053306.0,6138621.0,6223637.0,6308458.0,6395069.0
11,936.0,815.0,perez,19.0,22.0,Suspension,99783.0,191678.0,282283.0,372642.0,462722.0,552799.0,643222.0,733282.0,823520.0,913572.0,1003581.0,1094276.0,1185620.0,1275244.0,1364635.0,1457144.0,1564231.0,1652869.0,1753377.0,1842630.0,1932614.0,2023462.0,2113365.0,2203276.0,2293470.0,2383414.0,2473796.0,2563691.0,2654208.0,2748671.0,2857197.0,2945988.0,3035665.0,3125679.0,3216608.0,3306721.0,3397023.0,3487982.0,3577849.0,3667674.0,3764964.0,3893017.0,4004076.0,4123084.0,4267374.0,4396873.0,4486221.0,4578300.0,4667758.0,4756403.0,4844902.0,4933869.0,5030142.0,,,,,,,,,,,,,,,,
5,936.0,13.0,massa,12.0,1.0,Finished,100775.0,192632.0,283366.0,373678.0,463956.0,554106.0,644250.0,734379.0,825010.0,916146.0,1006318.0,1096720.0,1187144.0,1280185.0,1395714.0,1486180.0,1576405.0,1666325.0,1756291.0,1846465.0,1936152.0,2026455.0,2116565.0,2206447.0,2296692.0,2387256.0,2479007.0,2570715.0,2664076.0,2771316.0,2860073.0,2948403.0,3037537.0,3126664.0,3217237.0,3307358.0,3398837.0,3488519.0,3578462.0,3668279.0,3766917.0,3876578.0,3988434.0,4116312.0,4261860.0,4382107.0,4473257.0,4563791.0,4653698.0,4743686.0,4832810.0,4922342.0,5012559.0,5106116.0,5212311.0,5300028.0,5387300.0,5474530.0,5561394.0,5648683.0,5735903.0,5822928.0,5910471.0,5998378.0,6088413.0,6177026.0,6265259.0,6354407.0,6444263.0
1,936.0,1.0,hamilton,6.0,1.0,Finished,101635.0,192980.0,283841.0,374042.0,464405.0,554506.0,644903.0,735578.0,825329.0,914039.0,1004005.0,1094491.0,1183050.0,1271191.0,1359306.0,1447001.0,1534863.0,1622824.0,1713779.0,1820949.0,1907962.0,1995597.0,2084045.0,2173275.0,2261722.0,2349985.0,2438306.0,2526718.0,2614168.0,2701200.0,2788503.0,2875450.0,2962251.0,3049850.0,3137825.0,3225901.0,3313761.0,3403110.0,3491681.0,3580353.0,3669431.0,3768411.0,3897436.0,4007142.0,4124930.0,4268745.0,4412599.0,4537568.0,4632656.0,4722746.0,4815160.0,4926868.0,5013776.0,5107261.0,5206662.0,5292533.0,5378629.0,5465124.0,5553236.0,5641729.0,5727741.0,5814679.0,5900518.0,5986696.0,6073945.0,6162608.0,6249792.0,6335519.0,6422010.0
