,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,927,1,hamilton,131,2,1,Finished,111297,217802,324798,456368.0,618286.0,764828.0,873113.0,981112.0,1089188.0,1196034.0,1302411.0,1408763.0,1515111.0,1621273.0,1727768.0,1834492.0,1940850.0,2047559.0,2154587.0,2261348.0,2368202.0,2474995.0,2582493.0,2694630.0,2819170.0,2923187.0,3027480.0,3131456.0,3235925.0,3340126.0,3444446.0,3548744.0,3653045.0,3757532.0,3863077.0,3968417.0,4074029.0,4183351.0,4306588.0,4409749.0,4514314.0,4617764.0,4721231.0,4824447.0,4927572.0,5031433.0,5134818.0,5238716.0,5342514.0,5446185.0,5550126.0,5654311.0,5758665.0,5863201.0,5968253.0,6074362.0
6,927,20,vettel,6,1,1,Finished,112002,218832,325627,455511.0,604838.0,761196.0,867233.0,973449.0,1079775.0,1186039.0,1292509.0,1398719.0,1505396.0,1612045.0,1718755.0,1825701.0,1936748.0,2060271.0,2164723.0,2269619.0,2375325.0,2480050.0,2585033.0,2689997.0,2794949.0,2900007.0,3005294.0,3110630.0,3215663.0,3321009.0,3426351.0,3531937.0,3637393.0,3742814.0,3848588.0,3954351.0,4064142.0,4188284.0,4292016.0,4396028.0,4500117.0,4603807.0,4707621.0,4811849.0,4916074.0,5019722.0,5123577.0,5227540.0,5331603.0,5435909.0,5540056.0,5644205.0,5748745.0,5853444.0,5958159.0,6065793.0
1,927,3,rosberg,131,3,1,Finished,112940,220120,327134,460124.0,625919.0,766798.0,875659.0,983100.0,1090624.0,1198544.0,1307274.0,1415767.0,1523848.0,1630329.0,1736586.0,1842844.0,1948954.0,2055653.0,2162032.0,2268600.0,2375710.0,2482788.0,2590083.0,2697654.0,2805312.0,2916637.0,3040727.0,3145382.0,3249447.0,3353888.0,3458143.0,3562208.0,3666686.0,3771290.0,3875799.0,3980296.0,4084849.0,4190413.0,4295631.0,4400872.0,4509711.0,4630752.0,4732814.0,4835366.0,4938565.0,5042155.0,5145237.0,5247941.0,5350591.0,5453498.0,5557849.0,5661208.0,5765131.0,5869097.0,5973205.0,6078103.0
11,927,817,ricciardo,9,10,11,+1 Lap,114494,221910,329695,462083.0,623646.0,765807.0,874054.0,981947.0,1090007.0,1198077.0,1306842.0,1416585.0,1526155.0,1636507.0,1746134.0,1855142.0,1965573.0,2080107.0,2207455.0,2313717.0,2420480.0,2527133.0,2635111.0,2743589.0,2852045.0,2962333.0,3070159.0,3176959.0,3284067.0,3391684.0,3498837.0,3606013.0,3713799.0,3824996.0,3951160.0,4056531.0,4162035.0,4267392.0,4372837.0,4478216.0,4584413.0,4689725.0,4795155.0,4900699.0,5006434.0,5112270.0,5218218.0,5324662.0,5430142.0,5535710.0,5641499.0,5751157.0,5858481.0,5965598.0,6076857.0,
4,927,13,massa,3,6,1,Finished,115743,223890,332048,465228.0,624827.0,766545.0,875111.0,982491.0,1090742.0,1199220.0,1307843.0,1417122.0,1526377.0,1635386.0,1744316.0,1851656.0,1958741.0,2066394.0,2174089.0,2281759.0,2389873.0,2497771.0,2605849.0,2718488.0,2844249.0,2950193.0,3056498.0,3163176.0,3268906.0,3374946.0,3480537.0,3586339.0,3692166.0,3798217.0,3903829.0,4009305.0,4114945.0,4223893.0,4350371.0,4454361.0,4558823.0,4663319.0,4767841.0,4872357.0,4976920.0,5081391.0,5186347.0,5291282.0,5396062.0,5500707.0,5606002.0,5711452.0,5817033.0,5923051.0,6031645.0,6139379.0
13,927,826,kvyat,9,9,11,+1 Lap,116397,224893,332969,466712.0,630374.0,767965.0,876503.0,985220.0,1093450.0,1202417.0,1310716.0,1419015.0,1527802.0,1637857.0,1747416.0,1856448.0,1965884.0,2074466.0,2183529.0,2293140.0,2405350.0,2531486.0,2637233.0,2743869.0,2852305.0,2966037.0,3072631.0,3180362.0,3288317.0,3394894.0,3501910.0,3608811.0,3715476.0,3822338.0,3929448.0,4036572.0,4143698.0,4251078.0,4362215.0,4488534.0,4593048.0,4697883.0,4802493.0,4907307.0,5011947.0,5116704.0,5222141.0,5327185.0,5431932.0,5537056.0,5642185.0,5749914.0,5856028.0,5962210.0,6068929.0,
8,927,807,hulkenberg,10,14,11,+1 Lap,117600,226395,335248,467439.0,605397.0,762458.0,870969.0,979331.0,1087571.0,1196073.0,1305469.0,1414340.0,1523731.0,1634067.0,1747181.0,1876180.0,1985015.0,2093681.0,2201972.0,2310073.0,2418497.0,2526322.0,2633992.0,2743141.0,2851773.0,2961815.0,3070026.0,3179634.0,3288245.0,3399211.0,3511716.0,3638904.0,3745438.0,3852411.0,3958648.0,4065073.0,4171371.0,4278062.0,4384349.0,4491128.0,4597570.0,4704185.0,4811280.0,4923529.0,5059082.0,5163904.0,5269134.0,5374221.0,5479148.0,5584592.0,5690107.0,5795019.0,5900577.0,6007088.0,6114692.0,
14,927,828,ericsson,15,19,20,Spun off,118046,226861,335621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,927,830,max_verstappen,5,7,1,Finished,118773,228057,337242,471739.0,633839.0,767849.0,876120.0,984637.0,1092423.0,1200106.0,1309002.0,1418518.0,1527385.0,1637116.0,1746604.0,1855649.0,1964883.0,2073315.0,2181872.0,2294245.0,2420934.0,2527429.0,2634222.0,2740671.0,2847163.0,2953161.0,3059140.0,3165195.0,3271807.0,3377927.0,3484115.0,3590602.0,3696864.0,3805958.0,3913046.0,4020278.0,4127830.0,4235763.0,4343320.0,4457472.0,4581897.0,4686476.0,4791547.0,4896949.0,5002081.0,5106801.0,5211640.0,5317260.0,5422749.0,5527842.0,5633207.0,5738602.0,5844629.0,5950451.0,6057244.0,6163555.0
7,927,154,grosjean,208,11,11,+1 Lap,119136,227999,336334,468048.0,606960.0,762951.0,871669.0,979962.0,1088078.0,1197016.0,1306314.0,1414807.0,1524783.0,1634781.0,1749667.0,1876192.0,1983025.0,2089380.0,2195845.0,2303223.0,2409934.0,2515815.0,2622660.0,2729706.0,2836199.0,2946810.0,3073137.0,3180421.0,3289621.0,3404873.0,3512151.0,3619027.0,3726184.0,3838156.0,3964701.0,4069513.0,4174492.0,4279907.0,4385967.0,4492301.0,4598464.0,4705104.0,4811439.0,4918273.0,5024954.0,5131467.0,5237837.0,5345038.0,5451160.0,5558591.0,5665678.0,5772319.0,5879275.0,5986889.0,6094538.0,
