,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,943,3,rosberg,131,1,1,Finished,87651,172846.0,258138.0,343267.0,427636.0,512235.0,596584.0,681085.0,765920.0,850673.0,935343.0,1019355.0,1103353.0,1186987.0,1270607.0,1354155.0,1437663.0,1521497.0,1604725.0,1687886.0,1771408.0,1854673.0,1938169.0,2021838.0,2105154.0,2191614.0,2293363.0,2376914.0,2460336.0,2543208.0,2626100.0,2708854.0,2791098.0,2873849.0,2956629.0,3039267.0,3121854.0,3204470.0,3287191.0,3369598.0,3451946.0,3534279.0,3616432.0,3698364.0,3780377.0,3865508.0,3966198.0,4047871.0,4129238.0,4210859.0,4292103.0,4382379.0,4521186.0,4645466.0,4772872.0,4895790.0,5017245.0,5099901.0,5182068.0,5263461.0,5344512.0,5425563.0,5506846.0,5587926.0,5669035.0,5750104.0,5830625.0,5911816.0,5992764.0,6073785.0,6155038.0
0,943,1,hamilton,131,2,1,Finished,88284,174152.0,259365.0,344254.0,428937.0,513250.0,597968.0,683051.0,767792.0,852171.0,936427.0,1020624.0,1104952.0,1188880.0,1272379.0,1356190.0,1439806.0,1523985.0,1607539.0,1690547.0,1774051.0,1857317.0,1940526.0,2023605.0,2106987.0,2190259.0,2273765.0,2362043.0,2463901.0,2546342.0,2628442.0,2711019.0,2793669.0,2876222.0,2959059.0,3042172.0,3124803.0,3207474.0,3289915.0,3372266.0,3454763.0,3536757.0,3619188.0,3701375.0,3783315.0,3865309.0,3947561.0,4032905.0,4133516.0,4214369.0,4295184.0,4387415.0,4523188.0,4648514.0,4774170.0,4896424.0,5017721.0,5101470.0,5183385.0,5264764.0,5345622.0,5426722.0,5507880.0,5589630.0,5670532.0,5751304.0,5832027.0,5913077.0,5994431.0,6075397.0,6156992.0
13,943,826,kvyat,9,4,1,Finished,89420,175892.0,261533.0,346791.0,432117.0,517330.0,602825.0,687959.0,772837.0,857712.0,942373.0,1026983.0,1111557.0,1195922.0,1281149.0,1365744.0,1449916.0,1534325.0,1618955.0,1703701.0,1791661.0,1894952.0,1978871.0,2062298.0,2145976.0,2229533.0,2313616.0,2397328.0,2480829.0,2564641.0,2647971.0,2731412.0,2814779.0,2897998.0,2980863.0,3063959.0,3147258.0,3231053.0,3314536.0,3397573.0,3480765.0,3563282.0,3646785.0,3729323.0,3812042.0,3894994.0,3977774.0,4060509.0,4142952.0,4225522.0,4308019.0,4407474.0,4533801.0,4650951.0,4774389.0,4897633.0,5018180.0,5102914.0,5186087.0,5268426.0,5350632.0,5432635.0,5515691.0,5597916.0,5679886.0,5761765.0,5843449.0,5925404.0,6006953.0,6088903.0,6171610.0
11,943,817,ricciardo,9,5,1,Finished,91125,177191.0,263329.0,349134.0,434893.0,520695.0,606104.0,691664.0,777617.0,863190.0,948433.0,1033424.0,1118217.0,1202718.0,1287132.0,1371799.0,1456031.0,1540273.0,1624633.0,1709384.0,1794322.0,1879171.0,1964150.0,2051942.0,2155453.0,2239359.0,2322702.0,2406008.0,2489405.0,2572710.0,2655865.0,2738952.0,2821943.0,2905113.0,2988214.0,3071303.0,3154827.0,3238072.0,3321898.0,3406129.0,3490072.0,3573807.0,3657022.0,3739920.0,3822717.0,3905742.0,3988925.0,4071656.0,4154645.0,4238436.0,4321095.0,4423466.0,4548913.0,4653012.0,4775774.0,4899356.0,5018802.0,5103392.0,5186523.0,5269200.0,5351299.0,5433520.0,5516337.0,5599106.0,5681669.0,5764041.0,5846375.0,5928526.0,6010332.0,6091957.0,6174720.0
12,943,822,bottas,3,3,1,Finished,92578,178641.0,264083.0,350143.0,435980.0,521768.0,607561.0,696257.0,800817.0,886467.0,971234.0,1055772.0,1140356.0,1224697.0,1308571.0,1392629.0,1476545.0,1560762.0,1645210.0,1729185.0,1813136.0,1899114.0,1983336.0,2067052.0,2150556.0,2234374.0,2317740.0,2401054.0,2484441.0,2567822.0,2651114.0,2734346.0,2817338.0,2900401.0,2983358.0,3066448.0,3149586.0,3233052.0,3316459.0,3399431.0,3482438.0,3565474.0,3648905.0,3731917.0,3814862.0,3897490.0,3980271.0,4062910.0,4145621.0,4228450.0,4311297.0,4409287.0,4525125.0,4651908.0,4775405.0,4898516.0,5018486.0,5102275.0,5185630.0,5267781.0,5349570.0,5431399.0,5513202.0,5595140.0,5676845.0,5758523.0,5840355.0,5921940.0,6003603.0,6086542.0,6169630.0
16,943,830,max_verstappen,5,9,1,Finished,93337,179852.0,265699.0,351451.0,437205.0,523034.0,608830.0,694388.0,779926.0,865230.0,950543.0,1035839.0,1120959.0,1206183.0,1291226.0,1376068.0,1461111.0,1546190.0,1631368.0,1716479.0,1801446.0,1886392.0,1971773.0,2056982.0,2145106.0,2249832.0,2333552.0,2417564.0,2501625.0,2585684.0,2669509.0,2753400.0,2837258.0,2921190.0,3004751.0,3088359.0,3172077.0,3255623.0,3339201.0,3422860.0,3506447.0,3589764.0,3672968.0,3756137.0,3839790.0,3923010.0,4006637.0,4089892.0,4175096.0,4260137.0,4343633.0,4452840.0,4578898.0,4668990.0,4781505.0,4902923.0,5021233.0,5106391.0,5190364.0,5274234.0,5357680.0,5440943.0,5524333.0,5608168.0,5691969.0,5775369.0,5858765.0,5941914.0,6024905.0,6107508.0,6190267.0
4,943,13,massa,3,6,1,Finished,93954,180507.0,266458.0,352223.0,438180.0,524342.0,610434.0,696647.0,785146.0,889780.0,974508.0,1059382.0,1143877.0,1228016.0,1312104.0,1396137.0,1480090.0,1564231.0,1648385.0,1732264.0,1815988.0,1900657.0,1984673.0,2068594.0,2152328.0,2236102.0,2319876.0,2403372.0,2486982.0,2570549.0,2653901.0,2737249.0,2820356.0,2903643.0,2986791.0,3069962.0,3152994.0,3236699.0,3320052.0,3403254.0,3486301.0,3569631.0,3653021.0,3736985.0,3820241.0,3904048.0,3987424.0,4070856.0,4154264.0,4238196.0,4323526.0,4426361.0,4553442.0,4654173.0,4776886.0,4900091.0,5019896.0,5104506.0,5187796.0,5270533.0,5352906.0,5435310.0,5517918.0,5600617.0,5683151.0,5765852.0,5848049.0,5930198.0,6012504.0,6094522.0,6176531.0
10,943,815,perez,10,8,1,Finished,94892,181569.0,267778.0,354022.0,439975.0,525707.0,611745.0,698129.0,784521.0,870924.0,957397.0,1043254.0,1129008.0,1214058.0,1299217.0,1384373.0,1469596.0,1558196.0,1663310.0,1747170.0,1831471.0,1915559.0,1999626.0,2083657.0,2167896.0,2252344.0,2336621.0,2420893.0,2504717.0,2588524.0,2672321.0,2756560.0,2840951.0,2924618.0,3008174.0,3091747.0,3175249.0,3258627.0,3341773.0,3425064.0,3508176.0,3591331.0,3674676.0,3758001.0,3841211.0,3924586.0,4007743.0,4091213.0,4174744.0,4258719.0,4341476.0,4447904.0,4558473.0,4656245.0,4780505.0,4901954.0,5020894.0,5105974.0,5190092.0,5273708.0,5356726.0,5439656.0,5522724.0,5605902.0,5689278.0,5772597.0,5856196.0,5939671.0,6022939.0,6106172.0,6189381.0
8,943,807,hulkenberg,10,7,1,Finished,95220,182137.0,268624.0,355529.0,441444.0,527438.0,614320.0,700734.0,790049.0,894652.0,978941.0,1064250.0,1148749.0,1233159.0,1317514.0,1401668.0,1485800.0,1570043.0,1654168.0,1737943.0,1821655.0,1905667.0,1989673.0,2073318.0,2157084.0,2241019.0,2325293.0,2408809.0,2492660.0,2576246.0,2659455.0,2742759.0,2826057.0,2909378.0,2992627.0,3075932.0,3159455.0,3242857.0,3326635.0,3409957.0,3493425.0,3576385.0,3659652.0,3743180.0,3826364.0,3909383.0,3992233.0,4075688.0,4158736.0,4241692.0,4324943.0,4427935.0,4555132.0,4655272.0,4778957.0,4900949.0,5020181.0,5105057.0,5188637.0,5271572.0,5354333.0,5436879.0,5519315.0,5601779.0,5684653.0,5767230.0,5849995.0,5932483.0,6014874.0,6097391.0,6180898.0
18,943,832,sainz,5,13,1,Finished,95795,182612.0,268932.0,354626.0,440541.0,526335.0,613297.0,699198.0,785359.0,871517.0,957869.0,1043978.0,1133207.0,1237681.0,1323145.0,1408262.0,1493885.0,1577791.0,1662145.0,1746353.0,1830584.0,1914534.0,1998623.0,2082746.0,2166880.0,2251204.0,2335328.0,2419531.0,2503508.0,2587561.0,2671441.0,2755813.0,2841398.0,2925705.0,3009737.0,3093898.0,3177414.0,3261284.0,3345198.0,3428679.0,3512173.0,3595685.0,3683509.0,3786937.0,3869753.0,3951925.0,4034718.0,4117191.0,4199805.0,4282843.0,4371238.0,4521874.0,4645978.0,4750069.0,4833677.0,4917687.0,5022987.0,5109740.0,5193757.0,5277565.0,5364400.0,5448302.0,5532567.0,5616955.0,5701184.0,5785084.0,5868845.0,5952649.0,6036425.0,6120179.0,6203810.0
