,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
2,941.0,3.0,rosberg,18.0,37.0,Throttle,137102.0,297716.0,451743.0,555158.0,658568.0,761701.0,893363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,941.0,1.0,hamilton,1.0,1.0,Finished,138257.0,299073.0,452495.0,556100.0,659643.0,762531.0,865175.0,968620.0,1071531.0,1173477.0,1275614.0,1391137.0,1563296.0,1730276.0,1888848.0,2040040.0,2141749.0,2243248.0,2344999.0,2446819.0,2548155.0,2649741.0,2751454.0,2852898.0,2954878.0,3056347.0,3157863.0,3259224.0,3360687.0,3462059.0,3563716.0,3670681.0,3795409.0,3897407.0,3999456.0,4101553.0,4202330.0,4303025.0,4405241.0,4506292.0,4607018.0,4708118.0,4810025.0,4910598.0,5011371.0,5112064.0,5214269.0,5316409.0,5418585.0,5521324.0,5624090.0,5726804.0,5831024.0
4,941.0,8.0,raikkonen,8.0,1.0,Finished,139644.0,300093.0,453456.0,558756.0,662749.0,766551.0,870677.0,974255.0,1077765.0,1180805.0,1283854.0,1399964.0,1566017.0,1732450.0,1890978.0,2041893.0,2148041.0,2250799.0,2353441.0,2455967.0,2558221.0,2660652.0,2763226.0,2866167.0,2968602.0,3070987.0,3173641.0,3276066.0,3378574.0,3481356.0,3588508.0,3712809.0,3815504.0,3918111.0,4020758.0,4125116.0,4227429.0,4329532.0,4431223.0,4533454.0,4634974.0,4736945.0,4839349.0,4941416.0,5042934.0,5146205.0,5248923.0,5349217.0,5450232.0,5551391.0,5651983.0,5754070.0,5873382.0
12,941.0,822.0,bottas,12.0,4.0,Collision,140480.0,301356.0,453789.0,557596.0,661239.0,764479.0,868193.0,971098.0,1073836.0,1176598.0,1279263.0,1392817.0,1564373.0,1731000.0,1889469.0,2040819.0,2143800.0,2245969.0,2348598.0,2451299.0,2553649.0,2656084.0,2758993.0,2861838.0,2965050.0,3073169.0,3197589.0,3299956.0,3402897.0,3505717.0,3608726.0,3712136.0,3814928.0,3917566.0,4020132.0,4124653.0,4226740.0,4328613.0,4430532.0,4532705.0,4634368.0,4736201.0,4838163.0,4940157.0,5041291.0,5142435.0,5244082.0,5345938.0,5447830.0,5549807.0,5651466.0,5753604.0,
7,941.0,20.0,vettel,2.0,1.0,Finished,141449.0,301991.0,454135.0,559234.0,663194.0,767156.0,871255.0,974905.0,1078440.0,1181701.0,1284869.0,1401092.0,1566874.0,1733493.0,1891646.0,2042216.0,2146648.0,2249289.0,2351641.0,2453830.0,2556029.0,2658128.0,2760565.0,2863137.0,2965852.0,3069001.0,3171327.0,3273610.0,3376120.0,3483738.0,3605587.0,3707096.0,3808733.0,3910669.0,4012375.0,4113755.0,4215303.0,4316740.0,4417853.0,4518706.0,4619774.0,4720306.0,4821460.0,4922383.0,5023193.0,5124083.0,5225932.0,5327446.0,5429464.0,5532381.0,5632452.0,5734308.0,5836977.0
10,941.0,815.0,perez,3.0,1.0,Finished,143690.0,303226.0,454821.0,560292.0,665187.0,769396.0,873857.0,978206.0,1082186.0,1186652.0,1291375.0,1412982.0,1572080.0,1738308.0,1895897.0,2044166.0,2151697.0,2256131.0,2360326.0,2464219.0,2567836.0,2671801.0,2775531.0,2879614.0,2983656.0,3087138.0,3190691.0,3294602.0,3397678.0,3501005.0,3604305.0,3708594.0,3812065.0,3915078.0,4017951.0,4120632.0,4223176.0,4325333.0,4427195.0,4529125.0,4631189.0,4733096.0,4835249.0,4937273.0,5039422.0,5141332.0,5243235.0,5345007.0,5446978.0,5548903.0,5650787.0,5755446.0,5859942.0
13,941.0,826.0,kvyat,5.0,1.0,Finished,145599.0,304453.0,455229.0,561099.0,666405.0,771244.0,875658.0,980453.0,1084896.0,1189297.0,1293646.0,1414785.0,1567769.0,1734732.0,1892533.0,2042668.0,2149516.0,2253067.0,2357217.0,2460691.0,2564061.0,2667319.0,2770453.0,2874326.0,2977140.0,3080053.0,3182930.0,3286025.0,3388770.0,3491743.0,3594779.0,3699162.0,3807819.0,3931667.0,4033711.0,4136268.0,4238479.0,4341674.0,4445382.0,4547797.0,4649772.0,4751463.0,4855771.0,4958293.0,5061592.0,5164030.0,5266053.0,5368182.0,5470639.0,5573391.0,5674979.0,5776351.0,5878590.0
8,941.0,154.0,grosjean,17.0,3.0,Accident,147768.0,315885.0,460582.0,567416.0,673645.0,779093.0,884359.0,990079.0,1095522.0,1201026.0,1306682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,941.0,817.0,ricciardo,15.0,22.0,Suspension,147788.0,304962.0,455649.0,561627.0,666925.0,772119.0,876640.0,981586.0,1085921.0,1190091.0,1294399.0,1420964.0,1574272.0,1739039.0,1896686.0,2044335.0,2153171.0,2258251.0,2362372.0,2466343.0,2570288.0,2673999.0,2778358.0,2882496.0,2986199.0,3090039.0,3194193.0,3297931.0,3401270.0,3504725.0,3607925.0,3711104.0,3814003.0,3916667.0,4019410.0,4122694.0,4225034.0,4327144.0,4429335.0,4531256.0,4633252.0,4735292.0,4837180.0,4939591.0,5042407.0,5145245.0,5248427.0,,,,,,
6,941.0,18.0,button,9.0,1.0,Finished,150176.0,307295.0,456190.0,563210.0,669071.0,774509.0,880914.0,986475.0,1093285.0,1199099.0,1305772.0,1433422.0,1587608.0,1742853.0,1901985.0,2045615.0,2154214.0,2260517.0,2365390.0,2470504.0,2575839.0,2680761.0,2786132.0,2891111.0,2995620.0,3100038.0,3204267.0,3308519.0,3412535.0,3516841.0,3621242.0,3725165.0,3828821.0,3933386.0,4038329.0,4142506.0,4246805.0,4350799.0,4455505.0,4559565.0,4663516.0,4767111.0,4872301.0,4975924.0,5079675.0,5183844.0,5288025.0,5392244.0,5496031.0,5599928.0,5703736.0,5807423.0,5910491.0
16,941.0,831.0,nasr,6.0,1.0,Finished,151330.0,308101.0,456629.0,562479.0,668108.0,773503.0,879060.0,984178.0,1089506.0,1194331.0,1299239.0,1419626.0,1568638.0,1735886.0,1893180.0,2043049.0,2150325.0,2254314.0,2358680.0,2462628.0,2566036.0,2669820.0,2773087.0,2876416.0,2979987.0,3083194.0,3186282.0,3288829.0,3393307.0,3496572.0,3599450.0,3702819.0,3806149.0,3913981.0,4040064.0,4143973.0,4247834.0,4351411.0,4453515.0,4556073.0,4658259.0,4759908.0,4861745.0,4963343.0,5066365.0,5169857.0,5272223.0,5375099.0,5477907.0,5580732.0,5683009.0,5784516.0,5887532.0
5,941.0,13.0,massa,4.0,1.0,Finished,152826.0,309185.0,457243.0,564109.0,669808.0,775312.0,880043.0,984764.0,1090246.0,1195110.0,1300180.0,1422419.0,1569873.0,1736809.0,1894138.0,2043385.0,2151136.0,2255418.0,2359683.0,2463414.0,2567109.0,2671114.0,2774708.0,2878412.0,2981905.0,3085349.0,3188733.0,3292166.0,3395833.0,3503807.0,3627572.0,3729668.0,3831795.0,3935322.0,4037298.0,4139038.0,4240416.0,4342442.0,4446597.0,4548655.0,4650689.0,4752634.0,4854763.0,4955759.0,5057422.0,5158319.0,5260513.0,5361394.0,5462450.0,5563835.0,5664832.0,5766041.0,5869855.0
9,941.0,813.0,maldonado,7.0,1.0,Finished,153698.0,310517.0,457773.0,564858.0,670833.0,776100.0,881881.0,987422.0,1092658.0,1197310.0,1302199.0,1424091.0,1570595.0,1737506.0,1894676.0,2043819.0,2152321.0,2257056.0,2361232.0,2465790.0,2569554.0,2673433.0,2777488.0,2881631.0,2985218.0,3089143.0,3193084.0,3296602.0,3400040.0,3508295.0,3632009.0,3735174.0,3837940.0,3940783.0,4044053.0,4147122.0,4250312.0,4353689.0,4457600.0,4560654.0,4664388.0,4768089.0,4870684.0,4972836.0,5074720.0,5177223.0,5279561.0,5381402.0,5483025.0,5585636.0,5687156.0,5789560.0,5892112.0
3,941.0,4.0,alonso,11.0,1.0,Finished,154740.0,311836.0,458264.0,565857.0,671827.0,778511.0,885075.0,990893.0,1097058.0,1202779.0,1308288.0,1433619.0,1574313.0,1743428.0,1903557.0,2046893.0,2154593.0,2261276.0,2366313.0,2471482.0,2576660.0,2682676.0,2788107.0,2893159.0,2997761.0,3102642.0,3206934.0,3310759.0,3414679.0,3518917.0,3622879.0,3726758.0,3830745.0,3934573.0,4039375.0,4143550.0,4248955.0,4352873.0,4457001.0,4562321.0,4666329.0,4770627.0,4874236.0,4977696.0,5080961.0,5185209.0,5289866.0,5393832.0,5497912.0,5602497.0,5706194.0,5811400.0,5917234.0
18,941.0,833.0,merhi,13.0,11.0,+1 Lap,155826.0,313162.0,459434.0,569793.0,678135.0,786377.0,894344.0,1003231.0,1111804.0,1220001.0,1327922.0,1459772.0,1600485.0,1744202.0,1905536.0,2049191.0,2160161.0,2267955.0,2376145.0,2483290.0,2590358.0,2697601.0,2804480.0,2911112.0,3017826.0,3125968.0,3232882.0,3339865.0,3446414.0,3552841.0,3659469.0,3765796.0,3873972.0,3980242.0,4086964.0,4193070.0,4298868.0,4407018.0,4512955.0,4618798.0,4726379.0,4831935.0,4942319.0,5048153.0,5153675.0,5261336.0,5371545.0,5477325.0,5586338.0,5691387.0,5797913.0,5903688.0,
14,941.0,829.0,stevens,14.0,12.0,+2 Laps,156999.0,313770.0,459824.0,570478.0,679279.0,787594.0,896496.0,1005027.0,1112990.0,1221172.0,1329279.0,1461237.0,1598740.0,1746614.0,1906540.0,2050105.0,2165419.0,2294757.0,2402611.0,2510596.0,2618384.0,2725724.0,2833281.0,2940883.0,3048180.0,3155038.0,3263176.0,3369880.0,3476338.0,3583189.0,3689748.0,3799216.0,3905858.0,4014691.0,4123783.0,4233027.0,4339977.0,4449898.0,4558131.0,4669057.0,4775660.0,4882013.0,4988178.0,5094088.0,5200103.0,5306264.0,5412292.0,5517899.0,5626392.0,5731318.0,5838702.0,,
17,941.0,832.0,sainz,16.0,23.0,Brakes,158928.0,314864.0,460232.0,566382.0,672721.0,777955.0,882983.0,988665.0,1094053.0,1199816.0,1304651.0,1431857.0,1585893.0,1740902.0,1899259.0,2045045.0,2152900.0,2259099.0,2363615.0,2467892.0,2571974.0,2675841.0,2779830.0,2883729.0,2988083.0,3091763.0,3195219.0,3298883.0,3402200.0,3507047.0,3610370.0,3713809.0,3817437.0,3920413.0,4023312.0,4126724.0,4229910.0,4332741.0,4435573.0,4538512.0,4640851.0,4743128.0,4845716.0,4947974.0,5065618.0,,,,,,,,
15,941.0,830.0,max_verstappen,10.0,1.0,Finished,199317.0,363505.0,472527.0,578377.0,683594.0,789103.0,895053.0,1000320.0,1105566.0,1210325.0,1315058.0,1441459.0,1577038.0,1740054.0,1897897.0,2044797.0,2153793.0,2259872.0,2364754.0,2469780.0,2574230.0,2679220.0,2784979.0,2893973.0,3018778.0,3122452.0,3225364.0,3328122.0,3430761.0,3533492.0,3636585.0,3740275.0,3843453.0,3946268.0,4049152.0,4151987.0,4255041.0,4357948.0,4460880.0,4564037.0,4668025.0,4771390.0,4875421.0,4980017.0,5083916.0,5187775.0,5291872.0,5395912.0,5499899.0,5604032.0,5708962.0,5813584.0,5919448.0
