,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
7,939.0,20.0,vettel,1.0,1.0,Finished,112569.0,224192.0,336434.0,448526.0,560880.0,673544.0,786183.0,899315.0,1012044.0,1124680.0,1237391.0,1350360.0,1478461.0,1646683.0,1795830.0,1968563.0,2136202.0,2297894.0,2410159.0,2522622.0,2635036.0,2747770.0,2860362.0,2973329.0,3086272.0,3199465.0,3309985.0,3420889.0,3531688.0,3642604.0,3753245.0,3864120.0,3975644.0,4087231.0,4199024.0,4310923.0,4439540.0,4627374.0,4789554.0,4955905.0,5067378.0,5178888.0,5289951.0,5400738.0,5511471.0,5621823.0,5732009.0,5842313.0,5952633.0,6062904.0,6172979.0,6283298.0,6393367.0,6503634.0,6614027.0,6725016.0,6835955.0,6947008.0,7058281.0,7169559.0,7282118.0
12,939.0,817.0,ricciardo,2.0,1.0,Finished,115603.0,228509.0,341150.0,453808.0,566243.0,678817.0,791473.0,904308.0,1016754.0,1129053.0,1241560.0,1354040.0,1483758.0,1652984.0,1801978.0,1970328.0,2137304.0,2298566.0,2411045.0,2523522.0,2635915.0,2748412.0,2861280.0,2974244.0,3087125.0,3200334.0,3312858.0,3424418.0,3535764.0,3646625.0,3757482.0,3868448.0,3979843.0,4091474.0,4203060.0,4315008.0,4445603.0,4628169.0,4790433.0,4956923.0,5069619.0,5181435.0,5292546.0,5403698.0,5514289.0,5624847.0,5735151.0,5845451.0,5955569.0,6065827.0,6176001.0,6286042.0,6396282.0,6506780.0,6617474.0,6728353.0,6839767.0,6950399.0,7062223.0,7172973.0,7283596.0
4,939.0,8.0,raikkonen,3.0,1.0,Finished,116737.0,229582.0,342334.0,455032.0,567675.0,680152.0,793115.0,905817.0,1018567.0,1131287.0,1244048.0,1356972.0,1489429.0,1657073.0,1805447.0,1971281.0,2138367.0,2299328.0,2411824.0,2524293.0,2636864.0,2749226.0,2862050.0,2975249.0,3087963.0,3201229.0,3313934.0,3426062.0,3538011.0,3649485.0,3761116.0,3872591.0,3984749.0,4097153.0,4209436.0,4322336.0,4455771.0,4630453.0,4792153.0,4958753.0,5070885.0,5182623.0,5294165.0,5405416.0,5516464.0,5627463.0,5738425.0,5848766.0,5959566.0,6070134.0,6181078.0,6291935.0,6403091.0,6514159.0,6625429.0,6736592.0,6848338.0,6960185.0,7072060.0,7184658.0,7299272.0
14,939.0,826.0,kvyat,6.0,1.0,Finished,117605.0,230871.0,343691.0,456560.0,569682.0,682228.0,795374.0,908375.0,1021545.0,1134801.0,1248108.0,1368440.0,1523656.0,1673398.0,1822479.0,1975784.0,2141779.0,2301186.0,2414961.0,2527864.0,2641104.0,2754257.0,2867275.0,2980146.0,3093187.0,3206837.0,3321047.0,3433882.0,3546909.0,3659509.0,3772452.0,3885375.0,4005220.0,4140516.0,4252149.0,4363258.0,4502360.0,4652638.0,4796143.0,4961352.0,5074707.0,5186729.0,5298386.0,5410465.0,5522164.0,5634131.0,5745678.0,5857810.0,5969295.0,6080812.0,6192786.0,6305196.0,6416997.0,6529496.0,6642287.0,6754191.0,6866578.0,6979481.0,7092186.0,7204776.0,7317626.0
1,939.0,1.0,hamilton,18.0,37.0,Throttle,118378.0,232638.0,346042.0,459310.0,571899.0,684536.0,797667.0,910880.0,1023996.0,1137265.0,1250314.0,1363249.0,1495432.0,1661462.0,1811277.0,1973244.0,2139200.0,2300074.0,2413414.0,2526099.0,2639050.0,2751785.0,2864486.0,2976991.0,3089795.0,3204967.0,3328547.0,3453516.0,3578143.0,3703183.0,3829449.0,3968650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,939.0,3.0,rosberg,4.0,1.0,Finished,119448.0,233375.0,347512.0,461050.0,574583.0,687920.0,801520.0,914912.0,1028082.0,1141581.0,1255143.0,1368614.0,1503733.0,1671224.0,1821233.0,1974659.0,2140790.0,2300729.0,2414483.0,2527214.0,2640512.0,2753629.0,2866650.0,2979457.0,3092469.0,3205828.0,3319772.0,3431987.0,3544447.0,3657085.0,3769930.0,3882283.0,3995092.0,4107761.0,4220641.0,4333623.0,4469298.0,4635840.0,4793271.0,4959259.0,5072033.0,5183793.0,5295243.0,5406662.0,5518206.0,5629698.0,5741453.0,5853002.0,5964257.0,6075191.0,6186367.0,6297520.0,6408860.0,6520652.0,6632474.0,6744689.0,6856938.0,6968863.0,7081293.0,7194178.0,7306838.0
13,939.0,822.0,bottas,5.0,1.0,Finished,120008.0,234047.0,348170.0,462017.0,575722.0,689480.0,803172.0,917057.0,1030589.0,1144358.0,1258057.0,1371851.0,1508250.0,1673888.0,1823607.0,1976522.0,2142555.0,2301703.0,2416033.0,2529042.0,2642050.0,2755267.0,2868541.0,2981589.0,3094853.0,3208178.0,3322271.0,3435504.0,3548438.0,3661581.0,3774672.0,3888271.0,4001725.0,4114622.0,4227787.0,4341398.0,4480414.0,4646472.0,4795052.0,4960765.0,5073712.0,5185717.0,5297289.0,5408868.0,5520614.0,5632094.0,5743857.0,5855519.0,5966861.0,6078596.0,6190613.0,6302895.0,6414926.0,6527117.0,6639860.0,6752328.0,6864307.0,6976308.0,7088840.0,7201784.0,7316322.0
5,939.0,13.0,massa,19.0,6.0,Gearbox,121049.0,235255.0,349264.0,463502.0,577362.0,691186.0,805172.0,919090.0,1032835.0,1146585.0,1260607.0,1381844.0,1547215.0,1702952.0,1868526.0,2018984.0,2151182.0,2308917.0,2422583.0,2536665.0,2650550.0,2765053.0,2879391.0,2993541.0,3107859.0,3222040.0,3336260.0,3458563.0,3587131.0,3753817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,939.0,807.0,hulkenberg,20.0,4.0,Collision,121474.0,236100.0,350215.0,464375.0,578478.0,692346.0,806374.0,920780.0,1034904.0,1149004.0,1270170.0,1403428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,939.0,815.0,perez,7.0,1.0,Finished,122185.0,236990.0,351187.0,465307.0,579295.0,693240.0,807348.0,922010.0,1036592.0,1151177.0,1265220.0,1379297.0,1518601.0,1685054.0,1831544.0,1980137.0,2143117.0,2302584.0,2416986.0,2530447.0,2643724.0,2756787.0,2870252.0,2983934.0,3097673.0,3211219.0,3326259.0,3439953.0,3553730.0,3667268.0,3780808.0,3894524.0,4008541.0,4129432.0,4262477.0,4376325.0,4521387.0,4669853.0,4797287.0,4961590.0,5075962.0,5188017.0,5300168.0,5412138.0,5524120.0,5636642.0,5748885.0,5861129.0,5973440.0,6085712.0,6198270.0,6311277.0,6424070.0,6537186.0,6650655.0,6764033.0,6877328.0,6990823.0,7104589.0,7218653.0,7332954.0
3,939.0,4.0,alonso,17.0,6.0,Gearbox,123081.0,237993.0,352603.0,466838.0,581151.0,695185.0,809299.0,923401.0,1037756.0,1159475.0,1299548.0,1414152.0,1560456.0,1709540.0,1859064.0,2007622.0,2147854.0,2304364.0,2419817.0,2534384.0,2648784.0,2763145.0,2876984.0,2991577.0,3105417.0,3219314.0,3332639.0,3446509.0,3560614.0,3674498.0,3788611.0,3903372.0,4029268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
