,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,942.0,1.0,hamilton,1.0,1.0,Finished,118693.0,235970.0,353374.0,471457.0,596638.0,734497.0,871513.0,996306.0,1113382.0,1231194.0,1349474.0,1468698.0,1585967.0,1703057.0,1819625.0,1936074.0,2052039.0,2171020.0,2307191.0,2420396.0,2529983.0,2637120.0,2742250.0,2847065.0,2952335.0,3056243.0,3170510.0,3316379.0,3472033.0,3631364.0,3788553.0,3941341.0,4047279.0,4150004.0,4252663.0,4355774.0,4459188.0,4594020.0,4732116.0,4836066.0,4939027.0,5041606.0,5166352.0,5331748.0,5483302.0,5635225.0,5737078.0,5837816.0,5938876.0,6040099.0,6141121.0,6242162.0,6343322.0,6445458.0,6548397.0,6652703.0
14,942.0,826.0,kvyat,13.0,3.0,Accident,120099.0,237237.0,354105.0,471808.0,598054.0,735660.0,872408.0,997664.0,1114845.0,1232768.0,1351065.0,1469726.0,1588559.0,1705507.0,1821502.0,1937497.0,2053291.0,2170414.0,2285532.0,2419517.0,2529171.0,2638102.0,2744599.0,2851980.0,2958033.0,3064141.0,3179885.0,3319957.0,3474532.0,3633655.0,3791119.0,3942107.0,4051329.0,4159735.0,4265504.0,4371263.0,4476965.0,4615860.0,4762653.0,4868583.0,4972311.0,,,,,,,,,,,,,,,
12,942.0,817.0,ricciardo,10.0,1.0,Finished,120885.0,238290.0,355340.0,473002.0,601544.0,738418.0,873351.0,998578.0,1115508.0,1233378.0,1351598.0,1469812.0,1586492.0,1703390.0,1818752.0,1933437.0,2048087.0,2162281.0,2276424.0,2414812.0,2524351.0,2632701.0,2739174.0,2845234.0,2951501.0,3057330.0,3172081.0,3318088.0,3472839.0,3632406.0,3789959.0,3941753.0,4050029.0,4157268.0,4263744.0,4370727.0,4479286.0,4619630.0,4765358.0,4869166.0,4973138.0,5076636.0,5214709.0,5352706.0,5488581.0,5637518.0,5743864.0,5848985.0,5956077.0,6064987.0,6189587.0,6293054.0,6395034.0,6498173.0,6602284.0,6706074.0
2,942.0,3.0,rosberg,2.0,1.0,Finished,121650.0,240366.0,357830.0,476038.0,603639.0,739161.0,874243.0,997079.0,1114241.0,1232424.0,1350573.0,1469542.0,1587683.0,1704360.0,1820532.0,1936861.0,2052651.0,2168775.0,2284702.0,2417931.0,2525397.0,2631545.0,2735544.0,2839078.0,2942309.0,3045589.0,3158399.0,3315264.0,3469191.0,3630641.0,3787928.0,3940422.0,4045734.0,4148698.0,4251694.0,4355045.0,4458410.0,4593036.0,4741102.0,4844273.0,4945326.0,5047540.0,5174941.0,5331182.0,5482222.0,5634103.0,5735437.0,5840464.0,5941130.0,6042399.0,6143895.0,6245382.0,6347664.0,6450041.0,6552635.0,6655553.0
11,942.0,815.0,perez,5.0,1.0,Finished,122597.0,241859.0,360687.0,480151.0,606735.0,742640.0,881057.0,1004101.0,1122342.0,1240492.0,1358689.0,1477408.0,1595796.0,1714078.0,1830672.0,1947210.0,2063065.0,2179015.0,2295245.0,2433491.0,2545125.0,2655058.0,2763094.0,2870569.0,2977241.0,3083007.0,3204355.0,3358891.0,3478432.0,3637630.0,3796106.0,3944508.0,4053812.0,4160793.0,4266819.0,4373843.0,4484456.0,4620163.0,4750115.0,4856567.0,4961119.0,5065713.0,5199967.0,5337235.0,5487867.0,5637072.0,5743302.0,5848611.0,5953363.0,6057001.0,6160049.0,6263581.0,6366994.0,6470004.0,6573501.0,6677116.0
9,942.0,807.0,hulkenberg,14.0,3.0,Accident,123070.0,242696.0,361673.0,482483.0,614871.0,751493.0,888724.0,1011834.0,1129557.0,1247128.0,1365454.0,1482589.0,1599585.0,1717884.0,1834702.0,1951463.0,2068273.0,2185414.0,2302591.0,2437670.0,2545914.0,2651915.0,2757490.0,2862585.0,2967900.0,3073564.0,3189583.0,3346556.0,3477511.0,3636376.0,3795165.0,3943574.0,4052489.0,4158922.0,4264285.0,,,,,,,,,,,,,,,,,,,,,
7,942.0,20.0,vettel,3.0,1.0,Finished,123711.0,243108.0,362167.0,481668.0,609005.0,745296.0,884369.0,1005440.0,1122852.0,1241047.0,1359530.0,1477955.0,1596399.0,1714804.0,1831377.0,1947875.0,2065178.0,2183250.0,2316349.0,2425304.0,2532685.0,2639573.0,2745373.0,2850558.0,2955912.0,3061116.0,3176896.0,3331471.0,3475188.0,3634541.0,3793397.0,3942529.0,4050855.0,4155971.0,4259909.0,4363705.0,4468037.0,4605030.0,4737047.0,4841083.0,4944486.0,5048533.0,5175350.0,5335186.0,5485411.0,5636091.0,5740006.0,5841552.0,5943020.0,6044778.0,6146229.0,6247559.0,6349403.0,6451232.0,6553297.0,6656084.0
17,942.0,830.0,max_verstappen,4.0,1.0,Finished,124666.0,243804.0,362859.0,482659.0,610224.0,747732.0,885586.0,1006887.0,1124137.0,1242090.0,1360141.0,1478433.0,1597376.0,1715354.0,1832404.0,1948655.0,2066098.0,2183740.0,2317428.0,2427029.0,2535416.0,2642554.0,2748923.0,2855038.0,2961193.0,3066796.0,3184436.0,3320480.0,3476595.0,3635589.0,3794335.0,3943034.0,4051896.0,4158307.0,4262611.0,4367098.0,4471531.0,4609267.0,4740383.0,4845960.0,4950342.0,5054337.0,5184657.0,5333093.0,5484558.0,5635720.0,5741558.0,5845131.0,5948760.0,6052037.0,6155209.0,6258760.0,6362311.0,6466288.0,6570550.0,6675062.0
6,942.0,18.0,button,6.0,1.0,Finished,125223.0,247262.0,367679.0,488543.0,617441.0,754605.0,890553.0,1014274.0,1134839.0,1254271.0,1375155.0,1494866.0,1613881.0,1732730.0,1850794.0,1969035.0,2087485.0,2226021.0,2337859.0,2447519.0,2556379.0,2664470.0,2771383.0,2877891.0,2983783.0,3089598.0,3212439.0,3369057.0,3491672.0,3639299.0,3797553.0,3944894.0,4054437.0,4161384.0,4267213.0,4372874.0,4482882.0,4619465.0,4748896.0,4854220.0,4958903.0,5063752.0,5199150.0,5335500.0,5489706.0,5637789.0,5744806.0,5850221.0,5955310.0,6058336.0,6161772.0,6264888.0,6368050.0,6472787.0,6577005.0,6680761.0
4,942.0,8.0,raikkonen,16.0,135.0,Brake duct,125860.0,244970.0,363593.0,483340.0,613278.0,749309.0,887623.0,1008058.0,1125508.0,1243280.0,1361356.0,1479169.0,1598788.0,1716138.0,1833264.0,1949251.0,2066654.0,2183276.0,2300161.0,2482459.0,2625521.0,2733979.0,2842753.0,2948939.0,3068772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
